t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5691595110894713,0.191659567227599,0.3053099074268447,0.801608553596024,0.8740883781962461,0.7380339746439956,0.7315030433294575,0.18421586169102908,0.6448589534452654,0.4198678400045056,0.283270002079695,0.20566540004159392,0.2874492778423743,0.37827721287565436,0.40266684483044374,0.5204044986452836
1,0.4599251129125209,0.162496264032162,0.26794074277873126,0.8609353808401546,1.0,0.751261944350888,0.7858989589333646,0.03953399738174895,0.7443135298803764,0.5123127240817342,0.3096838573762928,0.21180242318870385,0.24541257617146478,0.5083100065537595,0.5153434408176341,0.6266887806521227
2,0.3418281842896171,0.2016091300265805,0.22786299511544167,0.9223951569958563,1.0,0.7890475858538004,0.8304509297037589,0.0,0.8553540894702883,0.5783520673278887,0.335094858402994,0.2183862961248767,0.21150626505665443,0.6044135404230089,0.6044135404230089,0.7108749430953939
3,0.2923957948025976,0.19948083043420362,0.21332556223633498,0.9868913276199731,1.0,0.8385262247381825,0.8660843707965911,0.0,0.9654899594248547,0.632309199429113,0.3611294189284829,0.2254250215421976,0.20012805206024242,0.7167144881710941,0.7167144881710941,0.7994825421016354
4,0.406395935165499,0.17235107743407146,0.25398287147299226,1.0,1.0,0.8715309024813934,0.8939312273602473,0.0,1.0,0.6825639053049093,0.3918295386534931,0.2330073620998455,0.2395957178824207,0.779088689337576,0.779088689337576,0.8275572848748616
5,0.5774815232915327,0.16488545166374483,0.29248805397682326,1.0,1.0,0.8804342255896226,0.9252719516067625,0.0,1.0,0.7228435345900133,0.4253148481728605,0.24118358544230423,0.2736823810726319,0.8146410941726987,0.8146410941726987,0.837171274401632
6,0.6918354891418914,0.18935633871440521,0.32730602963153016,1.0,1.0,0.8745385792289552,0.9587695802892575,0.0,1.0,0.7510687551200217,0.45922591788374545,0.24995626794555612,0.3043231848050034,0.838480986554109,0.838480986554109,0.8413074158337353
7,0.8100902734982218,0.1768348739628216,0.3570487156222357,1.0,1.0,0.8539545972068115,0.9941751215162864,0.0,1.0,0.7763178320445802,0.4936850999827321,0.2593304072657552,0.33006753781860854,0.8489804154474733,0.8489804154474733,0.8362211190623261
8,0.825223669887498,0.07268517303477873,0.38053036491696357,1.0,1.0,0.8310982399748158,1.0,0.0,1.0,0.7844855438478863,0.5244714718681596,0.2692265326304608,0.35026975581537806,0.8310982399748158,0.8310982399748158,0.813520401870383
9,0.9295320304426418,0.0690686395637201,0.39681483825896235,1.0,1.0,0.7922689662514301,1.0,0.0,1.0,0.8025757857226442,0.556305291447162,0.27966037313309944,0.3636599111473421,0.7922689662514301,0.7922689662514301,0.7717409078100868
10,0.9043633670742292,0.03939126397707275,0.4052529250847139,1.0,1.0,0.757436507366834,1.0,0.0,1.0,0.8018415743267011,0.5836889163247388,0.29053754772826323,0.3708783865938075,0.757436507366834,0.757436507366834,0.7405489623153467
11,0.9723524412676228,0.014463494440980912,0.40550822550039817,1.0,1.0,0.7129522442856718,1.0,0.0,1.0,0.8118984690864904,0.611932972847289,0.3018708317079264,0.3703969856103271,0.7129522442856718,0.7129522442856718,0.6998406205142922
12,0.8801781565836927,-0.07920405244186479,0.397570561484089,1.0,1.0,0.6833000133485873,1.0,0.0,1.0,0.7986724237613448,0.6346578771299516,0.31354528093344614,0.3636244757049112,0.6833000133485873,0.6833000133485873,0.6802971652916678
13,0.8065209018500573,-0.049158790298045846,0.38175638265136924,1.0,1.0,0.6658614007461472,1.0,0.0,1.0,0.784590891730415,0.6547372651188733,0.32550457342648914,0.34921954249405474,0.6658614007461472,0.6658614007461472,0.6733000374915868
14,0.7510312215296259,-0.10778789749639994,0.35869615040777236,1.0,1.0,0.6580278035442013,1.0,0.0,1.0,0.7722746851647941,0.672907031906662,0.3377076683303575,0.3288198592261969,0.6580278035442013,0.6580278035442013,0.6754362626565837
15,0.6848204072779215,-0.14972107975905594,0.32930920344207965,1.0,1.0,0.6615296881274705,1.0,0.0,1.0,0.7579879598391515,0.6888341480756373,0.35010727460856667,0.3030927454375888,0.6615296881274705,0.6615296881274705,0.6891306605972073
16,0.5685639330331688,-0.14874194136695165,0.2947671065939394,1.0,1.0,0.6839339901637951,1.0,0.0,1.0,0.7353277774304979,0.700726794128657,0.3626207377450541,0.27276325373575844,0.6839339901637951,0.6839339901637951,0.7225547449761368
17,0.44814949588201175,-0.2159757955376509,0.256446944260797,1.0,1.0,0.725764775797224,1.0,0.0,1.0,0.7099696883576688,0.7086811311211,0.37516815299002554,0.23875560263624973,0.725764775797224,0.725764775797224,0.7742202522612773
18,0.2644044218404073,-0.20572838606287436,0.21587642038861002,1.0,1.0,0.7963447224292989,1.0,0.0,1.0,0.6738407455957378,0.709563103640178,0.3876077335329289,0.20245836909811352,0.7963447224292989,0.7963447224292989,0.8541261981116542
19,0.37671882613163443,-0.2380111828357611,0.22532704626352937,1.0,1.0,0.8484932930138666,1.0,0.0,1.0,0.6848122764000474,0.7176293564845148,0.40008424332728987,0.21296869318495443,0.8484932930138666,0.8484932930138666,0.8925334428455337
20,0.48679607403856406,-0.18040846338847566,0.26552080350525786,1.0,1.0,0.8814773107494985,1.0,0.0,1.0,0.707658082885605,0.7290103300818206,0.41266360749565334,0.25038343526750967,0.8814773107494985,0.8814773107494985,0.9043624304545148
21,0.5597009777656595,-0.20610911085086847,0.30310245307408373,1.0,1.0,0.9013853081828092,1.0,0.0,1.0,0.7263879718853025,0.7406220275372065,0.42534941197144094,0.28329392481195953,0.9013853081828092,0.9013853081828092,0.9074376391868071
