t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5644694491673893,0.21025988607179782,0.3053099074268447,0.8008168786845709,0.8679336225606127,0.731865855920076,0.6816814055543893,0.35829295954419094,0.6408594344542414,0.42130760626632974,0.3165217607563942,0.2063304352151279,0.3053099074268447,0.34676293075352266,0.3902478816054866,0.5053832225079525
1,0.5028466044934323,0.16820920618985213,0.26794074277873126,0.8570360358908276,0.9848120062088095,0.7232523825268475,0.6661545188210337,0.40844169124749063,0.7296264423513921,0.5228221057604758,0.3824278525727387,0.2139156879144314,0.26794074277873126,0.40664671561076265,0.4647787309032667,0.5780767355730938
2,0.34242015909399964,0.1971547685947368,0.22786299511544167,0.914575871000066,1.0,0.7393171955950099,0.6534981035494762,0.44450489812117866,0.8332989682483865,0.590387583750405,0.4368111602623796,0.22251275424053468,0.22786299511544167,0.44187036780053457,0.5106151077882151,0.6270570928411223
3,0.30957783806005956,0.2325200540776739,0.21332556223633498,0.9728612904586903,1.0,0.7594257190453165,0.6420936267088119,0.4765329909306596,0.9405995111215387,0.6479039477402538,0.4926144877930257,0.23213991645398985,0.21332556223633498,0.47438897109409495,0.5535106694350904,0.6527814941386669
4,0.3893288635873977,0.14980573155702268,0.25398287147299226,1.0,1.0,0.7636168816221776,0.6285918456191679,0.5157980276904763,1.0,0.6714820767278561,0.5569112081639007,0.24295674145272794,0.25398287147299226,0.48000334496483826,0.5666580174810315,0.6467189739722718
5,0.5918700236480645,0.17571834408562526,0.29248805397682326,1.0,1.0,0.733589898993232,0.6131848070119835,0.5693143227352442,1.0,0.7053049661880356,0.6392281361893789,0.25531173676198826,0.29248805397682326,0.44982618064010543,0.5394585512230016,0.6038262651889349
6,0.7005814403508948,0.11084952366945139,0.32730602963153016,1.0,1.0,0.6839216410969706,0.5961509010237322,0.6308008334584392,1.0,0.7265627579756911,0.728516399543442,0.2693289473852372,0.32730602963153016,0.40772050256958864,0.4977371540632352,0.5471210794614721
7,0.7680344381462657,0.1545860358590696,0.3570487156222357,1.0,1.0,0.6211964291041469,0.5778434510556861,0.697176776160533,1.0,0.7444970157906663,0.8200936638000118,0.28503753118738506,0.3570487156222357,0.3589542883770091,0.4465433961228976,0.4775152478295976
8,0.8246441051835904,0.14347256924372176,0.38053036491696357,1.0,1.0,0.5474465077196777,0.5586763256289977,0.7671684322608922,1.0,0.7605088833589122,0.9126452900865678,0.3024400616772425,0.38053036491696357,0.30584540341125627,0.387967631938481,0.4030535444586158
9,0.946192206624356,0.014573320223029589,0.39681483825896235,1.0,1.0,0.45340809466503185,0.5391071455645899,0.8440059409125481,1.0,0.786041642689787,1.0,0.3214156610604701,0.39681483825896235,0.2444355436907447,0.31664231155655675,0.31532857426888683
10,0.8867210030483923,0.025772009535099272,0.4052529250847139,1.0,1.0,0.3669404272166702,0.5196187556925693,0.9160292865794151,1.0,0.7826187622592883,1.0,0.3402015044498654,0.4052529250847139,0.19066912820362597,0.2517996051220062,0.2447249470888573
11,0.9789423346125116,-0.030994723870672966,0.40550822550039817,1.0,1.0,0.2656535232805357,0.5006996994917683,0.9918057525317123,1.0,0.8027158593414969,1.0,0.35879948940536677,0.40550822550039817,0.1330126392754937,0.17918558455299477,0.16175478218615447
12,0.8802284779933579,-0.0668873393614163,0.397570561484089,1.0,1.0,0.17894485763627593,0.4828244748179699,1.0,1.0,0.7866069461100195,1.0,0.37721149451131314,0.397570561484089,0.08639895690961132,0.11663859182797529,0.11376807884975088
13,0.8087586875953843,-0.12455758906305957,0.38175638265136924,1.0,0.9967332856356658,0.10308118541357753,0.46643435761434865,1.0,1.0,0.774794221751971,1.0,0.3954393795662,0.38175638265136924,0.04792354089260649,0.06469678020501876,0.07711490098583235
14,0.7727759273909651,-0.130917099812407,0.35869615040777236,0.9988686133650803,0.9869904309258337,0.03316411794671469,0.4519195578614518,1.0,1.0,0.7672202160699789,1.0,0.41348498577053805,0.35869615040777236,0.01477579635347995,0.019947325077197934,0.047115123892681465
15,0.6543391231660227,-0.18598068169208742,0.32930920344207965,0.995135584164604,0.9755370900931085,0.0,0.4396034189190835,1.0,1.0,0.746306962084454,1.0,0.43135013591283267,0.32930920344207965,0.0,0.0,0.043780610514143864
16,0.5377684590469002,-0.18533448845382428,0.2947671065939394,0.9914585504021349,0.9683203122022215,0.0,0.4297292899558746,1.0,1.0,0.7257219735440851,1.0,0.44903663455370435,0.2947671065939394,0.0,0.0,0.05859163128828959
17,0.4171346423283719,-0.24414571071880342,0.256446944260797,0.9878366721461029,0.96575360219204,0.0,0.42245059460155054,1.0,1.0,0.7040577309833472,1.0,0.4665462682081673,0.256446944260797,0.0,0.0,0.07467094463979657
18,0.33667919886162395,-0.19782344570038102,0.21587642038861002,0.9842763445029629,0.9682785593292889,9.323813614839707e-05,0.4178244915401874,1.0,1.0,0.6882041637267095,1.0,0.48388080552608564,0.21587642038861002,3.712828077129408e-05,5.012317904124701e-05,0.08961225048701968
19,0.3486529238383424,-0.23394078601506701,0.22532704626352937,0.9807621993354184,0.9711794115870498,0.0,0.41277013401817003,1.0,1.0,0.6919269759410395,1.0,0.5010419974708248,0.22532704626352937,0.0,0.0,0.08609014565180578
20,0.517657019568466,-0.1575250060682126,0.26552080350525786,0.9773007663453871,0.9698638210817042,0.0,0.40545578178730945,1.0,1.0,0.7219147005588489,1.0,0.5180315774961165,0.26552080350525786,0.0,0.0,0.06704538895603085
21,0.5557638395608597,-0.19352336863928285,0.30310245307408373,0.9738912548502063,0.9618146743556066,0.0,0.3961059611492452,1.0,1.0,0.7306411352750765,1.0,0.5348512617211554,0.30310245307408373,0.0,0.0,0.0550320461489561
22,0.7273942180831636,-0.1318987639238601,0.33657373319745104,0.9705328860274532,0.9494497107228025,0.0,0.38502835832292076,1.0,1.0,0.7599659239324149,1.0,0.5515027491039438,0.33657373319745104,0.0,0.0,0.03786678952091274
23,0.8423115572185241,-0.13093195218795517,0.36460024956157344,0.9672248927370415,0.9311014721117562,0.0,0.37260149259953873,1.0,1.0,0.7791004673335467,1.0,0.5679877216129043,0.36460024956157344,0.0,0.0,0.02511979740954262
24,0.9032191473334334,-0.0713274978899287,0.3860646734018003,0.9639665193459859,0.9083304948179766,0.0,0.3592595674174446,1.0,1.0,0.7898556095415536,1.0,0.5843078443967753,0.3860646734018003,0.0,0.0,0.016527148787083806
25,0.897374470675051,-0.04129283946001976,0.4001112858745278,0.9607570215557961,0.8825990818309852,0.0,0.34547510324244957,1.0,1.0,0.7901267444291233,1.0,0.6004647659528075,0.4001112858745278,0.0,0.0,0.012934155202631026
26,0.975514876306911,0.02487136766663261,0.40618009286711754,0.9575956662324592,0.8556422172970907,0.0,0.33174004457314904,1.0,1.0,0.8025625053686345,1.0,0.6164601182932794,0.40618009286711754,0.0,0.0,0.007686225172630234
27,0.9306255493779694,0.03984301443586491,0.4040291501960028,0.9544817312389723,0.8269626890230262,0.0,0.3185460942241944,1.0,1.0,0.794949205161784,1.0,0.6322955171103466,0.4040291501960028,0.0,0.0,0.010507950902464092
28,0.8492666135410964,0.04467435746835956,0.39374420915778874,0.9514145052703877,0.7993229961467194,0.0,0.30636505884800125,1.0,1.0,0.7818918368720099,1.0,0.6479725619392431,0.39374420915778874,0.0,0.0,0.016996396648949808
29,0.8655247510742989,0.09848269132400912,0.3757352978956606,0.9483932876913319,0.7739855428223705,0.0,0.2956299892088216,1.0,1.0,0.7828223565650235,1.0,0.6634928363198507,0.3757352978956606,0.0,0.0,0.021219468556577775
30,0.7197019897286849,0.14431430164463482,0.350720374871234,0.9454173883759619,0.7502233233970566,0.0,0.28671786704028296,1.0,1.0,0.7579006256155996,1.0,0.6788579079566522,0.350720374871234,0.0,0.0,0.034949718597511614
31,0.6692930966276895,0.18370733213379734,0.31969670612633794,0.9424861275503225,0.7312489367873533,0.0,0.2799345286614942,1.0,1.0,0.747862537948534,1.0,0.6940693288770857,0.31969670612633794,0.0,0.0,0.045717062083855314
32,0.5171406601601093,0.1803510239996264,0.2839011074329836,0.9395988356370676,0.7160720544545044,0.0,0.2755024263556704,1.0,1.0,0.7212461050185477,1.0,0.7091286355883148,0.2839011074329836,0.0,0.0,0.06265089163618978
33,0.4000447699967691,0.2270618674912515,0.24476063635153128,0.9367548531025116,0.7067596494584223,0.0,0.27355171538390843,1.0,1.0,0.7003156866107718,1.0,0.7240373492324317,0.24476063635153128,0.0,0.0,0.0787151349288856
34,0.2648795082583128,0.19336368320036532,0.20383569994909947,0.933953530305974,0.7029990318135765,0.0,0.27411502192544523,1.0,1.0,0.6761764259021001,1.0,0.7387969757401074,0.20383569994909947,0.0,0.0,0.09618814724209507
35,0.3731098643997311,0.15368187970745367,0.2372421537060516,0.9311942273513844,0.6989195948133041,0.0,0.2726570420453188,1.0,1.0,0.6976267168095809,1.0,0.7534090059827063,0.2372421537060516,0.0,0.0,0.08140144653061282
36,0.46046632976016827,0.2097465540377871,0.27683528021735465,0.9284763139411136,0.6892856839104314,0.0,0.268867213970918,1.0,1.0,0.7144088472496287,1.0,0.7678749159228793,0.27683528021735465,0.0,0.0,0.0664685257707727
37,0.676202860311433,0.17985956707242376,0.3133652265741397,0.9257991692319969,0.6747262385174683,0.0,0.26299928395734207,1.0,1.0,0.7503138138731302,1.0,0.7821961667636504,0.3133652265741397,0.0,0.0,0.04656454919452599
