t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5871853022475566,0.17356457893820396,0.3053099074268447,0.8005564599724349,0.8675247372051698,0.728458477958051,0.6816814055543893,0.35965591072900094,0.6344552528161287,0.42471498422835485,0.3186664404475651,0.20637332880895132,0.3053099074268447,0.34487370571222636,0.38828625906227204,0.50371584334622
1,0.4681644052563374,0.1873782289943023,0.26794074277873126,0.8569144529758719,0.9846307816448545,0.725098445119817,0.6661545188210337,0.40768963669845465,0.7286491317683278,0.5208567849388354,0.38086020745736043,0.21392679967000902,0.26794074277873126,0.40755181215172487,0.46570593973290164,0.5788648630782836
2,0.3338282233797952,0.21797624475529007,0.22786299511544167,0.914704684789731,1.0,0.7424243576062155,0.6534981035494762,0.44325612879301635,0.8356507894658503,0.5872317386127159,0.4344223885355684,0.2224759794440203,0.22786299511544167,0.4437899334581568,0.5126393462238473,0.6287776955114098
3,0.2703040789767911,0.21714731137447102,0.21332556223633498,0.9737043015169926,1.0,0.7683773374888443,0.6420936267088119,0.4729590152907052,0.9440775673790651,0.6390148309969589,0.48615744044803033,0.23197436845854072,0.21332556223633498,0.48039667751790566,0.5599194563596339,0.6608956980475174
4,0.38095574227270873,0.17717535438478663,0.25398287147299226,1.0,1.0,0.7736901939862558,0.6285918456191679,0.5118110141626395,1.0,0.7096853953647764,0.5520756238558446,0.24269613725107222,0.25398287147299226,0.4863353469752726,0.5734544724807663,0.6410349651309704
5,0.5417998483258494,0.14663668904840332,0.29248805397682326,1.0,1.0,0.7510226379701814,0.6131848070119835,0.5624227740262703,1.0,0.8055696693226337,0.6351400335521753,0.25497197654960496,0.29248805397682326,0.46051567132537646,0.5511672467976624,0.583699245487017
6,0.6986948571082923,0.14164974353783485,0.32730602963153016,1.0,1.0,0.7013758764756562,0.5961509010237322,0.6239683784726335,1.0,0.9262896082563401,0.7352720612386081,0.2691276980088811,0.32730602963153016,0.4181258607172724,0.5094399210755032,0.49851686733486633
7,0.8024199180986756,0.17805253635069257,0.3570487156222357,1.0,1.0,0.6332310289592907,0.5778434510556861,0.6925782613465171,1.0,1.0,0.8436453094560605,0.2853093272179135,0.3570487156222357,0.36590840308937966,0.45460547505768273,0.4086368226241679
8,0.8271184835527577,0.1382995700790605,0.38053036491696357,1.0,1.0,0.5589294318216192,0.5586763256289977,0.7628333430193767,1.0,1.0,0.94796132076042,0.3034154603609428,0.38053036491696357,0.3122606412560056,0.39563163135794815,0.33858762682113963
9,0.936813143292736,0.07825621881049033,0.39681483825896235,1.0,1.0,0.4661256344051872,0.5391071455645899,0.8392164851021734,1.0,1.0,1.0,0.32238130575733337,0.39681483825896235,0.25129166023866406,0.3251024965830075,0.2592901155103811
10,0.8869133523147894,0.01730959508377029,0.4052529250847139,1.0,1.0,0.37943835147076355,0.5196187556925693,0.9113711081202835,1.0,1.0,1.0,0.34115749269976003,0.4052529250847139,0.19716328405327793,0.26005440628717247,0.18745879244886138
11,0.9477022936712047,-0.0394925824404842,0.40550822550039817,1.0,0.9977833160967512,0.28264998481201364,0.5006996994917683,0.9853896260775805,1.0,1.0,1.0,0.35974591777276244,0.40550822550039817,0.14120905122724697,0.18991012819290234,0.1129686273733514
12,0.8810020895192591,-0.07811997799173942,0.397570561484089,1.0,0.9843553190839179,0.1955703305158965,0.4828244748179699,1.0,1.0,1.0,1.0,0.3781484585950348,0.397570561484089,0.09294887525768995,0.12548098159788146,0.05726619398717697
13,0.8316781136287708,-0.06794423443807333,0.38175638265136924,1.0,0.9615365507700971,0.11601936229499582,0.46643435761434865,1.0,1.0,1.0,1.0,0.3963669740090845,0.38175638265136924,0.05203395113921674,0.0702458340379426,0.014269863269408878
14,0.7637652224527365,-0.13818599653826752,0.35869615040777236,0.9997717742262587,0.9314925544547176,0.047259827915646015,0.4519195578614518,1.0,1.0,1.0,1.0,0.4144033042689937,0.35869615040777236,0.019889942706426526,0.02685142265367581,0.0
15,0.6953329133653066,-0.11422898143547458,0.32930920344207965,0.9960251976128649,0.897593703376057,0.0,0.4396034189190835,1.0,1.0,1.0,1.0,0.43225927122630375,0.32930920344207965,0.0,0.0,0.0
16,0.5451925549292324,-0.2268941747192971,0.2947671065939394,0.9923348196486719,0.866176772494371,0.0,0.4297292899558746,1.0,1.0,1.0,1.0,0.44993667851404073,0.2947671065939394,0.0,0.0,0.0
17,0.4855449183219414,-0.16303762447272857,0.256446944260797,0.9886997973539418,0.8377144129342157,0.0,0.42245059460155054,1.0,1.0,1.0,1.0,0.46743731172890035,0.256446944260797,0.0,0.0,0.0
18,0.33195452127649294,-0.20113161118290243,0.21587642038861002,0.985171436151948,0.8126507752051988,0.0008019397739180457,0.4178244915401874,1.0,1.0,1.0,1.0,0.48476293861161135,0.21587642038861002,0.00026825721568184634,0.0003621472411704926,0.0
19,0.30790352625495176,-0.23708047209325683,0.22532704626352937,0.9819033540872912,0.7872009140584605,0.0041204455080704385,0.41277013401817003,1.0,1.0,1.0,1.0,0.5019153092254952,0.22532704626352937,0.0013146397955293423,0.0017747637239646122,0.0
20,0.44882648668444103,-0.19743142725483323,0.26552080350525786,0.9784248037759818,0.7578376986101476,0.0,0.40545578178730945,1.0,1.0,1.0,1.0,0.5188961561332402,0.26552080350525786,0.0,0.0,0.0
21,0.550248038713083,-0.15686436515303814,0.30310245307408373,0.9749984317193421,0.7251604137770084,0.0,0.3961059611492452,1.0,1.0,1.0,1.0,0.5357071945719079,0.30310245307408373,0.0,0.0,0.0
22,0.7280340231888967,-0.20171116311427637,0.33657373319745104,0.971623455243552,0.6894093775803908,0.0,0.38502835832292076,1.0,1.0,1.0,1.0,0.5523501226261888,0.33657373319745104,0.0,0.0,0.0
23,0.8329103363135495,-0.12398945983234722,0.36460024956157344,0.9682991034148987,0.6509583363597221,0.0,0.37260149259953873,1.0,1.0,1.0,1.0,0.5688266213999269,0.36460024956157344,0.0,0.0,0.0
24,0.912092118219739,-0.09085023224201809,0.3860646734018003,0.9650246168636751,0.6102995528355777,0.0,0.3592595674174446,1.0,1.0,1.0,1.0,0.5851383551859276,0.3860646734018003,0.0,0.0,0.0
25,0.9466114476553056,-0.054624258794200915,0.4001112858745278,0.96179924761072,0.5680241649324778,0.0,0.34547510324244957,1.0,1.0,1.0,1.0,0.6012869716340683,0.4001112858745278,0.0,0.0,0.0
26,0.9485697074681059,-0.009825134040335437,0.40618009286711754,0.9586222588965592,0.5247985985949731,0.0,0.33174004457314904,1.0,1.0,1.0,1.0,0.6172741019177277,0.40618009286711754,0.0,0.0,0.0
27,0.8823725947270981,-0.004662302437184587,0.4040291501960028,0.9554929250131108,0.4813379751383038,0.0,0.3185460942241944,1.0,1.0,1.0,1.0,0.6331013608985504,0.4040291501960028,0.0,0.0,0.0
28,0.8690401872967926,0.06102201994185608,0.39374420915778874,0.9524105311379141,0.43837757348644624,0.0,0.30636505884800125,1.0,1.0,1.0,1.0,0.648770347289565,0.39374420915778874,0.0,0.0,0.0
29,0.8227092182623731,0.1109732450146925,0.3757352978956606,0.9493743731708454,0.39664348518920245,0.0,0.2956299892088216,1.0,1.0,1.0,1.0,0.6642826438166693,0.3757352978956606,0.0,0.0,0.0
