t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.6081732842251405,0.16840541784558602,0.3053099074268447,0.8033710503360696,0.8895439982739918,0.7499776632694246,0.8605283103879675,0.355785983202885,0.6353370731493266,0.4201693718578359,0.32053846951033177,0.20641076939020664,0.24119482686720733,0.46120828818481807,0.5186402936804223,0.6305455429115571
1,0.48427827270921797,0.16331212682986013,0.26794074277873126,0.8655106924269678,1.0,0.7867525980742407,1.0,0.4003818849289818,0.7280116849205887,0.5122034265867506,0.38371922119503543,0.21402104612020528,0.2116731867951977,0.6809427859279519,0.7763657905834709,0.8569926252971508
2,0.37420877552053755,0.23456454936920754,0.22786299511544167,0.9310635843980022,1.0,0.8410694044679865,1.0,0.43472580562828544,0.836274495846213,0.5793259835224376,0.4407086921231578,0.2226950095014664,0.18001176614119893,0.7830890944514566,0.9022392575639036,0.9719004273940182
3,0.30976579417790084,0.16967067461600455,0.21332556223633498,1.0,1.0,0.9048121345659463,1.0,0.4634257836715887,0.9378247270967978,0.6320478167730054,0.4953156790444787,0.23237437298734132,0.16852719416670464,0.9048121345659463,1.0,1.0
4,0.4320098408739667,0.17974826506703134,0.25398287147299226,1.0,1.0,0.947656152993179,1.0,0.5013124470093301,1.0,0.7043244782810898,0.5654492343755114,0.24335961394497813,0.20064646846366388,0.947656152993179,1.0,1.0
5,0.5332931809247176,0.22772332820971108,0.29248805397682326,1.0,1.0,0.9731440554274892,1.0,0.5467624717009151,1.0,0.7918300990227457,0.6461271305717561,0.25584856041696347,0.2310655626416904,0.9731440554274892,1.0,0.9846845796327538
6,0.724009131359046,0.11509455657938363,0.32730602963153016,1.0,1.0,0.9682669367217746,1.0,0.6047196988626476,1.0,0.9072461512935462,0.7470776989118477,0.27023162879103074,0.25857176340890886,0.9682669367217746,1.0,0.9422392739871794
7,0.8095118224694147,0.14275109372180986,0.3570487156222357,1.0,1.0,0.9494627350334574,1.0,0.6682378945665717,1.0,1.0,0.8554447074016089,0.28663820665115264,0.28206848534156626,0.9494627350334574,1.0,0.8958352997512942
8,0.8399284816484569,0.07730732147900105,0.38053036491696357,1.0,1.0,0.925450572346467,1.0,0.733477175164067,1.0,1.0,0.9603209446407096,0.30497824347745534,0.30061898828440126,0.925450572346467,1.0,0.8781498178960864
9,0.9235459455767032,0.057197437025504796,0.39681483825896235,1.0,1.0,0.8886127358135354,1.0,0.8031317002975339,1.0,1.0,1.0,0.3239284610426808,0.31348372222458026,0.8886127358135354,1.0,0.8610027293843483
10,0.9527625654965057,0.03781539426098472,0.4052529250847139,1.0,1.0,0.8476116694110104,1.0,0.8733311465852398,1.0,1.0,1.0,0.342689176432254,0.320149810816924,0.8476116694110104,1.0,0.8452963179787212
11,0.8983252328058817,0.007668633754904848,0.40550822550039817,1.0,1.0,0.8153811345416973,1.0,0.9385255017405869,1.0,1.0,1.0,0.3612622846679315,0.32035149814531455,0.8153811345416973,1.0,0.832207025115554
12,0.9568098631814157,-0.012160180879196153,0.397570561484089,1.0,1.0,0.7751749008677379,1.0,1.0,1.0,1.0,1.0,0.3796496618212522,0.3140807435724303,0.7751749008677379,1.0,0.8214798141068925
13,0.8671872908925684,-0.14230069240390097,0.38175638265136924,1.0,1.0,0.7496398066061075,1.0,1.0,1.0,1.0,1.0,0.3978531652030397,0.30158754229458173,0.7496398066061075,1.0,0.8246031144263546
14,0.7293926824417487,-0.1671010712456787,0.35869615040777236,1.0,1.0,0.7460678091996465,1.0,1.0,1.0,1.0,1.0,0.41587463355100934,0.28336995882214017,0.7460678091996465,1.0,0.829157510294465
15,0.7251309052798489,-0.1787812796432786,0.32930920344207965,1.0,1.0,0.7443494427337124,1.0,1.0,1.0,1.0,1.0,0.43371588721549925,0.2601542707192429,0.7443494427337124,1.0,0.8349614323201894
16,0.5525049154791739,-0.1414752105736788,0.2947671065939394,1.0,1.0,0.76991516306037,1.0,1.0,1.0,1.0,1.0,0.4513787283433443,0.23286601420921213,0.76991516306037,1.0,0.841783496447697
17,0.4195928613649684,-0.19139646284415376,0.256446944260797,1.0,1.0,0.8165478521114177,1.0,1.0,1.0,1.0,1.0,0.4688649410599109,0.20259308596602965,0.8165478521114177,1.0,0.8493517285084926
18,0.2965244970577789,-0.2469694603529393,0.21587642038861002,1.0,1.0,0.8825438411657295,1.0,1.0,1.0,1.0,1.0,0.4861762916493118,0.17054237210700193,0.8825438411657295,1.0,0.8573644069732496
19,0.34287811011529085,-0.16812462283834856,0.22532704626352937,1.0,1.0,0.9402235487035405,1.0,1.0,1.0,1.0,1.0,0.5033145287328187,0.17800836654818822,0.9402235487035405,1.0,0.855497908362953
20,0.4340445701896001,-0.22108976207913744,0.26552080350525786,1.0,1.0,0.9817754382060897,1.0,1.0,1.0,1.0,1.0,0.5202813834454905,0.2097614347691537,0.9817754382060897,1.0,0.8475596413077117
21,0.5849618643517631,-0.22310040026943287,0.30310245307408373,1.0,1.0,0.9985819800838075,1.0,1.0,1.0,1.0,1.0,0.5370785696110356,0.23945093792852615,0.9985819800838075,1.0,0.8401372655178685
22,0.7049061271864916,-0.12121965445042489,0.33657373319745104,1.0,1.0,0.9958226688432773,1.0,1.0,1.0,1.0,1.0,0.5537077839149253,0.26589324922598634,0.9958226688432773,1.0,0.8335266876935035
23,0.8144565924144891,-0.11979427861881949,0.36460024956157344,1.0,1.0,0.9755651300907726,1.0,1.0,1.0,1.0,1.0,0.570170706075776,0.28803419715364303,0.9755651300907726,1.0,0.8279914507115893
24,0.9057281520833608,-0.12338924103419566,0.3860646734018003,1.0,1.0,0.9410728757275357,1.0,1.0,1.0,1.0,1.0,0.5864689990150183,0.30499109198742225,0.9410728757275357,1.0,0.8237522270031445
25,0.9237611672680717,-0.06263341829956681,0.4001112858745278,1.0,1.0,0.9038382117093682,1.0,1.0,1.0,1.0,1.0,0.6026043090248681,0.316087915840877,0.9038382117093682,1.0,0.8209780210397808
26,0.9473974309350892,-0.04845680398675505,0.40618009286711754,1.0,1.0,0.8633769102252131,1.0,1.0,1.0,1.0,1.0,0.6185782659346194,0.32088227336502284,0.8633769102252131,1.0,0.8197794316587443
27,0.9576484374272921,-0.009396628043954997,0.4040291501960028,1.0,1.0,0.822069839524999,1.0,1.0,1.0,1.0,1.0,0.6343924832752732,0.3191830286548422,0.822069839524999,1.0,0.8202042428362895
28,0.862450405105287,0.10114533531652836,0.39374420915778874,1.0,1.0,0.7960683349045984,1.0,1.0,1.0,1.0,1.0,0.6500485584425205,0.31105792523465314,0.7960683349045984,1.0,0.8222355186913368
29,0.8805537187412177,0.10037444164908028,0.3757352978956606,1.0,1.0,0.7684527078029681,1.0,1.0,1.0,1.0,1.0,0.6655480728580954,0.2968308853375719,0.7684527078029681,1.0,0.8257922786656071
30,0.74380933274561,0.11398261311989503,0.350720374871234,1.0,1.0,0.7627510624666684,1.0,1.0,1.0,1.0,1.0,0.6808925921295145,0.27706909614827485,0.7627510624666684,1.0,0.8307327259629314
31,0.6264593596176841,0.17798402618098125,0.31969670612633794,1.0,1.0,0.7759628726950254,1.0,1.0,1.0,1.0,1.0,0.6960836662082194,0.252560397839807,0.7759628726950254,1.0,0.8368599005400483
32,0.49751639918201784,0.1484031114282478,0.2839011074329836,1.0,1.0,0.8097318759836944,1.0,1.0,1.0,1.0,1.0,0.7111228295461371,0.22428187487205703,0.8097318759836944,1.0,0.8439295312819859
33,0.39477560703987474,0.16571138664920015,0.24476063635153128,1.0,1.0,0.8599515116520724,1.0,1.0,1.0,1.0,1.0,0.7260116012506758,0.19336090271770973,0.8599515116520724,1.0,0.8516597743205727
34,0.27765814961862095,0.2361437411400924,0.20383569994909947,1.0,1.0,0.9286020063865087,1.0,1.0,1.0,1.0,1.0,0.740751485238169,0.1610302029597886,0.9286020063865087,1.0,0.8597424492600529
35,0.4018916512910452,0.19873772233319772,0.2372421537060516,1.0,1.0,0.9762681635256653,1.0,1.0,1.0,1.0,1.0,0.7553439703857874,0.18742130142778077,0.9762681635256653,1.0,0.8531446746430549
36,0.49087472634659723,0.18287940007684694,0.27683528021735465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7697905306819295,0.21869987137171018,1.0,1.0,0.8453250321570726
37,0.5783849460714005,0.19179851411338175,0.3133652265741397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7840926253751102,0.24755852899357036,1.0,1.0,0.8381103677516075
38,0.7177512525704612,0.12681742743519214,0.3453756590920736,1.0,1.0,0.9949449735802939,1.0,1.0,1.0,1.0,1.0,0.7982516991213591,0.27284677068273816,0.9949449735802939,1.0,0.8317883073293155
39,0.7799605793801118,0.10823889268089845,0.3715904228414271,1.0,1.0,0.9795988903673363,1.0,1.0,1.0,1.0,1.0,0.8122691821301455,0.2935564340447274,0.9795988903673363,1.0,0.8266108914888182
40,0.8948329564533416,0.06652796297200006,0.39096441791698466,1.0,1.0,0.9464868690361042,1.0,1.0,1.0,1.0,1.0,0.8261464903088441,0.3088618901544179,0.9464868690361042,1.0,0.8227845274613956
41,0.9627054354506093,0.05575210389132583,0.4027252642732607,1.0,1.0,0.9032261027441774,1.0,1.0,1.0,1.0,1.0,0.8398850254057557,0.31815295877587596,0.9032261027441774,1.0,0.8204617603060311
42,0.9121544711128378,0.00036812465709267243,0.40640409407952716,1.0,1.0,0.8680515788199478,1.0,1.0,1.0,1.0,1.0,0.8534861751516982,0.32105923432282646,0.8680515788199478,1.0,0.8197351914192934
43,0.9639008617667497,-0.040653931419258424,0.401854244000627,1.0,1.0,0.8258224332346114,1.0,1.0,1.0,1.0,1.0,0.8669513134001813,0.31746485276049535,0.8258224332346114,1.0,0.8206337868098763
44,0.8910674942116411,-0.12518426413101627,0.3892571022013238,1.0,1.0,0.7956493170673937,1.0,1.0,1.0,1.0,1.0,0.8802818002661795,0.3075131107390458,0.7956493170673937,1.0,0.8231217223152386
45,0.8126548682274304,-0.12086660791128094,0.3691148769725762,1.0,1.0,0.7784863094368516,1.0,1.0,1.0,1.0,1.0,0.8934789822635177,0.29160075280833525,0.7784863094368516,1.0,0.8270998117979163
46,0.7142149055795125,-0.15585145733156056,0.3422305752717867,1.0,1.0,0.7774086712351364,1.0,1.0,1.0,1.0,1.0,0.9065441924408826,0.2703621544647115,0.7774086712351364,1.0,0.8324094613838222
47,0.6240801361649271,-0.16901644059208631,0.30967598936944624,1.0,1.0,0.7911533191617772,1.0,1.0,1.0,1.0,1.0,0.9194787505164738,0.24464403160186254,0.7911533191617772,1.0,0.8388389920995345
48,0.4914861354575742,-0.22439934822521207,0.2727489678735442,1.0,1.0,0.8260395148247095,1.0,1.0,1.0,1.0,1.0,0.932283963011309,0.2154716846200999,0.8260395148247095,1.0,0.8461320788449751
49,0.3538735970825847,-0.15459328951329007,0.2329216746011678,1.0,1.0,0.882617476393205,1.0,1.0,1.0,1.0,1.0,0.944961123381196,0.18400812293492258,0.882617476393205,1.0,0.8539979692662694
50,0.26891104247913417,-0.25037982479828935,0.20821810194720528,1.0,1.0,0.9520669428485221,1.0,1.0,1.0,1.0,1.0,0.9575115121473841,0.16449230053829217,0.9520669428485221,1.0,0.8588769248654271
51,0.36371720501711696,-0.19469094873135623,0.24903024870466398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9699363970259103,0.19673389647668454,1.0,1.0,0.8508165258808289
52,0.49801634141609086,-0.22537672348310173,0.28788771417016434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9822370330556512,0.22743129419442984,1.0,1.0,0.8431421764513927
53,0.6216802206540993,-0.1683000459145398,0.32324137381742074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9944146627250946,0.2553606853157624,1.0,1.0,0.8361598286710594
54,0.811541435913778,-0.1377326422773882,0.3536817888012208,1.0,1.0,0.9805483539552851,1.0,1.0,1.0,1.0,1.0,1.0,0.27940861315296445,0.9805483539552851,1.0,0.8301478467117589
55,0.8391820145023223,-0.10968600810582765,0.37799539583644515,1.0,1.0,0.9562820083350679,1.0,1.0,1.0,1.0,1.0,1.0,0.29861636271079167,0.9562820083350679,1.0,0.8253459093223021
56,0.9008208456063034,-0.07160753117208553,0.39521288813662336,1.0,1.0,0.9224537422876998,1.0,1.0,1.0,1.0,1.0,1.0,0.31221818162793247,0.9224537422876998,1.0,0.8219454545930169
57,0.9547810487789522,0.013142507658004593,0.40464785861668584,1.0,1.0,0.8806661884211824,1.0,1.0,1.0,1.0,1.0,1.0,0.31967180830718184,0.8806661884211824,1.0,0.8200820479232046
58,0.9562009173249891,0.0064065635748971166,0.40592416477736376,1.0,1.0,0.8392420534874104,1.0,1.0,1.0,1.0,1.0,1.0,0.32068009017411736,0.8392420534874104,1.0,0.8198299774564708
59,0.9282559928892304,0.09519556637426435,0.3989909243196479,1.0,1.0,0.8029048822410887,1.0,1.0,1.0,1.0,1.0,1.0,0.3152028302125218,0.8029048822410887,1.0,0.8211992924468696
