t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.22721937132416983,0.15116546937921413,0.2,0.8094514833844543,0.908974112116165,0.8175629343013745,0.908632,0.27459817496427696,0.6788881339664683,0.2558822311471618,0.27288660751938615,0.20545773215038773,0.14780000000000001,0.5465772599818919,0.5991084513056929,0.7222921836098389
1,0.20887932958375002,0.16580127247647483,0.2,0.8803784016016307,1.0,0.8977336308492914,1.0,0.2488813290500218,0.8035765018606691,0.2114448484759025,0.2990217467959062,0.21138358976480198,0.1496792,0.7903452989911275,0.8591910649385995,0.9428926051978096
2,0.22890715613302587,0.15168806542079763,0.2,0.9563188036197341,1.0,0.9737009755265981,1.0,0.22500366178057957,0.9200014722809657,0.17222539077659754,0.3305566825002997,0.21788088751715995,0.14961154880000002,0.9311685519989642,1.0,1.0
3,0.2203593014507737,0.21813506644014147,0.2,1.0,1.0,1.0,1.0,0.20121025974739426,1.0,0.133685020013104,0.3638065813169876,0.2249782102683281,0.14961398424320002,1.0,1.0,1.0
4,0.218587390598522,0.24998162341661195,0.2,1.0,1.0,1.0,1.0,0.17790537109982707,1.0,0.09680587063883278,0.39641635391882596,0.23265675524402132,0.1496138965672448,1.0,1.0,1.0
5,0.16917721457310309,0.18380777572567,0.2,1.0,1.0,1.0,1.0,0.1522184943594307,1.0,0.05435915270822239,0.42513019468951174,0.24083279158537135,0.1496138997235792,1.0,1.0,1.0
6,0.2066555466388102,0.17805816858431373,0.2,1.0,1.0,1.0,1.0,0.12942248945239637,1.0,0.01965652047036323,0.456287369685705,0.24955021106323175,0.14961389960995117,1.0,1.0,1.0
7,0.17106514057179684,0.17286097253489163,0.2,1.0,1.0,1.0,1.0,0.10506096030434438,1.0,0.0,0.4837383405545625,0.25872947576369065,0.14961389961404178,1.0,1.0,1.0
8,0.21862696779153754,0.23745326053736207,0.2,1.0,1.0,1.0,1.0,0.08416217901816632,1.0,0.0,0.5130551196915439,0.2684032833998846,0.14961389961389449,1.0,1.0,1.0
9,0.21380927939019845,0.17233912073495872,0.2,1.0,1.0,1.0,1.0,0.06349680596006278,1.0,0.0,0.540257062683511,0.27852439181955596,0.1496138996138998,1.0,1.0,1.0
10,0.22398706241048771,0.20113699467514998,0.2,1.0,1.0,1.0,1.0,0.043958734209629174,1.0,0.0,0.5665786094421363,0.2890707200902031,0.1496138996138996,1.0,1.0,1.0
11,0.1685108694894013,0.1955536811356821,0.2,1.0,1.0,1.0,1.0,0.021580542677691245,1.0,0.0,0.5872234501507246,0.29992448189231563,0.14961389961389962,1.0,1.0,1.0
12,0.18359002619363152,0.1578959289648435,0.2,1.0,1.0,1.0,1.0,0.000666555336305566,1.0,0.0,0.6077433310666998,0.31108010369472644,0.14961389961389962,1.0,1.0,1.0
13,0.19517532694282477,0.18599644485064035,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6278876972525476,0.3225270566028301,0.14961389961389962,1.0,1.0,1.0
14,0.19556925673196024,0.24302173681112066,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6468524967070298,0.3342388359709424,0.14961389961389962,1.0,1.0,1.0
15,0.2016457000080277,0.1905100425905651,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6651282079017924,0.3461990117692688,0.14961389961389962,1.0,1.0,1.0
16,0.21908591914750647,0.24951729108828233,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6835954926622446,0.358408931504821,0.14961389961389962,1.0,1.0,1.0
17,0.18922052202177703,0.24450248095304838,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6987489135257406,0.3707998204602876,0.14961389961389962,1.0,1.0,1.0
18,0.15150000405055916,0.16403181220139376,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7102071313645577,0.38329596488297585,0.14961389961389962,1.0,1.0,1.0
19,0.16377556062582038,0.24380647896600816,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7218845158269954,0.395900695550686,0.14961389961389962,1.0,1.0,1.0
20,0.20523879637962264,0.22190823407276067,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7359236881923905,0.40866016235902697,0.14961389961389962,1.0,1.0,1.0
21,0.1729293713152323,0.19949850749350317,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7467341700722626,0.421508244136882,0.14961389961389962,1.0,1.0,1.0
22,0.2209651785228009,0.15998756430434657,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7604438972228404,0.43450203963997,0.14961389961389962,1.0,1.0,1.0
23,0.15929774188719592,0.1547416166019353,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7687763487527086,0.4475325462186244,0.14961389961389962,1.0,1.0,1.0
24,0.18749292714926902,0.23404821971170925,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7786913199110377,0.4606310471546589,0.14961389961389962,1.0,1.0,1.0
25,0.19439923840512127,0.19014593208032404,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.788521485683327,0.4737951663967789,0.14961389961389962,1.0,1.0,1.0
26,0.19016452445529014,0.16792114641047493,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7974490699921442,0.487006196132654,0.14961389961389962,1.0,1.0,1.0
27,0.22585063666109517,0.1853801407503411,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8084767379457978,0.5003056689302434,0.14961389961389962,1.0,1.0,1.0
28,0.16882079500562897,0.18112329778413885,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8146305817167329,0.5135952238752757,0.14961389961389962,1.0,1.0,1.0
29,0.21599461712011991,0.1818267564377872,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8238994037328005,0.526937259711179,0.14961389961389962,1.0,1.0,1.0
30,0.22238452105316311,0.18361774375302897,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8330840480097962,0.5403295680742631,0.14961389961389962,1.0,1.0,1.0
31,0.18532388018478696,0.1574200956204778,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8389803536858844,0.5537058794672383,0.14961389961389962,1.0,1.0,1.0
32,0.22259769847255234,0.22961514612469636,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8472758860256144,0.5671143383930782,0.14961389961389962,1.0,1.0,1.0
33,0.1879557443512378,0.16154005726903042,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8525150681391921,0.5804934963719313,0.14961389961389962,1.0,1.0,1.0
34,0.18939864241468132,0.18761482984974892,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8575464702588966,0.5938394908133898,0.14961389961389962,1.0,1.0,1.0
35,0.21720021680595034,0.2427983149645844,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8643293832868592,0.6071876835709932,0.14961389961389962,1.0,1.0,1.0
36,0.20928849404593816,0.17872121487871598,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8701209700137462,0.6205182261355581,0.14961389961389962,1.0,1.0,1.0
37,0.15331030693690523,0.2393940002168797,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8714305715299099,0.6337416553048006,0.14961389961389962,1.0,1.0,1.0
38,0.2255599595636462,0.16583748968153242,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8779978802866916,0.6469641963574865,0.14961389961389962,1.0,1.0,1.0
39,0.18999411318601128,0.19809707691706055,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8815442945222419,0.6601254402843564,0.14961389961389962,1.0,1.0,1.0
40,0.2281142994752193,0.15430488474690124,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8876934407580175,0.6732780546966732,0.14961389961389962,1.0,1.0,1.0
41,0.15493652252820939,0.23437484955916008,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.888068804602212,0.6863066502417507,0.14961389961389962,1.0,1.0,1.0
42,0.1955664759637633,0.19622888880355344,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.891422532231101,0.6992720343839552,0.14961389961389962,1.0,1.0,1.0
43,0.2122199140519492,0.20933404672825245,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8958050416189294,0.7121954148724943,0.14961389961389962,1.0,1.0,1.0
44,0.20539419276768772,0.17556250369419102,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8994204598505435,0.7250618699207801,0.14961389961389962,1.0,1.0,1.0
45,0.15679442442107408,0.15089251924783695,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8992294252283576,0.7377958397261395,0.14961389961389962,1.0,1.0,1.0
