t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.15854628301613244,0.22025855239868555,0.2,0.8072656228243842,0.889828292722955,0.8044476571028405,0.7310070126589504,0.2722132647168531,0.6909173744447314,0.31728193103075064,0.26840191230694044,0.2053680382461388,0.18982483927627358,0.4224175985895142,0.4626632843445809,0.5958075818738254
1,0.20216336162514204,0.2440352389566118,0.2,0.8748047507612002,1.0,0.8549764034897721,0.7598029927734804,0.24767018893843912,0.8252558521591559,0.3401465905510178,0.29497887883368545,0.2112139354403511,0.1901278729114436,0.5682850897901608,0.6175466362358902,0.7273826725726458
2,0.17168921812482585,0.17557755134330394,0.2,0.9459465033380193,1.0,0.9126727979779633,0.787754859042821,0.2219375657069588,0.9481141461951781,0.35733312365416237,0.3227193403987536,0.21755618289392267,0.19012319651753665,0.6800999979417215,0.7329289062348942,0.8254587711702759
3,0.20872474913157574,0.2158450018240076,0.2,1.0,1.0,0.967199832185216,0.8148516180679343,0.19909059305428606,1.0,0.3792446035741109,0.35455260617247636,0.22447167318843297,0.19012711242987435,0.7881243482511577,0.8430421986140038,0.9190540907144347
4,0.1742390379110684,0.21842331280769556,0.2,1.0,1.0,1.0,0.841121619884651,0.1747638651309289,1.0,0.39491374422778946,0.38242202419854465,0.23187539694051953,0.19013039029367002,0.841121619884651,0.8925708027523314,0.961152584766064
5,0.1817338916026411,0.22775165878901124,0.2,1.0,1.0,1.0,0.8665910533559551,0.15151134654013781,1.0,0.4109470782406265,0.40990981625639417,0.23975483929624222,0.19013334020476885,0.8665910533559551,0.912545485443714,0.9781303275759647
6,0.15947196558923507,0.17232661163122498,0.2,1.0,1.0,1.0,0.891285210394393,0.127519104712237,1.0,0.4228604858078983,0.43450054107980074,0.24804730172487582,0.1901359884923226,0.891285210394393,0.9310647726198557,0.9938710596037967
7,0.22211704690197592,0.18580326796162933,0.2,1.0,1.0,1.0,0.9152284930010698,0.10789855324348388,1.0,0.4435938656096987,0.4634836159489223,0.25683650102660555,0.19013836618647273,0.9152284930010698,0.94979163359978,1.0
8,0.17083218655626184,0.23042812841588886,0.2,1.0,1.0,1.0,0.9384444542801872,0.08570325671385493,1.0,0.45561479860339194,0.487182110009444,0.2660117782165283,0.19014050093001197,0.9384444542801872,0.9665941653720911,1.0
9,0.20053311378733438,0.16497035560090131,0.2,1.0,1.0,1.0,0.9609558358173675,0.06585552194342834,1.0,0.47150504320560216,0.5125040135477511,0.27560174070531807,0.1901424175475743,0.9609558358173675,0.9831053226636852,1.0
10,0.19410661379422667,0.21639990529070052,0.2,1.0,1.0,1.0,0.9827846027471783,0.046127928734385586,1.0,0.4856504646721866,0.5364106285648781,0.2855739358695625,0.19014413832705082,0.9827846027471783,0.9986514390880489,1.0
11,0.16319585979616957,0.2151698291822797,0.2,1.0,1.0,1.0,1.0,0.025047443704406265,1.0,0.49446426987563885,0.5568136553061374,0.2958544696169896,0.19014568327898354,1.0,1.0,1.0
12,0.159842107650533,0.1837066225914564,0.2,1.0,1.0,1.0,1.0,0.0043004342411389895,1.0,0.5023453363840862,0.5760688180376533,0.30641730128157274,0.19014707036925682,1.0,1.0,1.0
13,0.15665664033535398,0.1704421697959893,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5093644184176833,0.5942209052847284,0.31723754637445156,0.1901483157280188,1.0,1.0,1.0
14,0.22823996268622862,0.19036757989472547,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5267789232071768,0.6177178435124153,0.3284195277809554,0.19014943383725502,1.0,1.0,1.0
15,0.22923461075681797,0.19386480517418042,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5434798712758812,0.640607781576223,0.3399474881346703,0.19015043769919607,1.0,1.0,1.0
16,0.1986024970378842,0.23725953820412102,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5547581116910351,0.6601830551331147,0.35175167435598587,0.19015133898751754,1.0,1.0,1.0
17,0.2049506800688236,0.16115314556567403,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5664310930722669,0.6795935843564231,0.36382602929955443,0.1901521481830903,1.0,1.0,1.0
18,0.1971267334445817,0.21337293711621885,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5763526023684752,0.6976489109151751,0.3761407472248624,0.19015287469586034,1.0,1.0,1.0
19,0.16449584297230682,0.159467249920222,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5808885821382773,0.7122288326205735,0.38862391640502525,0.19015352697427457,1.0,1.0,1.0
20,0.21998351364530788,0.20137814556974903,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5935255637926563,0.7308843273074781,0.4013553637871246,0.190154112603526,1.0,1.0,1.0
21,0.16550709680964396,0.1952600908459106,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5973634089508811,0.7442646027298261,0.4142271022038499,0.1901546383937601,1.0,1.0,1.0
22,0.16745503216072252,0.22982419005135096,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6013053006569675,0.7571677555640082,0.42722818629309156,0.19015511045926847,1.0,1.0,1.0
23,0.19003840998090527,0.160242802740026,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6079971677121812,0.7713788228354186,0.440383480886869,0.1901555342895904,1.0,1.0,1.0
24,0.2154502409691989,0.15895352384346098,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6158939332343375,0.7870959044232534,0.4537215641664654,0.19015590574134977,1.0,1.0,1.0
25,0.1724535006989715,0.15279974055418044,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6142615563975399,0.7983874818745934,0.46715209816229264,0.1901559081945536,1.0,1.0,1.0
26,0.2092272993396932,0.16138746193513104,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6187742746726955,0.8121137786342304,0.4807228527533543,0.19015491774711127,1.0,1.0,1.0
27,0.19206116472836948,0.15929836960523477,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6189472803311084,0.8236611541493892,0.4943888473088085,0.19015431888866918,1.0,1.0,1.0
28,0.1884349942051016,0.21853721303371548,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6184984838070395,0.834207012246715,0.5081290990806546,0.1901529819341221,1.0,1.0,1.0
