t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.18796565429508383,0.21574725026572555,0.2,0.8072012051460322,0.8912424093020485,0.8022677745837374,0.7479457143999999,0.25856222907552756,0.689784290939609,0.2494763424605725,0.27023975283872953,0.20540479505677461,0.18581726,0.43168511264017734,0.47075122538421493,0.6036842265765827
1,0.20331283768998704,0.1642600352925368,0.2,0.8748885198328809,1.0,0.8568166595504878,0.7928322031800527,0.21930436563287545,0.8155027580871836,0.20526439245824038,0.29634668330908925,0.21127768077238868,0.18620074285203803,0.5943221301262486,0.6399402333313692,0.7473990126186543
2,0.15086883544720542,0.18747544920633646,0.2,0.9469067501483364,1.0,0.9236444764118577,0.8364159230868354,0.177875275436971,0.9433119954889737,0.1553563291371289,0.3232780000795808,0.2176304639662564,0.18619037397424662,0.7315337068717082,0.7770763227321398,0.8639672808287572
3,0.1719238511582665,0.2310348052235084,0.2,1.0,1.0,0.9913846124436614,0.8786909464040232,0.1387453765686411,1.0,0.11110300587403475,0.35375417451451774,0.2245292428168842,0.18619065433522253,0.8711206833585066,0.9134230718957643,0.979861947527594
4,0.20524741224309476,0.21014570387277332,0.2,1.0,1.0,1.0,0.9196977510623491,0.10259313442628569,1.0,0.0740608536123949,0.38629473242879103,0.23200984503729116,0.18619064675462624,0.9196977510623491,0.9527218873145513,1.0
5,0.19465520382026785,0.2161321085872001,0.2,1.0,1.0,1.0,0.9594743507145874,0.06670916595138246,1.0,0.03728197849330729,0.41757150786014335,0.2400411767441211,0.1861906469595957,0.9594743507145874,0.9818763575053575,1.0
6,0.16162422357680822,0.194005479192477,0.2,1.0,1.0,1.0,0.9980576524006832,0.02974043787051954,1.0,0.0,0.44604838256830814,0.24856173262804604,0.1861906469540536,0.9980576524006832,1.0,1.0
7,0.1629813857911111,0.24059729815293227,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.47291534703090254,0.25753442224238365,0.18619064695420345,1.0,1.0,1.0
8,0.1547059461928693,0.23188201278420806,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.49756844633642633,0.26691044694668836,0.1861906469541994,1.0,1.0,1.0
9,0.1559687706908702,0.21869455040935418,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5208342010283569,0.2766580264977886,0.1861906469541995,1.0,1.0,1.0
10,0.1769599674233414,0.19046142831286492,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5442306356654966,0.2867760589461206,0.1861906469541995,1.0,1.0,1.0
11,0.21739226942500495,0.15186043003120028,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5691638012895838,0.29729157438245113,0.1861906469541995,1.0,1.0,1.0
12,0.1548627756951175,0.2415033643409947,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5880533990673058,0.30807972661997274,0.1861906469541995,1.0,1.0,1.0
13,0.1907140733142161,0.15909779890585835,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6084169756734625,0.3191672688672422,0.1861906469541995,1.0,1.0,1.0
14,0.22897071923244555,0.24467130187432706,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6303410259678576,0.33058241669792693,0.1861906469541995,1.0,1.0,1.0
15,0.1590022108917621,0.19232066122540936,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6458610386651306,0.34219381330425025,0.1861906469541995,1.0,1.0,1.0
16,0.1608055600759331,0.18125406941922684,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6605810026445519,0.35398349522409883,0.1861906469541995,1.0,1.0,1.0
17,0.19971615586171457,0.16635241283189814,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6772476168339178,0.3659886126085362,0.1861906469541995,1.0,1.0,1.0
