t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.18619036428078548,0.20597723860804962,0.2,0.8068074798742119,0.888430757257346,0.7992671264778821,0.7231641759999999,0.26085370444855294,0.6894679056835433,0.24876342711331456,0.27320842770431686,0.20546416855408633,0.1916804,0.4143070811819587,0.4521328190989122,0.5863927962340754
1,0.22393684672189834,0.19656500700997734,0.2,0.8735263075733466,1.0,0.8446367487155994,0.7441706673267519,0.2251522235795228,0.8185944500586569,0.20708940999402636,0.3049899958806157,0.21150932678615778,0.19202647872080003,0.5490583612110677,0.5923259600266279,0.7054704463424336
2,0.1906273018449817,0.2087384828849897,0.2,0.9434154477993211,1.0,0.8967754354946824,0.7646078117789417,0.1883363305190981,0.9467659417380001,0.1624469724787877,0.338987402046842,0.21817398155923304,0.19201208253817217,0.6468825225690458,0.6895235407712029,0.7880919890209794
3,0.16477282750839012,0.20119086390418056,0.2,1.0,1.0,0.9543887630562429,0.7844293107480674,0.1508899147714885,1.0,0.11616080226149088,0.37291764668910277,0.22545059467742276,0.19201268139057714,0.7486505195899092,0.7881878541730023,0.8719565056994076
4,0.20039061761734414,0.22929768725199529,0.2,1.0,1.0,1.0,0.8036562700388763,0.1165167123294289,1.0,0.07753151270661214,0.40955259725643406,0.2333871406757772,0.1920126564795148,0.8036562700388763,0.8364300552886279,0.912962382875455
5,0.15752987649833747,0.18034012626245255,0.2,1.0,1.0,1.0,0.822306416171076,0.08043119608423,1.0,0.034404580470208904,0.44237241097870655,0.24190071748859354,0.19201265751576516,0.822306416171076,0.8454550971812078,0.9206336682250854
6,0.15725364299934716,0.23096445343671776,0.2,1.0,1.0,1.0,0.8403970581015042,0.045231243710140145,1.0,0.0,0.47476924100319506,0.25097709513377153,0.19201265747265922,0.8403970581015042,0.8537013295534002,0.9276429657522254
7,0.2054750786032991,0.1541880336369846,0.2,1.0,1.0,1.0,0.8579449807664407,0.013804576282683001,1.0,0.0,0.5092547452114294,0.2606524190866624,0.19201265747445234,0.8579449807664407,0.8620902291931081,0.9347735304455288
8,0.22857547366390224,0.2464757781125567,0.2,1.0,1.0,1.0,0.8749664657517442,0.0,1.0,0.0,0.5436028736238205,0.27091795236827226,0.19201265747437773,0.8749664657517442,0.8749664657517442,0.9457183315203881
9,0.20231380268270724,0.21155627045785708,0.2,1.0,1.0,1.0,0.8914773061874756,0.0,1.0,0.0,0.5736940003765368,0.2816826528521203,0.19201265747438084,0.8914773061874756,0.8914773061874756,0.959752545890759
10,0.162599527611213,0.1515000736949605,0.2,1.0,1.0,1.0,0.9074928214101355,0.0,1.0,0.0,0.5986585809165278,0.29283899794192964,0.1920126574743807,0.9074928214101355,0.9074928214101355,0.9733657338300201
11,0.1922705012936383,0.15595511051688551,0.2,1.0,1.0,1.0,0.9230278711761156,0.0,1.0,0.0,0.6246065011442095,0.3044027379853945,0.19201265747438073,0.9230278711761156,0.9230278711761156,0.9865705261311031
12,0.16521666102383434,0.17419430136652148,0.2,1.0,1.0,1.0,0.9380968694491164,0.0,1.0,0.0,0.6467351875979718,0.3162934143575,0.19201265747438073,0.9380968694491164,0.9380968694491164,0.9993791746631537
13,0.15240660713798307,0.19639344612232845,0.2,1.0,1.0,1.0,0.9527137977739272,0.0,1.0,0.0,0.666464921025442,0.3284597786344339,0.19201265747438073,0.9527137977739272,0.9527137977739272,1.0
14,0.18524248933253254,0.23424271285185322,0.2,1.0,1.0,1.0,0.9668922182489936,0.0,1.0,0.0,0.687756748238573,0.34093031581286104,0.19201265747438073,0.9668922182489936,0.9668922182489936,1.0
15,0.19152992918112613,0.21402917079191772,0.2,1.0,1.0,1.0,0.9806452861098081,0.0,1.0,0.0,0.7082968485995389,0.3536869496267232,0.19201265747438073,0.9806452861098081,0.9806452861098081,1.0
16,0.18998185217654334,0.21624495318903683,0.2,1.0,1.0,1.0,0.9939857619347979,0.0,1.0,0.0,0.7274750860769621,0.3666995818519952,0.19201265747438073,0.9939857619347979,0.9939857619347979,1.0
17,0.1865863905279646,0.1778162899663886,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7452186861889742,0.3799369597572547,0.19201265747438073,1.0,1.0,1.0
18,0.22981249603704673,0.24956916416561992,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7655124232775699,0.3934478386252336,0.19201265747438073,1.0,1.0,1.0
19,0.21721724395942893,0.22078096214979495,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7835352669534724,0.4071840655780507,0.19201265747438073,1.0,1.0,1.0
20,0.17522217736124399,0.17296659016079058,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7969649317975085,0.42105152355822034,0.19201265747438073,1.0,1.0,1.0
21,0.17312319578513616,0.1570223499559926,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8094132908777111,0.4350292741401924,0.19201265747438073,1.0,1.0,1.0
22,0.21130303091283256,0.19003998049184911,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8243075105484947,0.44916513160976035,0.19201265747438073,1.0,1.0,1.0
