t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.1690371701673513,0.2044229225295952,0.2,0.8070582920287416,0.8890695069369877,0.8022192244748974,0.7260399999999999,0.08792223021004109,0.6774798917028114,0.2429110446659249,0.25255540785612346,0.2050511081571225,0.191,0.41792103665930486,0.43078162901747724,0.5684143846648557
1,0.17959641332384635,0.21039200385961945,0.2,0.8745925507770462,1.0,0.8548766641091968,0.7495869999999999,0.0,0.7997417334512438,0.19030902357202778,0.2558962569499038,0.21011852221454935,0.19140500000000002,0.5604427844984612,0.5604427844984612,0.678525116823692
2,0.20005762432864432,0.1565528859239813,0.2,0.9452377494168516,1.0,0.9064260862682623,0.772504621,0.0,0.9087472261574001,0.14340409818354521,0.25998303240128035,0.21521699764042945,0.191386775,0.6618728080261926,0.6618728080261926,0.7647451930722637
3,0.15105343932438992,0.233746908209646,0.2,1.0,1.0,0.9672200489563298,0.794731246975,0.0,1.0,0.09149388972884863,0.26403041250197923,0.22034543591406475,0.19138759512500003,0.7686799956062845,0.7686799956062845,0.8555310974840918
4,0.1707483211462406,0.17343309610466964,0.2,1.0,1.0,1.0,0.816291230158525,0.0,1.0,0.04513341954148946,0.26828027566568424,0.22550758706823779,0.19138755821937503,0.816291230158525,0.816291230158525,0.8960006560799025
5,0.22965158684083703,0.1970263507522448,0.2,1.0,1.0,1.0,0.8372044068270944,0.0,1.0,0.009926462916978088,0.2730484069357158,0.23071347933626973,0.19138755988012812,0.8372044068270944,0.8372044068270944,0.9137768558329982
6,0.2169169161019511,0.19763532086993352,0.2,1.0,1.0,1.0,0.8574901885114818,0.0,1.0,0.0,0.27745797998898214,0.23595550414268668,0.19138755980539424,0.8574901885114818,0.8574901885114818,0.931019770283411
7,0.20112545124353295,0.1650616424023524,0.2,1.0,1.0,1.0,0.8771673967311234,0.0,1.0,0.0,0.2814466431569542,0.2412248819643989,0.19138755980875727,0.8771673967311234,0.8771673967311234,0.9477453972692655
8,0.20078885266281507,0.2368045307143297,0.2,1.0,1.0,1.0,0.8962542887048154,0.0,1.0,0.0,0.28519265420889883,0.24651648622893288,0.19138755980860594,0.8962542887048154,0.8962542887048154,0.9639692554469416
9,0.1918544968306641,0.22412518562014905,0.2,1.0,1.0,1.0,0.9147685739192678,0.0,1.0,0.0,0.2886254544749885,0.2518238304561433,0.19138755980861274,0.9147685739192678,0.9147685739192678,0.9797063978792244
10,0.2037129180295674,0.15640314382269974,0.2,1.0,1.0,1.0,0.9327274305772879,0.0,1.0,0.0,0.2919696850949819,0.2571449858534815,0.19138755980861244,0.9327274305772879,0.9327274305772879,0.9949714260385416
11,0.21065841970294538,0.20910995829313178,0.2,1.0,1.0,1.0,0.9501475215355674,0.0,1.0,0.0,0.29518202234434215,0.26247717644183355,0.19138755980861244,0.9501475215355674,0.9501475215355674,1.0
12,0.17410141276125699,0.15310117514697502,0.2,1.0,1.0,1.0,0.9670450097650984,0.0,1.0,0.0,0.29783970499001805,0.2678091987772156,0.19138755980861244,0.9670450097650984,0.9670450097650984,1.0
13,0.21924217895831566,0.1972749088665467,0.2,1.0,1.0,1.0,0.9834355733477435,0.0,1.0,0.0,0.3007848202623043,0.27314680319468954,0.19138755980861244,0.9834355733477435,0.9834355733477435,1.0
14,0.20750591392526424,0.23788128002554818,0.2,1.0,1.0,1.0,0.9993344200229093,0.0,1.0,0.0,0.30343703959442614,0.27848407595463115,0.19138755980861244,0.9993344200229093,0.9993344200229093,1.0
15,0.2071303586888962,0.24210986675838747,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.30592640776978064,0.2838177633504804,0.19138755980861244,1.0,1.0,1.0
16,0.1815970723200595,0.23009087709852283,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3080136343195624,0.28913985840336687,0.19138755980861244,1.0,1.0,1.0
17,0.18556968448406086,0.24355867217045213,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3100149561367809,0.29444875894206884,0.19138755980861244,1.0,1.0,1.0
18,0.22030933282704332,0.15974543097308774,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.31224012116356176,0.2997490737759194,0.19138755980861244,1.0,1.0,1.0
19,0.1608775088160535,0.17169869412331373,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.31374340123102695,0.30502645106278076,0.19138755980861244,1.0,1.0,1.0
20,0.22723841111185622,0.19361618666274294,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.31581345742717276,0.3102924557006964,0.19138755980861244,1.0,1.0,1.0
21,0.20013186326934432,0.18010261984255055,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3174909554279089,0.31553935025224766,0.19138755980861244,1.0,1.0,1.0
22,0.19057943870632477,0.18858662588449027,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.318973234545427,0.32076342144063374,0.19138755980861244,1.0,1.0,1.0
23,0.1780728391016144,0.20850741074053636,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.32024276157980736,0.3259606424578236,0.19138755980861244,1.0,1.0,1.0
24,0.19674014343761592,0.24042017708477753,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3216209233050513,0.3311334544993464,0.19138755980861244,1.0,1.0,1.0
25,0.20455857093079732,0.2428945601200017,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.32299379775896314,0.3362819959095322,0.19138755980861244,1.0,1.0,1.0
26,0.21851204531174045,0.2490989644868815,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3244224391420116,0.3414076247332771,0.19138755980861244,1.0,1.0,1.0
27,0.20370188337300146,0.16630996219710698,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3256187414388836,0.346505923314722,0.19138755980861244,1.0,1.0,1.0
28,0.21885100264930146,0.24646329473090614,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.32689324187877866,0.3515787289191504,0.19138755980861244,1.0,1.0,1.0
29,0.2223756787609789,0.20691075034743237,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.32812616658578564,0.3566254649616746,0.19138755980861244,1.0,1.0,1.0
30,0.20710536161393595,0.17111249836755985,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3291339396706165,0.3616418891054702,0.19138755980861244,1.0,1.0,1.0
31,0.21652863442186832,0.2073532352351285,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33017453677115605,0.3666289609498386,0.19138755980861244,1.0,1.0,1.0
32,0.1727965969588964,0.15634605771452295,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3307197508747798,0.37157706635783583,0.19138755980861244,1.0,1.0,1.0
33,0.21831539907381442,0.24898060149215814,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33168288827312375,0.37649495345971995,0.19138755980861244,1.0,1.0,1.0
34,0.15708144744877828,0.2300595321257502,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3319820213064792,0.3813696443512523,0.19138755980861244,1.0,1.0,1.0
35,0.1828369461876727,0.16507653744528097,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33251818579534836,0.38620631162364677,0.19138755980861244,1.0,1.0,1.0
36,0.17351129974552498,0.22687918872773447,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33292985651510815,0.3910028456377124,0.19138755980861244,1.0,1.0,1.0
37,0.2198213619702561,0.15441900611295434,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3337752966077072,0.3957683231134895,0.19138755980861244,1.0,1.0,1.0
38,0.19916260228254468,0.15449402434960363,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33436548857384196,0.40049794965383145,0.19138755980861244,1.0,1.0,1.0
39,0.2074752381958813,0.18309541460190076,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3350025641175507,0.40519302143964414,0.19138755980861244,1.0,1.0,1.0
40,0.22047242457978863,0.24806357568433396,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3357300872738376,0.4098556929707245,0.19138755980861244,1.0,1.0,1.0
41,0.1904336298918435,0.24985089453757767,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3361165749733366,0.414479467540484,0.19138755980861244,1.0,1.0,1.0
42,0.17477360427810712,0.1576970704705412,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33632483915728967,0.41906116964822493,0.19138755980861244,1.0,1.0,1.0
43,0.19798102470372805,0.15313777621753177,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3367503609524192,0.42360556517079107,0.19138755980861244,1.0,1.0,1.0
44,0.16579078851427353,0.1907936135616991,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3368316681015654,0.4281061428811144,0.19138755980861244,1.0,1.0,1.0
45,0.1988373698373873,0.1656198991013565,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3372352579768616,0.43256978661184053,0.19138755980861244,1.0,1.0,1.0
46,0.15339486597769633,0.23677790339277224,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3371647516714291,0.4369873837791507,0.19138755980861244,1.0,1.0,1.0
47,0.17510644159328734,0.24586594264084552,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3373134203429169,0.4413637783482175,0.19138755980861244,1.0,1.0,1.0
48,0.22173277131420813,0.18777892394121828,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33791476955835253,0.44570843595590237,0.19138755980861244,1.0,1.0,1.0
49,0.18683277062767237,0.2020072984592564,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33813452781406533,0.45001404215262464,0.19138755980861244,1.0,1.0,1.0
50,0.20151109747101814,0.20956502384019707,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3384864160101845,0.45428363005130207,0.19138755980861244,1.0,1.0,1.0
51,0.19474088496123124,0.21201261354452622,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3387501658106896,0.45851579706700285,0.19138755980861244,1.0,1.0,1.0
52,0.22524970043391707,0.200702681594566,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.339300127896344,0.4627166416542597,0.19138755980861244,1.0,1.0,1.0
53,0.18449532427447463,0.22203112521441384,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33941362393288066,0.4668777477163747,0.19138755980861244,1.0,1.0,1.0
54,0.1690108495571827,0.18010868611741496,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33936701390752394,0.4709963105173614,0.19138755980861244,1.0,1.0,1.0
55,0.22822378531589083,0.2021127293281206,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33990940854769985,0.4750845355831418,0.19138755980861244,1.0,1.0,1.0
56,0.19387443741494897,0.1511457486364219,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.34007920096524585,0.4791352742466153,0.19138755980861244,1.0,1.0,1.0
57,0.18321682750431056,0.20799652137970656,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3401332954996238,0.48314658741414157,0.19138755980861244,1.0,1.0,1.0
58,0.15160423122436795,0.2115797941306257,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3398711796587676,0.48711254513317553,0.19138755980861244,1.0,1.0,1.0
59,0.20057444282368922,0.15600805106277232,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3401095958631961,0.4910436115991077,0.19138755980861244,1.0,1.0,1.0
60,0.7001872887208765,0.04662504296967079,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.03763006962598718,0.3450766718937607,0.49503470892099183,0.19138755980861244,1.0,1.0,1.0
61,0.7043425118430487,0.03525769830410474,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.07400191923900083,0.3495904520834906,0.4990761708734517,0.19138755980861244,1.0,1.0,1.0
62,0.706556019949272,0.07380342892520343,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.10888720258729727,0.35366693866200755,0.5031587479379573,0.19138755980861244,1.0,1.0,1.0
63,0.6517745975192648,0.00605768036457973,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.13381100840367777,0.3568219114123479,0.5072635986868247,0.19138755980861244,1.0,1.0,1.0
64,0.7040816247589902,0.09633055803862574,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.16533467801519808,0.36013519755143897,0.5113936666509852,0.19138755980861244,1.0,1.0,1.0
65,0.6700897822546776,0.045631212963637924,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.19018338777049548,0.36277898424871324,0.5155353096694496,0.19138755980861244,1.0,1.0,1.0
66,0.6974137500533192,0.032002538574800656,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.21788825720782423,0.365385044730396,0.5196876574673631,0.19138755980861244,1.0,1.0,1.0
67,0.6791164071471966,0.03126706611969108,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.2414632817373682,0.3675262927559477,0.5238413067478085,0.19138755980861244,1.0,1.0,1.0
68,0.6795323180221563,0.05956215058575365,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.26392194167167893,0.36942190665398317,0.5279913318134101,0.19138755980861244,1.0,1.0,1.0
69,0.6740323178692472,0.037716034132891686,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.28443266858633776,0.37103857579128346,0.5321321900111016,0.19138755980861244,1.0,1.0,1.0
70,0.7117818729955298,0.0026921205009330026,0.2,1.0,1.0,0.99991334106024,1.0,0.0,1.0,0.309580292424206,0.37289963536555293,0.5362688608183016,0.19138755980861244,0.99991334106024,0.99991334106024,1.0
71,0.6955406401656465,0.07351731816785095,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3310343501456983,0.3746040950720464,0.5403982541115595,0.19138755980861244,1.0,1.0,1.0
72,0.6748013356328074,0.0222537842793191,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3483048093011902,0.37609422856071484,0.5445161561416582,0.19138755980861244,1.0,1.0,1.0
73,0.7143046136315931,0.023869517689784195,0.2,1.0,1.0,0.9995349299648303,1.0,0.0,1.0,0.37063723719872527,0.3780066316028979,0.5486311272122995,0.19138755980861244,0.9995349299648303,0.9995349299648303,1.0
74,0.6649915472734353,0.0435234320532821,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.38445608374766,0.3793907128769684,0.5527326301977159,0.19138755980861244,1.0,1.0,1.0
75,0.705845312533988,0.010184169263187146,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.4037120527582309,0.38120018378333126,0.5568293075714054,0.19138755980861244,1.0,1.0,1.0
76,0.6757572787697012,0.03337536504486753,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.4174920182536302,0.38267762671472105,0.5609145670299858,0.19138755980861244,1.0,1.0,1.0
77,0.7166831113245847,0.043843073256138704,0.2,1.0,1.0,0.9991781553108817,1.0,0.0,1.0,0.4367218603574921,0.38457542995988164,0.5649969299588835,0.19138755980861244,0.9991781553108817,0.9991781553108817,1.0
78,0.718442815518791,0.016928423255643497,0.2,1.0,1.0,0.9981046826629693,1.0,0.0,1.0,0.45525416598529195,0.3864768605322454,0.5690764978699396,0.19138755980861244,0.9981046826629693,0.9981046826629693,1.0
79,0.6769368188035905,0.0650232376292495,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.4666339568244216,0.38791474677331805,0.5731440278267066,0.19138755980861244,1.0,1.0,1.0
80,0.7207918617537031,0.04511021842852225,0.2,1.0,1.0,0.9985618427465138,1.0,0.0,1.0,0.48402301456411173,0.38979442567692685,0.577208476061978,0.19138755980861244,0.9985618427465138,0.9985618427465138,1.0
81,0.6680022274178308,0.012091932471028646,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.4926241742664365,0.3910851527287865,0.581258094355934,0.19138755980861244,1.0,1.0,1.0
82,0.6923702102646715,0.019080380585149593,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5044504734106711,0.3926035412030972,0.5852975842364366,0.19138755980861244,1.0,1.0,1.0
83,0.7145421790100366,0.08384763790282257,0.2,1.0,1.0,0.9994992951580638,1.0,0.0,1.0,0.5190112529094987,0.394328957068822,0.5893311875354488,0.19138755980861244,0.9994992951580638,0.9994992951580638,1.0
84,0.6646869050644205,0.027859214201651262,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5253657023415426,0.39549159479747475,0.5933477075560438,0.19138755980861244,1.0,1.0,1.0
85,0.21457811345335628,0.21419372564966532,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.46388611056032464,0.39179640742984023,0.5972501586290802,0.19138755980861244,1.0,1.0,1.0
86,0.21450062729080438,0.18452828048875985,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.4054688754437848,0.3880067111216252,0.6010377912652218,0.19138755980861244,1.0,1.0,1.0
87,0.16037513102368853,0.17919428908705534,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3418536776430045,0.38356503211073445,0.6046987139947843,0.19138755980861244,1.0,1.0,1.0
88,0.21350895395873318,0.17711744939142526,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.2893893131725199,0.37974716653715024,0.6082466701855793,0.19138755980861244,1.0,1.0,1.0
89,0.17770834245334827,0.19169056958734898,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.23417807519975187,0.3761020875291307,0.6116862452343061,0.19138755980861244,1.0,1.0,1.0
90,0.18358169470330016,0.190952211644906,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.18260840196311495,0.3730123356843447,0.61502962949565,0.19138755980861244,1.0,1.0,1.0
91,0.22364899063901045,0.16559978589383592,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.13962730677866647,0.37073673309400546,0.6182940678625737,0.19138755980861244,1.0,1.0,1.0
92,0.15037294356665165,0.2443267835919109,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.08780385929258656,0.368152080409495,0.6214741687921378,0.19138755980861244,1.0,1.0,1.0
93,0.22039826013008385,0.24869136550287957,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.049075381665325504,0.3666248912992204,0.6245919249302009,0.19138755980861244,1.0,1.0,1.0
94,0.18474818501405207,0.2450161166383023,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.006935816652022725,0.36506395144298537,0.6276472847097586,0.19138755980861244,1.0,1.0,1.0
95,0.22419017715290707,0.17220907362723215,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.36402459711022006,0.6306513038048654,0.19138755980861244,1.0,1.0,1.0
96,0.20964184073011352,0.23366986792786454,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.362903575506835,0.6336028622769535,0.19138755980861244,1.0,1.0,1.0
