t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.2041700661440216,0.2284911356087111,0.2,0.8066431462341326,0.8884371148094077,0.7969492900783968,0.7260399999999999,0.3072030109928735,0.6783565047442451,0.3535455099216032,0.2768009525480946,0.20553601905096192,0.191,0.4146669070477694,0.45925232988923126,0.5926144804058466
1,0.1916372925762465,0.20114917024932602,0.2,0.8736238707878833,1.0,0.8478796468407839,0.7495869999999999,0.3135063802968587,0.7991433755142192,0.40258242831196006,0.3084595772515908,0.21164985040548412,0.19140500000000002,0.5552400036541801,0.616164952963753,0.72588896001919
2,0.18148277303407717,0.2496816937097899,0.2,0.9439551328823099,1.0,0.9023202519530606,0.772504621,0.319041436195714,0.921978609699326,0.44764213585147367,0.3446897132308114,0.2184271461660455,0.191386775,0.6579806821870747,0.7314537678289748,0.8238890089046285
3,0.17314919566196565,0.16482597931846948,0.2,1.0,1.0,0.9598614387052198,0.794731246975,0.32393816666477127,1.0,0.48919891982319486,0.38333665222840346,0.22590960774895313,0.19138759512500003,0.7628318781054169,0.8493205041288364,0.9240755297282609
4,0.17088628596524466,0.1760437193601329,0.2,1.0,1.0,1.0,0.816291230158525,0.3489038943136166,1.0,0.5283384237131468,0.4214240799552528,0.23407899327056866,0.19138755821937503,0.816291230158525,0.9159737463422518,0.9807307948360703
5,0.17618936119556886,0.17679108443447134,0.2,1.0,1.0,1.0,0.8372044068270944,0.3735636634179206,1.0,0.5663164138924401,0.45962460611081374,0.24293069546007923,0.19138755988012812,0.8372044068270944,0.9466666076624791,1.0
6,0.15861151502925167,0.18254997424572814,0.2,1.0,1.0,1.0,0.8574901885114818,0.3965522675186592,1.0,0.5997588276288531,0.4955942586705718,0.2524132736788899,0.19138755980539424,0.8574901885114818,0.9765040760317126,1.0
7,0.17488520564011373,0.20692400158763197,0.2,1.0,1.0,1.0,0.8771673967311234,0.41994257795380013,1.0,0.6339701742704784,0.5326259506147222,0.26254165995439543,0.19138755980875727,0.8771673967311234,1.0,1.0
8,0.166130474733797,0.157078771978915,0.2,1.0,1.0,1.0,0.8950177093466815,0.4422462520612071,1.0,0.6536429926233975,0.5669355621085878,0.2732549545970232,0.19168012590280167,0.8950177093466815,1.0,1.0
9,0.16620416230791304,0.20424425933927817,0.2,1.0,1.0,1.0,0.9116690453937053,0.4640093133089891,1.0,0.6656733015627155,0.5993844919487851,0.28451009489002865,0.19183709763546744,0.9116690453937053,1.0,1.0
