t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.19175871277699946,0.23066907771186793,0.2,0.8063438710620776,0.885591874904327,0.7952855126996936,0.6992973036216612,0.32729169367598915,0.6907705808734678,0.35244306328060365,0.27664585372108585,0.20553291707442173,0.19732713636711485,0.39713561617621607,0.44262833212929603,0.5769022982181229
1,0.22683958194591014,0.17896253777644655,0.2,0.8722609461748597,1.0,0.8345279147339165,0.6984647073746725,0.35600880484021324,0.8164903932698693,0.40753039029251376,0.31317972271099387,0.21174118235789738,0.19736285736711487,0.5084306963744104,0.5717827279705263,0.6866746044331687
2,0.2112885950238362,0.22042198668434126,0.2,0.9404604464280543,1.0,0.875417680572718,0.6976591067700069,0.38307489081906254,0.9436099324867664,0.4575306456291002,0.35403903944831067,0.21870455132328462,0.1973623799803057,0.5743797445410094,0.6513904048160643,0.7543412490985781
3,0.20291064457790642,0.1610162048917212,0.2,1.0,1.0,0.9168570170255359,0.6968776472175626,0.4089616481320808,1.0,0.5037741963975617,0.3964302523982618,0.22644611085801702,0.1973623863602549,0.6389371608596682,0.7303924388849691,0.82149297646216
4,0.15215494230324214,0.18841711045442977,0.2,1.0,1.0,0.9651971569283657,0.6961196318120728,0.4311558943689726,1.0,0.5400922142761689,0.4333759649844467,0.23484916904912578,0.19736238627499125,0.6718926895070334,0.7732843622195662,0.8579511113178835
5,0.20971161569331076,0.1752383767513222,0.2,1.0,1.0,1.0,0.6953843568639315,0.4562486848534374,1.0,0.5832278322694928,0.4757089034501346,0.24401485542763723,0.19736238627613073,0.6953843568639315,0.8064282262643193,0.8861233957556387
6,0.1901282136454427,0.18174350905457498,0.2,1.0,1.0,1.0,0.6946711401642987,0.47953915145291726,1.0,0.6212691590559685,0.515611248890943,0.2538869318511797,0.1973623862761155,0.6946711401642987,0.8112638433469251,0.8838529225590669
7,0.21770622473027393,0.24451939145048895,0.2,1.0,1.0,1.0,0.693979319965654,0.5039020370525,1.0,0.6572498209452818,0.5568514735841101,0.26448509200435016,0.19736238627611571,0.693979319965654,0.8163734775167046,0.8774019130365854
8,0.18212727495285355,0.2498447005087021,0.2,1.0,1.0,1.0,0.6933082543729687,0.5255211135254481,1.0,0.678828323517657,0.5922815785544161,0.27568587265539496,0.1973623862761157,0.6933082543729687,0.8208300984220323,0.8747164900344013
9,0.15497542330019573,0.23126090004416155,0.2,1.0,1.0,1.0,0.692657320748064,0.5449706019874129,1.0,0.6908973511636349,0.6230652485380453,0.2873903188996019,0.1973623862761157,0.692657320748064,0.8247745777187353,0.8744485891428055
10,0.22002532017026244,0.16509154802769802,0.2,1.0,1.0,1.0,0.6920259151319064,0.5678368470500326,1.0,0.7096830754851717,0.6583349931113353,0.2996831155728326,0.1973623862761157,0.6920259151319064,0.8295611499358017,0.872881458230851
11,0.20644548924735606,0.20588918686046748,0.2,1.0,1.0,1.0,0.6914134516842335,0.5893166461307123,1.0,0.7216987676230424,0.690226202209316,0.31249080846129057,0.1973623862761157,0.6914134516842335,0.8340249614369076,0.8730709903654298
12,0.2264150289808695,0.17100100094902224,0.2,1.0,1.0,1.0,0.6908193621399908,0.6114576226183859,1.0,0.7345991505405511,0.7221549497016667,0.325808999370711,0.1973623862761157,0.6908193621399908,0.8386617298314948,0.8708506041018991
13,0.1931970680496099,0.23824561068087002,0.2,1.0,1.0,1.0,0.6902430952820755,0.6298397708015252,1.0,0.7407371636095533,0.7488333341790533,0.3395275760605849,0.1973623862761157,0.6902430952820755,0.8424029888075047,0.8685128406741791
14,0.2011018544847837,0.18091995299583252,0.2,1.0,1.0,1.0,0.6896841164298976,0.6462918055243477,1.0,0.7478305868905394,0.7742406046659507,0.3536171123932981,0.1973623862761157,0.6896841164298976,0.8456921339270276,0.8658901800969132
15,0.1565491083307794,0.24397760470117152,0.2,1.0,1.0,1.0,0.689141906943285,0.6579187353168297,1.0,0.7473840667875653,0.793686942324033,0.36795468011584576,0.1973623862761157,0.689141906943285,0.8478316870977691,0.8655173703644392
16,0.18792787768851243,0.24963261827822233,0.2,1.0,1.0,1.0,0.6886159637412709,0.6699075789462046,1.0,0.7527159701831191,0.814570634269203,0.38256654600007134,0.1973623862761157,0.6886159637412709,0.8500741323240386,0.8634261090622272
17,0.1613285712496108,0.2312204252248064,0.2,1.0,1.0,1.0,0.6881057988353171,0.6787323132264096,1.0,0.7534205849118739,0.83154284533213,0.3973717374467132,0.1973623862761157,0.6881057988353171,0.8515696730411174,0.8627209873970767
