t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.1870405886252017,0.18733119313950422,0.2,0.8066549244323034,0.8874359526047464,0.7980142717062196,0.7146279999999999,0.19864789560404925,0.6798501262662421,0.35130008829378023,0.26396351641826377,0.2052792703283653,0.1937,0.40823994369014355,0.4366235456905904,0.5727050138370018
1,0.16108315300115641,0.23665618499863414,0.2,0.873868625969055,1.0,0.8507940675404528,0.7279783779999999,0.09740846089401742,0.8124996163355691,0.39616537082926473,0.2799759408893724,0.2108259964428691,0.19389845000000003,0.5412389971738433,0.5596914373655273,0.6772631092606982
2,0.15051480432648986,0.20027820800522084,0.2,0.9444845874509018,1.0,0.9059248858922825,0.7409546662929999,0.0,0.9361412562056077,0.437201386795775,0.2984529660737693,0.2166867957999158,0.193892198825,0.6339845912815232,0.6339845912815232,0.7404138528830447
3,0.22186383760255504,0.15808146471830012,0.2,1.0,1.0,0.9510367172153568,0.7535408336557704,0.0,1.0,0.486887980584811,0.322269777452959,0.2229653233909758,0.1938923957370125,0.7166450007277071,0.7166450007277071,0.8106751516842979
4,0.1943416374542629,0.21166500426836185,0.2,1.0,1.0,1.0,0.7657494422145231,0.0,1.0,0.5299619139178239,0.34445385373052134,0.22962474723167647,0.19389238953428412,0.7657494422145231,0.7657494422145231,0.8524139284987735
5,0.1532716612387849,0.18790196043954357,0.2,1.0,1.0,1.0,0.7775917916906819,0.0,1.0,0.5647216541753108,0.3641885515737286,0.23661227079083427,0.19389238972967004,0.7775917916906819,0.7775917916906819,0.862479925504662
6,0.20627843138349977,0.19520209204500258,0.2,1.0,1.0,1.0,0.7890788707085697,0.0,1.0,0.6056944229408922,0.3865506678376607,0.24397716143967915,0.1938923897235154,0.7890788707085697,0.7890788707085697,0.8705356157891377
7,0.2080052294865767,0.1657157161596626,0.2,1.0,1.0,1.0,0.8000743367791733,0.0,1.0,0.6427877065076998,0.4085923434608416,0.2517092366944992,0.1939271690397806,0.8000743367791733,0.8000743367791733,0.8687450820500421
8,0.1690409761973226,0.16109475279780147,0.2,1.0,1.0,1.0,0.8097868143444886,0.0,1.0,0.6584611406255958,0.4272443571204458,0.25973703146996313,0.19415267168721834,0.8097868143444886,0.8097868143444886,0.872242282083332
9,0.19050152413351856,0.24238297864122957,0.2,1.0,1.0,1.0,0.8188315061450289,0.0,1.0,0.6707488909040253,0.44606070422452465,0.26806087523975397,0.1942417280210864,0.8188315061450289,0.8188315061450289,0.8762216809467953
