t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.178921821993126,0.1980480665601294,0.2,0.8092978041111121,0.9048964952041237,0.8191241267010311,0.86552,0.3233753093195876,0.6775422625605662,0.34579827329896884,0.27592576895068927,0.2055185153790138,0.15800000000000003,0.5191992947523854,0.5779629761410578,0.7017685297198991
1,0.18335621012845318,0.19467592537839234,0.2,0.8806230437119452,1.0,0.9026838332812477,1.0,0.3464322991943051,0.7992065659201663,0.38997179115328834,0.3085952598050498,0.21163523542132467,0.15800000000000003,0.7949241847736984,0.8913097793294072,0.9681133124299962
2,0.1827612583959917,0.21577058263942708,0.2,0.9574700490180765,1.0,0.9850793870226302,1.0,0.368877167218207,0.9186887254416087,0.4318473903550227,0.3468836605219936,0.21845655627755128,0.15800000000000003,0.9431840089792545,1.0,1.0
3,0.17070843055120627,0.21349959241034844,0.2,1.0,1.0,1.0,1.0,0.39003774387082424,1.0,0.4698212854199525,0.3873911249279208,0.22601981321333417,0.15800000000000003,1.0,1.0,1.0
4,0.1508102698901876,0.1802043704799646,0.2,1.0,1.0,1.0,1.0,0.40947541646746494,1.0,0.502911761632483,0.42528510927952823,0.2342653172667914,0.15800000000000003,1.0,1.0,1.0
5,0.17680506805581753,0.16419505175328342,0.2,1.0,1.0,1.0,1.0,0.4299868351391274,1.0,0.5382469337592314,0.465387038883281,0.2432304048717891,0.15800000000000003,1.0,1.0,1.0
6,0.2094731400025534,0.18101082520349454,0.2,1.0,1.0,1.0,1.0,0.45194555266080244,1.0,0.5767155580716528,0.5083942975464062,0.2529659867739993,0.15800000000000003,1.0,1.0,1.0
7,0.21313935948631207,0.2456205037257012,0.2,1.0,1.0,1.0,1.0,0.4735752754134611,1.0,0.6138106840910169,0.5511872132236816,0.2634600711707329,0.15800000000000003,1.0,1.0,1.0
8,0.17028048039697008,0.23935407039073098,0.2,1.0,1.0,1.0,1.0,0.49209272235194285,1.0,0.6426222219460116,0.5887253479746453,0.27459997741851844,0.15800000000000003,1.0,1.0,1.0
9,0.21461094594362265,0.2167418968908161,0.2,1.0,1.0,1.0,1.0,0.5128070610497616,1.0,0.6766427527402544,0.6302370193925589,0.2864587180321845,0.15800000000000003,1.0,1.0,1.0
10,0.15218954829259454,0.19567883282802068,0.2,1.0,1.0,1.0,1.0,0.5292582574210732,1.0,0.6995990473471309,0.6643179120667173,0.298880489093197,0.15800000000000003,1.0,1.0,1.0
11,0.20013990026923545,0.17962256519901001,0.2,1.0,1.0,1.0,1.0,0.5481751950017005,1.0,0.7286000800201596,0.7026670917904572,0.31194502603807417,0.15800000000000003,1.0,1.0,1.0
12,0.16794684099117005,0.18097901892794863,0.2,1.0,1.0,1.0,1.0,0.5646876255861282,1.0,0.7513221021678271,0.7367551970582182,0.32556067971885777,0.15800000000000003,1.0,1.0,1.0
13,0.1706588038326986,0.22878252125228976,0.2,1.0,1.0,1.0,1.0,0.5809499631764369,1.0,0.7733148176343405,0.7702541069664167,0.33971015506099755,0.15800000000000003,1.0,1.0,1.0
14,0.1778224435414629,0.19231232741232457,0.2,1.0,1.0,1.0,1.0,0.5972355607095137,1.0,0.7952824432838429,0.803638534396364,0.3543858241983149,0.15800000000000003,1.0,1.0,1.0
15,0.20144178818003283,0.24483835441071128,0.2,1.0,1.0,1.0,1.0,0.6145311789825778,1.0,0.820857083665262,0.8387392418803297,0.3696167507939383,0.15800000000000003,1.0,1.0,0.9913366391039059
16,0.1734417596928808,0.15440066030830055,0.2,1.0,1.0,1.0,1.0,0.6297144050895862,1.0,0.8421676458430978,0.8701126744526323,0.3853228367750516,0.15800000000000003,1.0,1.0,0.9819068252291535
17,0.22791074996209448,0.23325705677266573,0.2,1.0,1.0,1.0,1.0,0.6477861899600722,1.0,0.8720287712420629,0.906608631878793,0.4016017810448769,0.15800000000000003,1.0,1.0,0.9693341306353668
18,0.213226495984901,0.20233726678272193,0.2,1.0,1.0,1.0,1.0,0.6645251249701645,1.0,0.899533317075308,0.9409463361906373,0.4184046899582409,0.15800000000000003,1.0,1.0,0.9577349798833747
19,0.16878403096788316,0.16545094051128195,0.2,1.0,1.0,1.0,1.0,0.6781790387039833,1.0,0.9200885789630437,0.9699339583490239,0.435619322225639,0.15800000000000003,1.0,1.0,0.9488376185702903
20,0.17433904666686528,0.19608823169290837,0.2,1.0,1.0,1.0,1.0,0.6918249055363956,1.0,0.9415409994578331,0.998890700438825,0.4532409430121591,0.15800000000000003,1.0,1.0,0.9396727190553711
21,0.15525855610624317,0.21992852202225763,0.2,1.0,1.0,1.0,1.0,0.7039847962643603,1.0,0.9600315166020267,1.0,0.4707085335820375,0.15800000000000003,1.0,1.0,0.9316935857665201
22,0.20823059669124785,0.15130677777911172,0.2,1.0,1.0,1.0,1.0,0.7190190121592261,1.0,0.9867460512483507,1.0,0.48800144824621716,0.15800000000000003,1.0,1.0,0.9206723821936497
23,0.217394270219977,0.1991531923517495,0.2,1.0,1.0,1.0,1.0,0.7342271930684441,1.0,1.0,1.0,0.505121433763755,0.15800000000000003,1.0,1.0,0.9136545613863113
24,0.2235012321709906,0.19750782228931774,0.2,1.0,1.0,1.0,1.0,0.7494215871719925,1.0,1.0,1.0,0.5220702194261174,0.15800000000000003,1.0,1.0,0.9106156825656015
25,0.21365906245883703,0.1954266412801748,0.2,1.0,1.0,1.0,1.0,0.7636455912402229,1.0,1.0,1.0,0.5388495172318563,0.15800000000000003,1.0,1.0,0.9077708817519555
26,0.1990421849955044,0.19992324013586324,0.2,1.0,1.0,1.0,1.0,0.7766369825589476,1.0,1.0,1.0,0.5554610220595377,0.15800000000000003,1.0,1.0,0.9051726034882106
27,0.151820341925671,0.1643949089252057,0.2,1.0,1.0,1.0,1.0,0.7864702785105142,1.0,1.0,1.0,0.5719064118389424,0.15800000000000003,1.0,1.0,0.9032059442978972
28,0.16858092541666422,0.1906216598278033,0.2,1.0,1.0,1.0,1.0,0.7970633770727512,1.0,1.0,1.0,0.588187347720553,0.15800000000000003,1.0,1.0,0.9010873245854498
29,0.17953991355480353,0.20392195362076082,0.2,1.0,1.0,1.0,1.0,0.8080491874592206,1.0,1.0,1.0,0.6043054742433476,0.15800000000000003,1.0,1.0,0.898890162508156
30,0.20274930277476708,0.1900010933010386,0.2,1.0,1.0,1.0,1.0,0.8201529159392261,1.0,1.0,1.0,0.6202624195009141,0.15800000000000003,1.0,1.0,0.8964694168121549
31,0.17554996459333702,0.20111224179603768,0.2,1.0,1.0,1.0,1.0,0.8303220909163457,1.0,1.0,1.0,0.636059795305905,0.15800000000000003,1.0,1.0,0.8944355818167309
32,0.2262212811790928,0.2282822837536531,0.2,1.0,1.0,1.0,1.0,0.8432773155141826,1.0,1.0,1.0,0.6516991973528459,0.15800000000000003,1.0,1.0,0.8918445368971636
33,0.2024322550475482,0.23169883494890667,0.2,1.0,1.0,1.0,1.0,0.8544813179291809,1.0,1.0,1.0,0.6671822053793174,0.15800000000000003,1.0,1.0,0.8896037364141639
34,0.16822488327025037,0.16009043209819157,0.2,1.0,1.0,1.0,1.0,0.8633527779771664,1.0,1.0,1.0,0.6825103833255243,0.15800000000000003,1.0,1.0,0.8878294444045668
35,0.15745022806033057,0.16215148437256596,0.2,1.0,1.0,1.0,1.0,0.8713559722113571,1.0,1.0,1.0,0.697685279492269,0.15800000000000003,1.0,1.0,0.8862288055577286
