t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.575424586962251,-0.1,0.2,0.8055230823097509,0.9044622408789204,0.7673493679486801,0.9239336862834803,0.26436696258307935,0.6198170466820202,0.23443957179106614,0.285145868546276,0.20570291737092553,0.14417972721999678,0.516538113221932,0.5643325774397389,0.6936377590187788
1,0.5362181433337714,-0.1,0.2,0.8686339498290127,1.0,0.7992964219238509,1.0,0.22751396071512647,0.6874107969521029,0.16663859279518742,0.3197409851462207,0.21204070790014068,0.14719968011066592,0.6942960080599117,0.7495827202057558,0.8503453921472259
2,0.6828444584562927,-0.1,0.2,0.9315567199415399,1.0,0.8087784919995309,1.0,0.20036679211559977,0.7407201012333721,0.12420200398904488,0.36286587843238216,0.21917761838978692,0.14703629654036693,0.7534230391663479,0.8062593742786593,0.8985613940017687
3,0.0,0.8,0.2,1.0,1.0,0.9205445578288199,1.0,0.13292834236560302,0.9590165375799632,0.0,0.3752025952572071,0.22648989411103318,0.14704513581435893,0.9205445578288199,0.9633728195798718,1.0
4,0.5187478292209924,-0.1,0.2,1.0,1.0,0.9528219821983598,1.0,0.09830068535527343,1.0,0.0,0.41617535285938556,0.23454850222711054,0.1470446575975801,0.9528219821983598,0.985604051053444,1.0
5,0.5349277117873095,-0.1,0.2,1.0,1.0,0.9821882615238,1.0,0.06550951479395552,1.0,0.0,0.4555742347798074,0.24331450190043558,0.14704468346976005,0.9821882615238,1.0,1.0
6,0.0,0.8,0.2,1.0,1.0,1.0,1.0,0.001442460677454363,1.0,0.0,0.4633668151110695,0.2521486931836526,0.14704468207003982,1.0,1.0,1.0
7,0.9134260623360191,-0.1,0.2,1.0,1.0,0.9718838565423088,1.0,0.0,1.0,0.00048358768822379106,0.5206107879381413,0.2620394220105789,0.1470446821457666,0.9718838565423088,0.9718838565423088,1.0
8,0.6116194823035073,-0.1,0.2,1.0,1.0,0.9894604422415646,1.0,0.0,1.0,0.0,0.5579359775692373,0.27257774734185786,0.14704468214166969,0.9894604422415646,0.9894604422415646,1.0
9,0.9738544712285029,-0.1,0.2,1.0,1.0,0.9524381308165711,1.0,0.0,1.0,0.009547849021631333,0.6125389046297295,0.2841027479610339,0.14704468214189134,0.9524381308165711,0.9524381308165711,1.0
10,0.6983402373253901,-0.1,0.2,1.0,1.0,0.9572982891484201,1.0,0.0,1.0,0.0,0.6490890857363506,0.2962435021961506,0.14704468214187935,0.9572982891484201,0.9572982891484201,1.0
11,0.5232913403088781,-0.1,0.2,1.0,1.0,0.9883428796577681,1.0,0.0,1.0,0.0,0.673877029575087,0.3087586077656908,0.14704468214188002,0.9883428796577681,0.9883428796577681,1.0
12,0.6448046431658381,-0.1,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7038203453556926,0.32174742859514777,0.14704468214187996,1.0,1.0,1.0
13,0.5588961190391841,-0.1,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.727270785142323,0.33507537001204274,0.14704468214187996,1.0,1.0,1.0
14,0.9080631795600157,-0.1,0.2,1.0,1.0,0.9726882889589037,1.0,0.0,1.0,0.0,0.7684017718484903,0.3490926517488921,0.14704468214187996,0.9726882889589037,0.9726882889589037,1.0
15,0.7908000818312331,-0.1,0.2,1.0,1.0,0.9633757182427412,1.0,0.0,1.0,0.0,0.800654592576115,0.3636148170829254,0.14704468214187996,0.9633757182427412,0.9633757182427412,1.0
16,0.6861987713628657,-0.1,0.2,1.0,1.0,0.9698930326575762,1.0,0.0,1.0,0.0,0.8252541067920156,0.37848375104793647,0.14704468214187996,0.9698930326575762,0.9698930326575762,1.0
17,0.5313944874866616,-0.1,0.2,1.0,1.0,0.9995332299376195,1.0,0.0,1.0,0.0,0.839915116168291,0.3934972158608229,0.14704468214187996,0.9995332299376195,0.9995332299376195,1.0
18,0.0,0.8,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.824647243616244,0.4080551885745396,0.14704468214187996,1.0,1.0,1.0
19,0.8401999865908929,-0.1,0.2,1.0,1.0,0.9828677679042721,1.0,0.0,1.0,0.0,0.8562258321901015,0.42309915333259623,0.14704468214187996,0.9828677679042721,0.9828677679042721,1.0
20,0.6570735851883958,-0.1,0.2,1.0,1.0,0.9934614795003548,1.0,0.0,1.0,0.0,0.8758989140365153,0.4383861400800006,0.14704468214187996,0.9934614795003548,0.9934614795003548,1.0
21,0.7265921881853876,-0.1,0.2,1.0,1.0,0.9934684949729474,1.0,0.0,1.0,0.0,0.8981919162727289,0.45396611700465517,0.14704468214187996,0.9934684949729474,0.9934684949729474,1.0
22,0.8971897407612456,-0.1,0.2,1.0,1.0,0.9678857723270724,1.0,0.0,1.0,0.0,0.928473227494677,0.46999592038450216,0.14704468214187996,0.9678857723270724,0.9678857723270724,1.0
23,0.6220482553610764,-0.1,0.2,1.0,1.0,0.9839580133309109,1.0,0.0,1.0,0.0,0.9418967702627377,0.4861338965859119,0.14704468214187996,0.9839580133309109,0.9839580133309109,1.0
24,0.7625982519057257,-0.1,0.2,1.0,1.0,0.9787066712379945,1.0,0.0,1.0,0.0,0.9621982093034853,0.5025165218061224,0.14704468214187996,0.9787066712379945,0.9787066712379945,1.0
25,0.8647226447196088,-0.1,0.2,1.0,1.0,0.9582154403543893,1.0,0.0,1.0,0.0,0.9868642960412853,0.5192286425088869,0.14704468214187996,0.9582154403543893,0.9582154403543893,1.0
26,0.9900874237462911,-0.1,0.2,1.0,1.0,0.9192268610800359,1.0,0.0,1.0,0.011982791899298156,1.0,0.5360363560837981,0.14704468214187996,0.9192268610800359,0.9192268610800359,0.9945816613825604
27,0.7090614108926137,-0.1,0.2,1.0,1.0,0.9229770124228494,1.0,0.0,1.0,0.0,1.0,0.5526759925229601,0.14704468214187996,0.9229770124228494,0.9229770124228494,0.9977692900239519
28,0.5759922673302524,-0.1,0.2,1.0,1.0,0.9466312830298748,1.0,0.0,1.0,0.0,1.0,0.5691492325977305,0.14704468214187996,0.9466312830298748,0.9466312830298748,1.0
29,0.5196036285237189,-0.1,0.2,1.0,1.0,0.9783890353987749,1.0,0.0,1.0,0.0,1.0,0.5854577402717532,0.14704468214187996,0.9783890353987749,0.9783890353987749,1.0
30,0.8822854331064065,-0.1,0.2,1.0,1.0,0.9552681507947383,1.0,0.0,1.0,0.0,1.0,0.6016031628690357,0.14704468214187996,0.9552681507947383,0.9552681507947383,1.0
31,0.9377389059154442,-0.1,0.2,1.0,1.0,0.9241760585384067,1.0,0.0,1.0,0.004130514224671117,1.0,0.6175871312403454,0.14704468214187996,0.9241760585384067,0.9241760585384067,0.9987884792221755
32,0.8476476831368296,-0.1,0.2,1.0,1.0,0.9070640310827122,1.0,0.0,1.0,0.0,1.0,0.6334112599279419,0.14704468214187996,0.9070640310827122,0.9070640310827122,0.9842432558848353
33,0.7899476021412462,-0.1,0.2,1.0,1.0,0.8988636961881906,1.0,0.0,1.0,0.0,1.0,0.6490771473286625,0.14704468214187996,0.8988636961881906,0.8988636961881906,0.9772729712244921
34,0.9199838902562707,-0.1,0.2,1.0,1.0,0.8712809230998332,1.0,0.0,1.0,0.0014672618757951283,1.0,0.6645863758553759,0.14704468214187996,0.8712809230998332,0.8712809230998332,0.9538276140993882
35,0.7370491687098222,-0.1,0.2,1.0,1.0,0.8715520998397683,1.0,0.0,1.0,0.0,1.0,0.6799405120968222,0.14704468214187996,0.8715520998397683,0.8715520998397683,0.9540581143283331
36,0.5303347137986099,-0.1,0.2,1.0,1.0,0.9028263771652865,1.0,0.0,1.0,0.0,1.0,0.695141106975854,0.14704468214187996,0.9028263771652865,0.9028263771652865,0.9806412500550235
37,0.8235644272638344,-0.1,0.2,1.0,1.0,0.8896470833111381,1.0,0.0,1.0,0.0,1.0,0.7101896959060955,0.14704468214187996,0.8896470833111381,0.8896470833111381,0.9694388502789972
38,0.9109623933048574,-0.1,0.2,1.0,1.0,0.8635557839586484,1.0,0.0,1.0,0.00011403733308310016,1.0,0.7250877989470346,0.14704468214187996,0.8635557839586484,0.8635557839586484,0.9472612458293811
39,0.6928957212233554,-0.1,0.2,1.0,1.0,0.8705658549086714,1.0,0.0,1.0,0.0,1.0,0.7398369209575643,0.14704468214187996,0.8705658549086714,0.8705658549086714,0.9532198061369007
40,0.5112814640277943,-0.1,0.2,1.0,1.0,0.9047129133737782,1.0,0.0,1.0,0.0,1.0,0.7544385517479887,0.14704468214187996,0.9047129133737782,0.9047129133737782,0.9822448058322415
