t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8512927619934277,-0.1,0.2,0.7992801776330843,0.8781667436310979,0.7014638448576075,0.738047610735799,0.304853299531578,0.5955486249088516,0.40840829522359345,0.32077642810750384,0.2064155285621501,0.18815908263348602,0.36338391429003036,0.4021564891338359,0.5447932451053891
1,0.9701761947830589,-0.1,0.2,0.8497258203062175,0.9997648466844132,0.6399610556844573,0.7727471323377666,0.31754691204748925,0.6292603721553904,0.5304178111796394,0.4029002818565305,0.2144093789136592,0.18868116326718262,0.42011445590105273,0.46680657276331433,0.5996152960320215
2,0.6278877567165195,-0.1,0.2,0.8990046637889708,1.0,0.6346841348418328,0.8058066867292837,0.31023195071041443,0.6890211112295511,0.5961955812585222,0.45905541157872515,0.2234463933560971,0.18882287814787463,0.4597804003293468,0.5097039000017528,0.6360425954645212
3,0.8292250091200379,-0.1,0.2,0.9450142077701544,1.0,0.6030576742252276,0.8372961486562486,0.31593672666403383,0.7302834217092088,0.6899689724983243,0.5329381467208938,0.23387069235695399,0.1889597012944377,0.47717345934499844,0.5299382766237427,0.6262169180570746
4,0.8421165640384778,-0.1,0.2,0.9879745114019542,1.0,0.5735689593544023,0.8673228999199821,0.3229517808950919,0.7677413724548879,0.7513712686365134,0.6075623777208404,0.24568323298780123,0.18908226284146193,0.49148717941382,0.5470415103713996,0.6223033375143701
5,0.8887582939450562,-0.1,0.2,1.0,1.0,0.5409830451901728,0.8961576821540034,0.3329794248634596,0.7992042600557904,0.7963808518653964,0.6826178476097899,0.258878757610119,0.18915115081270806,0.48480611186223976,0.5413067729666023,0.603908713758816
6,0.6116330581561248,-0.1,0.2,1.0,1.0,0.5538129504576481,0.924141656708013,0.32612227074127026,0.851019059567701,0.782258455654132,0.729299768883366,0.27287596541168513,0.189147782724299,0.5118016175422836,0.5702200845309643,0.6327225894740053
7,0.6790163398081466,-0.1,0.2,1.0,1.0,0.5596351498993073,0.9515508503609674,0.3231433966604981,0.8955499422989439,0.7832697242446988,0.7807600513319627,0.28776240678420756,0.189085147471405,0.5325213027785733,0.5927495626794529,0.651584924136274
8,0.9021406420794442,-0.1,0.2,1.0,1.0,0.5351108919768565,0.9782825825656825,0.3334324708845624,0.920436921499028,0.8170773557916542,0.8473603066638669,0.3038319888496428,0.18905088539853063,0.523489665362145,0.5845816237736265,0.6345084521204536
9,0.5748517780045066,-0.1,0.2,1.0,1.0,0.5626555608364454,1.0,0.3236452112751548,0.9700903521384918,0.7883462760817275,0.8834664812443282,0.3204629985860329,0.1890180212016449,0.5626555608364454,0.6263908330881636,0.6786738200000095
10,0.8319995264535025,-0.1,0.2,1.0,1.0,0.5512188569809624,1.0,0.3291017428413948,0.9975473327799225,0.8087768177279847,0.9401300590552099,0.33806096978127675,0.18893882949821986,0.5512188569809624,0.614711337262779,0.6626368839804119
11,0.8258491459113985,-0.1,0.2,1.0,1.0,0.5408776177977558,1.0,0.3338942590264705,1.0,0.8200897237621062,0.9910064658919001,0.35650048940130197,0.18891168883565063,0.5408776177977558,0.6040861937942602,0.6502184253875766
12,0.6685331129572819,-0.1,0.2,1.0,1.0,0.5542916853860553,1.0,0.3288252484974263,1.0,0.8029594736588752,1.0,0.374935484507289,0.18885602402283758,0.5542916853860553,0.6180844708015497,0.6672699520779453
13,0.0,0.8,0.2,1.0,1.0,0.6677878221758001,1.0,0.2834066867117333,1.0,0.6917081819102382,0.9844829893687582,0.39287578944959123,0.18878975858928781,0.6677878221758001,0.7340272591140508,0.7992132760265497
14,0.9889997667889289,-0.1,0.2,1.0,1.0,0.6312332111696183,1.0,0.2982747578946738,1.0,0.7719243707536231,1.0,0.4109470315550953,0.18875657310411253,0.6312332111696183,0.6971315378024616,0.7437953526299773
15,0.9952163172301123,-0.1,0.2,1.0,1.0,0.5942891526643467,1.0,0.31370482369493313,1.0,0.8225919981247555,1.0,0.42883756123954436,0.18886225506421175,0.5942891526643467,0.6595401335154797,0.696615950284678
16,0.8037656064867764,-0.1,0.2,1.0,1.0,0.5866169194311575,1.0,0.3172734730616578,1.0,0.8247979261831466,1.0,0.44654918562714896,0.18886109940415058,0.5866169194311575,0.6517582150157863,0.6893398300574367
17,0.8434417504301477,-0.1,0.2,1.0,1.0,0.5731119542897426,1.0,0.32274685996855235,1.0,0.8315410994103795,1.0,0.4640836937708775,0.18878897570850536,0.5731119542897426,0.6378514835698518,0.6755141872841338
18,0.7945420840286356,-0.1,0.2,1.0,1.0,0.5671478177792122,1.0,0.3247833789602371,1.0,0.8277950892581168,1.0,0.48144285683316873,0.1887228918377793,0.5671478177792122,0.6316178823991022,0.671355950302357
19,0.5905990185769177,-0.1,0.2,1.0,1.0,0.5918680963810682,1.0,0.3141470937866813,1.0,0.79436658306239,1.0,0.498628428264837,0.1886530268983655,0.5918680963810682,0.656944871215177,0.7029299088895921
20,0.0,0.8,0.2,1.0,1.0,0.704810253883459,1.0,0.26802587796017824,1.0,0.6849342322138197,0.9843759377043267,0.5153296627362752,0.18859642103786273,0.704810253883459,0.7709278393658165,0.8326592885373325
21,0.7568907278487451,-0.1,0.2,1.0,1.0,0.7025247008205844,1.0,0.26845840637740714,1.0,0.7316958802361985,1.0,0.5321763661089125,0.1885958015462219,0.7025247008205844,0.768534232388655,0.8165963830729418
22,0.7263004542295528,-0.1,0.2,1.0,1.0,0.7048555965287794,1.0,0.2677277796810358,1.0,0.7566105175375621,1.0,0.5488546024478234,0.18872331290126557,0.7048555965287794,0.7709038948778201,0.8111043271595619
23,0.8991209502567548,-0.1,0.2,1.0,1.0,0.6812252658119461,1.0,0.277747521808438,1.0,0.7982513516741159,1.0,0.5653660564233451,0.18878708460776922,0.6812252658119461,0.7474482860923429,0.7786588665243144
24,0.55121401370013,-0.1,0.2,1.0,1.0,0.7101340210161119,1.0,0.26680399448207015,1.0,0.7716977751598596,1.0,0.5817123958591117,0.18881527507271023,0.7101340210161119,0.7764473287147615,0.8112670780914119
25,0.5447676192173048,-0.1,0.2,1.0,1.0,0.7395776769363075,1.0,0.25558341639723436,1.0,0.754298390366931,1.0,0.5978952719005206,0.18878381763934055,0.7395776769363075,0.8057360032131865,0.841390131211294
26,0.5139987027709021,-0.1,0.2,1.0,1.0,0.7731944632850457,1.0,0.24285115923593598,1.0,0.7391467100835609,1.0,0.6139163191815155,0.18879486163163595,0.7731944632850457,0.838914373388299,0.8741344889470769
27,0.5569373096756551,-0.1,0.2,1.0,1.0,0.7998646185510627,1.0,0.23318555098322832,1.0,0.7365914189116354,1.0,0.6297771559897003,0.18882662666718109,0.7998646185510627,0.8651455236771495,0.8971896127852912
28,0.5464918480261738,-0.1,0.2,1.0,1.0,0.8276992054647778,1.0,0.2233903734078821,1.0,0.7338319221328894,1.0,0.6454793844298033,0.18887333208185714,0.8276992054647778,0.8924142175671422,0.9211841752717397
29,0.8426860651685775,-0.1,0.2,1.0,1.0,0.8106849178197275,1.0,0.23185771956003698,1.0,0.776930160957767,1.0,0.6610245905855053,0.18891779575583995,0.8106849178197275,0.8764721625343167,0.894692840927879
30,0.7275834504869751,-0.1,0.2,1.0,1.0,0.8111890808472769,1.0,0.23344562795871274,1.0,0.7862962228495117,1.0,0.6764143446796503,0.18896091264216908,0.8111890808472769,0.8774680713773523,0.8927187656553536
31,0.7185212910834463,-0.1,0.2,1.0,1.0,0.8130458391463866,1.0,0.23436793027280872,1.0,0.7905324599581932,1.0,0.6916502012328538,0.18894423651328518,0.8130458391463866,0.8797389938345669,0.8933823476436026
32,0.5474271150543484,-0.1,0.2,1.0,1.0,0.8405401957842232,1.0,0.22485695216599566,1.0,0.7672453266597001,1.0,0.7067336992205253,0.18891777033630563,0.8405401957842232,0.9066906530931906,0.9232840145472255
33,0.618131665323806,-0.1,0.2,1.0,1.0,0.8570179291224471,1.0,0.21966361097542325,1.0,0.7634131929312685,1.0,0.72166636222832,0.18888827852883844,0.8570179291224471,0.9229074076660477,0.9382252690045503
34,0.9695101100543781,-0.1,0.2,1.0,1.0,0.8205414257481939,1.0,0.23571048257629978,1.0,0.8138220068266896,1.0,0.7364496986060368,0.1888943585851963,0.8205414257481939,0.888235001151127,0.8936295592841519
35,0.0,0.8,0.2,1.0,1.0,0.9300381064317412,1.0,0.19323802136386237,1.0,0.6992199993303827,0.9844596220954819,0.7507743940618861,0.18890395860459508,0.9300381064317412,0.9929396596496933,1.0
36,0.8517354364200864,-0.1,0.2,1.0,1.0,0.9101351947002505,1.0,0.2025930616218155,1.0,0.7565882446288311,1.0,0.7652666501212673,0.18884049344003362,0.9101351947002505,0.9746706711546824,0.9842834737328223
37,0.509552999680305,-0.1,0.2,1.0,1.0,0.9418536513579074,1.0,0.19165930029537875,1.0,0.740937466955114,1.0,0.7796139836200546,0.18893130939587116,0.9418536513579074,1.0,1.0
38,0.9719661548258396,-0.1,0.2,1.0,1.0,0.9037337382370565,1.0,0.20882517013351898,1.0,0.8008692042493017,1.0,0.7938178437838541,0.18894370253212656,0.9037337382370565,0.9697865613120206,0.9668218902073953
39,0.6737452585612398,-0.1,0.2,1.0,1.0,0.9109171184325753,1.0,0.20784641564611703,1.0,0.7929491097361658,1.0,0.8078796653460156,0.18897649893479065,0.9109171184325753,0.9771829187384904,0.9754766232731694
40,0.9695679749214792,-0.1,0.2,1.0,1.0,0.8736219547945122,1.0,0.2243668061295262,1.0,0.8320977373930876,1.0,0.8218008686925555,0.18892421246705152,0.8736219547945122,0.9422260735111695,0.9340317881498048
41,0.6511425954478862,-0.1,0.2,1.0,1.0,0.8846516733174524,1.0,0.22118340209791973,1.0,0.8079491957968539,1.0,0.83558286000563,0.18889125675918594,0.8846516733174524,0.9531362666890424,0.9505582537568336
42,0.8142087703938887,-0.1,0.2,1.0,1.0,0.8710604807122768,1.0,0.22738006545667813,1.0,0.8169858717761027,1.0,0.8492270314055737,0.18880203892661074,0.8710604807122768,0.9403821069046558,0.9370285196044739
43,0.6280368272042277,-0.1,0.2,1.0,1.0,0.8856010118866435,1.0,0.22201544995900815,1.0,0.7942343086185552,1.0,0.8627347610915179,0.1887607506863012,0.8856010118866435,0.9544169993850017,0.9557939692201095
44,0.51738940996077,-0.1,0.2,1.0,1.0,0.9165231449218143,1.0,0.20986093174540177,1.0,0.7633502104146842,1.0,0.8761074134806027,0.18870880584828018,0.9165231449218143,0.9838429853276456,0.9900842729420235
45,0.9914528876556621,-0.1,0.2,1.0,1.0,0.8758725395050463,1.0,0.2263795274550674,1.0,0.8155136295918312,1.0,0.8893463393457968,0.1886965018918313,0.8758725395050463,0.9452704035664541,0.9416516286809788
46,0.6412919630168843,-0.1,0.2,1.0,1.0,0.8883542874453583,1.0,0.22163895044274834,1.0,0.7950433338808451,1.0,0.9024528759523388,0.18872739029159463,0.8883542874453583,0.9572671566071049,0.9579822353788869
47,0.6791378669060562,-0.1,0.2,1.0,1.0,0.8949743317495815,1.0,0.21903472887797368,1.0,0.7878710102211304,1.0,0.9154283471928154,0.18867922696376033,0.8949743317495815,0.9635849927872119,0.9655161340618509
48,0.5175698658691578,-0.1,0.2,1.0,1.0,0.92573080000378,1.0,0.206737326940923,1.0,0.7591687194767242,1.0,0.9282740637208873,0.18866873778368232,0.92573080000378,0.9927148888746624,0.9988898552545252
49,0.5995195470816695,-0.1,0.2,1.0,1.0,0.9437334722102438,1.0,0.19966225870643378,1.0,0.7539497930984662,1.0,0.9409913230836784,0.18866867462458137,0.9437334722102438,1.0,1.0
50,0.9364904817218597,-0.1,0.2,1.0,1.0,0.9109185154080812,1.0,0.21319112994832123,1.0,0.8016110248028399,1.0,0.9535814098528417,0.1887076492146007,0.9109185154080812,0.9788884270648248,0.9743949432605988
51,0.6243003130251619,-0.1,0.2,1.0,1.0,0.92542227844913,1.0,0.20787435458753295,1.0,0.7841767256893943,1.0,0.9660455957543133,0.1887482454811134,0.92542227844913,0.9927523240478682,0.9913993963635913
52,0.9585695055575043,-0.1,0.2,1.0,1.0,0.8895695927461093,1.0,0.22259410383648254,1.0,0.823463637259383,1.0,0.9783851397967701,0.18871851385316296,0.8895695927461093,0.958874123950236,0.950824285716595
53,0.8807940702719577,-0.1,0.2,1.0,1.0,0.8659209876179115,1.0,0.23227706962368852,1.0,0.8357591002202054,1.0,0.9906012883988025,0.18871901392425042,0.8659209876179115,0.9363177439532501,0.9279625988131383
54,0.780556689655918,-0.1,0.2,1.0,1.0,0.8576656523422272,1.0,0.23538944111459814,1.0,0.8277734915855007,1.0,1.0,0.188660340260558,0.8576656523422272,0.9283255558410357,0.9235795899240907
55,0.9711556612966107,-0.1,0.2,1.0,1.0,0.8209478102479058,1.0,0.24947418916998754,1.0,0.8509394968508309,1.0,1.0,0.18859016229392792,0.8209478102479058,0.8926296615072713,0.8863058226524493
56,0.7540754364601712,-0.1,0.2,1.0,1.0,0.8173452694113307,1.0,0.24990245968076497,1.0,0.8321082614216104,1.0,1.0,0.18854016427661566,0.8173452694113307,0.8888350770433459,0.8887422959912068
57,0.6832349616670665,-0.1,0.2,1.0,1.0,0.8244269458982834,1.0,0.2456210886043902,1.0,0.8093526146442807,1.0,1.0,0.18845800443634678,0.8244269458982834,0.8953007712724986,0.9010853700792529
58,0.9799879803808333,-0.1,0.2,1.0,1.0,0.7868915773713779,1.0,0.25900971742886214,1.0,0.8396376388073834,1.0,1.0,0.18841534562612292,0.7868915773713779,0.8582259751571172,0.8604969508348038
59,0.886720288209215,-0.1,0.2,1.0,1.0,0.7639096052105331,1.0,0.26643775866720454,1.0,0.8440786506630372,1.0,1.0,0.18841110537784028,0.7639096052105331,0.8351466322733583,0.8395482658889833
60,0.9576454347086965,-0.1,0.2,1.0,1.0,0.7306361798256067,1.0,0.27765745894192834,1.0,0.8570279645685484,1.0,1.0,0.18835932200927605,0.7306361798256067,0.8016394846111022,0.8071953420465534
61,0.6236548522232581,-0.1,0.2,1.0,1.0,0.7479630523501145,1.0,0.26826903723158796,1.0,0.8144155998236284,1.0,1.0,0.18830713889238648,0.7479630523501145,0.8181924171286822,0.8340620898891946
62,0.7344617984203747,-0.1,0.2,1.0,1.0,0.7484123640293566,1.0,0.26539243454375466,1.0,0.8045111716470766,1.0,1.0,0.18823945544900078,0.7484123640293566,0.8179304067956958,0.8368276304199683
63,0.6313763104645553,-0.1,0.2,1.0,1.0,0.7643174015621361,1.0,0.2564296910272428,1.0,0.7830454441038269,1.0,1.0,0.1882466087419381,0.7643174015621361,0.8329151878573995,0.856002624262157
64,0.6003214309161918,-0.1,0.2,1.0,1.0,0.7846411304195384,1.0,0.24593232245521723,1.0,0.7654429659288523,1.0,1.0,0.1882659096347361,0.7846411304195384,0.8521801458438258,0.8776537567799122
65,0.5703202680183946,-0.1,0.2,1.0,1.0,0.8091577716664935,1.0,0.23415835539255625,1.0,0.750579238385787,1.0,1.0,0.18831403187985304,0.8091577716664935,0.8754726402397797,0.9018994647181133
66,0.7236893405231746,-0.1,0.2,1.0,1.0,0.8102979765454525,1.0,0.23224526801060225,1.0,0.7650397371024371,1.0,1.0,0.18838054935134674,0.8102979765454525,0.876163731301389,0.8981321131376128
67,0.6902529822691992,-0.1,0.2,1.0,1.0,0.8164326119209413,1.0,0.22880495266846396,1.0,0.7694628081438122,1.0,1.0,0.1884589527189914,0.8164326119209413,0.8818139507155877,0.901588277485358
68,0.6283905755873493,-0.1,0.2,1.0,1.0,0.8317520350450434,1.0,0.22202558097905434,1.0,0.7632922053383656,1.0,1.0,0.18851002717962886,0.8317520350450434,0.8963866151290285,0.9158134544632573
69,0.7125030697088776,-0.1,0.2,1.0,1.0,0.8342227668839541,1.0,0.22068801223657775,1.0,0.7724681533614438,1.0,1.0,0.18855054358163892,0.8342227668839541,0.8986588043490953,0.9149819017928882
70,0.6111569035430349,-0.1,0.2,1.0,1.0,0.851856121283658,1.0,0.21355002561013842,1.0,0.763217277366324,1.0,1.0,0.18859537131163326,0.851856121283658,0.9155259850643555,0.9320830612668967
71,0.8626986673917616,-0.1,0.2,1.0,1.0,0.8314923275696408,1.0,0.22183866684257655,1.0,0.7955285162893908,1.0,1.0,0.18862303571996242,0.8314923275696408,0.8960523298728987,0.9058301665751561
72,0.8340370241858706,-0.1,0.2,1.0,1.0,0.8157313530830372,1.0,0.22840689078344098,1.0,0.8112349490500179,1.0,1.0,0.18866071890356576,0.8157313530830372,0.8809428848083302,0.8882657876461838
73,0.8234757589552897,-0.1,0.2,1.0,1.0,0.8017915616771741,1.0,0.23412148938710317,1.0,0.8191518182132123,1.0,1.0,0.18864914532647992,0.8017915616771741,0.8674923837864291,0.8744606944228811
74,0.676738072166869,-0.1,0.2,1.0,1.0,0.8100731376581494,1.0,0.23071371386931624,1.0,0.8017193970366556,1.0,1.0,0.18861679537673384,0.8100731376581494,0.8754863813913579,0.8864934062274741
75,0.8283949227009081,-0.1,0.2,1.0,1.0,0.7954839855755191,1.0,0.23626837316418328,1.0,0.8135158714525155,1.0,1.0,0.188576332252435,0.7954839855755191,0.8612656830780501,0.8708769861174791
76,0.5231447092364956,-0.1,0.2,1.0,1.0,0.826901689559448,1.0,0.22331026652992936,1.0,0.7748398346659897,1.0,1.0,0.18856659693928218,0.826901689559448,0.8915311624007973,0.9082078884060604
77,0.633032653328834,-0.1,0.2,1.0,1.0,0.8413662977289722,1.0,0.2171218935093177,1.0,0.7675193430713195,1.0,1.0,0.1885393697551784,0.8413662977289722,0.9053039630232158,0.922117723209543
78,0.9666650037345016,-0.1,0.2,1.0,1.0,0.8055674738982884,1.0,0.23127419871213445,1.0,0.8133394172131135,1.0,1.0,0.18857157609147812,0.8055674738982884,0.8707749141103233,0.8790139578069712
79,0.5309525802531407,-0.1,0.2,1.0,1.0,0.8356606357539292,1.0,0.21913463523017387,1.0,0.7762260243719142,1.0,1.0,0.18860877995827374,0.8356606357539292,0.8997534017611826,0.9147703891958624
80,0.9671009616849788,-0.1,0.2,1.0,1.0,0.7998817747138751,1.0,0.2332987981167931,1.0,0.818767475191837,1.0,1.0,0.1885761450199679,0.7998817747138751,0.8651957845505712,0.8726421380554424
81,0.5483762916943137,-0.1,0.2,1.0,1.0,0.8274469675243451,1.0,0.22212242130770013,1.0,0.7821053953753241,1.0,1.0,0.18860273629349503,0.8274469675243451,0.8917750508999227,0.9062264905789634
82,0.7131699876473616,-0.1,0.2,1.0,1.0,0.8298816279373541,1.0,0.2209031974027201,1.0,0.7841599048275764,1.0,1.0,0.18856273854043218,0.8298816279373541,0.8940448547143516,0.907549470423818
83,0.9372334742973166,-0.1,0.2,1.0,1.0,0.7986692458362524,1.0,0.23325872747805915,1.0,0.8191666104323249,1.0,1.0,0.1885827307488788,0.7986692458362524,0.8638730460221213,0.871396423301886
84,0.9656154370712573,-0.1,0.2,1.0,1.0,0.7636670855993345,1.0,0.2470833461923178,1.0,0.8448855216168576,1.0,1.0,0.18859611977371105,0.7636670855993345,0.829708382209721,0.8346374384497778
85,0.0,0.8,0.2,1.0,1.0,0.8740342514321544,1.0,0.20241568414651007,1.0,0.7154312672941419,0.9835785846424475,1.0,0.18855655766380197,0.8740342514321544,0.9359556357720471,0.963793770802047
86,0.6525913925650217,-0.1,0.2,1.0,1.0,0.8848609207509878,1.0,0.19761501652663158,1.0,0.7337724256853455,1.0,1.0,0.1884821604986194,0.8848609207509878,0.9460625526682797,0.9669009019377792
87,0.6895709704096664,-0.1,0.2,1.0,1.0,0.8899726293514225,1.0,0.19574341478934404,1.0,0.7513531092389127,1.0,1.0,0.18859464053700892,0.8899726293514225,0.9509448278898269,0.9657485108004268
88,0.5024365219610996,-0.1,0.2,1.0,1.0,0.9230740676942898,1.0,0.18311234403427534,1.0,0.7346114219996415,1.0,1.0,0.18866987845392857,0.9230740676942898,0.9822332573827539,0.9973473725619662
89,0.8921308288889146,-0.1,0.2,1.0,1.0,0.897222493992341,1.0,0.1944424355202256,1.0,0.7832309415782012,1.0,1.0,0.18871676706394658,0.897222493992341,0.9582828384197316,0.962391938417325
