t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.9811475179171913,-0.1,0.2,0.7979377553395591,0.8769651357568505,0.6832904950404213,0.7479457143999999,0.27577473306072137,0.5868613355666248,0.33649007888757865,0.31149870715851097,0.20622997414317024,0.18581726,0.3576241185219622,0.39214241205947664,0.5368667352505552
1,0.852408461435804,-0.1,0.2,0.8485994646605417,1.0,0.6422596956384489,0.7928322031800527,0.24465388661105578,0.6317365666178865,0.3533282425094588,0.36331616235615255,0.2134339976488616,0.18620074285203803,0.43211038564637055,0.4691115054990559,0.602194593961188
2,0.0,0.8,0.2,0.90591536807268,1.0,0.73493619227558,0.8364159230868354,0.1631605204317318,0.8555315273634327,0.24142311825239568,0.36683915832111896,0.22063644083879536,0.18619037397424662,0.5568773500173795,0.5886784894032973,0.703829122499241
3,0.9995642695812895,-0.1,0.2,0.9580855087360678,1.0,0.6813608898059745,0.8786909464040232,0.14367850771178164,0.8779089516864097,0.28504897518068173,0.4297240218846453,0.2290245568681003,0.18619065433522253,0.5736112025748242,0.6024566631322732,0.7155405000786266
4,0.8209342175360534,-0.1,0.2,1.0,1.0,0.6603045416182275,0.9196977510623491,0.11396573777629261,0.9136816993267515,0.2996990021313434,0.4785421273919156,0.2383051538472576,0.18619064675462624,0.6072806019425391,0.6315038155857035,0.7402305815591914
5,0.7265662155690714,-0.1,0.2,1.0,1.0,0.6584924308963641,0.9594743507145874,0.0793337070904348,0.9555729767827941,0.29946132823231897,0.5198875411910793,0.2483198531326066,0.1861906469595957,0.6318065975847593,0.649349843427467,0.7553997051734481
6,0.5961154211213411,-0.1,0.2,1.0,1.0,0.6809051172050967,0.9980576524006832,0.03774042950163492,1.0,0.2796679188396475,0.5527425613111515,0.2588915058275036,0.1861906469540536,0.6795825627853309,0.6885592710158,0.7887277186249165
7,0.5447828117202949,-0.1,0.2,1.0,1.0,0.7109145863412659,1.0,0.0,1.0,0.2531642885070322,0.5813981240752825,0.26993055325073423,0.18619064695420345,0.7109145863412659,0.7109145863412659,0.8077297366515251
8,0.5099956531120904,-0.1,0.2,1.0,1.0,0.7456919872316234,1.0,0.0,1.0,0.22276776589980138,0.6072342208646759,0.28137593213552037,0.1861906469541994,0.7456919872316234,0.7456919872316234,0.8372905274083301
9,0.7038319314804786,-0.1,0.2,1.0,1.0,0.7508722853533674,1.0,0.0,1.0,0.22296651117819075,0.643225731853539,0.29342668745123596,0.1861906469541995,0.7508722853533674,0.7508722853533674,0.8416937808118123
10,0.6895377104207945,-0.1,0.2,1.0,1.0,0.7581190121622378,1.0,0.0,1.0,0.22101118603370798,0.6762584987462564,0.30601759055164873,0.1861906469541995,0.7581190121622378,0.7581190121622378,0.8478534985993522
11,0.6291783530159564,-0.1,0.2,1.0,1.0,0.7743109416797008,1.0,0.0,1.0,0.21009972353572362,0.7040218371614533,0.3190378513893613,0.1861906469541995,0.7743109416797008,0.7743109416797008,0.8616166386891958
12,0.5315443403511093,-0.1,0.2,1.0,1.0,0.8049050941541289,1.0,0.0,1.0,0.18508873226291148,0.7250443645676659,0.332348360166821,0.1861906469541995,0.8049050941541289,0.8049050941541289,0.8876216682924597
13,0.6886025671203766,-0.1,0.2,1.0,1.0,0.8114816003260507,1.0,0.0,1.0,0.18488702456913006,0.7543020856501973,0.3461109182781567,0.1861906469541995,0.8114816003260507,0.8114816003260507,0.8932116985385932
14,0.6692192935735701,-0.1,0.2,1.0,1.0,0.8208669499374145,1.0,0.0,1.0,0.1817879112280167,0.7807352920872904,0.3602645149371209,0.1861906469541995,0.8208669499374145,0.8208669499374145,0.9011892457082524
15,0.748790267495036,-0.1,0.2,1.0,1.0,0.818175873216388,1.0,0.0,1.0,0.19077939964217885,0.8100940665140717,0.37486375111803116,0.1861906469541995,0.818175873216388,0.818175873216388,0.8989018304953799
16,0.9506874800023299,-0.1,0.2,1.0,1.0,0.7852405807700827,1.0,0.0,1.0,0.22960589551172703,0.8486108695334412,0.3900873309975197,0.1861906469541995,0.7852405807700827,0.7852405807700827,0.8709068319160205
17,0.5710689895105232,-0.1,0.2,1.0,1.0,0.8097420912842431,1.0,0.0,1.0,0.20954829301402675,0.8625401093730197,0.4054372598750049,0.1861906469541995,0.8097420912842431,0.8097420912842431,0.8917331158530568
18,0.0,0.8,0.2,1.0,1.0,0.9195364275672695,1.0,0.0,1.0,0.10483322221463304,0.8445791965527825,0.4202744712073105,0.1861906469541995,0.9195364275672695,0.9195364275672695,0.9850583016936292
19,0.744333415112718,-0.1,0.2,1.0,1.0,0.9160338365391428,1.0,0.0,1.0,0.1170039172221167,0.8722695254300183,0.4355171170038378,0.1861906469541995,0.9160338365391428,0.9160338365391428,0.9820810993197215
20,0.9730221623938997,-0.1,0.2,1.0,1.0,0.8782804722842609,1.0,0.0,1.0,0.16286938957140343,0.9106048193080765,0.4513740422199609,0.1861906469541995,0.8782804722842609,0.8782804722842609,0.9499907397030719
21,0.8644707299186526,-0.1,0.2,1.0,1.0,0.8573761233644892,1.0,0.0,1.0,0.19015887343193874,0.9391816105130516,0.46764393400802234,0.1861906469541995,0.8573761233644892,0.8573761233644892,0.932222043121266
22,0.6428266151149573,-0.1,0.2,1.0,1.0,0.8700319568990683,1.0,0.0,1.0,0.182837265878893,0.9528927414727312,0.48402534949739673,0.1861906469541995,0.8700319568990683,0.8700319568990683,0.9429795016256582
23,0.9390382521827517,-0.1,0.2,1.0,1.0,0.8380662073704596,1.0,0.0,1.0,0.22031348426366873,0.9824440033233173,0.5008339760688891,0.1861906469541995,0.8380662073704596,0.8380662073704596,0.9158086145263408
24,0.8821476496804947,-0.1,0.2,1.0,1.0,0.8151135344601185,1.0,0.0,1.0,0.24738230135386716,1.0,0.5178256363082002,0.1861906469541995,0.8151135344601185,0.8151135344601185,0.8962988425525509
25,0.0,0.8,0.2,1.0,1.0,0.9248272990955068,1.0,0.0,1.0,0.14077553013748142,0.9726069111239951,0.5340995181675982,0.1861906469541995,0.9248272990955068,0.9248272990955068,0.9895555424926308
26,0.8510727076121811,-0.1,0.2,1.0,1.0,0.9052344511195372,1.0,0.0,1.0,0.16716000362374214,0.997412025041942,0.5507067634867611,0.1861906469541995,0.9052344511195372,0.9052344511195372,0.9729016217130566
