t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8512927619934277,-0.1,0.2,0.7990918237042341,0.8767889062841183,0.6998808857009859,0.7260399999999999,0.34735756571960563,0.596990579040526,0.45061391429901415,0.33771985968394475,0.2067543971936789,0.191,0.3560216544524744,0.39930503978440174,0.5416592838167416
1,0.9701761947830589,-0.1,0.2,0.8489808378005588,0.995800004673618,0.6354864331980122,0.7495869999999999,0.401551598263599,0.6320695118962603,0.6115782478015223,0.44100740062194344,0.215507001234181,0.19140500000000002,0.4027154962733769,0.45931436418430943,0.5890924852162063
2,0.6278877567165195,-0.1,0.2,0.8975838549619983,1.0,0.6260966216055984,0.7720831122142102,0.4327215852531292,0.6930884228048175,0.7092242747928168,0.5136172731290205,0.22562427668441962,0.19148650105342027,0.4338908041436518,0.49960467495218036,0.5940250660081532
3,0.8292250091200379,-0.1,0.2,0.9424740015887132,1.0,0.5887988056393104,0.7903633232533694,0.46597546496697506,0.7350286139345342,0.7990894727466704,0.602464596478172,0.23741732584713887,0.19232428129205392,0.4385943956092518,0.5101253752083275,0.5757986567800637
4,0.8421165640384778,-0.1,0.2,0.9837340829144862,1.0,0.5518398918700457,0.80494979335539,0.49061424120191083,0.7738107755979603,0.8559302764569611,0.6873811837145372,0.2507907762629582,0.19306844563100437,0.43697803113989203,0.5120137069492531,0.5601654565620257
5,0.8887582939450562,-0.1,0.2,1.0,1.0,0.50987674554343,0.817124743975175,0.5120023412243337,0.8070348757226511,0.8976554682516906,0.771656887066455,0.2657160062416577,0.19353546267655045,0.41663290516107065,0.49129386316681806,0.5299192775471505
6,0.6116330581561248,-0.1,0.2,1.0,1.0,0.5113352288977959,0.8274646164136501,0.512247784878833,0.8608923562575009,0.8815807800578346,0.827570156994618,0.2816102493191335,0.19388321417403856,0.42311180903870066,0.4989701394663532,0.5411795809855402
7,0.6790163398081466,-0.1,0.2,1.0,1.0,0.5039521739484598,0.8381335270292285,0.5180120492543706,0.9073113777018427,0.8818645638980724,0.8880015846345081,0.29855417851863225,0.19373197576309434,0.4223792130054699,0.49895834559746405,0.5411222306476491
8,0.9021406420794442,-0.1,0.2,1.0,1.0,0.46444897780502714,0.8484512477890204,0.5370076624111217,0.9340145646782274,0.9155072009864726,0.9656105038034345,0.3168808468095146,0.19373933913943173,0.3940623147530103,0.46812738362445067,0.5048212809999834
9,0.5748517780045066,-0.1,0.2,1.0,1.0,0.4756693446185892,0.8572207376719054,0.5327177487620575,0.985646363167649,0.8869710481167806,1.0,0.3357120383414195,0.19403240678630387,0.4077536264818588,0.48377978436400204,0.5266134005777916
10,0.8319995264535025,-0.1,0.2,1.0,1.0,0.44931387539089973,0.8668184231784979,0.5466263858093112,1.0,0.9081051744115937,1.0,0.35435491795800533,0.19377421743610024,0.3894735449785598,0.4639873256695494,0.5035141201366138
11,0.8258491459113985,-0.1,0.2,1.0,1.0,0.4252861655727154,0.8753142466503495,0.5578504757310762,1.0,0.9200975428345489,1.0,0.3728113687784253,0.19396678797305839,0.37225903962909723,0.44494174845239715,0.48367952634090833
12,0.6685331129572819,-0.1,0.2,1.0,1.0,0.42615020585810304,0.88313810914275,0.5582053266038085,1.0,0.9038273241956096,1.0,0.39108325509064107,0.19406546769118826,0.3763494870123188,0.4498775879225293,0.49273138555266993
13,0.0,0.8,0.2,1.0,1.0,0.5282728032001611,0.8913405709091752,0.5199640071361419,1.0,0.7936051111493334,0.9934974159706672,0.409042370859148,0.1939203615834288,0.470870982000222,0.5565635689259599,0.6165174098464087
14,0.9889997667889289,-0.1,0.2,1.0,1.0,0.48200177015101464,0.9033431428603255,0.5524270180571319,1.0,0.8746046503219379,1.0,0.42695194715055657,0.19296306252087725,0.4354129939124578,0.5195998595600934,0.5610377198992788
15,0.9952163172301123,-0.1,0.2,1.0,1.0,0.4364781586620893,0.9118660000364918,0.5769064806898787,1.0,0.9250354219365524,1.0,0.44468242767905103,0.19370114713044734,0.3980095926424926,0.47837460232276,0.5106824986107684
16,0.8037656064867764,-0.1,0.2,1.0,1.0,0.4211155579040371,0.9183770367962343,0.5844591119135174,1.0,0.9271304447238796,1.0,0.46223560340226055,0.19411663641305113,0.3867428582167026,0.46585524382498295,0.4993086647308088
17,0.8434417504301477,-0.1,0.2,1.0,1.0,0.400786693947346,0.9246687319421499,0.5939654518041461,1.0,0.9343605119020879,1.0,0.47961324736823796,0.19412231713332742,0.37059492407157896,0.4476371276009535,0.4816528256068522
18,0.7945420840286356,-0.1,0.2,1.0,1.0,0.3887949702725375,0.9305054542427981,0.599617796065098,1.0,0.9314434612736219,1.0,0.4968171148945556,0.1941853034087746,0.36177584042076266,0.4377003716567064,0.47406595167392024
19,0.5905990185769177,-0.1,0.2,1.0,1.0,0.40826923112895563,0.9362827877068931,0.5931611937577115,1.0,0.8990693153501272,1.0,0.5138489437456101,0.19415792655566744,0.38225545385636844,0.4616141393218122,0.5041117421795853
20,0.0,0.8,0.2,1.0,1.0,0.5168708611132561,0.9430788595196286,0.554485647438511,1.0,0.790697389622267,0.9934470602234863,0.5305793955126237,0.19387589382241113,0.48744998221761787,0.5820493888619571,0.6390637901903807
21,0.7568907278487451,-0.1,0.2,1.0,1.0,0.5116227858570801,0.9536296853097924,0.5724376326351732,1.0,0.8380117338053117,1.0,0.5472736015574975,0.1929393079868093,0.48789867627420663,0.5856507233984911,0.6281647677504216
22,0.7263004542295528,-0.1,0.2,1.0,1.0,0.5120221878183618,0.961983521115251,0.5837351071432304,1.0,0.8623383313162952,1.0,0.5638008655419225,0.1933842130051848,0.4925569071266421,0.5931898727611401,0.6271638392007843
23,0.8991209502567548,-0.1,0.2,1.0,1.0,0.48735545360892407,0.969256448945919,0.6027817971329693,1.0,0.9033467469572735,1.0,0.5801628568865034,0.19358065454318796,0.4723724163394133,0.5720305392524034,0.59627041121497
24,0.55121401370013,-0.1,0.2,1.0,1.0,0.5158959147607778,0.974828859811678,0.5963602620636619,1.0,0.8759953812983026,1.0,0.5963612283176384,0.19393136332788566,0.5029102263677516,0.6078807124046605,0.6354171503224992
25,0.5447676192173048,-0.1,0.2,1.0,1.0,0.5457629826408665,0.9812894439823759,0.5924888059956829,1.0,0.8583141265796536,1.0,0.612397616034462,0.19368167587577723,0.535551453781819,0.6466093382719738,0.6737032805883374
26,0.5139987027709021,-0.1,0.2,1.0,1.0,0.5806307280098602,0.9881731738136061,0.5885597633122043,1.0,0.8428957074293618,1.0,0.6282736398741173,0.1935357066678151,0.5737637093112082,0.6919566908434762,0.7169105483211925
27,0.5569373096756551,-0.1,0.2,1.0,1.0,0.6094080389042221,0.9953973596559947,0.5887735272992846,1.0,0.8399157337261258,1.0,0.6439909034753761,0.19340629785722474,0.6066031528784004,0.7316063101752794,0.7515390690668435
28,0.5464918480261738,-0.1,0.2,1.0,1.0,0.6398739025557317,1.0,0.5886488886955562,1.0,0.8365285473232652,1.0,0.6595509944406224,0.19338477122002004,0.6398739025557317,0.7717052741313838,0.7866447260096916
29,0.8426860651685775,-0.1,0.2,1.0,1.0,0.6254550826845791,1.0,0.6066205476187178,1.0,0.8794176911900478,1.0,0.6749554844962161,0.1933560311505992,0.6254550826845791,0.7582499493537395,0.7610240322822708
30,0.7275834504869751,-0.1,0.2,1.0,1.0,0.628499228975799,1.0,0.6126446201470451,1.0,0.8888415025598554,1.0,0.6902059296512539,0.19373019790930276,0.628499228975799,0.7632655639653052,0.7611618050958181
31,0.7185212910834463,-0.1,0.2,1.0,1.0,0.6328535358506665,1.0,0.6165484041588484,1.0,0.8935514090238852,1.0,0.7053038703547414,0.19380022055957175,0.6328535358506665,0.769418229008921,0.7641803359787547
32,0.5474271150543484,-0.1,0.2,1.0,1.0,0.6628047128134308,1.0,0.6093134544381228,1.0,0.8701861896969483,1.0,0.720250831651194,0.19383905482646738,0.6628047128134308,0.8041542530272076,0.8021528035698005
