t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.9109770211598633,-0.1,0.2,0.7983596856300078,0.8753845974335225,0.6905491279460204,0.7231641759999999,0.27301651829635293,0.593237818307211,0.33470553242847373,0.3219671327147752,0.2064393426542955,0.1916804,0.34900285883531457,0.38235209972345646,0.527079184764938
1,0.630810741472329,-0.1,0.2,0.8516939355428781,0.998857575874394,0.6765184359491511,0.7441706673267519,0.230099015201209,0.6565930287210964,0.32698960103928965,0.3702460684750064,0.21377987059725267,0.19202647872080003,0.4282913532345031,0.4627836497439614,0.5953594826021671
2,0.0,0.8,0.2,0.9109503659254532,1.0,0.7597729926964781,0.7646078117789417,0.15039742867459865,0.8804024510409166,0.22498216547833808,0.37751488892312596,0.22119236966974268,0.19201208253817217,0.5291969070324968,0.5570533559605801,0.67549233193195
3,0.7351271285322225,-0.1,0.2,0.9672471673762864,1.0,0.7338882117464368,0.7844293107480674,0.11679635796958687,0.9239483460946927,0.23834648754793608,0.4410104730890714,0.2298006554348267,0.19201268139057714,0.5568281612723863,0.5795905867104171,0.6946488283562102
4,0.6865801860369207,-0.1,0.2,1.0,1.0,0.7179809802453916,0.8036562700388763,0.08112248298780478,0.9696362015157537,0.24376045577496908,0.49836708536588586,0.23946999058779614,0.1920126564795148,0.5770099165428675,0.5933928835413577,0.7063807868902753
5,0.6363490428359854,-0.1,0.2,1.0,1.0,0.7120850461810537,0.822306416171076,0.043326586891460725,1.0,0.24136905811909265,0.5496201789539821,0.2500676942609978,0.19201265751576516,0.5855521023341574,0.5944315932485978,0.7072636898823669
6,0.864912416311008,-0.1,0.2,1.0,1.0,0.6741639221402342,0.8403970581015042,0.020189390580945113,1.0,0.2733817362005145,0.6137974819337064,0.26184296695706194,0.19201265747265922,0.5665653768448244,0.5705688902337906,0.6869803923305573
7,0.7691526097776384,-0.1,0.2,1.0,1.0,0.6532813366597352,0.8579449807664407,0.0,1.0,0.2894298094047962,0.6662030930364732,0.27454859914822083,0.19201265747445234,0.5604794438156112,0.5604794438156112,0.6784043628746564
8,0.5964924378820438,-0.1,0.2,1.0,1.0,0.660653593944023,0.8749664657517442,0.0,1.0,0.2787764531642361,0.7028188777750913,0.28785949071224043,0.19201265747437773,0.5780497401793897,0.5780497401793897,0.6933391147838869
9,0.9025620249244866,-0.1,0.2,1.0,1.0,0.6239861301649677,0.8914773061874756,0.0,1.0,0.31456620279208236,0.7601594876697274,0.3021840855585126,0.19201265747438084,0.5562694744178129,0.5562694744178129,0.6748258888865457
