t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.551583017115358,-0.1,0.2,0.8025202588426029,0.8818536895063236,0.7444582285526963,0.7231641759999999,0.34425416302692147,0.6219893386307714,0.37455430056730366,0.3067647471782399,0.2061352949435648,0.1916804,0.3810042142260333,0.4269110146333729,0.564954262438367
1,0.5774861354012051,-0.1,0.2,0.8607418622365556,1.0,0.7376175909573952,0.7441706673267519,0.3891575274224847,0.6884604567174043,0.4506051086060152,0.36923399181266653,0.21345862183038247,0.19202647872080003,0.4724727205134303,0.5368259310047837,0.6582954216738661
2,0.0,0.8,0.2,0.9246771871333751,1.0,0.8199556603795987,0.7646078117789417,0.39828076306358123,0.9109951819173723,0.4361747664122331,0.38380784850022415,0.22100019258208314,0.19201208253817217,0.5797212797434017,0.6605334215245409,0.7634503876613167
3,0.9589775215438594,-0.1,0.2,0.9828242757633796,1.0,0.759590580462565,0.7844293107480674,0.46471491755278194,0.9354093362951592,0.5663148861323876,0.49240438257416985,0.23063827830774572,0.19201268139057714,0.5856110440917015,0.6808608099172773,0.7807285180820414
4,0.8825813012527193,-0.1,0.2,1.0,1.0,0.7138976461484081,0.8036562700388763,0.5249044304676067,0.9649586628909378,0.6784884704580735,0.594322919474581,0.24221835391415988,0.1920126564795148,0.5737283194931633,0.6791317073685068,0.75571224600593
5,0.7683400040874068,-0.1,0.2,1.0,1.0,0.688339102664326,0.8228736994401588,0.5766568834675914,1.0,0.7276824880658195,0.6708980600807892,0.2552141315766341,0.19187844223128184,0.5664161438787132,0.6807358627749035,0.7423511263811016
6,0.5863322646426845,-0.1,0.2,1.0,1.0,0.6927457688095446,0.8418465629738316,0.6161495186829733,1.0,0.7232114046079963,0.7212658518180076,0.26908730729722785,0.1917999035054706,0.5831856444869797,0.7089509884406949,0.7644650391792295
7,0.6072002162894583,-0.1,0.2,1.0,1.0,0.696150525845755,0.8601436053732744,0.6478816857873876,1.0,0.7263981133875741,0.7707670865562345,0.28381177595538026,0.19182513266041223,0.5987894231834685,0.7345700685067855,0.7789325038919148
8,0.9144600243892097,-0.1,0.2,1.0,1.0,0.6555329628012544,0.8778003060431224,0.6814711554968543,1.0,0.775504653037641,0.8412014546568011,0.2997976872889625,0.19184676447214996,0.5754270353682959,0.7126749597120925,0.7388663976265779
9,0.9002239192714832,-0.1,0.2,1.0,1.0,0.6197460178386531,0.8951601737153924,0.6966126006043921,1.0,0.7949339914837548,0.897669689148844,0.3167531041990498,0.19179166951414112,0.5547719529878714,0.6900333495075119,0.710777712136845
10,0.6549249786497677,-0.1,0.2,1.0,1.0,0.6233211629994265,0.9120732519137154,0.6891094124676068,1.0,0.7655403043299058,0.9302219666662034,0.3341900124903833,0.19177416007654935,0.568514560123526,0.7056336172006269,0.7343610608089024
11,0.865947354439359,-0.1,0.2,1.0,1.0,0.5971333006762487,0.9282915274238471,0.6982162485567179,1.0,0.7853192743091775,0.9804068817798296,0.3524562500010761,0.19181850006288412,0.5543137837603983,0.689774595477561,0.713114749136109
12,0.9400253756805996,-0.1,0.2,1.0,1.0,0.5621297353485237,0.944139882279098,0.7069903447633572,1.0,0.8054726927466038,1.0,0.37093168750106537,0.19179090677966099,0.5307291021575357,0.6620562249761418,0.6817601877581527
13,0.0,0.8,0.2,1.0,1.0,0.6705140071753144,0.9596207198484108,0.6547606654424802,1.0,0.6688167594282749,0.9804112639227508,0.38883059590450975,0.19176537049581568,0.6434391342340177,0.7908936567299972,0.8427211046795651
14,0.8358507282582366,-0.1,0.2,1.0,1.0,0.6535918751330464,0.9738406495297295,0.6800990677413463,1.0,0.7381984843690949,1.0,0.40694228994546466,0.19195381278940749,0.6364943362069198,0.7880020578438603,0.8143339371109317
15,0.5888950871203922,-0.1,0.2,1.0,1.0,0.6756800804875569,0.9880736352925698,0.6773118683604835,1.0,0.730402185679303,1.0,0.42487286704601,0.1918497937108678,0.6676216734221164,0.8258875024663367,0.8494588992927816
16,0.5446731036326952,-0.1,0.2,1.0,1.0,0.7055006646595889,1.0,0.673337424862923,1.0,0.7201507664324363,1.0,0.4426241383755499,0.1918649815150053,0.7055006646595889,0.8717646649329278,0.8923210049119218
17,0.9327420850925416,-0.1,0.2,1.0,1.0,0.6766629241100398,1.0,0.6947328725150139,1.0,0.7757192128666391,1.0,0.4601978969917944,0.19187835631548034,0.6766629241100398,0.8411979160570218,0.845386301206604
18,0.6501228697866623,-0.1,0.2,1.0,1.0,0.6906544625318163,1.0,0.687940346483328,1.0,0.7563710903340406,1.0,0.4775959180218765,0.1918017449714713,0.6906544625318163,0.8569496371208543,0.8659573589129805
19,0.7861834008429458,-0.1,0.2,1.0,1.0,0.6840255356891289,1.0,0.6928804044918462,1.0,0.7689519644018863,1.0,0.49481995884165775,0.191831995565363,0.6840255356891289,0.8499072971369913,0.8552015334561667
20,0.9240220441118173,-0.1,0.2,1.0,1.0,0.656821165873623,1.0,0.7034972537679808,1.0,0.7958099567821605,1.0,0.5118717592532412,0.19181360326792685,0.656821165873623,0.8185463261166951,0.8183685385939647
21,0.706973021565866,-0.1,0.2,1.0,1.0,0.6625840024996074,1.0,0.6955195198016206,1.0,0.7740100856253255,1.0,0.5287530416607088,0.1917778530206286,0.6625840024996074,0.8238780400359743,0.8310449411274992
