t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8924556780435554,-0.1,0.2,0.7986176102748934,0.876047973795216,0.6937064482934667,0.7260399999999999,0.1313273406826133,0.5815535457565157,0.2743866229885637,0.2591156144043973,0.20518231228808795,0.191,0.35237334703509643,0.3685700361428392,0.5155345307214133
1,0.7557458512466301,-0.1,0.2,0.8507186192975275,0.9982001138541363,0.6615691638820702,0.7495869999999999,0.0,0.6227614858265248,0.22959604080816048,0.26675816953333037,0.21046565255587368,0.19140500000000002,0.4211151380456051,0.4211151380456051,0.5600966173387644
2,0.9984084685489495,-0.1,0.2,0.8969090857609844,1.0,0.5962655719114968,0.772504621,0.0,0.6429090101595479,0.22344219333212534,0.27646842590168963,0.21589036454834873,0.191386775,0.41313238822468823,0.41313238822468823,0.5533158362409849
3,0.5741298965923474,-0.1,0.2,0.9425654873725474,1.0,0.5982504737247222,0.794731246975,0.0,0.6961928782695282,0.15395435085140163,0.28201072078146777,0.2213716753184946,0.19138759512500003,0.4481412010127967,0.4481412010127967,0.5830731220796271
4,0.6302185968006645,-0.1,0.2,0.9872273648065036,1.0,0.5943794968068059,0.816291230158525,0.0,0.7428582974837252,0.0963542010972867,0.2882967912956577,0.22692389439122282,0.19138755821937503,0.4789896570074723,0.4789896570074723,0.6092943189015078
5,0.6339554221723567,-0.1,0.2,1.0,1.0,0.5925156418540952,0.8372044068270944,0.0,0.7873581538165814,0.0421945828359217,0.2947354034422852,0.2325493635161563,0.19138755988012812,0.4960567064742329,0.4960567064742329,0.6238013105330659
6,0.6627498712286406,-0.1,0.2,1.0,1.0,0.5887948711730958,0.8574901885114818,0.0,0.8277744599753573,0.0,0.30148248803080074,0.23825351964161073,0.19138755980539424,0.5048858250768116,0.5048858250768116,0.6313060613639413
7,0.7846200079381598,-0.1,0.2,1.0,1.0,0.5692106565320724,0.8771673967311234,0.0,0.8568245029508523,0.0,0.3091619870908193,0.24405422418701103,0.19138755980875727,0.4992930297818516,0.4992930297818516,0.6265521853623846
8,0.5353938598945751,-0.1,0.2,1.0,1.0,0.5895945543540525,0.8962542887048154,0.0,0.9046506360508219,0.0,0.3141285949405552,0.24989625384395203,0.19138755980860594,0.5284266479368239,0.5284266479368239,0.6513157607941488
9,0.7712212966963908,-0.1,0.2,1.0,1.0,0.5765202924141647,0.9147685739192678,0.0,0.931697528882647,0.0,0.32125360896138805,0.2558223634847403,0.19138755980861274,0.5273826457272247,0.5273826457272247,0.6504283589159878
10,0.8667352872852296,-0.1,0.2,1.0,1.0,0.5514701086140117,0.9327274305772879,0.0,0.9500214267540922,0.0,0.328979168188222,0.26184372321365734,0.19138755980861244,0.514371297447725,0.514371297447725,0.6393687128784131
11,0.7072187960773804,-0.1,0.2,1.0,1.0,0.5528135621670319,0.9501475215355674,0.0,0.9803736880073074,0.0,0.3347985657741276,0.26792125729700333,0.19138755980861244,0.5252544359642537,0.5252544359642537,0.6486193806174625
12,0.0,0.8,0.2,1.0,1.0,0.6622473819159076,0.9670450097650984,0.0,1.0,0.0,0.33335565182767996,0.2739091577605869,0.19138755980861244,0.6404230259117797,0.6404230259117797,0.7465126820728596
13,0.8778315702557435,-0.1,0.2,1.0,1.0,0.640331826460106,0.9834355733477435,0.0,1.0,0.0,0.34068984526355106,0.279983863088252,0.19138755980861244,0.6297250968876021,0.6297250968876021,0.7374194424023087
14,0.8291446491674043,-0.1,0.2,1.0,1.0,0.6279559041004121,0.9993344200229093,0.0,1.0,0.0,0.3471019865744953,0.2861260641888594,0.19138755980861244,0.627537949224147,0.627537949224147,0.7355603668883718
15,0.9574467372234946,-0.1,0.2,1.0,1.0,0.5966001769649513,1.0,0.0,1.0,0.0,0.35439959007853816,0.2923527953485416,0.19138755980861244,0.5966001769649513,0.5966001769649513,0.7092632604680554
16,0.8959815116117626,-0.1,0.2,1.0,1.0,0.5749345695782819,1.0,0.0,1.0,0.0,0.3606508316387823,0.2986422840278318,0.19138755980861244,0.5749345695782819,0.5749345695782819,0.6908474941893865
17,0.616420648152727,-0.1,0.2,1.0,1.0,0.5955280758212681,1.0,0.0,1.0,0.0,0.3637593461571674,0.30493104811069677,0.19138755980861244,0.5955280758212681,0.5955280758212681,0.7083519744959247
18,0.8656886186738231,-0.1,0.2,1.0,1.0,0.578422483892445,1.0,0.0,1.0,0.0,0.3691491027126082,0.31126471968384195,0.19138755980861244,0.578422483892445,0.578422483892445,0.6938122213564251
