t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.7721146126479759,-0.1,0.2,0.8000060461161053,0.8782141129723364,0.7117576081028036,0.7260399999999999,0.3126774463801039,0.5928284237805661,0.43873719189719634,0.3296766268306236,0.20659353253661247,0.191,0.36306664112946574,0.40279960370442275,0.5446296631487594
1,0.8019600192980972,-0.1,0.2,0.8530493499112874,1.0,0.672417431086547,0.7495869999999999,0.3268610809997125,0.6315358280778997,0.5750629351970511,0.4160798397335346,0.21484919400591704,0.19140500000000002,0.42996704037378264,0.4791558624375702,0.6094312330719346
2,0.5327644296199066,-0.1,0.2,0.9056474273383992,1.0,0.6767977209472628,0.772504621,0.3245369313731395,0.6902314946275951,0.6641908658801846,0.47941115958376324,0.22428892525753313,0.191386775,0.4734990710826543,0.5272828485206731,0.6310864677285167
3,0.0,0.8,0.2,0.9643836026349427,1.0,0.7633860838327445,0.7923945861854385,0.2903493123381353,0.9016728059923335,0.647189280129061,0.49703895076078336,0.2339868150201735,0.19194043285123696,0.5833585343831129,0.6426407466397647,0.7341027423922724
4,0.6296770071640039,-0.1,0.2,1.0,1.0,0.7566340772173188,0.8124070765597667,0.3437128215123318,0.9401432197090137,0.7312494442825422,0.5765159600532397,0.24517726607103654,0.19177026941012032,0.6146948786976187,0.6886423575918375,0.748028603315769
5,0.9978224177552314,-0.1,0.2,1.0,1.0,0.6966827287494153,0.8287222847114222,0.41788958413860494,0.9475865486885049,0.8378358808237867,0.6856987202125876,0.2584394678145779,0.19250297623459423,0.5773565026882035,0.6618014467710359,0.6930547214495959
6,0.9182307256371944,-0.1,0.2,1.0,1.0,0.650969981641758,0.8407665435932651,0.4855080001726172,0.9610547461279605,0.8910222142969576,0.7789811130976415,0.2734346953983849,0.19339765124057126,0.5473137814479121,0.6403176082721032,0.6586138899320576
7,0.819534070272081,-0.1,0.2,1.0,1.0,0.6219085594972449,0.8506227515351492,0.5455487316858945,0.9818583385977829,0.9087132422138582,0.857409850784072,0.2898485454600825,0.1938298412658481,0.5290095700828075,0.630019745085739,0.6444453503422587
8,0.8174303291425942,-0.1,0.2,1.0,1.0,0.5946675854835476,0.8595893478704664,0.6039734619331916,1.0,0.919523947262831,0.9312385192186808,0.3075748303898553,0.19397035988611083,0.5111699220055075,0.6192264956059325,0.6311980547280271
9,0.7615906051916507,-0.1,0.2,1.0,1.0,0.5772047530574302,0.8679065809915497,0.6538196009943928,1.0,0.9217410088904723,0.9955363348399573,0.3264098087827559,0.19406035168205113,0.5009598037581461,0.6155978724107293,0.6174568807625869
10,0.8357057376847963,-0.1,0.2,1.0,1.0,0.5498454667101191,0.8759041120832558,0.6595139908439013,1.0,0.9346682301803502,1.0,0.34514571069492833,0.19407695697441973,0.4816119053017303,0.592782331697948,0.5930424754767656
11,0.0,0.8,0.2,1.0,1.0,0.649120717779413,0.8831866712341617,0.6095229977361434,1.0,0.813212182176474,0.9929345302517735,0.36355294419301454,0.19418934956307488,0.5732947659647295,0.6955974864827714,0.7268422719194161
12,0.7955497914656589,-0.1,0.2,1.0,1.0,0.6290153183394914,0.8947509330316417,0.6084295900464587,1.0,0.8582412236524432,1.0,0.3819174147510844,0.19312463834357144,0.5628120429754551,0.6826630681787231,0.7028241632609971
13,0.5155058757348749,-0.1,0.2,1.0,1.0,0.6523251138348193,0.904154915549632,0.5905952047141705,1.0,0.8430794675529519,1.0,0.4000982406035736,0.19355366470608687,0.5898029582102251,0.711720137806042,0.7336498606927284
14,0.7363745443327334,-0.1,0.2,1.0,1.0,0.6433311475720025,0.9138954701915499,0.5864470888799669,1.0,0.8669435312453001,1.0,0.41809725819753785,0.19340728656741163,0.5879374215991846,0.7086153878683371,0.7238881986726435
