t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8431270785133513,-0.1,0.2,0.7989729931910914,0.8753760297388696,0.6993136596066661,0.7124461038196462,0.36612492243030303,0.5974830226442432,0.44977500835625567,0.33285604102986954,0.2066571208205974,0.19421622149377454,0.34845827063317175,0.39311101069019044,0.5355903037132183
1,0.9523081189066368,-0.1,0.2,0.848580342182656,0.9919735788231833,0.6343659872114942,0.7238118702755381,0.43716096506096924,0.6340023423121399,0.6084584936099767,0.4297140277475572,0.21518483016734258,0.19438348196281993,0.3865081555912193,0.4456463529969868,0.5776659814737408
2,0.8178629348029947,-0.1,0.2,0.8944524352821333,1.0,0.5918849779027131,0.7348571080717092,0.49835400862064794,0.6797826623773949,0.7353441136130984,0.5157663828764186,0.22534830952319754,0.1943786449752909,0.389042876681914,0.4569012536738231,0.5491681702949974
3,0.9360651870348553,-0.1,0.2,0.9349733634438567,1.0,0.5335964336369434,0.7455703975064987,0.565109372415672,0.7136241881810564,0.8181672229285107,0.5934010519038251,0.23696284746604204,0.19437878485561344,0.37196391738116497,0.44553402095055566,0.5146590547155158
4,0.584689043562785,-0.1,0.2,0.9746096164482113,1.0,0.5301356682001567,0.7559623053558887,0.6091132831838817,0.7737971368681216,0.8086784003994608,0.6334110363314663,0.24926143971801093,0.19437878081042942,0.39058706621673567,0.47385618581208827,0.5397568859810531
5,0.9969190063886648,-0.1,0.2,1.0,1.0,0.46610193782952625,0.7660424554753522,0.6746644876772109,0.7985925432065369,0.8708891929608248,0.7002184400813884,0.2627731941224586,0.19437878092741165,0.35705387295675023,0.4413659218517857,0.4803666829184753
6,0.6595695744246448,-0.1,0.2,1.0,1.0,0.4548044576848489,0.7758202011055306,0.7033285725890358,0.8487705122325367,0.8544942531684206,0.7285744072133405,0.2767169503255008,0.19437878092402866,0.35284648582475125,0.4397049411511142,0.47814051427910653
7,0.7247003779261627,-0.1,0.2,1.0,1.0,0.43504494880841227,0.7853046143663902,0.7286215126588742,0.8916863244509782,0.8578766490142269,0.7588986869241426,0.29112775456072865,0.1943787809241265,0.34164280575603617,0.42876771002768094,0.46277056105645425
8,0.6584519916227964,-0.1,0.2,1.0,1.0,0.4266230762141927,0.7945044952294358,0.7435166291746637,0.9380544488922634,0.8508661809649547,0.7820549255550541,0.30585757552622245,0.19437878092412364,0.3389539518207863,0.4271602167169141,0.4605283088539269
9,0.667784405234237,-0.1,0.2,1.0,1.0,0.41799853579962887,0.8034283796665898,0.7551892062603215,0.9817903488785059,0.849603455216374,0.8046161363286395,0.320891322497533,0.19437878092412375,0.3358318863205028,0.4245977018040533,0.4563944734854379
