t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.575424586962251,-0.1,0.2,0.8021663791668372,0.8808815382346794,0.7402581519556625,0.718432,0.33094947521773505,0.6068260330430201,0.4094496880443376,0.31166546219855884,0.20623330924397118,0.1928,0.37579485555094116,0.4193240441328791,0.5582254375129472
1,0.5362181433337714,-0.1,0.2,0.8604674400182356,1.0,0.7385444567362617,0.7352154879999999,0.359477562937318,0.6645025802545976,0.5075770291421864,0.37355674379213377,0.21364211102737413,0.19305920000000001,0.467224632864503,0.5260095031927482,0.6488432777138359
2,0.6828444584562927,-0.1,0.2,0.9161561337799312,1.0,0.7168213170246139,0.751534911232,0.39606465687526254,0.7081424269279104,0.6227908307095209,0.45316848932313436,0.22256905970356308,0.1930498688,0.4935481920947377,0.5619651404684307,0.6725706529853098
3,0.0,0.8,0.2,0.9776367382581216,1.0,0.799661831061117,0.7666938634034435,0.38861486170644205,0.9171563000342531,0.614338555851269,0.4723924934476364,0.23179121897548016,0.19320859633081938,0.5993849964066947,0.6809104675273211,0.7761701815601374
4,0.5187478292209924,-0.1,0.2,1.0,1.0,0.8052479341390736,0.7816701337639635,0.41325891825918776,0.9638130105705501,0.68986089116216,0.5446378570634363,0.24236606392699409,0.19314422249307017,0.629438260391645,0.7204806015017836,0.7871641883046006
5,0.5349277117873095,-0.1,0.2,1.0,1.0,0.8097726307959006,0.7939679486503577,0.4311313524543532,1.0,0.7127421927443597,0.6146720672582904,0.25423584463288995,0.19367162802066729,0.6429335145462246,0.7399495930288151,0.7967165892460181
6,0.0,0.8,0.2,1.0,1.0,0.8958208165674778,0.8052955769858854,0.4142488660779817,1.0,0.6386980576524744,0.6279304189095662,0.2662520945647524,0.1938138800958111,0.721400541353674,0.8259943160390046,0.8920322813134588
7,0.9134260623360191,-0.1,0.2,1.0,1.0,0.8451733030861558,0.8184861960890933,0.45957299074106295,1.0,0.7556575099080062,0.7314801518079737,0.28021917665526436,0.19329270826195952,0.691762681879042,0.8030330874870154,0.8375576943260713
8,0.6116194823035073,-0.1,0.2,1.0,1.0,0.8416283411019178,0.8277649205306785,0.47466053307436173,1.0,0.7420654033553302,0.7967439258811656,0.295351863406335,0.194124611122021,0.6966704168885958,0.8124090998987133,0.849396961126802
9,0.9738544712285029,-0.1,0.2,1.0,1.0,0.7849483659859405,0.8372736457410985,0.5123075835324322,1.0,0.7927163499200661,0.8933359411500477,0.3122650635952726,0.19400433608209613,0.6572165801075666,0.7750605434118913,0.8024854729035638
10,0.6983402373253901,-0.1,0.2,1.0,1.0,0.7713533595313715,0.8449862073551164,0.5277107874111759,1.0,0.7651078666738311,0.9564846236477745,0.33027210543227536,0.1943618049717072,0.6517829498010411,0.7721664625822814,0.808218681949863
11,0.5232913403088781,-0.1,0.2,1.0,1.0,0.7852307819196096,0.8533277980996543,0.5347985384491719,1.0,0.7313718137148695,0.9995741503178028,0.34896086738430865,0.1941582388883617,0.6700592541355304,0.7954806025606388,0.8382074083399917
12,0.6448046431658381,-0.1,0.2,1.0,1.0,0.7817719899507765,0.8623899488401711,0.5522057827821599,1.0,0.7404625124802514,1.0,0.3674712587104656,0.19392855251967514,0.6741923064183288,0.8044948180273339,0.8431997034492396
13,0.5588961190391841,-0.1,0.2,1.0,1.0,0.7922668274870139,0.8708816274329401,0.5515455589105973,1.0,0.730039200346928,1.0,0.38579654612336095,0.1939992010115203,0.6899706240830231,0.8231632058051407,0.862177164577411
14,0.9080631795600157,-0.1,0.2,1.0,1.0,0.7512593948594242,0.8794354804886528,0.5763138836136572,1.0,0.7795909672834826,1.0,0.40393858066212734,0.1939242187984146,0.6606841668898122,0.7939506772116246,0.8224997307452324
15,0.7908000818312331,-0.1,0.2,1.0,1.0,0.7292581437591226,0.886260643099152,0.4580330686916166,1.0,0.7754222736203218,1.0,0.4218991948555061,0.19427250149247033,0.6463127914732538,0.7499242123978526,0.7862407730789605
16,0.6861987713628657,-0.1,0.2,1.0,1.0,0.7240935337190549,0.8930477568425605,0.4756718094209561,1.0,0.7586017967827764,1.0,0.43968020290695103,0.1942330600071649,0.646650106032005,0.754307735131479,0.795022770825133
17,0.5313944874866616,-0.1,0.2,1.0,1.0,0.7430819383396359,0.9001234293626176,0.4851737012782246,1.0,0.7308256521123047,1.0,0.45728340087788155,0.1941166154829652,0.6688654626356941,0.7824460388931402,0.8273022835547366
18,0.0,0.8,0.2,1.0,1.0,0.8424244883898959,0.9077923416378064,0.46518892631860986,1.0,0.6435940505611595,0.9901726621539465,0.47451402011218163,0.1939260374236434,0.7647464989684947,0.889259559934869,0.9443109014203799
