t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.6866559656975211,-0.1,0.2,0.8009594732020225,0.8794904700574446,0.724275517145372,0.7237576000000001,0.2277176580681026,0.6040316819933207,0.4259831948546281,0.28952535503266397,0.2057905071006533,0.19154,0.36926540502281247,0.39869629365588993,0.5410068496075064
1,0.9332809249931706,-0.1,0.2,0.8533558126081214,1.0,0.6645091438016157,0.7452899255200002,0.16862865265599028,0.6357155699304673,0.5827039168208723,0.34278593888739073,0.2125883208073946,0.191897858,0.4226261475536759,0.4475695547973847,0.582459657077777
2,0.0,0.8,0.2,0.9116571715832494,1.0,0.748146202053122,0.7662402619905042,0.054796381832748486,0.853293939225371,0.5915946474526207,0.3518577255137398,0.21949959210959544,0.1918827206066,0.5226163548542755,0.5326394747206974,0.6547728733609428
3,0.9491489850159691,-0.1,0.2,0.9644798835344547,1.0,0.6905946190619249,0.7865593819826019,0.0007683166435273059,0.8737372827936266,0.742413266142586,0.4117007908933183,0.22753861200636585,0.1918833609183408,0.5238993741076449,0.524040256320676,0.6047393978002136
4,0.0,0.8,0.2,1.0,1.0,0.7779997390797213,0.8013833503527786,0.0,1.0,0.6699982309467727,0.4199996544508163,0.2356632189753185,0.19303925477216372,0.6234760374772946,0.6234760374772946,0.7106953488786277
5,0.8083250213418092,-0.1,0.2,1.0,1.0,0.7449233805991132,0.8184390960201615,0.0,1.0,0.7606584289146375,0.4704746451404692,0.2447160796883747,0.19240601431120674,0.609674418221821,0.609674418221821,0.6719242232363549
6,0.0,0.8,0.2,1.0,1.0,0.8351521918239445,0.8317591779084382,0.0,1.0,0.6778985073938748,0.4754115852200659,0.2537771505958923,0.1931687883038924,0.6946455004999144,0.6946455004999144,0.7687869261307916
7,0.8517401961468736,-0.1,0.2,1.0,1.0,0.798208886804186,0.8476523406864134,0.0,1.0,0.7706778423321994,0.5247434850457194,0.2637342487908478,0.19246547205475673,0.6766036312562647,0.6766036312562647,0.725793365854476
8,0.8625326842911045,-0.1,0.2,1.0,1.0,0.7616146593881916,0.8597601745195615,0.0,1.0,0.8114600194363435,0.5674128301661994,0.2744451629062633,0.1932482482522696,0.654805952472248,0.654805952472248,0.6948349917074403
9,0.6190061012332664,-0.1,0.2,1.0,1.0,0.7633372317485423,0.8702117944981757,0.0,1.0,0.7920991920728754,0.5956013858887113,0.2856127389949749,0.19355415807234994,0.6642650622471687,0.6642650622471687,0.7086070057701432
10,0.7531345258344911,-0.1,0.2,1.0,1.0,0.7462252797281305,0.881062978042856,0.0,1.0,0.8045661931906171,0.6294501179812579,0.29734561396465037,0.19338544068305386,0.6574714672481299,0.6574714672481299,0.6991345290329618
11,0.7952142285679562,-0.1,0.2,1.0,1.0,0.7242610919359772,0.8911332095245721,0.0,1.0,0.8158684257860205,0.6626451864210509,0.3096250615534249,0.19349318907973145,0.6454131113906786,0.6454131113906786,0.6854673196763378
12,0.6918324224263241,-0.1,0.2,1.0,1.0,0.7192562885067537,0.9005256650181633,0.0,1.0,0.8050230552863581,0.6887246520786499,0.32230330397946366,0.1935820697682977,0.6477087475260404,0.6477087475260404,0.6906500013691524
13,0.5508347187897392,-0.1,0.2,1.0,1.0,0.7366206207213578,0.9100241672370132,0.0,1.0,0.7795376293868945,0.7070013420866113,0.3352202977814012,0.193490314155506,0.6703425669415654,0.6703425669415654,0.7175573145453856
14,0.8371180006276856,-0.1,0.2,1.0,1.0,0.7120021279019357,0.9201063093071156,0.0,1.0,0.8119517905653261,0.7385818055338844,0.34863973091426487,0.19328481062605374,0.655117650122663,0.655117650122663,0.6949432627781523
15,0.7108776975034775,-0.1,0.2,1.0,1.0,0.7077108780835809,0.9287357057226661,0.0,1.0,0.806140758971494,0.7608819354179777,0.3623709723134818,0.19355695922048174,0.6572763618045622,0.6572763618045622,0.6984534400373091
16,0.0,0.8,0.2,1.0,1.0,0.8111516784854761,0.9373456588239865,0.0,1.0,0.697343178084498,0.7486742510302762,0.37572074761095253,0.19350030971458984,0.760329504476151,0.760329504476151,0.8187020479507315
17,0.6049450650682409,-0.1,0.2,1.0,1.0,0.8237964406922235,0.9494531832664383,0.0,1.0,0.7422614410359937,0.7687332918059302,0.38933820597096164,0.19261169695413927,0.7821561529787933,0.7821561529787933,0.8240013734826414
18,0.9047553503632348,-0.1,0.2,1.0,1.0,0.7924664803660632,0.9595072389567405,0.0,1.0,0.8060548919774337,0.8000963073788621,0.40344675005882924,0.19301159672201218,0.7603773245418073,0.7603773245418073,0.786251359086803
19,0.9431998655396387,-0.1,0.2,1.0,1.0,0.756727959766945,0.9671196045067032,0.0,1.0,0.8383689824600782,0.8293833630460552,0.41799994981916205,0.19351792206971652,0.7318464451689722,0.7318464451689722,0.7521793031381738
20,0.5273946780555423,-0.1,0.2,1.0,1.0,0.7846444604426587,0.973457445939872,0.0,1.0,0.7894054457530117,0.8371730078544786,0.43256341047805996,0.1937654346447074,0.7638179924333794,0.7638179924333794,0.7939823011812921
21,0.7458558683810488,-0.1,0.2,1.0,1.0,0.7803388177859216,0.9813350966342274,0.0,1.0,0.8025155102151948,0.8565413329869606,0.44736860303301856,0.19335614178094207,0.7657738691593862,0.7657738691593862,0.7918141002756842
22,0.0,0.8,0.2,1.0,1.0,0.8888255321324525,0.9884638894575097,0.0,1.0,0.6957366033987437,0.8385346032847176,0.4616656090683827,0.19347740243163034,0.8785719425407849,0.8785719425407849,0.9196958195321364
23,0.9532053129774765,-0.1,0.2,1.0,1.0,0.8540231503015978,0.9990897438355958,0.0,1.0,0.7937912975187175,0.8711406572993697,0.47647176612368625,0.19259942325036006,0.8532457704644919,0.8532457704644919,0.8689716598266128
24,0.798422820880542,-0.1,0.2,1.0,1.0,0.8430277872403057,1.0,0.0,1.0,0.8114091127559642,0.8893540953882751,0.4914941303702149,0.1934318534937375,0.8430277872403057,0.8430277872403057,0.8547929219540361
25,0.7893501490267751,-0.1,0.2,1.0,1.0,0.833552467210272,1.0,0.0,1.0,0.8177722118907563,0.9064427088076604,0.5067080432426659,0.19354761734825845,0.833552467210272,0.833552467210272,0.8448010292244397
26,0.6015265968822565,-0.1,0.2,1.0,1.0,0.8523903981263341,1.0,0.0,1.0,0.7922904470508181,0.9136632691776073,0.5219142281937914,0.19359585086890638,0.8523903981263341,0.8523903981263341,0.868445741574912
27,0.0,0.8,0.2,1.0,1.0,0.9611852630508436,1.0,0.0,1.0,0.691711596706538,0.8923786990896139,0.5365426598936458,0.19338558207191064,0.9611852630508436,0.9611852630508436,0.9911475990632779
28,0.0,0.8,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.649031944003498,0.8726554813958307,0.5506303429226259,0.19257001001000895,1.0,1.0,1.0
