t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.779886193040248,-0.1,0.2,0.7993175370014789,0.8737092485252755,0.7055770710439627,0.688,0.36279317158241486,0.5901091045567802,0.4409829289560372,0.3366267209796657,0.20673253441959333,0.2,0.3390152009802118,0.38206254097260306,0.5247531598267126
1,0.7328250350498866,-0.1,0.2,0.8514456392018603,0.9900603529638948,0.6674828597208202,0.67636,0.42119284439584764,0.6323787375705182,0.5678575377657183,0.42215014642084664,0.21510821200381433,0.2,0.3805718211114961,0.43667476585229664,0.5711735509744521
2,0.7936924144249484,-0.1,0.2,0.8994819593067337,1.0,0.6194750586612656,0.6650691999999999,0.4817845681514484,0.6680881949137016,0.6975185230411747,0.5171766556790057,0.2253006629973563,0.2,0.370580973971136,0.4330700420495754,0.5388539788297867
3,0.7559543195209028,-0.1,0.2,0.9433624370957895,1.0,0.5765338397332112,0.6541171239999999,0.5385972131189164,0.7053883215554814,0.7175172217760767,0.6055239384167396,0.2371581351357175,0.2,0.3557614621940062,0.422825708419487,0.5241466856237409
4,0.8964884362599763,-0.1,0.2,0.981412544533898,1.0,0.5118817999318166,0.6434936102799999,0.6024215889665421,0.7299537137924641,0.737791131467516,0.7046834955213797,0.2508802236947879,0.2,0.32327009593720185,0.3914308056381513,0.49089452755886537
5,0.0,0.8,0.2,1.0,1.0,0.5814362291694313,0.6331888019715999,0.6108610492423785,0.9377555652407655,0.6029793273660146,0.7112123699036961,0.26459566885591396,0.2,0.3681589093706768,0.4468717875538123,0.5767750113624603
6,0.5453352687459196,-0.1,0.2,1.0,1.0,0.566947571969496,0.6231931379124519,0.6518096391360741,0.9811185211314613,0.6947960950744732,0.7782471419002577,0.27951465500535994,0.2,0.35331783640751585,0.4339214264147083,0.5300324561029452
7,0.8467192412706195,-0.1,0.2,1.0,1.0,0.50630515345237,0.6134973437750784,0.7098175526339094,0.9986362409845534,0.740053485647582,0.8743290373413078,0.2962060892021325,0.2,0.3106168667826625,0.38778532324793136,0.4656379685396851
8,0.0,0.8,0.2,1.0,1.0,0.5724516669660036,0.604092423461826,0.7155721138180617,1.0,0.6112430948230658,0.8739264222212749,0.31272255675453664,0.2,0.34581371481225526,0.4324228426256739,0.5410720650212907
9,0.9823788905627834,-0.1,0.2,1.0,1.0,0.4891544164680526,0.5949696507579713,0.7801255444063772,1.0,0.7702047223957744,0.9793874020630858,0.331183079228253,0.2,0.29103203233271646,0.37049656526485564,0.4278355548751195
10,0.8077813522892854,-0.1,0.2,1.0,1.0,0.43223436472586685,0.5861205612352322,0.8325892869335748,1.0,0.74026410967829,1.0,0.3498712484359705,0.2,0.2533414484382791,0.3271667300053601,0.38949463021435415
11,0.5075003684748025,-0.1,0.2,1.0,1.0,0.4201802273115395,0.5775369443981752,0.8657245768687236,1.0,0.6993698159368038,1.0,0.3683725359516108,0.2,0.24266960457803718,0.31619936883781474,0.3858136033573566
12,0.5297755525844274,-0.1,0.2,1.0,1.0,0.4039664913421498,0.5692108360662299,0.8993679956020711,1.0,0.7074472817389896,1.0,0.3866888105920947,0.2,0.2299421042796065,0.30232300358027175,0.3648667694011199
13,0.6209715068326074,-0.1,0.2,1.0,1.0,0.3733474092652356,0.561134510984243,0.9376420861219759,1.0,0.7237847288276996,1.0,0.40482192248617377,0.2,0.20949811592528203,0.2782501035844638,0.33184875217408916
14,0.0,0.8,0.2,1.0,1.0,0.4353932552048229,0.5533004756547157,0.9377010339689265,1.0,0.6298268462761292,0.9930606496989108,0.4226349162552902,0.2,0.24090329520168355,0.3199666393506826,0.39548338277145606
15,0.7202655583283284,-0.1,0.2,1.0,1.0,0.3875566979937102,0.5457014613850742,0.980974441619403,1.0,0.7460264467649951,1.0,0.44040856709273735,0.2,0.2114902564647415,0.28410354414994693,0.32148519017407573
16,0.7595620573820383,-0.1,0.2,1.0,1.0,0.3336586890217214,0.538330417543522,1.0,1.0,0.7476329862690559,1.0,0.45800448142181,0.2,0.17961862137808743,0.24248513886041803,0.28182247215063855
17,0.7498865761033958,-0.1,0.2,1.0,1.0,0.28116248287295215,0.5311805050172163,1.0,1.0,0.7461013371020566,1.0,0.4754244366075919,0.2,0.14934802964434912,0.20161984001987132,0.2475464628862736
18,0.7286649407997788,-0.1,0.2,1.0,1.0,0.23180471529389501,0.5242450898666997,1.0,1.0,0.742994674264864,1.0,0.49267019224151604,0.2,0.12152248380077273,0.1640553531310432,0.2165486478819275
19,0.9988281002315422,-0.1,0.2,1.0,1.0,0.14185555799023908,0.5175177371706987,1.0,1.0,0.7836744813214881,1.0,0.5097434903191008,0.2,0.07341276737619536,0.09910723595786373,0.14913880616773773
20,0.9201077747464309,-0.1,0.2,1.0,1.0,0.06428062301509017,0.5109922050555777,1.0,1.0,0.7698324421458903,1.0,0.5266460554159098,0.2,0.03284689729682725,0.04434331135071679,0.10674208200434215
21,0.657638608507775,-0.1,0.2,0.9983684092049733,1.0,0.026480115062166812,0.5046624389039104,1.0,1.0,0.7311541691688718,1.0,0.5433795948617507,0.2,0.013341715654405938,0.018011316133448016,0.09596336796276927
22,0.644519973657101,-0.1,0.2,0.9946428830668986,1.0,0.0,0.4985225657367931,1.0,1.0,0.7311202875901216,1.0,0.5599457989131332,0.2,0.0,0.0,0.0806639137229635
23,0.0,0.8,0.2,0.9958018819530362,1.0,0.06035802665176272,0.49256688876468935,0.9985,1.0,0.634323985620494,0.9933034952235066,0.5762124108284721,0.2,0.029605553816307088,0.03995195473626101,0.14396196583967363
24,0.7001999024592456,-0.1,0.2,0.9932418502625654,1.0,0.01408745673530929,0.48678988210174867,1.0,1.0,0.7443137860878621,1.0,0.5924502867201874,0.2,0.006811286503427096,0.00919523677962658,0.08452181543632392
25,0.6932567658529672,-0.1,0.2,0.9895932225086269,1.0,0.0,0.4811861856386962,1.0,1.0,0.7377728255735521,1.0,0.6085257838529855,0.2,0.0,0.0,0.07866815232793437
26,0.9236548866514023,-0.1,0.2,0.9859993241709976,1.0,0.0,0.4757506000695353,1.0,1.0,0.7726595917190328,1.0,0.6244405260144557,0.2,0.0,0.0,0.06820212248429014
27,0.0,0.8,0.2,0.9870759238962801,1.0,0.05770736984809391,0.47047808206744923,0.9985,1.0,0.6322470204140483,0.9931913391023585,0.6400599475363582,0.2,0.026799163340137655,0.03616480094843226,0.1413659746819529
28,0.9551359640520907,-0.1,0.2,0.9835197850378359,1.0,0.0,0.46536373960542576,1.0,1.0,0.7826580435871112,1.0,0.6556593480609947,0.2,0.0,0.0,0.0652025869238666
29,0.9901794705871461,-0.1,0.2,0.9800169882622684,0.9988164218346699,0.0,0.46040282741726296,1.0,1.0,0.7803940184087164,1.0,0.6711027545803847,0.2,0.0,0.0,0.06588179447738507
30,0.536519171916849,-0.1,0.2,0.9765667334383343,0.9974920330738579,0.0,0.4555907425947451,1.0,1.0,0.7124581748670915,1.0,0.6863917270345808,0.2,0.0,0.0,0.08626254753987253
31,0.8892554293383255,-0.1,0.2,0.9731682324367593,1.0,0.0,0.45092302031690273,1.0,1.0,0.7687654056573943,1.0,0.701527809764235,0.2,0.0,0.0,0.0693703783027817
32,0.5435720991760851,-0.1,0.2,0.9698207089502079,0.9990850858108523,0.0,0.44639532970739565,1.0,1.0,0.714097544593543,1.0,0.7165125316665927,0.2,0.0,0.0,0.08577073662193707
33,0.9820381082968821,-0.1,0.2,0.9665233983159548,1.0,0.0,0.4420034698161738,1.0,1.0,0.7826008390148551,1.0,0.7313474063499268,0.2,0.0,0.0,0.06521974829554344
