t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.551583017115358,-0.1,0.2,0.8019544056823257,0.8778187056919236,0.7398225474326963,0.688,0.3490949810269215,0.6083733586307715,0.4067374525673037,0.31299734227143955,0.2062599468454288,0.2,0.3583195549713123,0.40210020035681215,0.5417851703032903
1,0.5774861354012051,-0.1,0.2,0.8591363287099728,1.0,0.7245154889110251,0.67636,0.3985167746253207,0.6623395334534442,0.5120235002491194,0.3828931771587299,0.2138552109201491,0.2,0.42100540693969885,0.47972760784539914,0.6077684666685892
2,0.0,0.8,0.2,0.9210757686255119,1.0,0.7947060605773597,0.6650691999999999,0.4120538552596877,0.8728459521153064,0.5254223252366634,0.4016204599371747,0.2217490680096911,0.2,0.48682034288622733,0.5570290125730168,0.6734746606870643
3,0.9589775215438594,-0.1,0.2,0.9760042638014989,1.0,0.7186828963171203,0.6541171239999999,0.482791160170827,0.8857139123071854,0.6819978372064092,0.5231970162367559,0.2319955176543293,0.2,0.45882232669095546,0.536352703886347,0.6313004471414723
4,0.8825813012527193,-0.1,0.2,1.0,1.0,0.6539846909180557,0.6434936102799999,0.5471762592417195,0.9041788517146805,0.8192851405339966,0.6381601900025662,0.24443876627783734,0.2,0.4208349698267095,0.5014297864184677,0.5604297762954986
5,0.7683400040874068,-0.1,0.2,1.0,1.0,0.6061565761777657,0.6331888019715999,0.603097253005921,0.9310444973191008,0.9328196643608815,0.7422555032619127,0.2588394886802972,0.2,0.3838115562772063,0.46482804961915497,0.49463849226683304
6,0.5863322646426845,-0.1,0.2,1.0,1.0,0.5851475643881907,0.6231931379124519,0.6466997575593341,0.971396136254922,1.0,0.8275298933972952,0.27480169166144014,0.2,0.3646599467929051,0.44719887150680504,0.4507790892689175
7,0.6072002162894583,-0.1,0.2,1.0,1.0,0.5601599997319585,0.6134973437750784,0.6904642765977183,1.0,1.0,0.9110409212061138,0.292274493168948,0.2,0.34365667192460514,0.42670560130704577,0.4246069057914452
8,0.9144600243892097,-0.1,0.2,1.0,1.0,0.48832968689301676,0.604092423461826,0.7515702711461278,1.0,1.0,1.0,0.31135174823725853,0.2,0.29499626400355716,0.372594911747044,0.3663916207557619
9,0.9002239192714832,-0.1,0.2,1.0,1.0,0.4186175117898556,0.5949696507579713,0.8102944495237636,1.0,1.0,1.0,0.33023823075488595,0.2,0.24906471479078132,0.3197002293792976,0.30968630506765027
10,0.6549249786497677,-0.1,0.2,1.0,1.0,0.3856839696637705,0.5861205612352322,0.8528325870046556,1.0,1.0,1.0,0.3489358484473371,0.2,0.22605730475876143,0.2935334673688115,0.2789369298625586
11,0.865947354439359,-0.1,0.2,1.0,1.0,0.3205610402806911,0.5775369443981752,0.9069686135959008,1.0,1.0,1.0,0.3674464899628638,0.2,0.1851358436968107,0.24390518351642201,0.22592568326977858
12,0.9400253756805996,-0.1,0.2,1.0,1.0,0.24430411865233836,0.5692108360662299,0.9641959207968392,1.0,1.0,1.0,0.38577202506323516,0.2,0.13906055163252096,0.18598911745226318,0.1652515656750559
13,0.0,0.8,0.2,1.0,1.0,0.3092256981906624,0.561134510984243,0.9635910227769183,1.0,1.0,1.0,0.4039143048126028,0.2,0.17351721093797848,0.23203708030297224,0.2045133137021427
14,0.8358507282582366,-0.1,0.2,1.0,1.0,0.2468557605576329,0.5533004756547157,1.0,1.0,1.0,1.0,0.4218751617644768,0.2,0.1365854097346449,0.18439030314177063,0.15673175767050507
15,0.5888950871203922,-0.1,0.2,1.0,1.0,0.22155283644741847,0.5457014613850742,1.0,1.0,1.0,1.0,0.43965641014683204,0.2,0.1209017066233646,0.1632173039415422,0.13873470835031088
16,0.5446731036326952,-0.1,0.2,1.0,1.0,0.20237822846102554,0.538330417543522,1.0,1.0,1.0,1.0,0.45725984604536374,0.2,0.10894635622914216,0.14707758090934192,0.12501594377294062
17,0.9327420850925416,-0.1,0.2,1.0,0.9976751887460528,0.12442290287229486,0.5311805050172163,1.0,1.0,1.0,1.0,0.4746872475849101,0.2,0.06593737123544141,0.08901545116784591,0.07566313349266901
18,0.6501228697866623,-0.1,0.2,1.0,0.9906033728616238,0.08919753964521504,0.5242450898666997,1.0,1.0,1.0,1.0,0.491940375109061,0.2,0.04632197300827237,0.0625346635611677,0.05315446402699253
19,0.7861834008429458,-0.1,0.2,0.9988498679897552,0.9763898446285048,0.03328419488457879,0.5175177371706987,1.0,1.0,1.0,1.0,0.5090209713579704,0.2,0.016799129023936106,0.022678824182313744,0.019277000554966672
20,0.9240220441118173,-0.1,0.2,0.9951171199699088,0.9578733733635234,0.0,0.5109922050555777,1.0,1.0,1.0,1.0,0.5259307616443908,0.2,0.0,0.0,0.0
21,0.706973021565866,-0.1,0.2,0.9914403631703602,0.9391282678753834,0.0,0.5046624389039104,1.0,1.0,1.0,1.0,0.5426714540279469,0.2,0.0,0.0,0.0
22,0.7155215086466535,-0.1,0.2,0.9878187577228048,0.9201731491161961,0.0,0.4985225657367931,1.0,1.0,1.0,1.0,0.5592447394876675,0.2,0.0,0.0,0.0
23,0.6525557982163694,-0.1,0.2,0.9842514763569628,0.9010259029806282,0.0,0.49256688876468935,1.0,1.0,1.0,1.0,0.5756522920927909,0.2,0.0,0.0,0.0
24,0.5216192345361242,-0.1,0.2,0.9807377042116083,0.8817037050040586,0.0,0.48678988210174867,1.0,1.0,1.0,1.0,0.591895769171863,0.2,0.0,0.0,0.0
25,0.0,0.8,0.2,0.9813792121300866,0.8693021253532905,0.058992342276643545,0.4811861856386962,0.9985,1.0,1.0,1.0,0.6079768114801444,0.2,0.024216779452873757,0.03267993845216681,0.02807794768434177
26,0.6402166058081094,-0.1,0.2,0.979300049616268,0.8520224460721085,0.020415038279621718,0.4757506000695353,1.0,1.0,1.0,1.0,0.6238970433653429,0.2,0.008103942595256998,0.010940322503596948,0.009299274128057422
27,0.7356200430574965,-0.1,0.2,0.975860548872024,0.8321303559464228,0.0,0.47047808206744923,1.0,1.0,1.0,1.0,0.6396580729316895,0.2,0.0,0.0,0.0
28,0.9986394370860562,-0.1,0.2,0.9724726406389437,0.8121274997756606,0.0,0.46536373960542576,1.0,1.0,1.0,1.0,0.6552614922023726,0.2,0.0,0.0,0.0
29,0.7063973282036625,-0.1,0.2,0.9691355510293596,0.7920278134724066,0.0,0.46040282741726296,1.0,1.0,1.0,1.0,0.6707088772803489,0.2,0.0,0.0,0.0
30,0.8163324908955095,-0.1,0.2,0.9658485177639191,0.7718446556779001,0.0,0.4555907425947451,1.0,1.0,1.0,1.0,0.6860017885075455,0.2,0.0,0.0,0.0
31,0.677915377303676,-0.1,0.2,0.9626107899974603,0.7515908274680837,0.0,0.45092302031690273,1.0,1.0,1.0,1.0,0.70114177062247,0.2,0.0,0.0,0.0
32,0.660334451624871,-0.1,0.2,0.9594216281474984,0.7312785914326541,0.0,0.44639532970739565,1.0,1.0,1.0,1.0,0.7161303529162453,0.2,0.0,0.0,0.0
33,0.9521575507653288,-0.1,0.2,0.9562803037252859,0.7109196901464581,0.0,0.4420034698161738,1.0,1.0,1.0,1.0,0.7309690493870828,0.2,0.0,0.0,0.0
34,0.5308051210200879,-0.1,0.2,0.9531860991694067,0.6905253640519962,0.0,0.43774336572168854,1.0,1.0,1.0,1.0,0.745659358893212,0.2,0.0,0.0,0.0
35,0.882581120663138,-0.1,0.2,0.9501383076818656,0.6701063687712192,0.0,0.43361106475003786,1.0,1.0,1.0,1.0,0.7602027653042799,0.2,0.0,0.0,0.0
36,0.618708584912663,-0.1,0.2,0.9471362330666376,0.6496729918642538,0.0,0.4296027328075367,1.0,1.0,1.0,1.0,0.774600737651237,0.2,0.0,0.0,0.0
37,0.5887698467482785,-0.1,0.2,0.9441791895706381,0.6292350690521548,0.0,0.42571465082331056,1.0,1.0,1.0,1.0,0.7888547302747247,0.2,0.0,0.0,0.0
38,0.5214055938910098,-0.1,0.2,0.9412665017270785,0.6088019999202613,0.0,0.42194321129861123,1.0,1.0,1.0,1.0,0.8029661829719775,0.2,0.0,0.0,0.0
39,0.9479638895559113,-0.1,0.2,0.9383975042011723,0.5883827631182296,0.0,0.41828491495965286,1.0,1.0,1.0,1.0,0.8169365211422578,0.2,0.0,0.0,0.0
40,0.8674389782369629,-0.1,0.2,0.9355715416381547,0.5679859310723252,0.0,0.4147363675108633,1.0,1.0,1.0,1.0,0.8307671559308353,0.2,0.0,0.0,0.0
41,0.5090937626466537,-0.1,0.2,0.9327879685135824,0.5476196842250832,0.0,0.4112942764855374,1.0,1.0,1.0,1.0,0.844459484371527,0.2,0.0,0.0,0.0
