t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8512927619934277,-0.1,0.2,0.8013012531121708,0.8927938182841183,0.7182684857009859,0.86552,0.3637175657196057,0.5864965790405259,0.44665391429901413,0.3438396408663198,0.2068767928173264,0.15800000000000003,0.4447448381837718,0.5013613666524683,0.6366571616545981
1,0.9701761947830589,-0.1,0.2,0.8553571766513293,1.0,0.6853180291980122,1.0,0.4329751982635991,0.6120226202962601,0.6038076478015223,0.4534533365924774,0.2158770916210027,0.15800000000000003,0.586191694563065,0.6750239573739363,0.7831280694273891
2,0.6278877567165195,-0.1,0.2,0.9101132266217644,1.0,0.7042050952525641,1.0,0.4799640837100003,0.6639106949470882,0.7017604289189241,0.5302280687461051,0.22632288207971477,0.15800000000000003,0.6409063714437981,0.7485705852036715,0.8162568687474435
3,0.8292250091200379,-0.1,0.2,0.9631201896188996,1.0,0.69260826745577,1.0,0.5378584821644525,0.6976162664196016,0.8250161588409836,0.6305012650905177,0.23866967856072796,0.15800000000000003,0.6670650058836187,0.7926403059329734,0.8167394123907322
4,0.8421165640384778,-0.1,0.2,1.0,1.0,0.6792516588381617,1.0,0.59507901395265,0.7289422906397394,0.944042835504706,0.7338714452209384,0.25296041067953945,0.15800000000000003,0.6792516588381617,0.820724601416652,0.8049030605527424
5,0.8887582939450562,-0.1,0.2,1.0,1.0,0.6590991398638308,1.0,0.6536675362405371,0.7552839354985453,1.0,0.8398640067056772,0.2692280867068576,0.15800000000000003,0.6590991398638308,0.8098902386763975,0.7681731956268305
6,0.6116330581561248,-0.1,0.2,1.0,1.0,0.6808176940424546,1.0,0.6941638313238911,0.8027419334261136,1.0,0.914197226064968,0.28681975036108837,0.15800000000000003,0.6808176940424546,0.8462273506678171,0.7909604818028663
7,0.6790163398081466,-0.1,0.2,1.0,1.0,0.6921029776605958,1.0,0.7376907159292827,0.8429109489044174,1.0,0.9925490028427751,0.30580253291433296,0.15800000000000003,0.6921029776605958,0.8707982570411275,0.8031403752991018
8,0.9021406420794442,-0.1,0.2,1.0,1.0,0.6697503366837702,1.0,0.7935168865558173,0.8636232595818852,1.0,1.0,0.32474450758518963,0.15800000000000003,0.6697503366837702,0.8557607073610256,0.7791932239457083
9,0.5748517780045066,-0.1,0.2,1.0,1.0,0.6968263149328375,1.0,0.8283100710721923,0.9096901869582493,1.0,1.0,0.34349706250933776,0.15800000000000003,0.6968263149328375,0.8988422039892849,0.8088538591764537
10,0.8319995264535025,-0.1,0.2,1.0,1.0,0.6849239912408196,1.0,0.8776622908825977,0.933342617363639,1.0,1.0,0.3620620918842444,0.15800000000000003,0.6849239912408196,0.8953201769723241,0.7959896922499559
11,0.8258491459113985,-0.1,0.2,1.0,1.0,0.6741227594854975,1.0,0.9254116823652166,0.9565409809961816,1.0,1.0,0.38044147096540193,0.15800000000000003,0.6741227594854975,0.8924671364271524,0.7840147294900361
12,0.6685331129572819,-0.1,0.2,1.0,1.0,0.6870809511496226,1.0,0.9625283770835232,0.9913966927197518,1.0,1.0,0.3986370562557479,0.15800000000000003,0.6870809511496226,0.91854817064189,0.7987602696289018
13,0.0,0.8,0.2,1.0,1.0,0.8001247368823783,1.0,0.9586051676564351,1.0,1.0,1.0,0.41665068569319047,0.15800000000000003,0.8001247368823783,1.0,0.8687789664687131
14,0.9889997667889289,-0.1,0.2,1.0,1.0,0.7631229008108033,1.0,1.0,1.0,1.0,1.0,0.43448417883625856,0.15800000000000003,0.7631229008108033,1.0,0.8605
15,0.9952163172301123,-0.1,0.2,1.0,1.0,0.7257436097141243,1.0,1.0,1.0,1.0,1.0,0.452139337047896,0.15800000000000003,0.7257436097141243,0.9797538731140679,0.8432907921469577
16,0.8037656064867764,-0.1,0.2,1.0,1.0,0.717642614595396,1.0,1.0,1.0,1.0,1.0,0.46961794367741705,0.15800000000000003,0.717642614595396,0.9688175297037847,0.833994900248217
17,0.8434417504301477,-0.1,0.2,1.0,1.0,0.7037117128119429,1.0,1.0,1.0,1.0,1.0,0.4869217642406429,0.15800000000000003,0.7037117128119429,0.9500108122961229,0.8180091904517044
18,0.7945420840286356,-0.1,0.2,1.0,1.0,0.6973247245154685,1.0,1.0,1.0,1.0,1.0,0.5040525465982364,0.15800000000000003,0.6973247245154685,0.9413883780958825,0.8106801213815
19,0.5905990185769177,-0.1,0.2,1.0,1.0,0.7216250008611987,1.0,1.0,1.0,1.0,1.0,0.5210120211322541,0.15800000000000003,0.7216250008611987,0.9741937511626184,0.8385646884882256
20,0.0,0.8,0.2,1.0,1.0,0.8341506258482807,1.0,0.99514,1.0,1.0,1.0,0.5378019009209316,0.15800000000000003,0.8341506258482807,1.0,0.861472
21,0.7568907278487451,-0.1,0.2,1.0,1.0,0.8314547572832447,1.0,1.0,1.0,1.0,1.0,0.5544238819117223,0.15800000000000003,0.8314547572832447,1.0,0.8605
22,0.7263004542295528,-0.1,0.2,1.0,1.0,0.8333878677895631,1.0,1.0,1.0,1.0,1.0,0.5708796430926051,0.15800000000000003,0.8333878677895631,1.0,0.8605
23,0.8991209502567548,-0.1,0.2,1.0,1.0,0.8093689072342064,1.0,1.0,1.0,1.0,1.0,0.5871708466616791,0.15800000000000003,0.8093689072342064,1.0,0.8605
24,0.55121401370013,-0.1,0.2,1.0,1.0,0.8378962715706738,1.0,1.0,1.0,1.0,1.0,0.6032991381950623,0.15800000000000003,0.8378962715706738,1.0,0.8605
25,0.5447676192173048,-0.1,0.2,1.0,1.0,0.866962684614518,1.0,1.0,1.0,1.0,1.0,0.6192661468131118,0.15800000000000003,0.866962684614518,1.0,0.8605
26,0.5139987027709021,-0.1,0.2,1.0,1.0,0.9002084389296648,1.0,1.0,1.0,1.0,1.0,0.6350734853449806,0.15800000000000003,0.9002084389296648,1.0,0.8605
27,0.5569373096756551,-0.1,0.2,1.0,1.0,0.9265147158943716,1.0,1.0,1.0,1.0,1.0,0.6507227504915308,0.15800000000000003,0.9265147158943716,1.0,0.8605
28,0.5464918480261738,-0.1,0.2,1.0,1.0,0.95399321795203,1.0,1.0,1.0,1.0,1.0,0.6662155229866156,0.15800000000000003,0.95399321795203,1.0,0.8605
29,0.8426860651685775,-0.1,0.2,1.0,1.0,0.9366304099074628,1.0,1.0,1.0,1.0,1.0,0.6815533677567495,0.15800000000000003,0.9366304099074628,1.0,0.8605
30,0.7275834504869751,-0.1,0.2,1.0,1.0,0.9367934361858046,1.0,1.0,1.0,1.0,1.0,0.696737834079182,0.15800000000000003,0.9367934361858046,1.0,0.8605
31,0.7185212910834463,-0.1,0.2,1.0,1.0,0.9383133409805006,1.0,1.0,1.0,1.0,1.0,0.7117704557383902,0.15800000000000003,0.9383133409805006,1.0,0.8605
32,0.5474271150543484,-0.1,0.2,1.0,1.0,0.9654745736076408,1.0,1.0,1.0,1.0,1.0,0.7266527511810063,0.15800000000000003,0.9654745736076408,1.0,0.8605
33,0.618131665323806,-0.1,0.2,1.0,1.0,0.9816227052049552,1.0,1.0,1.0,1.0,1.0,0.7413862236691962,0.15800000000000003,0.9816227052049552,1.0,0.8605
34,0.9695101100543781,-0.1,0.2,1.0,1.0,0.9448218481187242,1.0,1.0,1.0,1.0,1.0,0.7559723614325042,0.15800000000000003,0.9448218481187242,1.0,0.8605
35,0.0,0.8,0.2,1.0,1.0,1.0,1.0,0.99514,1.0,1.0,1.0,0.7704126378181793,0.15800000000000003,1.0,1.0,0.861472
36,0.8517354364200864,-0.1,0.2,1.0,1.0,0.980589684536987,1.0,1.0,1.0,1.0,1.0,0.7847085114399975,0.15800000000000003,0.980589684536987,1.0,0.8605
37,0.509552999680305,-0.1,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7988614263255975,0.15800000000000003,1.0,1.0,0.8605
38,0.9719661548258396,-0.1,0.2,1.0,1.0,0.962555076776124,1.0,1.0,1.0,1.0,1.0,0.8128728120623416,0.15800000000000003,0.962555076776124,1.0,0.8605
39,0.6737452585612398,-0.1,0.2,1.0,1.0,0.9704049618402961,1.0,1.0,1.0,1.0,1.0,0.8267440839417183,0.15800000000000003,0.9704049618402961,1.0,0.8605
