t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.22648274175113994,0.34478274870593495,0.2,0.8094603856552969,0.9089873714484795,0.817673428737329,0.908632,0.27455397718989516,0.7031492242481507,0.25971257074114373,0.27382087001687944,0.2054764174003376,0.14780000000000001,0.5466651166185136,0.5991962953040204,0.7223668510084172
1,0.15452410941814468,0.25848719951589216,0.2,0.8810481399419512,1.0,0.9059957508935473,1.0,0.24557692301006323,0.8428013070242598,0.21087122209528103,0.2975725448802269,0.21137310412393875,0.1496792,0.7982258711200713,0.8668349197739144,0.9493898818078271
2,0.21683991025035596,0.32359699890685234,0.2,0.9577743578950292,1.0,0.9836492506525908,1.0,0.22105783113865973,0.9801112815943832,0.17381119286254315,0.3307542176951143,0.21787445743660167,0.14961154880000002,0.9421140294377117,1.0,1.0
3,0.20357843211521767,0.28081364575891443,0.2,1.0,1.0,1.0,1.0,0.19635622271138903,1.0,0.1366152356243554,0.3631483161030056,0.22495867918429577,0.14961398424320002,1.0,1.0,1.0
4,0.198475533254277,0.31068017336408377,0.2,1.0,1.0,1.0,1.0,0.17196597354906723,1.0,0.10051363089782135,0.39469135472815736,0.23260291948701597,0.1496138965672448,1.0,1.0,1.0
5,0.19649632136896025,0.26583828702548057,0.2,1.0,1.0,1.0,1.0,0.14806672815519123,1.0,0.06592022500357662,0.42560672538566874,0.2407890247998592,0.1496138997235792,1.0,1.0,1.0
6,0.18445357122330147,0.2893531820205371,0.2,1.0,1.0,1.0,1.0,0.12404239887833236,1.0,0.03125007686855995,0.45518154780503495,0.2494847655079613,0.14961389960995117,1.0,1.0,1.0
7,0.20784096649899725,0.34948195629497425,0.2,1.0,1.0,1.0,1.0,0.10202192155026397,1.0,0.0018215454321393182,0.4859355578569704,0.2587086290100211,0.14961389961404178,1.0,1.0,1.0
8,0.22595163784745947,0.30441770474293206,0.2,1.0,1.0,1.0,1.0,0.08163859643629327,1.0,0.0,0.5162750760199767,0.2684470442403204,0.14961389961389449,1.0,1.0,1.0
9,0.18558833509806827,0.2768240741649328,0.2,1.0,1.0,1.0,1.0,0.05934305628520875,1.0,0.0,0.5417713476100499,0.2785980007501182,0.1496138996138998,1.0,1.0,1.0
10,0.1528739463514286,0.25274448570908187,0.2,1.0,1.0,1.0,1.0,0.03564204131310296,1.0,0.0,0.5632878074281238,0.28907777689117947,0.1496138996138996,1.0,1.0,1.0
11,0.18719150896778497,0.2818465127853677,0.2,1.0,1.0,1.0,1.0,0.014592605472281195,1.0,0.0,0.5860833795153592,0.2999086667125749,0.14961389961389962,1.0,1.0,1.0
12,0.18040119375205693,0.33917894578282876,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6070026791749175,0.3110496336289475,0.14961389961389962,1.0,1.0,1.0
13,0.19206022153168226,0.3060510361026499,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6275399850122372,0.3224899369929028,0.14961389961389962,1.0,1.0,1.0
14,0.16888987256920496,0.2523858079140782,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6451097861795708,0.3341672333465652,0.14961389961389962,1.0,1.0,1.0
15,0.1760114343008928,0.2636697392986467,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6621587449868065,0.34606873591283566,0.14961389961389962,1.0,1.0,1.0
16,0.1908179076669761,0.3498683568192552,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6792936479051552,0.3581939215118104,0.14961389961389962,1.0,1.0,1.0
17,0.2039583757876696,0.2681843496823144,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6963845683591275,0.3705396736638748,0.14961389961389962,1.0,1.0,1.0
18,0.2214857229266391,0.3296759921421639,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7137626860286029,0.38310953064780806,0.14961389961389962,1.0,1.0,1.0
19,0.2087521353515182,0.3406593649897561,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7291444768940959,0.3958613248792119,0.14961389961389962,1.0,1.0,1.0
20,0.21103083870664568,0.3289747637461763,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.743774016226189,0.4087781919549436,0.14961389961389962,1.0,1.0,1.0
21,0.17830295822732828,0.34809765730721265,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7550747373032588,0.42179190478145934,0.14961389961389962,1.0,1.0,1.0
22,0.22695207503185805,0.2661184653304019,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7693408291192244,0.43496080231602924,0.14961389961389962,1.0,1.0,1.0
23,0.21032032573214976,0.3215150898237453,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7815053758087219,0.44824130180904337,0.14961389961389962,1.0,1.0,1.0
24,0.1869125358193582,0.3030355716123445,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7911870010258453,0.46158262881146983,0.14961389961389962,1.0,1.0,1.0
25,0.1892011137480153,0.342483207209457,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8004591241718548,0.4749759850067922,0.14961389961389962,1.0,1.0,1.0
26,0.1900672850104524,0.3331524489791812,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.809239788948611,0.4884110209356965,0.14961389961389962,1.0,1.0,1.0
27,0.17831393638949727,0.3382850918581253,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8166133858353247,0.5018591784430461,0.14961389961389962,1.0,1.0,1.0
28,0.22197604710053004,0.29610121648816373,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8268144956565041,0.5153768765717457,0.14961389961389962,1.0,1.0,1.0
29,0.19541640563361953,0.34203304391919287,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8344144427648834,0.5289113966613259,0.14961389961389962,1.0,1.0,1.0
