t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.16888384717899477,0.26031660342307156,0.2,0.8071426480878012,0.8896378408116332,0.8028919952931195,0.7309688787097415,0.2728818576578671,0.6950971745783641,0.3189018162653628,0.26944691727753883,0.20538893834555078,0.1898338615040044,0.42142428425154305,0.4616739487935874,0.5949643910985483
1,0.18168465940885448,0.26549722708024104,0.2,0.8748060745294862,1.0,0.8565070770375263,0.7597328835078598,0.24713682736905468,0.8335894825827517,0.3386759676365999,0.2945797702475286,0.21122664436704583,0.1901357087162278,0.5692508269386275,0.6184898221100156,0.7281824216144563
2,0.1553212076543672,0.2901591014485075,0.2,0.9462638736489034,1.0,0.9166236279669941,0.7876570850366059,0.22047449457959992,0.9717465343621043,0.35353675345731694,0.3217393732937344,0.21754916538925007,0.19013023942413676,0.6831884125980722,0.735907379587642,0.8279887127934614
3,0.2234364034470175,0.33004523514958084,0.2,1.0,1.0,0.9688697474838008,0.8147300518912924,0.19858184630087083,1.0,0.3778950091059095,0.3547456820395412,0.2244685873761484,0.1901334354718175,0.7893672996433805,0.8442312051638308,0.9200631655213017
4,0.21121300820043507,0.27219281756903174,0.2,1.0,1.0,1.0,0.8409797060484724,0.17651774239409224,1.0,0.3992228037817126,0.38572736025757864,0.2319384487075385,0.1901360672601139,0.8409797060484724,0.8929364497372956,0.9614619654616727
5,0.1929344006539851,0.277668264344145,0.2,1.0,1.0,1.0,0.866431854039914,0.1539216592650059,1.0,0.41676123382734814,0.41416140913997423,0.23990229240326258,0.19013843710420453,0.866431854039914,0.9131087740547715,0.9786078486705048
6,0.1638131623428295,0.260618329243153,0.2,1.0,1.0,1.0,0.8911114453945453,0.13015499652830784,1.0,0.4290714503255073,0.43911414263289944,0.24828555233188795,0.19014056459562412,0.8911114453945453,0.9317053578731271,0.9944144130432522
7,0.1671520346063133,0.342747563142806,0.2,1.0,1.0,1.0,0.9150425755999427,0.10719342034928822,1.0,0.44128215435541723,0.46336460710356886,0.2570699889506404,0.19014247470806772,0.9150425755999427,0.9493728658052657,1.0
8,0.21631360390227355,0.33066523467023234,0.2,1.0,1.0,1.0,0.9382485234242256,0.0877650835500575,1.0,0.4602701762935499,0.49088306763028533,0.2663169504137397,0.19014418964693663,0.9382485234242256,0.9670694344413915,1.0
9,0.2140358270834373,0.269343561801924,0.2,1.0,1.0,1.0,0.9607517849808025,0.0686943230842017,1.0,0.47797935688259807,0.5173376230095111,0.2760005333697925,0.19014572935505436,0.9607517849808025,0.9838511527132207,1.0
10,0.17478799658396285,0.312697560241313,0.2,1.0,1.0,1.0,0.9825741058216378,0.04775312427348337,1.0,0.48892688086968616,0.5395664404718362,0.28603185684553134,0.19014711173732032,0.9825741058216378,0.9989964500057605,1.0
11,0.20855157671029745,0.3354648357991347,0.2,1.0,1.0,1.0,1.0,0.029368149770118125,1.0,0.5044014210595408,0.563811057980536,0.2964477594366868,0.19014835286913448,1.0,1.0,1.0
12,0.22040406010889596,0.2586718252634922,0.2,1.0,1.0,1.0,1.0,0.012160125219241882,1.0,0.520888955119565,0.5882560506328848,0.3072484028549776,0.19014946718332826,1.0,1.0,1.0
13,0.19846815069759038,0.3171701456516473,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5332696703170884,0.6100308591075275,0.3183765360085784,0.1901504676380006,1.0,1.0,1.0
14,0.19047630205683322,0.26777901742407845,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5438397049749912,0.6303235104657939,0.3297992408578085,0.1901513658672046,1.0,1.0,1.0
15,0.18788703100681162,0.258934620726539,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5534992509654015,0.6496120821250201,0.3414934900917308,0.19015217231623757,1.0,1.0,1.0
16,0.22476706911199262,0.3365484170185083,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5682135747689057,0.6713071959400312,0.35350469910961413,0.1901528963631065,1.0,1.0,1.0
17,0.1938111095669643,0.28002457395733243,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5775539503796387,0.6896493778459535,0.36576263967543704,0.19015354642758295,1.0,1.0,1.0
18,0.2227096231531749,0.3072366801685891,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5907667187361126,0.7097565666805975,0.3783001446122946,0.19015413006911455,1.0,1.0,1.0
19,0.2205853791903032,0.33480440882236345,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6030043730212455,0.7290190561383524,0.39109752428893874,0.19015465407473212,1.0,1.0,1.0
20,0.19066979002662013,0.2913946043131732,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.609125055170435,0.7450174894133496,0.4040868988343163,0.19015512453797428,1.0,1.0,1.0
21,0.19791299777519916,0.2931043017293307,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6139481376311192,0.7608399547227341,0.4172628289404278,0.19015549887141758,1.0,1.0,1.0
22,0.16290564848972866,0.2805111596432739,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6116387628663881,0.7728352242832902,0.43054690513668936,0.19015544131671888,1.0,1.0,1.0
23,0.21500738549076964,0.2543238469072248,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6180404437107889,0.7885213966090006,0.4440118640175025,0.19015480977920787,1.0,1.0,1.0
24,0.15370575992028102,0.3126350745539903,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6127482627436891,0.7981728563696405,0.4575352025047203,0.19015457368676214,1.0,1.0,1.0
25,0.1724346569292975,0.3034621794879422,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6123198688232461,0.8087114555667059,0.47113407959100717,0.1901533435618814,1.0,1.0,1.0
26,0.18769920688919944,0.2842843265422156,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6143463271348851,0.8199163471296309,0.48482106573768974,0.19015313365900952,1.0,1.0,1.0
27,0.22978230993376897,0.26955734943333154,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.621893672295351,0.8341144977347591,0.498655145035008,0.19015297602749642,1.0,1.0,1.0
28,0.183023572512586,0.2702670616172396,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6194804084141878,0.8436457499525144,0.5125415085837082,0.19015254657329653,1.0,1.0,1.0
29,0.20061319854328152,0.2776304834959683,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.620632638493797,0.8540485181280486,0.526497063860432,0.19015071991107196,1.0,1.0,1.0
