t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.22648274175113994,0.34478274870593495,0.2,0.8067450913884373,0.8905491017278395,0.796490211465329,0.7479457143999999,0.26087325432289094,0.7028323612481507,0.28804879242757103,0.27199777442631484,0.2054399554885263,0.18581726,0.4280009396838342,0.4670798389798362,0.6005635481328607
1,0.15452410941814468,0.25848719951589216,0.2,0.8745694405471813,1.0,0.8584440691196317,0.7928322031800527,0.2186302915527442,0.8437103993730506,0.2673847975347028,0.292919180100141,0.21124393953564388,0.18620074285203803,0.5952338001297018,0.6407814488722435,0.7481140458283975
2,0.21683991025035596,0.32359699890685234,0.2,0.945929044028333,1.0,0.9153518136169918,0.8364159230868354,0.18117631769703202,0.9821288388517184,0.25706126202883095,0.3221026592594511,0.21757355332547648,0.18619037397424662,0.7242173062560023,0.7701411649219765,0.8580723966901184
3,0.20357843211521767,0.28081364575891443,0.2,1.0,1.0,0.9784681524471759,0.8786909464040232,0.1438631676296177,1.0,0.24526576611328452,0.3496293607696469,0.22439040500761467,0.18619065433522253,0.859771106900005,0.9030623951062752,0.9710553722565283
4,0.198475533254277,0.31068017336408377,0.2,1.0,1.0,1.0,0.9196977510623491,0.10717666797140883,1.0,0.23329458083994964,0.3756082297727027,0.23165866555299258,0.18619064675462624,0.9196977510623491,0.9541973002372304,1.0
5,0.19649632136896025,0.26583828702548057,0.2,1.0,1.0,1.0,0.9594743507145874,0.07128857821079909,1.0,0.22162507384037833,0.40034734502718755,0.23934902579800643,0.1861906469595957,0.9594743507145874,0.9834141975168479,1.0
6,0.18445357122330147,0.2893531820205371,0.2,1.0,1.0,1.0,0.9980576524006832,0.03557512568224036,1.0,0.2087326296474979,0.42323771452849146,0.24742028983059622,0.1861906469540536,0.9980576524006832,1.0,1.0
7,0.20784096649899725,0.34948195629497425,0.2,1.0,1.0,1.0,1.0,0.0021577531835245273,1.0,0.19999291695619556,0.44680225293934406,0.2558821319910771,0.18619064695420345,1.0,1.0,1.0
8,0.22595163784745947,0.30441770474293206,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.194406790601712,0.47049164986031644,0.2647331436683727,0.1861906469541994,1.0,1.0,1.0
9,0.18558833509806827,0.2768240741649328,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.18304547515254438,0.4902748786714487,0.27389130980511794,0.1861906469541995,1.0,1.0,1.0
10,0.1528739463514286,0.25274448570908187,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.16734506716383918,0.5071147199394933,0.28329469110585664,0.1861906469541995,1.0,1.0,1.0
11,0.18719150896778497,0.2818465127853677,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.15757731396702268,0.5258274608685078,0.29297829341216824,0.1861906469541995,1.0,1.0,1.0
12,0.18040119375205693,0.33917894578282876,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.14727940114768784,0.5433321088852056,0.3029151526557507,0.1861906469541995,1.0,1.0,1.0
13,0.19206022153168226,0.3060510361026499,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.1392452381362635,0.5609531123625101,0.3131050633764434,0.1861906469541995,1.0,1.0,1.0
14,0.16888987256920496,0.2523858079140782,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.1281372309310388,0.5762723934832281,0.3234994606123435,0.1861906469541995,1.0,1.0,1.0
15,0.1760114343008928,0.2636697392986467,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.11865285834582849,0.5915666848186418,0.33409579970259295,0.1861906469541995,1.0,1.0,1.0
16,0.1908179076669761,0.3498683568192552,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.11186367539479121,0.6072894696562917,0.34490063109869284,0.1861906469541995,1.0,1.0,1.0
17,0.2039583757876696,0.2681843496823144,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.1073850218094098,0.6232022180174229,0.3559156691480544,0.1861906469541995,1.0,1.0,1.0
18,0.2214857229266391,0.3296759921421639,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.10575940297414287,0.6394993986199805,0.36714650042897345,0.1861906469541995,1.0,1.0,1.0
19,0.2087521353515182,0.3406593649897561,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.10230502694437117,0.6540297061425772,0.3785556295475353,0.1861906469541995,1.0,1.0,1.0
20,0.21103083870664568,0.3289747637461763,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.09936517521935719,0.6679705399681282,0.3901294840514225,0.1861906469541995,1.0,1.0,1.0
21,0.17830295822732828,0.34809765730721265,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.09166313400869629,0.6790002596640425,0.40180819440418913,0.1861906469541995,1.0,1.0,1.0
22,0.22695207503185805,0.2661184653304019,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.09164356237924791,0.6929070733230194,0.4136482539266076,0.1861906469541995,1.0,1.0,1.0
23,0.21032032573214976,0.3215150898237453,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0891302069363157,0.7048696050318339,0.4256091634879782,0.1861906469541995,1.0,1.0,1.0
24,0.1869125358193582,0.3030355716123445,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.08323135077861137,0.7146460113141814,0.4376459920793821,0.1861906469541995,1.0,1.0,1.0
25,0.1892011137480153,0.342483207209457,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.07797072411809082,0.7242109594823875,0.44975375134823603,0.1861906469541995,1.0,1.0,1.0
26,0.1900672850104524,0.3331524489791812,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.07310305447996186,0.7334581014543206,0.4619253758638401,0.1861906469541995,1.0,1.0,1.0
27,0.17831393638949727,0.3382850918581253,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.06671576603059608,0.7415490088161689,0.47413710228152506,0.1861906469541995,1.0,1.0,1.0
28,0.22197604710053004,0.29610121648816373,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.06719715861035351,0.7523107763885426,0.4864419467864807,0.1861906469541995,1.0,1.0,1.0
29,0.19541640563361953,0.34203304391919287,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.06367053534108648,0.7606351352469813,0.49879023002355544,0.1861906469541995,1.0,1.0,1.0
30,0.20790183630976147,0.2986608554861585,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.062193057836704105,0.7694266699749037,0.5111908611228179,0.1861906469541995,1.0,1.0,1.0
31,0.16774488087928086,0.2824667243768898,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.054765910892968755,0.7750648498847473,0.5235802495092846,0.1861906469541995,1.0,1.0,1.0
32,0.2059657310456195,0.2666069685494126,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.05344324882137097,0.7831968929591661,0.5360083848733751,0.1861906469541995,1.0,1.0,1.0
33,0.22263523973008756,0.27681375128998165,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.05468714615602327,0.7920039911329303,0.5484883808472999,0.1861906469541995,1.0,1.0,1.0
34,0.22291022686944373,0.28095631249494607,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.05591009669484637,0.8002541488762238,0.5610085800163513,0.1861906469541995,1.0,1.0,1.0
35,0.22658893692449264,0.32062058063676047,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.05762370621498565,0.8082088608566352,0.5735626714333205,0.1861906469541995,1.0,1.0,1.0
36,0.1903399053586654,0.3017747756148552,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.053814280524243904,0.813201126449936,0.586091067247986,0.1861906469541995,1.0,1.0,1.0
37,0.20211315191734325,0.30879447117944847,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.05196131310184092,0.8188235939434576,0.5986066284543753,0.1861906469541995,1.0,1.0,1.0
38,0.17494754596408002,0.2707818474537927,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0461261531575686,0.822364518671675,0.611067852543265,0.1861906469541995,1.0,1.0,1.0
39,0.1909513326684226,0.34341543591337786,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.042983319216161275,0.8269815679503915,0.6234968053768402,0.1861906469541995,1.0,1.0,1.0
40,0.19986120693806977,0.25753753690740455,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.04133410811227138,0.8320350049847148,0.635902537422766,0.1861906469541995,1.0,1.0,1.0
41,0.21563199957696133,0.3225949287477298,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.04213297645940972,0.8379005065832835,0.6483015221802041,0.1861906469541995,1.0,1.0,1.0
42,0.22261228967610566,0.26914027333041174,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.043938944904062804,0.8438500917499377,0.6606955087934008,0.1861906469541995,1.0,1.0,1.0
43,0.20958261794218833,0.2558758896398656,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.04370016416639563,0.8485045660737534,0.6730586450269419,0.1861906469541995,1.0,1.0,1.0
44,0.20223279419476398,0.2773099732337149,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.04237084890349817,0.8523979747615644,0.6853760180719037,0.1861906469541995,1.0,1.0,1.0
45,0.16812932233958103,0.3375491171448238,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.03599247862546813,0.8538305632844749,0.6975988691568742,0.1861906469541995,1.0,1.0,1.0
