t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.18619036428078548,0.3059772386080496,0.2,0.8068555357050807,0.8887607494429459,0.7996462453578822,0.7260399999999999,0.3074514218568471,0.7009459256835434,0.3508485546421178,0.2759573057739749,0.2055191461154795,0.191,0.41633133585289406,0.46113191726293057,0.594212129673491
1,0.22393684672189834,0.29656500700997734,0.2,0.8736579998430428,1.0,0.8456912146692291,0.7495869999999999,0.3178687471137398,0.841136418394697,0.40486525391829664,0.3125188827436689,0.2117143323091981,0.19140500000000002,0.5538285283778906,0.6154442015288549,0.7252763212995267
2,0.1906273018449817,0.3087384828849897,0.2,0.9437065672007927,1.0,0.8987929669424435,0.772504621,0.3259871335465952,0.9799292920476742,0.4511824994991291,0.3519544834904544,0.2186362786559152,0.191386775,0.6552359671834251,0.7299954403419897,0.8226494305406913
3,0.16477282750839012,0.30119086390418054,0.2,1.0,1.0,0.9576435181927982,0.794731246975,0.33235308884343373,1.0,0.4913058100654311,0.3894993445028351,0.22623990275941275,0.19138759512500003,0.7610692273708887,0.8495995253600287,0.9243126977747743
4,0.20039061761734414,0.32929768725199526,0.2,1.0,1.0,1.0,0.816291230158525,0.3406968818000635,1.0,0.5347656191910861,0.4302598445845438,0.2345827006235095,0.19138755821937503,0.816291230158525,0.9136289870230366,0.9787377494147372
5,0.15752987649833747,0.2803401262624525,0.2,1.0,1.0,1.0,0.8372044068270944,0.3462604391045318,1.0,0.5696233268918978,0.46637648289047134,0.24356440327508383,0.19138755988012812,0.8372044068270944,0.938666174761964,1.0
6,0.15725364299934716,0.33096445343671776,0.2,1.0,1.0,1.0,0.8574901885114818,0.35166833330269864,1.0,0.6026967141738523,0.5019635708777294,0.2531680306598876,0.19138755980539424,0.8574901885114818,0.9630334394075193,1.0
7,0.2054750786032991,0.2541880336369846,0.2,1.0,1.0,1.0,0.8770692311740214,0.35957998646616407,1.0,0.6404355516483399,0.5417006673666447,0.2634703637006216,0.19141078509829246,0.8770692311740214,0.9874510209704265,1.0
8,0.22857547366390224,0.3464757781125567,0.2,1.0,1.0,1.0,0.8946913754738491,0.36511839768953297,1.0,0.6669601842392511,0.5816606458465832,0.274468872980547,0.19173480570148696,0.8946913754738491,1.0,1.0
9,0.20231380268270724,0.31155627045785705,0.2,1.0,1.0,1.0,0.9108766929306522,0.3664092155158551,1.0,0.6792267432663014,0.6168599774299556,0.28606138379934065,0.19194967064960128,0.9108766929306522,1.0,1.0
10,0.162599527611213,0.25150007369496047,0.2,1.0,1.0,1.0,0.9261667440082763,0.364106925818478,1.0,0.6807638350679116,0.6462013618545644,0.29812479719843854,0.19204660444821528,0.9261667440082763,1.0,1.0
11,0.1922705012936383,0.25595511051688546,0.2,1.0,1.0,1.0,0.9409589239154896,0.3634879607336219,1.0,0.6861532191910013,0.6766601678524183,0.3106767525835025,0.19205587171274568,0.9409589239154896,1.0,1.0
12,0.16521666102383434,0.27419430136652145,0.2,1.0,1.0,1.0,0.9551120897450751,0.3607520630364949,1.0,0.6853882108035451,0.7027273139653774,0.323624531336975,0.19210206619549286,0.9551120897450751,1.0,1.0
13,0.15240660713798307,0.29639344612232843,0.2,1.0,1.0,1.0,0.9688766415651823,0.3573835658418558,1.0,0.6829990260627143,0.7259876545966587,0.3369080391155384,0.1920935533487872,0.9688766415651823,1.0,1.0
14,0.18524248933253254,0.3342427128518532,0.2,1.0,1.0,1.0,0.9823140676598316,0.35629559109984027,1.0,0.6864645694303929,0.7509981556335985,0.35055892183705495,0.192073251102144,0.9823140676598316,1.0,1.0
15,0.19152992918112613,0.3140291707919177,0.2,1.0,1.0,1.0,0.9952182256019013,0.3552872275300934,1.0,0.6895253618409175,0.7751430313840232,0.36455619324636485,0.19210404259340744,0.9952182256019013,1.0,1.0
16,0.18998185217654334,0.3162449531890368,0.2,1.0,1.0,1.0,1.0,0.3539195034599639,1.0,0.6911632569126279,0.797713920681415,0.3788649097275295,0.19212923635988918,1.0,1.0,1.0
17,0.1865863905279646,0.2778162899663886,0.2,1.0,1.0,1.0,1.0,0.3522253016503229,1.0,0.6916546291050016,0.8186164852604279,0.3934485903354628,0.19214236507586666,1.0,1.0,1.0
18,0.22981249603704673,0.3495691641656199,0.2,1.0,1.0,1.0,1.0,0.35311939056377495,1.0,0.6984387273691127,0.8424251083711567,0.4083626065995313,0.1921460767458734,1.0,1.0,1.0
19,0.21721724395942893,0.32078096214979496,0.2,1.0,1.0,1.0,1.0,0.3525952507849873,1.0,0.7006947603970701,0.8636401528644487,0.4235517835908249,0.19220458423330813,1.0,1.0,1.0
