t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.178921821993126,0.2980480665601294,0.2,0.8068933481341534,0.8885615910185238,0.800357407821031,0.7231641759999999,0.2604175919112934,0.7015582425605661,0.3017250248098392,0.2708017843306101,0.2054160356866122,0.1916804,0.41497749493548997,0.4528010989104584,0.5869608340738897
1,0.18335621012845318,0.2946759253783923,0.2,0.8741837696183505,1.0,0.8517977713276179,0.7441706673267519,0.22229217566008808,0.8457114891841263,0.3053677113563816,0.2963718548838873,0.21128931242742383,0.19202647872080003,0.5541301569323948,0.5972427362965735,0.7096497061718875
2,0.1827612583959917,0.3157705826394271,0.2,0.9447217290168648,1.0,0.9050089492848693,0.7646078117789417,0.1850758211907098,0.9868065952436744,0.3086833312953503,0.3258723777424552,0.21769386685799869,0.19201208253817217,0.6537256250779373,0.6960717074910855,0.7936579307328796
3,0.17070843055120627,0.3134995924103484,0.2,1.0,1.0,0.9616084336831546,0.7844293107480674,0.1480670543588789,1.0,0.3100275626333214,0.35315776979131464,0.224580083585245,0.19201268139057714,0.7543138408436056,0.7934050008101514,0.8763910803409845
4,0.1508102698901876,0.28020437047996455,0.2,1.0,1.0,1.0,0.8036562700388763,0.11078960256350515,1.0,0.30831976194045124,0.3770641701318214,0.23187556615202898,0.1920126564795148,0.8036562700388763,0.8348191356032229,0.9115931011428607
5,0.17680506805581753,0.2641950517532834,0.2,1.0,1.0,1.0,0.822306416171076,0.0760037755559031,1.0,0.31059657501565163,0.4018138362125881,0.23959308721476044,0.19201265751576516,0.822306416171076,0.8441808534735721,0.919550561073595
6,0.2094731400025534,0.2810108252034945,0.2,1.0,1.0,1.0,0.8403970581015042,0.04404767851521378,1.0,0.31765975806235336,0.42813254188587574,0.24775980718033036,0.19201265747265922,0.8403970581015042,0.8533531969056395,0.9273470530016288
7,0.21313935948631207,0.3456205037257012,0.2,1.0,1.0,1.0,0.8579449807664407,0.013110457070610565,1.0,0.32491971488622023,0.45350986054504466,0.25635240631942796,0.19201265747445234,0.8579449807664407,0.8618817985601902,0.9345963644075486
8,0.17028048039697008,0.33935407039073096,0.2,1.0,1.0,1.0,0.8749664657517442,0.0,1.0,0.32538784200520393,0.4738018489575144,0.265264919235384,0.19201265747437773,0.8749664657517442,0.8749664657517442,0.9457183315203881
9,0.21461094594362265,0.31674189689081605,0.2,1.0,1.0,1.0,0.8914773061874756,0.0,1.0,0.3324821326002483,0.4969070160857366,0.27455041036474487,0.19201265747438084,0.8914773061874756,0.8914773061874756,0.959752545890759
10,0.15218954829259454,0.29567883282802065,0.2,1.0,1.0,1.0,0.9074928214101355,0.0,1.0,0.3298584990178858,0.5132862547875221,0.2840706313568479,0.1920126574743807,0.9074928214101355,0.9074928214101355,0.9733657338300201
11,0.20013990026923545,0.27962256519901,0.2,1.0,1.0,1.0,0.9230278711761156,0.0,1.0,0.33455859991113746,0.5329069408812042,0.2938880638609035,0.19201265747438073,0.9230278711761156,0.9230278711761156,0.9865705261311031
12,0.16794684099117005,0.2809790189279486,0.2,1.0,1.0,1.0,0.9380968694491164,0.0,1.0,0.33419473686801676,0.5486416666584965,0.3039220165554644,0.19201265747438073,0.9380968694491164,0.9380968694491164,0.9993791746631537
13,0.1706588038326986,0.32878252125228974,0.2,1.0,1.0,1.0,0.9527137977739272,0.0,1.0,0.33425586140328145,0.56366188298308,0.3141560340495714,0.19201265747438073,0.9527137977739272,0.9527137977739272,1.0
14,0.1778224435414629,0.29231232741232455,0.2,1.0,1.0,1.0,0.9668922182489936,0.0,1.0,0.3353884756680975,0.5784316029373604,0.32458310576782284,0.19201265747438073,0.9668922182489936,0.9668922182489936,1.0
15,0.20144178818003283,0.34483835441071126,0.2,1.0,1.0,1.0,0.9806452861098081,0.0,1.0,0.3400073609154582,0.5945009733465669,0.335227294177076,0.19201265747438073,0.9806452861098081,0.9806452861098081,1.0
16,0.1734417596928808,0.25440066030830055,0.2,1.0,1.0,1.0,0.9939857619347979,0.0,1.0,0.3401952976273781,0.6072732710454114,0.34602048665621343,0.19201265747438073,0.9939857619347979,0.9939857619347979,1.0
17,0.22791074996209448,0.3332570567726657,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.34854418604408405,0.6242149822677332,0.357044581435006,0.19201265747438073,1.0,1.0,1.0
18,0.213226495984901,0.30233726678272194,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3542729919433757,0.6391735397935484,0.3682576064165269,0.19201265747438073,1.0,1.0,1.0
19,0.16878403096788316,0.26545094051128193,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.35304898779515004,0.6494622828519944,0.3795642760094015,0.19201265747438073,1.0,1.0,1.0
20,0.17433904666686528,0.2960882316929084,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.352719436209183,0.659583203726812,0.39096029732384374,0.19201265747438073,1.0,1.0,1.0
21,0.15525855610624317,0.31992852202225763,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.349544288618421,0.6673564477860034,0.40239782330632534,0.19201265747438073,1.0,1.0,1.0
22,0.20823059669124785,0.2513067777791117,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.35447370449494786,0.6793178939330912,0.4139602029519239,0.19201265747438073,1.0,1.0,1.0
23,0.217394270219977,0.2991531923517495,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3605312006069577,0.6916042612562536,0.4256526861475297,0.19201265747438073,1.0,1.0,1.0
24,0.2235012321709906,0.2975078222893177,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3672018662060191,0.7039684077642264,0.43747552744133894,0.19201265747438073,1.0,1.0,1.0
25,0.21365906245883703,0.29542664128017476,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3720626730683044,0.7149893781217557,0.44940055972936066,0.19201265747438073,1.0,1.0,1.0
26,0.1990421849955044,0.29992324013586324,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3744879079679755,0.7242373869168025,0.4613913018704031,0.19201265747438073,1.0,1.0,1.0
27,0.151820341925671,0.2643949089252057,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3697086046621881,0.7287636218403843,0.4733526612885068,0.19201265747438073,1.0,1.0,1.0
28,0.16858092541666422,0.2906216598278033,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.367682354045339,0.7343274509064011,0.48530568369374977,0.19201265747438073,1.0,1.0,1.0
29,0.17953991355480353,0.3039219536207608,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3674012641800533,0.7404610665587336,0.4972618481879869,0.19201265747438073,1.0,1.0,1.0
