t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.17590662118665298,0.26508491739245016,0.2,0.8069289754605677,0.8886158646330403,0.800809687942002,0.7231641759999999,0.32171357927119915,0.697679064979124,0.3182028411779979,0.2729759952536176,0.20545951990507236,0.1916804,0.4152556933003171,0.46201338169185296,0.594791274438075
1,0.2020747578431883,0.25724362866675426,0.2,0.8740298796358243,1.0,0.849435485089564,0.7441706673267519,0.3446557756071745,0.8358109577998083,0.34075951555247225,0.3038909751329874,0.2114827442086814,0.19202647872080003,0.552496113008521,0.6191434547306363,0.7282653168408407
2,0.19287056034453515,0.28656889169125854,0.2,0.9442626876051353,1.0,0.9011657020481046,0.7646078117789417,0.3664637886643259,0.9728431295903246,0.36075203706304754,0.33877879589512505,0.2181434926844971,0.19201208253817217,0.650633190535811,0.73408491694789,0.8259691587711634
3,0.15463991398197655,0.300743573318942,0.2,1.0,1.0,0.9602331126403258,0.7844293107480674,0.385433111059795,1.0,0.3740126521163789,0.3698732448858767,0.22535952265536965,0.19201268139057714,0.7532349987059223,0.8548475968245427,0.928617286953217
4,0.15299965267535878,0.2933645683662386,0.2,1.0,1.0,1.0,0.8036562700388763,0.4038297702223028,1.0,0.38636410085626127,0.39956661991487374,0.23309725982711343,0.1920126564795148,0.8036562700388763,0.9172453844425055,0.9816554126562508
5,0.15558843388596952,0.2590713013343865,0.2,1.0,1.0,1.0,0.822306416171076,0.4219218403813342,1.0,0.3984862983493236,0.42831709179649907,0.24133262906477226,0.19201265751576516,0.822306416171076,0.9437385789349739,1.0
6,0.18396153513140112,0.3326852124672038,0.2,1.0,1.0,1.0,0.8403970581015042,0.4412639948360342,1.0,0.41425835098779856,0.4587130536806943,0.25009356384773845,0.19201265747265922,0.8403970581015042,0.9701899951887164,1.0
7,0.15990415689197163,0.27232389646070143,0.2,1.0,1.0,1.0,0.8579449807664407,0.4586791527360442,1.0,0.4256331942653718,0.4856578907826068,0.2593057860249132,0.19201265747445234,0.8579449807664407,0.9956774976716731,1.0
8,0.20019465779244713,0.34477089424570057,0.2,1.0,1.0,1.0,0.8749664657517442,0.4780763617425391,1.0,0.44248287051384905,0.515496455988958,0.26902265728444325,0.19201265747437773,0.8749664657517442,1.0,1.0
9,0.19616823588939988,0.289668047465078,0.2,1.0,1.0,1.0,0.8914773061874756,0.4967470552096906,1.0,0.45788609966445737,0.5439435375042112,0.279211301461683,0.19201265747438084,0.8914773061874756,1.0,1.0
10,0.2281004084474336,0.2546582680617756,0.2,1.0,1.0,1.0,0.9074928214101355,0.5168669116936453,1.0,0.47730899324123993,0.5745602578579979,0.2899103936042261,0.1920126574743807,0.9074928214101355,1.0,1.0
11,0.21867747672389437,0.2789609286331676,0.2,1.0,1.0,1.0,0.9230278711761156,0.5359183958620887,1.0,0.4943473023806525,0.6033281879827596,0.30107785342783905,0.19201265747438073,0.9230278711761156,1.0,1.0
12,0.16154040666859498,0.2617792238078368,0.2,1.0,1.0,1.0,0.9380968694491164,0.5510653687230032,1.0,0.5019631355547995,0.6255404254064633,0.3125778834016899,0.19201265747438073,0.9380968694491164,1.0,1.0
13,0.17467854592815474,0.33161263591200313,0.2,1.0,1.0,1.0,0.9527137977739272,0.5666219556179682,1.0,0.5111688979591732,0.6480752385802157,0.3244136093392773,0.19201265747438073,0.9527137977739272,1.0,1.0
14,0.164458110393915,0.3081600163662466,0.2,1.0,1.0,1.0,0.9668922182489936,0.5811764017085048,1.0,0.5183813069131922,0.6686849322188457,0.33654317189026145,0.19201265747438073,0.9668922182489936,1.0,1.0
15,0.2011130775140947,0.2872397542725731,0.2,1.0,1.0,1.0,0.9806452861098081,0.5975662846739889,1.0,0.5307313404875372,0.6920133445173997,0.3490180070617068,0.19201265747438073,0.9806452861098081,1.0,1.0
16,0.1938195572567646,0.2562788974973323,0.2,1.0,1.0,1.0,0.9939857619347979,0.613108809349896,1.0,0.5424185490925572,0.7138583106831897,0.36180499320475357,0.19201265747438073,0.9939857619347979,1.0,1.0
17,0.1547680935972986,0.27059587128193263,0.2,1.0,1.0,1.0,1.0,0.6194003401534932,1.0,0.5477293806727045,0.7310400499358609,0.3748077442714232,0.1920242784338694,1.0,1.0,1.0
18,0.20443199785454286,0.29275923056694025,0.2,1.0,1.0,1.0,1.0,0.6253851980345817,1.0,0.5604911408738246,0.7523152704482051,0.3881059722376731,0.192029372467254,1.0,1.0,1.0
19,0.17513177363014332,0.3085561863507639,0.2,1.0,1.0,1.0,1.0,0.6264858762980211,1.0,0.5681072177607941,0.7699983761707393,0.40162488003871116,0.19203446614216482,1.0,1.0,1.0
20,0.18625475010966203,0.27997669968636824,0.2,1.0,1.0,1.0,1.0,0.6276788977252908,1.0,0.5770688147120662,0.7880710493086661,0.4153700522244974,0.19203523000675643,1.0,1.0,1.0
21,0.2135503585217993,0.3198994433729571,0.2,1.0,1.0,1.0,1.0,0.6298864918579458,1.0,0.5898133303163764,0.8081670900293575,0.4293796935028396,0.19203625584501244,1.0,1.0,1.0
22,0.16952772085777223,0.3074423710258671,0.2,1.0,1.0,1.0,1.0,0.6282996205674325,1.0,0.5951164122304445,0.8233078354818584,0.4435520532774484,0.19203817020439126,1.0,1.0,1.0
23,0.19201572030491612,0.33751374955734287,0.2,1.0,1.0,1.0,1.0,0.6288908459789061,1.0,0.6036275054563559,0.8400138283419408,0.45791680931151274,0.19203668380947078,1.0,1.0,1.0
24,0.2083556231551374,0.27879377648901865,0.2,1.0,1.0,1.0,1.0,0.6301500917701655,1.0,0.6123857421066701,0.8573499878889461,0.47248464097617654,0.19203106672752357,1.0,1.0,1.0
25,0.22841398779940658,0.2618065778254962,0.2,1.0,1.0,1.0,1.0,0.6319465530038575,1.0,0.619327763948738,0.875081243282814,0.487261419432071,0.19201744012362032,1.0,1.0,1.0
26,0.18344982574281818,0.3257140929565249,0.2,1.0,1.0,1.0,1.0,0.6301002720297181,1.0,0.6154139645853729,0.8870156090644321,0.502129117419039,0.19200772866862323,1.0,1.0,1.0
27,0.1621587627728404,0.29889631004758055,0.2,1.0,1.0,1.0,1.0,0.6279450033596095,1.0,0.6103992612182948,0.8964035126262216,0.517035896497373,0.19201318851455598,1.0,1.0,1.0
28,0.153136580563795,0.3168215856534395,0.2,1.0,1.0,1.0,1.0,0.6263789966085085,1.0,0.6067983904714178,0.9046156961073688,0.5319578514545467,0.1920196258929665,1.0,1.0,1.0
29,0.21116566929702504,0.3073025940277384,0.2,1.0,1.0,1.0,1.0,0.6291161157071726,1.0,0.6141980146799865,0.9181825516082142,0.5470019239721655,0.19202412733489171,1.0,1.0,1.0
30,0.22003822494647107,0.28137475128480965,0.2,1.0,1.0,1.0,1.0,0.6309484736077491,1.0,0.6188198409186596,0.9313517563561206,0.5621589398595662,0.19201371318259483,1.0,1.0,1.0
31,0.20562362930189274,0.3094369877105018,0.2,1.0,1.0,1.0,1.0,0.6309545369623699,1.0,0.6186201397594492,0.9420667703973692,0.5773786858689179,0.1920078674529128,1.0,1.0,1.0
32,0.19639161634259938,0.2956205331301413,0.2,1.0,1.0,1.0,1.0,0.6304038520499071,1.0,0.6171046758230896,0.9512656470592602,0.592630211951414,0.19200845748772222,1.0,1.0,1.0
33,0.21719742244100332,0.34446810951079376,0.2,1.0,1.0,1.0,1.0,0.631390640937853,1.0,0.6196599439299874,0.9619988153534336,0.6079438861389684,0.1920105362046105,1.0,1.0,1.0
34,0.18792786699357156,0.31641522054746746,0.2,1.0,1.0,1.0,1.0,0.6301032470390574,1.0,0.6162508672262152,0.9691314530018394,0.6232470763376154,0.19200695501403175,1.0,1.0,1.0
35,0.15485355420777758,0.3201492021304424,0.2,1.0,1.0,1.0,1.0,0.6275073006178764,1.0,0.6096345340374059,0.9728471386869497,0.6384715483479783,0.19201179223086962,1.0,1.0,1.0
36,0.2017703083622135,0.3493095939466634,0.2,1.0,1.0,1.0,1.0,0.6290887330158922,1.0,0.6139905883536657,0.9812387486686701,0.653711607837872,0.19202060363557408,1.0,1.0,1.0
37,0.21575398292877718,0.2784595532094149,0.2,1.0,1.0,1.0,1.0,0.6306786300820321,1.0,0.6180663739935148,0.9902235137057246,0.6689789620336077,0.1920141901857012,1.0,1.0,1.0
38,0.18086331539573686,0.3168652715884188,0.2,1.0,1.0,1.0,1.0,0.6293407564539724,1.0,0.6144563698627653,0.9950755067559682,0.684190682548391,0.19200889682269404,1.0,1.0,1.0
39,0.15180503424444708,0.2961695286299766,0.2,1.0,1.0,1.0,1.0,0.6269618997642414,1.0,0.6083738875105211,0.9970329938345662,0.6992894355995984,0.1920141040981007,1.0,1.0,1.0
40,0.16344387031252355,0.2617095794481732,0.2,1.0,1.0,1.0,1.0,0.6265298169127158,1.0,0.6075033622104851,1.0,0.7142965412436024,0.19202217967422522,1.0,1.0,1.0
41,0.15471635354650481,0.3268232988472521,0.2,1.0,1.0,1.0,1.0,0.6258004387982607,1.0,0.60576825839653,1.0,0.7291535758311665,0.19202294930322478,1.0,1.0,1.0
42,0.16034721776149474,0.2747614833696914,0.2,1.0,1.0,1.0,1.0,0.6257915874488257,1.0,0.6058775042629669,1.0,0.7438620400728548,0.19202523772202107,1.0,1.0,1.0
43,0.18127597625065817,0.3371421974126299,0.2,1.0,1.0,1.0,1.0,0.6270429211536102,1.0,0.6091646340246193,1.0,0.7584234196721263,0.1920249478712231,1.0,1.0,1.0
44,0.15644650409601107,0.2949187400949331,0.2,1.0,1.0,1.0,1.0,0.6261476300791013,1.0,0.6067645899529848,1.0,0.7728391854754051,0.19202044824387343,1.0,1.0,1.0
45,0.19395519273152298,0.3383383826441512,0.2,1.0,1.0,1.0,1.0,0.6279729828017577,1.0,0.6115178003880126,1.0,0.7871107936206511,0.19202394581919688,1.0,1.0,1.0
46,0.2155423870268593,0.3363984469698515,0.2,1.0,1.0,1.0,1.0,0.6301353403291692,1.0,0.6169463314204964,1.0,0.8012396856844446,0.19201729051240332,1.0,1.0,1.0
47,0.17227368516111177,0.29152965172116985,0.2,1.0,1.0,1.0,1.0,0.6285668987041191,1.0,0.6126337696781943,1.0,0.8152272888276002,0.1920102015017378,1.0,1.0,1.0
48,0.17870169322652998,0.3384192827198217,0.2,1.0,1.0,1.0,1.0,0.6282078231341722,1.0,0.6117365141302555,1.0,0.8290750159393242,0.1920164804474822,1.0,1.0,1.0
49,0.22661849631711928,0.2650920905791109,0.2,1.0,1.0,1.0,1.0,0.6309120479371128,1.0,0.6187589070897691,1.0,0.8427842657799309,0.19201743524239134,1.0,1.0,1.0
50,0.16409741827922963,0.27319568668195354,0.2,1.0,1.0,1.0,1.0,0.6284455350259107,1.0,0.6121644537469716,1.0,0.8563564231221317,0.19200778452815975,1.0,1.0,1.0
51,0.1686668866944689,0.2984962730341357,0.2,1.0,1.0,1.0,1.0,0.627548286355497,1.0,0.6099777009187568,1.0,0.8697928588909104,0.19201727593009077,1.0,1.0,1.0
52,0.19712988029858045,0.2762746619298538,0.2,1.0,1.0,1.0,1.0,0.6288294120999044,1.0,0.6134216224100225,1.0,0.8830949303020014,0.1920198250431432,1.0,1.0,1.0
53,0.1503274882708051,0.2918946501125328,0.2,1.0,1.0,1.0,1.0,0.6266297525151294,1.0,0.6076884171685737,1.0,0.8962639809989814,0.19201496561736076,1.0,1.0,1.0
54,0.17954028583157802,0.3066341223706392,0.2,1.0,1.0,1.0,1.0,0.6273376025134435,1.0,0.609693585465386,1.0,0.9093013411889916,0.19202302154249543,1.0,1.0,1.0
55,0.2262478340420076,0.31904936571359777,0.2,1.0,1.0,1.0,1.0,0.6304759937081696,1.0,0.6178028841856467,1.0,0.9222083277771017,0.19201988510335766,1.0,1.0,1.0
56,0.19123931464566227,0.31175927494091277,0.2,1.0,1.0,1.0,1.0,0.6298666456348452,1.0,0.6159454438354669,1.0,0.9349862444993308,0.19200893085593537,1.0,1.0,1.0
57,0.2040960065959601,0.255399289322379,0.2,1.0,1.0,1.0,1.0,0.6303490843589524,1.0,0.6171222389352031,1.0,0.9476363820543374,0.19201202256665145,1.0,1.0,1.0
58,0.22196264080463618,0.3279969490706073,0.2,1.0,1.0,1.0,1.0,0.6316502891923818,1.0,0.6204044349793192,1.0,0.960160018233794,0.19201030931997745,1.0,1.0,1.0
59,0.2199610547307581,0.3297873121196566,0.2,1.0,1.0,1.0,1.0,0.6321485328029,1.0,0.6215364628493004,1.0,0.9725584180514562,0.192005921550462,1.0,1.0,1.0
60,0.3813903125513015,-0.31010211676797267,0.2,1.0,1.0,1.0,1.0,0.6420712700810932,1.0,0.6470238706459372,1.0,0.9848328338709416,0.19200460999820135,1.0,1.0,1.0
61,0.15828296749682594,-0.2865710434314291,0.2,1.0,1.0,1.0,1.0,0.6333994229665586,1.0,0.6236806780893962,1.0,0.9969845055322322,0.19196987759541717,1.0,1.0,1.0
62,0.154979825729495,-0.3432652384156975,0.2,1.0,1.0,1.0,1.0,0.6290829051963733,1.0,0.6129251078075082,1.0,1.0,0.1920035516607128,1.0,1.0,1.0
63,0.16670105483569314,-0.33376968122279027,0.2,1.0,1.0,1.0,1.0,0.6277341400658215,1.0,0.6100097933297992,1.0,1.0,0.19201671631912343,1.0,1.0,1.0
64,0.17720429217858746,-0.3447424396109733,0.2,1.0,1.0,1.0,1.0,0.6277226361380733,1.0,0.6103521643000759,1.0,1.0,0.1920199582031315,1.0,1.0,1.0
65,0.15001866255210852,-0.3348735067720572,0.2,1.0,1.0,1.0,1.0,0.6260855851952132,1.0,0.6062929646420752,1.0,1.0,0.1920192276946494,1.0,1.0,1.0
66,0.15811714944180771,-0.3136390077965429,0.2,1.0,1.0,1.0,1.0,0.6257935602352049,1.0,0.6057637279218778,1.0,1.0,0.19202474806809558,1.0,1.0,1.0
