t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.17590662118665298,0.26508491739245016,0.2,0.8069770776283111,0.8889458568186402,0.8011888068220021,0.7260399999999999,0.08833439727119918,0.6845130849791241,0.24394146231882013,0.2526495005356323,0.20505299001071264,0.191,0.41728418963418346,0.43018538121793115,0.5679075740352415
1,0.2020747578431883,0.25724362866675426,0.2,0.8741616175473419,1.0,0.8504899510431938,0.7495869999999999,0.0,0.8105517845358483,0.19465967202017959,0.25623239140764426,0.2101271079387584,0.19140500000000002,0.5572922021615067,0.5572922021615067,0.6758471218372807
2,0.19287056034453515,0.28656889169125854,0.2,0.944553851963801,1.0,0.9031832334958657,0.772504621,0.0,0.9359518410382589,0.14645915461167308,0.26033377032036564,0.21523251226577814,0.191386775,0.6590277109199922,0.6590277109199922,0.7623268605319933
3,0.15463991398197655,0.300743573318942,0.2,1.0,1.0,0.9634878677768811,0.794731246975,0.0,1.0,0.0949341645342081,0.2643770347610806,0.22036772783834196,0.19138759512500003,0.7657139146036046,0.7657139146036046,0.8530099286318139
4,0.15299965267535878,0.2933645683662386,0.2,1.0,1.0,1.0,0.816291230158525,0.0,1.0,0.045739380335948696,0.26842711658308765,0.2255325928916203,0.19138755821937503,0.816291230158525,0.816291230158525,0.8960006560799025
5,0.15558843388596952,0.2590713013343865,0.2,1.0,1.0,1.0,0.8372044068270944,0.0,1.0,0.0,0.27250681508357344,0.23072740326437557,0.19138755988012812,0.8372044068270944,0.8372044068270944,0.9137768558329982
6,0.18396153513140112,0.3326852124672038,0.2,1.0,1.0,1.0,0.8574901885114818,0.0,1.0,0.0,0.2766226253763599,0.23595258173925904,0.19138755980539424,0.8574901885114818,0.8574901885114818,0.931019770283411
7,0.15990415689197163,0.27232389646070143,0.2,1.0,1.0,1.0,0.8771673967311234,0.0,1.0,0.0,0.2802533190070088,0.24119812230200663,0.19138755980875727,0.8771673967311234,0.8771673967311234,0.9477453972692655
8,0.20019465779244713,0.34477089424570057,0.2,1.0,1.0,1.0,0.8962542887048154,0.0,1.0,0.0,0.28406504697873347,0.24646744201856124,0.19138755980860594,0.8962542887048154,0.8962542887048154,0.9639692554469416
9,0.19616823588939988,0.289668047465078,0.2,1.0,1.0,1.0,0.9147685739192678,0.0,1.0,0.0,0.28760820969531453,0.2517549317922819,0.19138755980861274,0.9147685739192678,0.9147685739192678,0.9797063978792244
10,0.2281004084474336,0.2546582680617756,0.2,1.0,1.0,1.0,0.9327274305772879,0.0,1.0,0.0,0.29125491115722524,0.25706248069750365,0.19138755980861244,0.9327274305772879,0.9327274305772879,0.9949714260385416
11,0.21867747672389437,0.2789609286331676,0.2,1.0,1.0,1.0,0.9501475215355674,0.0,1.0,0.0,0.2945895235073583,0.26238364636067574,0.19138755980861244,0.9501475215355674,0.9501475215355674,1.0
12,0.16154040666859498,0.2617792238078368,0.2,1.0,1.0,1.0,0.9670450097650984,0.0,1.0,0.0,0.29715840212293587,0.2677029779395277,0.19138755980861244,0.9670450097650984,0.9670450097650984,1.0
13,0.17467854592815474,0.33161263591200313,0.2,1.0,1.0,1.0,0.9834355733477435,0.0,1.0,0.0,0.29970321560024843,0.27302001247213736,0.19138755980861244,0.9834355733477435,0.9834355733477435,1.0
14,0.164458110393915,0.3081600163662466,0.2,1.0,1.0,1.0,0.9993344200229093,0.0,1.0,0.0,0.30199415795713325,0.27832969550655867,0.19138755980861244,0.9993344200229093,0.9993344200229093,1.0
15,0.2011130775140947,0.2872397542725731,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3045105279470948,0.283636609110435,0.19138755980861244,1.0,1.0,1.0
16,0.1938195572567646,0.2562788974973323,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.30680370988711114,0.28893631721707286,0.19138755980861244,1.0,1.0,1.0
17,0.1547680935972986,0.27059587128193263,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.30857269142049776,0.29421840787331205,0.19138755980861244,1.0,1.0,1.0
18,0.20443199785454286,0.29275923056694025,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.31072720671402787,0.2994907679288595,0.19138755980861244,1.0,1.0,1.0
