t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.22721937132416983,0.2511654693792141,0.2,0.8063710751467864,0.888022227316165,0.7934918943013746,0.7260399999999999,0.3056309613437911,0.67944514914766,0.3570029056986255,0.2791372571210699,0.20558274514242142,0.191,0.4125359685973834,0.456665286232342,0.5904154932974908
1,0.20887932958375002,0.2658012724764748,0.2,0.872876533535528,1.0,0.8418878064492914,0.7495869999999999,0.3333353470852213,0.8062119058746129,0.4084532598512567,0.3128367332202914,0.21178365235540303,0.19140500000000002,0.5508445837119859,0.615110173387563,0.7249923973794286
2,0.22890715613302587,0.2516880654207976,0.2,0.9421777560687029,1.0,0.8893046317025981,0.772504621,0.3615473347760723,0.924542526576586,0.46033308327864775,0.3539212554908304,0.21874424094166559,0.191386775,0.6472685220799111,0.7291748952447649,0.8219519672080502
3,0.2203593014507737,0.31813506644014145,0.2,1.0,1.0,0.9399595368901931,0.794731246975,0.3885412171037169,1.0,0.5083368357473315,0.39732832484644903,0.22650336502917792,0.19138759512500003,0.7470152148587866,0.8486013851304662,0.9234642785796462
4,0.218587390598522,0.34998162341661193,0.2,1.0,1.0,0.9927076049551161,0.816291230158525,0.41475393476958533,1.0,0.5536746095360682,0.4402471786282713,0.23504327495145155,0.19138755821937503,0.8103385120365348,0.9279703922634042,0.9909279438690498
5,0.16917721457310309,0.28380777572566995,0.2,1.0,1.0,1.0,0.8372044068270944,0.43734672406514213,1.0,0.5893339684308456,0.47782925599568343,0.2442494273218507,0.19138755988012812,0.8372044068270944,0.9653564184716499,1.0
6,0.2066555466388102,0.2780581685843137,0.2,1.0,1.0,1.0,0.8574901885114818,0.46162339354627374,1.0,0.6288321091817722,0.5185970657269782,0.25417887436317177,0.19138755980539424,0.8574901885114818,0.9960333242751384,1.0
7,0.17106514057179684,0.2728609725348916,0.2,1.0,1.0,1.0,0.8761178527758544,0.48317758711189857,1.0,0.6512436626416114,0.5541821214369869,0.2647207280482798,0.1916358746246727,0.8761178527758544,1.0,1.0
8,0.21862696779153754,0.3374532605373621,0.2,1.0,1.0,1.0,0.8934156729406032,0.5070612287997379,1.0,0.6720708743273306,0.592497253020674,0.2759234658282105,0.1918182912268081,0.8934156729406032,1.0,1.0
9,0.21380927939019845,0.2723391207349587,0.2,1.0,1.0,1.0,0.9094676195688006,0.5300724772377984,1.0,0.6840734588401645,0.6281995739691032,0.28772822264931047,0.19199027993302473,0.9094676195688006,1.0,1.0
10,0.22398706241048771,0.30113699467515,0.2,1.0,1.0,1.0,0.9246300694570628,0.5531268326765554,1.0,0.6929332846916825,0.6628256756700389,0.3001074539362182,0.19208679531340864,0.9246300694570628,1.0,1.0
11,0.1685108694894013,0.2955536811356821,0.2,1.0,1.0,1.0,0.9390307667920633,0.572282066090481,1.0,0.6900250621775497,0.6900994681800114,0.31290836876045625,0.19215940076844346,0.9390307667920633,1.0,1.0
12,0.18359002619363152,0.2578959289648435,0.2,1.0,1.0,1.0,0.9531182612016448,0.5918609191502784,1.0,0.6905095465680121,0.7171607236807291,0.32612249954646627,0.19213128925551815,0.9531182612016448,1.0,1.0
13,0.19517532694282477,0.2859964448506403,0.2,1.0,1.0,1.0,0.9667605606231321,0.6116458461239105,1.0,0.6934751856415532,0.7437626182536989,0.3397365269160756,0.19213662919774369,0.9667605606231321,1.0,1.0
14,0.19556925673196024,0.34302173681112064,0.2,1.0,1.0,1.0,0.9798861373307002,0.6309618195351165,1.0,0.69689164355453,0.7686799231311398,0.35371276010953767,0.1921620520048276,0.9798861373307002,1.0,1.0
15,0.2016457000080277,0.29051004259056507,0.2,1.0,1.0,1.0,0.9924974612836518,0.6207480321310133,1.0,0.6990734671031792,0.7922926423090364,0.36802148535462303,0.19219055802692292,0.9924974612836518,1.0,1.0
16,0.21908591914750647,0.34951729108828233,0.2,1.0,1.0,1.0,1.0,0.6215405174889703,1.0,0.70308593650945,0.816364959404314,0.3826685696891631,0.19220826921055847,1.0,1.0,1.0
17,0.18922052202177703,0.34450248095304836,0.2,1.0,1.0,1.0,1.0,0.6197711247793439,1.0,0.7009162603375982,0.8361583923017618,0.39756505183830665,0.19224225651016427,1.0,1.0,1.0
18,0.15150000405055916,0.26403181220139377,0.2,1.0,1.0,1.0,1.0,0.6157811244955165,1.0,0.6936130631838769,0.8511773707470712,0.41261294873486504,0.19222211508930664,1.0,1.0,1.0
19,0.16377556062582038,0.34380647896600813,0.2,1.0,1.0,1.0,1.0,0.6126224189954531,1.0,0.6907392670396201,0.8664609340887329,0.42781603792929107,0.19215975736621493,1.0,1.0,1.0
20,0.20523879637962264,0.32190823407276065,0.2,1.0,1.0,1.0,1.0,0.6120286907302405,1.0,0.6951555616716582,0.8848293340238498,0.44323446423047513,0.1921374505177268,1.0,1.0,1.0
21,0.1729293713152323,0.29949850749350315,0.2,1.0,1.0,1.0,1.0,0.6095143679137925,1.0,0.6928066334312237,0.8990403453567737,0.4587829264953059,0.19217654734270018,1.0,1.0,1.0
22,0.2209651785228009,0.25998756430434655,0.2,1.0,1.0,1.0,1.0,0.621368141268959,1.0,0.6995248315126026,0.9170716845973961,0.47453653092230075,0.19215464199682755,1.0,1.0,1.0
23,0.15929774188719592,0.2547416166019353,0.2,1.0,1.0,1.0,1.0,0.6179691583038958,1.0,0.6941079765584888,0.927946984462962,0.490350105302337,0.19221362823675223,1.0,1.0,1.0
24,0.18749292714926902,0.3340482197117092,0.2,1.0,1.0,1.0,1.0,0.6163429215163242,1.0,0.6948969646142457,0.9408674237637673,0.506263952724589,0.19216438433226085,1.0,1.0,1.0
25,0.19439923840512127,0.290145932080324,0.2,1.0,1.0,1.0,1.0,0.6151724257340244,1.0,0.6963216139693983,0.9537055598588555,0.5222754243945202,0.19217321446015265,1.0,1.0,1.0
26,0.19016452445529014,0.26792114641047493,0.2,1.0,1.0,1.0,1.0,0.6137780663434661,1.0,0.6964453294835827,0.9653966978421017,0.538360604107417,0.19218517488732514,1.0,1.0,1.0
27,0.22585063666109517,0.28538014075034107,0.2,1.0,1.0,1.0,1.0,0.6145597793544897,1.0,0.7019363198456922,0.9798248924849887,0.5545734959160427,0.19218575844319444,1.0,1.0,1.0
28,0.16882079500562897,0.28112329778413886,0.2,1.0,1.0,1.0,1.0,0.6183719000059974,1.0,0.6970420130898922,0.9879870723991179,0.5707875024048645,0.19223322277246663,1.0,1.0,1.0
29,0.21599461712011991,0.28182675643778715,0.2,1.0,1.0,1.0,1.0,0.6249156064604228,1.0,0.701650745040886,1.0,0.5870796273808159,0.1921889664266659,1.0,1.0,1.0
30,0.22238452105316311,0.28361774375302895,0.2,1.0,1.0,1.0,1.0,0.6218444112914177,1.0,0.7051798603363042,1.0,0.6032088311070077,0.19223062333396593,1.0,1.0,1.0
31,0.18532388018478696,0.25742009562047774,0.2,1.0,1.0,1.0,1.0,0.6195463004937831,1.0,0.7015931369729819,1.0,0.6191767427959377,0.1922594675051298,1.0,1.0,1.0
32,0.22259769847255234,0.32961514612469633,0.2,1.0,1.0,1.0,1.0,0.6195394961526263,1.0,0.7049919010011338,1.0,0.6349849753679784,0.1922272748710162,1.0,1.0,1.0
