t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.18796565429508383,0.31574725026572553,0.2,0.8063885272438259,0.8856601499570014,0.795854471471981,0.6992973036216612,0.3270641101670742,0.7017087971212532,0.35187410450831635,0.2767272404631813,0.20553454480926364,0.19732713636711485,0.39747238320158257,0.4429720161663167,0.5771944296495904
1,0.20331283768998704,0.2642600352925368,0.2,0.8726320873962092,1.0,0.838617350763008,0.6984647073746725,0.35437530626366576,0.8395354075977284,0.4034608678204524,0.31182409066478384,0.21171568117446668,0.19736285736711487,0.5111395526132861,0.5745368850385684,0.6890156379410045
2,0.15086883544720542,0.28747544920633644,0.2,0.9418733052050955,1.0,0.8885087389978676,0.6976591067700069,0.3778570441323309,0.978948409822891,0.4446016353441472,0.3479437369329778,0.21855739910138156,0.1973623799803057,0.5838448577509164,0.6610583200144843,0.7625589770172352
3,0.1719238511582665,0.33103480522350837,0.2,1.0,1.0,0.9343997285872543,0.6968776472175626,0.402015040007339,1.0,0.48684361761391043,0.3869287808167299,0.22611040072670233,0.1973623863602549,0.6511622844186149,0.7427842455562518,0.8320260121327503
4,0.20524741224309476,0.3101457038727733,0.2,1.0,1.0,0.9745128573256805,0.6961196318120728,0.4275684996437405,1.0,0.5319720349226782,0.4290081037587291,0.23442945879460989,0.19736238627499125,0.6783775314376838,0.779896033595776,0.8635710319876617
5,0.19465520382026785,0.3161321085872001,0.2,1.0,1.0,1.0,0.6953843568639315,0.45184759028395355,1.0,0.5732552001027201,0.46968104699031193,0.24347878514647003,0.19736238627613073,0.6953843568639315,0.805357067953475,0.885212911191421
6,0.16162422357680822,0.294005479192477,0.2,1.0,1.0,1.0,0.6946711401642987,0.47353784484355244,1.0,0.6075195599872393,0.5065687192543744,0.2531753716800928,0.1973623862761155,0.6946711401642987,0.8098047162702441,0.8867375442645068
7,0.1629813857911111,0.34059729815293227,0.2,1.0,1.0,1.0,0.693979319965654,0.49476727277201954,1.0,0.6387557033508857,0.5427483824039817,0.2634985856113715,0.19736238627611571,0.693979319965654,0.8141547093905095,0.8810641954076384
8,0.1547059461928693,0.33188201278420804,0.2,1.0,1.0,1.0,0.6933082543729687,0.5149694386263804,1.0,0.6608805939280327,0.5761921430056582,0.27438744261537096,0.1973623862761157,0.6933082543729687,0.818269651265288,0.877924428828056
9,0.1559687706908702,0.3186945504093542,0.2,1.0,1.0,1.0,0.692657320748064,0.5347423198042623,1.0,0.6776205487092947,0.6079193490647816,0.2858019551705129,0.1973623862761157,0.692657320748064,0.8222949346322427,0.8763239332555889
10,0.1769599674233414,0.2904614283128649,0.2,1.0,1.0,1.0,0.6920259151319064,0.5552803507566455,1.0,0.6932915564704016,0.6398898098114042,0.2977417318150358,0.1973623862761157,0.6920259151319064,0.826519852642403,0.8752138112358931
11,0.21739226942500495,0.2518604300312003,0.2,1.0,1.0,1.0,0.6914134516842335,0.5777308690553189,1.0,0.7110791038792561,0.6739016979441363,0.3102423484557682,0.1973623862761157,0.6914134516842335,0.8312212646955579,0.8738737472584185
12,0.1548627756951175,0.3415033643409947,0.2,1.0,1.0,1.0,0.6908193621399908,0.5958683547727323,1.0,0.7150056600538073,0.6999565811428676,0.3231390565940679,0.1973623862761157,0.6908193621399908,0.8348924510072175,0.8758162887709637
13,0.1907140733142161,0.2590977989058583,0.2,1.0,1.0,1.0,0.6902430952820755,0.6157034812043561,1.0,0.7245768947302911,0.7279280919285,0.3364662278666972,0.1973623862761157,0.6902430952820755,0.8389878721069308,0.8732853300619037
14,0.22897071923244555,0.34467130187432704,0.2,1.0,1.0,1.0,0.6896841164298976,0.6356766865373759,1.0,0.7390730130473003,0.7575090580709117,0.3502517467494485,0.1973623862761157,0.6896841164298976,0.8431297562912629,0.8684624550568791
15,0.1590022108917621,0.29232066122540934,0.2,1.0,1.0,1.0,0.689141906943285,0.6488392690925275,1.0,0.7404745691042217,0.7783828692779015,0.36431688666751205,0.1973623862761157,0.689141906943285,0.8456417228640241,0.8675446433156195
16,0.1608055600759331,0.2812540694192268,0.2,1.0,1.0,1.0,0.6886159637412709,0.6603883755842178,1.0,0.742717434434645,0.7978994768065933,0.3786317073369688,0.1973623862761157,0.6886159637412709,0.8477798559350314,0.8663793755285106
17,0.19971615586171457,0.26635241283189814,0.2,1.0,1.0,1.0,0.6881057988353171,0.6727614848525436,1.0,0.751221648634647,0.8195455104369189,0.39323630047233754,0.1973623862761157,0.6881057988353171,0.8501316764713498,0.8633525368707156
18,0.20574675910805165,0.2551353317165005,0.2,1.0,1.0,1.0,0.6876109388765419,0.6838780170797928,1.0,0.7593771417113587,0.8401492264420916,0.408106921996456,0.1973623862761157,0.6876109388765419,0.8521956407669843,0.8604369521535414
19,0.1636971274061487,0.33156976482540573,0.2,1.0,1.0,1.0,0.68713092471653,0.6910175195168169,1.0,0.7597415762205744,0.855507550073583,0.4231360037779631,0.1973623862761157,0.68713092471653,0.8533177522298496,0.8598535160568076
20,0.18204149580445228,0.29188402121376167,0.2,1.0,1.0,1.0,0.6866653109813184,0.6983238310551563,1.0,0.7633503517485364,0.871416795910017,0.43833297965838386,0.1973623862761157,0.6866653109813184,0.8544954736973226,0.8583106843381031
21,0.19767767814969428,0.29767682448722155,0.2,1.0,1.0,1.0,0.6862136656581632,0.7056126417590313,1.0,0.7689784295848413,0.8875834699886637,0.4537013192615733,0.1973623862761157,0.6862136656581632,0.855684028760835,0.8561747706504221
22,0.18076651128598997,0.2530494381790816,0.2,1.0,1.0,1.0,0.6857755696947027,0.7109333997999663,1.0,0.7710775005309657,0.9011223432407461,0.4691867529337725,0.1973623862761157,0.6857755696947027,0.8564148347366874,0.8551020828378725
23,0.2081061941877984,0.3467458882867295,0.2,1.0,1.0,1.0,0.685350616610146,0.7171985791292511,1.0,0.7772498779704619,0.9161082506069462,0.4848170504165737,0.1973623862761157,0.685350616610146,0.8573869875634994,0.8528236636429567
24,0.22810430156427947,0.316359604344937,0.2,1.0,1.0,1.0,0.6849384121181259,0.7238441541060755,1.0,0.7853984888907347,0.9317570141347388,0.5006040201951028,0.1973623862761157,0.6849384121181259,0.8584644450551672,0.8499658042394277
