t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.19983213559117616,0.32417869892607293,0.2,0.8065674506340063,0.8876422023593588,0.7965970196613237,0.718432,0.3084139281354705,0.6898957665184651,0.3531108203386764,0.2772793467227535,0.20554558693445507,0.1928,0.4097349209174631,0.45396370567651406,0.5876691498250369
1,0.21361548524525573,0.34424502837770504,0.2,0.8731132300856654,1.0,0.8424286401396155,0.7352154879999999,0.3181492450467991,0.825588365585319,0.40566470610853095,0.31271818384891636,0.21174449474208884,0.19305920000000001,0.540777158558553,0.6009939042154379,0.7125800185831221
2,0.20919188597919444,0.3422324996665417,0.2,0.942482141518259,1.0,0.8901951235484822,0.751534911232,0.3273503925833807,0.9559560491018884,0.4549262379559836,0.35366675050795393,0.21870038480482704,0.1930498688,0.6305325345974233,0.7027743100553946,0.7990956963470853
3,0.15232041826268916,0.2965622654378105,0.2,1.0,1.0,0.9476752235514894,0.7673633319316481,0.33291013670641356,1.0,0.49319401336437174,0.39066464033981774,0.22632667376357513,0.1930502047232,0.7272112171335403,0.8119448121321678,0.8918905391315426
4,0.2254685373598651,0.3148974553136924,0.2,1.0,1.0,0.9951633390976647,0.7827169511243809,0.34271974149203827,1.0,0.5405206164157287,0.43469523790812836,0.23475731178410195,0.1930501926299648,0.7789312146492825,0.8723655012329211,0.9432481278904917
5,0.22207203934004982,0.2613205964653144,0.2,1.0,1.0,1.0,0.797609959901225,0.3520803174605193,1.0,0.5849714146637882,0.47803332941235294,0.24397040525450797,0.19305019306532128,0.797609959901225,0.8958979286633183,0.9632506910974903
6,0.1875255238225731,0.274657283261983,0.2,1.0,1.0,1.0,0.8120561784810075,0.35913408805612707,1.0,0.6220176956699426,0.5174304574506874,0.25387931035097666,0.19305019304964843,0.8120561784810075,0.9141291477691996,0.9721419186404248
7,0.19350086873887443,0.3073941187928101,0.2,1.0,1.0,1.0,0.82542225131701,0.364290595493463,1.0,0.6431542935558675,0.5557329611273029,0.26445517647001293,0.19320321178459793,0.82542225131701,0.93066499853005,0.9798181577376328
8,0.15104913516711216,0.2716729800463848,0.2,1.0,1.0,1.0,0.8377887431611175,0.36475990259744706,1.0,0.6425104098681084,0.5874330383772078,0.27555928547285696,0.1933448361079769,0.8377887431611175,0.9447458522845579,0.9919446424544475
9,0.17235858928088882,0.3416345371808552,0.2,1.0,1.0,1.0,0.8498238024907747,0.3665430100981442,1.0,0.6455318561712847,0.6193572901935878,0.2871908384220001,0.1933354759563508,0.8498238024907747,0.9588477436070816,1.0
10,0.21125803613033134,0.2659604212358038,0.2,1.0,1.0,1.0,0.8614075616611006,0.37033106670911287,1.0,0.6521851259573882,0.6532382098790475,0.29938369423536104,0.19335682809659724,0.8614075616611006,0.9730596550745386,1.0
11,0.21377175931449635,0.2638767418398903,0.2,1.0,1.0,1.0,0.872451162053178,0.3735448025094434,1.0,0.654364036722145,0.6853111869505759,0.31209608103201897,0.19340240680396442,0.872451162053178,0.986516021013079,1.0
