t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.178921821993126,0.2980480665601294,0.2,0.8067507268985721,0.8875820904041238,0.799232086701031,0.7146279999999999,0.19819835198879587,0.6943413255636547,0.35008227329896885,0.26385544966006413,0.20527710899320128,0.1937,0.4089788368015929,0.4373494628099226,0.5733220433884342
1,0.18335621012845318,0.2946759253783923,0.2,0.8737916785343933,1.0,0.8486526567412476,0.7279783779999999,0.09830653929678318,0.8318817906383713,0.39834940515328837,0.28150819782442266,0.21085450185975774,0.19389845000000003,0.5398291845229704,0.5584032431526205,0.6761681441797274
2,0.1827612583959917,0.3157705826394271,0.2,0.9438530936079486,1.0,0.89897862814464,0.7409546662929999,0.0007572304528731255,0.9666049740400134,0.44411318751402273,0.3024153352328489,0.21679426354581713,0.193892198825,0.6287028197921445,0.6288694453144784,0.7360659788110566
3,0.17070843055120627,0.3134995924103484,0.2,1.0,1.0,0.9518679643916313,0.7535408336557704,0.0,1.0,0.48578088020944404,0.323376406575513,0.2230938490418692,0.1938923957370125,0.7172713794178911,0.7172713794178911,0.8112075735709543
4,0.1508102698901876,0.28020437047996455,0.2,1.0,1.0,1.0,0.7657494422145231,0.0,1.0,0.522380463426614,0.343083092874281,0.22972457240893615,0.19389238953428412,0.7657494422145231,0.7657494422145231,0.8524139284987735
5,0.17680506805581753,0.2641950517532834,0.2,1.0,1.0,1.0,0.7775917916906819,0.0,1.0,0.5610492872312163,0.3639890435174913,0.2367071075551966,0.19389238972967004,0.7775917916906819,0.7775917916906819,0.862479925504662
6,0.2094731400025534,0.2810108252034945,0.2,1.0,1.0,1.0,0.7890788707085697,0.0,1.0,0.6026848806368603,0.38644168842931137,0.24406887024823087,0.1938923897235154,0.7890788707085697,0.7890788707085697,0.8714384784803473
7,0.21313935948631207,0.3456205037257012,0.2,1.0,1.0,1.0,0.8001520276104594,0.0,1.0,0.6418038352427359,0.40876938496849036,0.2518035692451184,0.1939087879282776,0.8001520276104594,0.8001520276104594,0.8691108759140003
8,0.17028048039697008,0.33935407039073096,0.2,1.0,1.0,1.0,0.809885232522558,0.0,1.0,0.6580768364147789,0.4274660160514555,0.2598348538736963,0.19414721630747345,0.809885232522558,0.809885232522558,0.8724425926428723
9,0.21461094594362265,0.31674189689081605,0.2,1.0,1.0,1.0,0.818936221697992,0.0,1.0,0.6741430406610099,0.44755163267100667,0.26818753798837947,0.19423953955415363,0.818936221697992,0.818936221697992,0.8752929913564518
10,0.15218954829259454,0.29567883282802065,0.2,1.0,1.0,1.0,0.8273117702913555,0.0,1.0,0.6740346686945927,0.46317140110034277,0.27676909063050253,0.19433510207153706,0.8273117702913555,0.8273117702913555,0.8824208286213902
11,0.20013990026923545,0.27962256519901,0.2,1.0,1.0,1.0,0.8354506362761533,0.0,1.0,0.6811841191931217,0.4804562033942752,0.285610523792083,0.19433165163402089,0.8354506362761533,0.8354506362761533,0.8871948921682885
12,0.16794684099117005,0.2809790189279486,0.2,1.0,1.0,1.0,0.843159930908356,0.0,1.0,0.6804571493040852,0.49499534865279904,0.29465432552721815,0.1943755172585598,0.843159930908356,0.843159930908356,0.893954917166237
13,0.1706588038326986,0.32878252125228974,0.2,1.0,1.0,1.0,0.8506621262011618,0.0,1.0,0.6804563529170726,0.5088311560387958,0.30388440539272193,0.194369796556769,0.8506621262011618,0.8506621262011618,0.9003334522566735
14,0.1778224435414629,0.29231232741232455,0.2,1.0,1.0,1.0,0.857938575870693,0.0,1.0,0.6815295786290053,0.522213862888787,0.31328983859657045,0.1943699573843298,0.857938575870693,0.857938575870693,0.906196426555305
15,0.20144178818003283,0.34483835441071126,0.2,1.0,1.0,1.0,0.8649689783583708,0.0,1.0,0.6856878345533249,0.536043830907498,0.3228778168287547,0.19437652371518963,0.8649689783583708,0.8649689783583708,0.9109231503098203
16,0.1734417596928808,0.25440066030830055,0.2,1.0,1.0,1.0,0.8716816590236974,0.0,1.0,0.6838720324576542,0.54756515092512,0.33260034167896957,0.194401794160234,0.8716816590236974,0.8716816590236974,0.9171673518927881
17,0.22791074996209448,0.3332570567726657,0.2,1.0,1.0,1.0,0.8782430332577563,0.0,1.0,0.691007753670967,0.5612922861203047,0.342500183984586,0.19438994700202608,0.8782430332577563,0.8782430332577563,0.9206067654172962
18,0.213226495984901,0.30233726678272194,0.2,1.0,1.0,1.0,0.8844214410740235,0.0,1.0,0.6928881550406222,0.573402777472287,0.3525432376941859,0.19443398293044167,0.8844214410740235,0.8844214410740235,0.9252832826681229
19,0.16878403096788316,0.26545094051128193,0.2,1.0,1.0,1.0,0.8903711481876446,0.0,1.0,0.6873077766030584,0.5824701099317249,0.3626672075158785,0.19444423887716678,0.8903711481876446,0.8903711481876446,0.9320120832592889
20,0.17433904666686528,0.2960882316929084,0.2,1.0,1.0,1.0,0.8962880692723755,0.0,1.0,0.6849502129990797,0.5912943102146642,0.37286642164501305,0.1944097660417129,0.8962880692723755,0.8962880692723755,0.937757353471367
