t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.1690371701673513,0.3044229225295952,0.2,0.8064232293132764,0.8847045309369876,0.7972044244748973,0.688,0.3261422302100411,0.6895298917028113,0.3493555755251027,0.27567872605154986,0.205513574521031,0.2,0.3913086240034246,0.4359764175699393,0.5705799549344484
1,0.17959641332384635,0.31039200385961946,0.2,0.872834488562313,1.0,0.8407200961091967,0.67636,0.35226445925422084,0.8233799834512436,0.39782725874742453,0.3095028186351846,0.21164849514852438,0.2,0.49631939011363396,0.5575118786651513,0.6738850968653785
2,0.20005762432864432,0.2565528859239813,0.2,0.9413246876353394,1.0,0.879158955018262,0.6650691999999999,0.378961305232584,0.9435092849074,0.44694453945935,0.35138127727724716,0.21855963574258408,0.2,0.5503939972178477,0.6233963068700968,0.7298868608395822
3,0.15105343932438992,0.333746908209646,0.2,1.0,1.0,0.9230576096743296,0.6541171239999999,0.4020504789612328,1.0,0.486255328385041,0.3905604788665192,0.22618524896248862,0.2,0.603787788926487,0.6887513983315802,0.7854386885818431
4,0.1707483211462406,0.27343309610466965,0.2,1.0,1.0,0.9620687305908786,0.6434936102799999,0.4257441162559764,1.0,0.5265548101377251,0.431514893675443,0.2345536943463726,0.2,0.619085080785421,0.7113352214976081,0.8046349382729668
5,0.22965158684083703,0.29702635075224476,0.2,1.0,1.0,0.9904226178424819,0.6331888019715999,0.45237960856002724,1.0,0.5736748076569644,0.47838794676563534,0.24377591633822157,0.2,0.6271245108372568,0.7264189300930917,0.8174560905791278
6,0.2169169161019511,0.2976353208699335,0.2,1.0,1.0,1.0,0.6231931379124519,0.47758513331214364,1.0,0.6165286046894088,0.5235019893070185,0.2538081969609797,0.2,0.6231931379124519,0.7273628601596478,0.8132998497288779
7,0.20112545124353295,0.26506164240235236,0.2,1.0,1.0,1.0,0.6134973437750784,0.5012130320539521,1.0,0.6548709921414684,0.5664163231973465,0.26459844145531686,0.2,0.6134973437750784,0.7211198461157718,0.7964905715559656
8,0.20078885266281507,0.33680453071432964,0.2,1.0,1.0,1.0,0.604092423461826,0.5242300374123722,1.0,0.6912457704338172,0.6086867118225505,0.2761261912772147,0.2,0.604092423461826,0.7149316112749993,0.7803181384536042
9,0.1918544968306641,0.324125185620149,0.2,1.0,1.0,1.0,0.5949696507579713,0.5461355562869027,1.0,0.724461656436726,0.6493300337470165,0.2883515300393829,0.2,0.5949696507579713,0.7086965791746563,0.7650535953674401
10,0.2037129180295674,0.2564031438226997,0.2,1.0,1.0,1.0,0.5861205612352322,0.5682049424615042,1.0,0.7577955113193249,0.6905087682183663,0.30127819010335644,0.2,0.5861205612352322,0.7026833711554914,0.7499422120863701
11,0.21065841970294538,0.30910995829313176,0.2,1.0,1.0,1.0,0.5775369443981752,0.5901393240821433,1.0,0.7905044987088005,0.7316706686061312,0.31489882157444554,0.2,0.5775369443981752,0.6968264860980371,0.7351511635706913
12,0.17410141276125699,0.253101175146975,0.2,1.0,1.0,1.0,0.5692108360662299,0.6093319257457652,1.0,0.8168410397472101,0.7681658844994771,0.32911315104869066,0.2,0.5692108360662299,0.6906042532796874,0.7200949182144183
13,0.21924217895831566,0.29727490886654667,0.2,1.0,1.0,1.0,0.561134510984243,0.6307531583396201,1.0,0.8503455672707667,0.8087495677790031,0.34399701089378376,0.2,0.561134510984243,0.6850125887540774,0.7010063985918118
14,0.20750591392526424,0.3378812800255482,0.2,1.0,1.0,1.0,0.5533004756547157,0.6509346842166455,1.0,0.8820289507333496,0.847447242530465,0.3595059856354552,0.2,0.5533004756547157,0.6793573402937435,0.682658117186348
15,0.2071303586888962,0.34210986675838745,0.2,1.0,1.0,1.0,0.5457014613850742,0.6705891386325632,1.0,0.9136441880906218,0.8854930996457314,0.3756207877720153,0.2,0.5457014613850742,0.673780976914336,0.6645027462234864
16,0.1815970723200595,0.3300908770985228,0.2,1.0,1.0,1.0,0.538330417543522,0.6882202345059527,1.0,0.9412591582945757,0.9202196183745806,0.3922689722617868,0.2,0.538330417543522,0.6680018777147434,0.6477798016679686
17,0.18556968448406086,0.3435586721704521,0.2,1.0,1.0,1.0,0.5311805050172163,0.7056489097123475,1.0,0.969483565829444,0.9547799525908177,0.40944188159098527,0.2,0.5311805050172163,0.6623699354962648,0.6310395934805224
18,0.22030933282704332,0.2597454309730877,0.2,1.0,1.0,1.0,0.5242450898666997,0.7247262469391614,1.0,1.0,0.9923537793852459,0.4271945383627804,0.2,0.5242450898666997,0.6572220516260816,0.6136934944943371
19,0.1608775088160535,0.2716986941233137,0.2,1.0,1.0,1.0,0.5175177371706987,0.7397607412946456,1.0,1.0,1.0,0.4449225929791526,0.2,0.5175177371706987,0.6515114938795821,0.6058326215387156
20,0.22723841111185622,0.2936161866627429,0.2,1.0,1.0,1.0,0.5109922050555777,0.7584010274289908,1.0,1.0,1.0,0.4624733670493611,0.2,0.5109922050555777,0.6466301597184023,0.5979554302748439
21,0.20013186326934432,0.2801026198425505,0.2,1.0,1.0,1.0,0.5046624389039104,0.7749489135394267,1.0,1.0,1.0,0.4798486333788675,0.2,0.5046624389039104,0.6415431019603702,0.5903218539584293
22,0.19057943870632477,0.28858662588449024,0.2,1.0,1.0,1.0,0.4985225657367931,0.7905099570233206,1.0,1.0,1.0,0.4970501470450789,0.2,0.4985225657367931,0.6364530339423049,0.582883087446295
23,0.1780728391016144,0.30850741074053634,0.2,1.0,1.0,1.0,0.49256688876468935,0.8049315784438345,1.0,1.0,1.0,0.5140796455746282,0.2,0.49256688876468935,0.6313358139065748,0.5756491261318216
24,0.19674014343761592,0.3404201770847775,0.2,1.0,1.0,1.0,0.48678988210174867,0.8201126975889956,1.0,1.0,1.0,0.5309388491188819,0.2,0.48678988210174867,0.6265177792810716,0.5685175728711117
25,0.20455857093079732,0.3428945601200017,0.2,1.0,1.0,1.0,0.4811861856386962,0.8353833944051186,1.0,1.0,1.0,0.5476294606276931,0.2,0.4811861856386962,0.6218774178235931,0.5615191262690304
26,0.21851204531174045,0.3490989644868815,0.2,1.0,1.0,1.0,0.4757506000695353,0.851109532263695,1.0,1.0,1.0,0.5641531660214162,0.2,0.4757506000695353,0.6174711548143094,0.554628575139424
