t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.1681364687504839,0.3462295035834383,0.2,0.8094276665192489,0.9050906315624914,0.8207419296874274,0.86552,0.322728188125029,0.6969277704478911,0.34418047031257254,0.2756430054733319,0.20551286010946665,0.15800000000000003,0.5204198378747952,0.5792037908443741,0.7028232222177181
1,0.16010647189206875,0.3204816922871608,0.2,0.8811574379181246,1.0,0.9077648299583057,1.0,0.3444063717354274,0.8354023534145051,0.3849474175807542,0.30738523231526027,0.2116054361546772,0.15800000000000003,0.7998837317982427,0.8963035006558319,0.9723579755574571
2,0.1568148214440602,0.2747440984929085,0.2,0.9587081670927385,1.0,0.993976134292322,1.0,0.3653451017286853,0.9628840858740138,0.42318226991832547,0.3446984121392268,0.21838335003591497,0.15800000000000003,0.9529330378413178,1.0,1.0
3,0.2299302831330063,0.2709397631888913,0.2,1.0,1.0,1.0,1.0,0.39014729117344854,1.0,0.4704726988923601,0.39123513118122827,0.2260242191591804,0.15800000000000003,1.0,1.0,1.0
4,0.20134947480576856,0.2959133762772397,0.2,1.0,1.0,1.0,1.0,0.41261457738245844,1.0,0.5111114851686073,0.43434464151523045,0.2344508697978932,0.15800000000000003,1.0,1.0,1.0
5,0.1862505944910514,0.29949826938891777,0.2,1.0,1.0,1.0,1.0,0.43361424861736003,1.0,0.5474535000838346,0.4753352608834578,0.24361306631758345,0.15800000000000003,1.0,1.0,1.0
6,0.16537846737941456,0.33305212736329715,0.2,1.0,1.0,1.0,1.0,0.45283660044469093,1.0,0.5788475951865552,0.5134953836410864,0.25344684332722933,0.15800000000000003,1.0,1.0,1.0
7,0.15716524987524716,0.27341829594897055,0.2,1.0,1.0,1.0,1.0,0.4710856004260885,1.0,0.6074400029085144,0.5500967805173305,0.26391431050430364,0.15800000000000003,1.0,1.0,1.0
8,0.15159930449793446,0.2766767461003198,0.2,1.0,1.0,1.0,1.0,0.48854441868531234,1.0,0.6337678984377788,0.5853727713472262,0.2749826228262051,0.15800000000000003,1.0,1.0,1.0
9,0.18261310903687655,0.3402064300411628,0.2,1.0,1.0,1.0,1.0,0.5074275947603921,1.0,0.6634314698714214,0.6232044022341002,0.2866968846426251,0.15800000000000003,1.0,1.0,1.0
10,0.18032603366732713,0.26137309272807996,0.2,1.0,1.0,1.0,1.0,0.5257014669114219,1.0,0.6912688014279493,0.6600429307102288,0.29903077441040343,0.15800000000000003,1.0,1.0,1.0
11,0.170668536482553,0.3491602397071068,0.2,1.0,1.0,1.0,1.0,0.5429390424275895,1.0,0.7162656418289348,0.6950648846381503,0.3119417643590624,0.15800000000000003,1.0,1.0,1.0
12,0.15504709445617748,0.3120167961936684,0.2,1.0,1.0,1.0,1.0,0.5588083920342704,1.0,0.7376694239059147,0.7275948028019422,0.3253742427715106,0.15800000000000003,1.0,1.0,1.0
13,0.18017641073926027,0.31608431716118324,0.2,1.0,1.0,1.0,1.0,0.5757887668777691,1.0,0.761772414321508,0.7619622896703739,0.339359746137203,0.15800000000000003,1.0,1.0,1.0
14,0.1770750869717712,0.3191300571605972,0.2,1.0,1.0,1.0,1.0,0.5921585529241312,1.0,0.7842050566511982,0.7951720589595216,0.35386958985502137,0.15800000000000003,1.0,1.0,1.0
15,0.18980644279920575,0.3149721365547263,0.2,1.0,1.0,1.0,1.0,0.6088829756689803,1.0,0.8081364082920376,0.8289419393068417,0.368909732742608,0.15800000000000003,1.0,1.0,0.9962824823785927
16,0.2221099968003728,0.30815365449219395,0.2,1.0,1.0,1.0,1.0,0.6271275010852783,1.0,0.8371762874843138,0.8654518321558211,0.38452967205829836,0.15800000000000003,1.0,1.0,0.9839216135376503
17,0.1613710383216837,0.2564373497215776,0.2,1.0,1.0,1.0,1.0,0.6412715758574473,1.0,0.8567848549269464,0.8948168371863737,0.40058071208144286,0.15800000000000003,1.0,1.0,0.9752102283504267
18,0.22568411471692612,0.2988666830225436,0.2,1.0,1.0,1.0,1.0,0.6589208333440267,1.0,0.8864718960556602,0.9303900366991726,0.41718270569461186,0.15800000000000003,1.0,1.0,0.9627742645144967
19,0.16550831982386577,0.3446044324787799,0.2,1.0,1.0,1.0,1.0,0.6725183116998581,1.0,0.9067360141624458,0.9589657029245571,0.4341901926961569,0.15800000000000003,1.0,1.0,0.9539755334112947
20,0.19631694284454773,0.3228941459837305,0.2,1.0,1.0,1.0,1.0,0.6876243704780346,1.0,0.9318167045192484,0.9902312401347333,0.45165291557189,0.15800000000000003,1.0,1.0,0.9434301145486186
21,0.2204767748386484,0.2785653230229915,0.2,1.0,1.0,1.0,1.0,0.7038023677064026,1.0,0.9605615749355955,1.0,0.4691363864161711,0.15800000000000003,1.0,1.0,0.9315710539780409
22,0.17853573909702275,0.33780765043655037,0.2,1.0,1.0,1.0,1.0,0.7170594528595639,1.0,0.9826386132821341,1.0,0.48644502255200944,0.15800000000000003,1.0,1.0,0.9222965254434471
23,0.16079805860418064,0.32642952993609897,0.2,1.0,1.0,1.0,1.0,0.7289208500543256,1.0,1.0,1.0,0.5035805723264893,0.15800000000000003,1.0,1.0,0.9147158299891349
