t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.18796565429508383,0.21574725026572555,0.2,0.8099261965930586,0.9096806790226883,0.8234509918557374,0.908632,0.2722429519425318,0.690101153939609,0.25393500762273535,0.2707280960565469,0.20541456192113094,0.14780000000000001,0.5512647228731744,0.6037920002830455,0.7262732002405886
1,0.20331283768998704,0.1642600352925368,0.2,0.881376770950115,1.0,0.9043683413244034,1.0,0.2462509970901945,0.8145936657383929,0.21270084637356945,0.29728423166399004,0.21130610093519944,0.1496792,0.7970892484260141,0.865788656194187,0.9485005577650589
2,0.15086883544720542,0.18747544920633646,0.2,0.9587614724616599,1.0,0.9919419134474564,1.0,0.21775678887859873,0.9412944382316385,0.16565367470644454,0.32455436318386616,0.2176841271895248,0.14961154880000002,0.9510356895333197,1.0,1.0
3,0.1719238511582665,0.2310348052235084,0.2,1.0,1.0,1.0,1.0,0.1912384316504125,1.0,0.12411740623251909,0.35546032457955473,0.22461649240922066,0.14961398424320002,1.0,1.0,1.0
4,0.20524741224309476,0.21014570387277332,0.2,1.0,1.0,1.0,1.0,0.1673824400039442,1.0,0.0896564748238995,0.38841531497287846,0.23213863378458602,0.1496138965672448,1.0,1.0,1.0
5,0.19465520382026785,0.2161321085872001,0.2,1.0,1.0,1.0,1.0,0.14348731589577474,1.0,0.055329759101046996,0.4200019842317128,0.2402172871313744,0.1496138997235792,1.0,1.0,1.0
6,0.16162422357680822,0.194005479192477,0.2,1.0,1.0,1.0,1.0,0.1182077110666117,1.0,0.017764732114182794,0.4487542393799307,0.24879019904765928,0.14961389960995117,1.0,1.0,1.0
7,0.1629813857911111,0.24059729815293227,0.2,1.0,1.0,1.0,1.0,0.09364152609136313,1.0,0.0,0.47660868879439455,0.2578344708330706,0.14961389961404178,1.0,1.0,1.0
8,0.1547059461928693,0.23188201278420806,0.2,1.0,1.0,1.0,1.0,0.0691929693645895,1.0,0.0,0.5021721096841115,0.26729956831842216,0.14961389961389449,1.0,1.0,1.0
9,0.1559687706908702,0.21869455040935418,0.2,1.0,1.0,1.0,1.0,0.0454313960258657,1.0,0.0,0.5262963003664527,0.27715249864256697,0.1496138996138998,1.0,1.0,1.0
10,0.1769599674233414,0.19046142831286492,0.2,1.0,1.0,1.0,1.0,0.023523333824558235,1.0,0.0,0.550545105559904,0.2873918757673394,0.1496138996138996,1.0,1.0,1.0
11,0.21739226942500495,0.15186043003120028,0.2,1.0,1.0,1.0,1.0,0.004588911298383284,1.0,0.0,0.5763670253947025,0.29804529751756004,0.14961389961389962,1.0,1.0,1.0
12,0.1548627756951175,0.2415033643409947,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5959566913130255,0.30898397836864494,0.14961389961389962,1.0,1.0,1.0
13,0.1907140733142161,0.15909779890585835,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6170559411228614,0.32023525740741576,0.14961389961389962,1.0,1.0,1.0
14,0.22897071923244555,0.24467130187432706,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6397543403616495,0.33182799164057464,0.14961389961389962,1.0,1.0,1.0
15,0.1590022108917621,0.19232066122540936,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6558507766308946,0.3436267272567868,0.14961389961389962,1.0,1.0,1.0
16,0.1608055600759331,0.18125406941922684,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6711164825708825,0.3556127896356366,0.14961389961389962,1.0,1.0,1.0
17,0.19971615586171457,0.16635241283189814,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6883803259750942,0.3678242682587821,0.14961389961389962,1.0,1.0,1.0
18,0.20574675910805165,0.15513533171650049,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7050599807731117,0.38024722519165655,0.14961389961389962,1.0,1.0,1.0
19,0.1636971274061487,0.23156976482540578,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7175896887947378,0.39279654671563474,0.14961389961389962,1.0,1.0,1.0
20,0.18204149580445228,0.19188402121376166,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7307414548710961,0.4054834103459003,0.14961389961389962,1.0,1.0,1.0
21,0.19767767814969428,0.19767682448722154,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7442751349203395,0.41831407894084804,0.14961389961389962,1.0,1.0,1.0
22,0.18076651128598997,0.15304943817908165,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7557302884988142,0.4312455439214159,0.14961389961389962,1.0,1.0,1.0
23,0.2081061941877984,0.24674588828672947,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7685456475982841,0.44430400143416743,0.14961389961389962,1.0,1.0,1.0
24,0.22810430156427947,0.216359604344937,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7820897769753008,0.45750275695933174,0.14961389961389962,1.0,1.0,1.0
25,0.1785076152927207,0.1863128556803851,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7911068795185195,0.4707498669801088,0.14961389961389962,1.0,1.0,1.0
26,0.205209157100674,0.21737728216491836,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8015826791873613,0.48407402189405496,0.14961389961389962,1.0,1.0,1.0
27,0.15910659209035496,0.17349724273028422,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8079772324102056,0.4973928263233185,0.14961389961389962,1.0,1.0,1.0
28,0.1790657903976834,0.2011350501874311,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8154828902977056,0.5107285558660394,0.14961389961389962,1.0,1.0,1.0
29,0.21480856583421348,0.20000121234313284,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8252150451501866,0.5241255712103827,0.14961389961389962,1.0,1.0,1.0
30,0.1522514613753052,0.2322567618333425,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8296782641712968,0.5374778807817048,0.14961389961389962,1.0,1.0,1.0
31,0.18441235007805512,0.20189973043333065,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8362822729805294,0.5508287474334984,0.14961389961389962,1.0,1.0,1.0
32,0.16777343611458204,0.19272430542370936,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8412439250700043,0.5641453384605636,0.14961389961389962,1.0,1.0,1.0
33,0.18105968964362457,0.2271918577010098,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8469029078587329,0.5774419432331326,0.14961389961389962,1.0,1.0,1.0
34,0.15820905432301502,0.2049971366082435,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8505110292515939,0.5906777443858331,0.14961389961389962,1.0,1.0,1.0
35,0.16424396221517382,0.21958955397739036,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8543546277410918,0.6038580594967966,0.14961389961389962,1.0,1.0,1.0
36,0.15294768716900492,0.17765476293735188,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.857121613324888,0.6169619111683264,0.14961389961389962,1.0,1.0,1.0
37,0.17753427899007068,0.21369296366414156,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8615639108979115,0.6300235702746014,0.14961389961389962,1.0,1.0,1.0
38,0.15416470558286785,0.1959262038531196,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8639894840437902,0.6430031242527312,0.14961389961389962,1.0,1.0,1.0
39,0.16670347472408986,0.17818957973691135,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8672085722652586,0.6559172644555091,0.14961389961389962,1.0,1.0,1.0
40,0.18810099464472993,0.24587481011117981,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8718370113709687,0.6687948320383734,0.14961389961389962,1.0,1.0,1.0
41,0.18848196043962978,0.2455891877327326,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8762162752980772,0.6816312092239512,0.14961389961389962,1.0,1.0,1.0
42,0.16340504018350088,0.2424249742544119,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8784547307459021,0.6943839917466297,0.14961389961389962,1.0,1.0,1.0
43,0.17913542221897918,0.1689232280600354,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8817369535772177,0.7070748909007077,0.14961389961389962,1.0,1.0,1.0
44,0.20988222194903147,0.24120418921628112,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8871249224716644,0.719746640441134,0.14961389961389962,1.0,1.0,1.0
45,0.15053394016486293,0.1768254048492408,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.887744920807583,0.7323040724528743,0.14961389961389962,1.0,1.0,1.0
46,0.21165382075391612,0.18417897386814655,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.892905089675915,0.7448391335218639,0.14961389961389962,1.0,1.0,1.0
47,0.16932693826851006,0.1508629854778995,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8945857171471603,0.7572824565295885,0.14961389961389962,1.0,1.0,1.0
48,0.15320183530304177,0.2119077094763953,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.894957870946878,0.7696087893832302,0.14961389961389962,1.0,1.0,1.0
49,0.22870520553645618,0.24984951358032398,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9009622696299304,0.7819319468819965,0.14961389961389962,1.0,1.0,1.0
50,0.19028795847583213,0.15239095682465068,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9037292722853726,0.794187212858884,0.14961389961389962,1.0,1.0,1.0
51,0.17579651408312663,0.22874021356447602,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9052449661904588,0.8063502400541044,0.14961389961389962,1.0,1.0,1.0
