t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.17590662118665298,0.1650849173924502,0.2,0.807586724399288,0.8931163426775705,0.805980162487042,0.7623850525440924,0.23347967251335278,0.6830030343388729,0.26290398924145986,0.26657883661517645,0.20533157673230354,0.18240101280502544,0.4431961030445743,0.47941315139388874,0.611900925483549
1,0.2020747578431883,0.1572436286667543,0.2,0.8758224607080569,1.0,0.8637442146844775,0.817491519102314,0.1741206371114582,0.8068310102401088,0.23721852408457783,0.28890226472576885,0.21105630625949587,0.18368027962116462,0.618421366348258,0.656109339157422,0.7617728683785174
2,0.19287056034453515,0.18656889169125856,0.2,0.9481811959727445,1.0,0.9280759021913547,0.8682069687873195,0.11937650382930375,0.9301289960656594,0.2167130083444368,0.3142786397993565,0.21723131599288803,0.18432802951307375,0.7640083444453171,0.7959299702150209,0.8804584673044993
3,0.15463991398197655,0.20074357331894205,0.2,1.0,1.0,1.0,0.9148808156327299,0.06700938501569008,1.0,0.19622886656923832,0.33895705445085883,0.22383814392197632,0.18492427699313171,0.9148808156327299,0.9363377759191007,0.9996560402829527
4,0.15299965267535878,0.1933645683662386,0.2,1.0,1.0,1.0,0.9578936328609094,0.018817992211088916,1.0,0.18077040015898216,0.3630841311731049,0.23086144510621867,0.18545916994546655,0.9578936328609094,0.9642026050836893,1.0
5,0.15558843388596952,0.15907130133438652,0.2,1.0,1.0,1.0,0.9975862057608722,0.0,1.0,0.17028667003977274,0.3867669077948968,0.2382881688110544,0.18593942068948188,0.9975862057608722,0.9975862057608722,1.0
6,0.18396153513140112,0.2326852124672038,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.16800692834023992,0.4115298366751367,0.2461358838564466,0.18637059951762944,1.0,1.0,1.0
7,0.15990415689197163,0.17232389646070145,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.16530655946372713,0.4335375362810496,0.25434527574350313,0.18675772093071177,1.0,1.0,1.0
8,0.20019465779244713,0.2447708942457006,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.17154467913157934,0.4572331828038307,0.2629464866421447,0.18710528666062476,1.0,1.0,1.0
9,0.19616823588939988,0.18966804746507804,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.17934482115996775,0.47920011621626174,0.27190102410004846,0.1874173384682536,1.0,1.0,1.0
10,0.2281004084474336,0.15465826806177563,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.19376948508572944,0.501905184114555,0.2812201175413391,0.1876975051310192,1.0,1.0,1.0
11,0.21867747672389437,0.17896092863316765,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.2080568612092693,0.5222126109282644,0.2908521685844909,0.18794904464146697,1.0,1.0,1.0
12,0.16154040666859498,0.16177922380783685,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.2148526023328726,0.5369396910567088,0.3006824407197802,0.18817488209368813,1.0,1.0,1.0
13,0.17467854592815474,0.23161263591200315,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.22488933456554572,0.5515347570680023,0.31070631145394245,0.18837764369855475,1.0,1.0,1.0
14,0.164458110393915,0.20816001636624665,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.2343367080737599,0.5642412742744833,0.3208840738248927,0.18855968732331116,1.0,1.0,1.0
15,0.2011130775140947,0.18723975427257314,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.2501077970166236,0.5784646316452704,0.33124452571954915,0.1887231299106602,1.0,1.0,1.0
16,0.1938195572567646,0.15627889749733231,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.26516153060694625,0.5907753246836386,0.3417475869560264,0.18886987209619455,1.0,1.0,1.0
17,0.1547680935972986,0.17059587128193265,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.2746510233468,0.5990551915029627,0.3523112149165254,0.1890016203104431,1.0,1.0,1.0
18,0.20443199785454286,0.1927592305669403,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.29205489632329373,0.6100310379881096,0.36298872352712236,0.18911990662255215,1.0,1.0,1.0
19,0.17513177363014332,0.2085561863507639,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.30503683765151524,0.6180462657471641,0.3737197616067944,0.18922610655635896,1.0,1.0,1.0
20,0.18625475010966203,0.17997669968636826,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3197952569061796,0.6271439232381998,0.3845254424554904,0.18932145508603646,1.0,1.0,1.0
21,0.2135503585217993,0.21989944337295714,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3385898623379263,0.6386879701100125,0.3954539474331358,0.1894070609973188,1.0,1.0,1.0
22,0.16952772085777223,0.2074423710258671,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3504516499218336,0.6466804258155738,0.40643301647511587,0.1894839197813113,1.0,1.0,1.0
23,0.19201572030491612,0.2375137495573429,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.3656414954420615,0.6566540023837734,0.4175017663580402,0.18955292521082326,1.0,1.0,1.0
24,0.2083556231551374,0.17879377648901867,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.38301479278939116,0.6681039872092938,0.42868882843864564,0.18961487973384303,1.0,1.0,1.0
25,0.22841398779940658,0.16180657782549623,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.402969870791,0.6813437822856956,0.4400288157999731,0.1896705038050176,1.0,1.0,1.0
26,0.18344982574281818,0.22571409295652495,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.4155791298776918,0.6908510441398115,0.4514455485247696,0.1897204442636512,1.0,1.0,1.0
27,0.1621587627728404,0.19889631004758057,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.42472030582205716,0.6985485528634452,0.4629020640967908,0.18976528185564814,1.0,1.0,1.0
28,0.153136580563795,0.21682158565343954,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.43237075515639567,0.7054387697901267,0.4743818188516254,0.18980553798687105,1.0,1.0,1.0
29,0.21116566929702504,0.2073025940277384,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.4486300423593148,0.7172127524127652,0.48598225571136444,0.18984168078644745,1.0,1.0,1.0
30,0.22003822494647107,0.18137475128480968,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.46566492050281505,0.7297442036557196,0.4977173172273652,0.18987413055053398,1.0,1.0,1.0
31,0.20562362930189274,0.20943698771050184,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.4799172086805946,0.7410310123898495,0.5095607643028885,0.189903264629842,1.0,1.0,1.0
32,0.19639161634259938,0.19562053313014133,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.49227978536551265,0.7514715289201055,0.5214945872382618,0.18992942181776057,1.0,1.0,1.0
33,0.21719742244100332,0.24446810951079376,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5073315859138476,0.763600331709326,0.5335516480000657,0.18995290629010564,1.0,1.0,1.0
34,0.18792786699357156,0.21641522054746745,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5174077903765391,0.7731469309256909,0.5456790701385789,0.1899739911423093,1.0,1.0,1.0
35,0.15485355420777758,0.2201492021304424,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5221693574055059,0.7797323493429699,0.5578169264240525,0.18999292156518266,1.0,1.0,1.0
36,0.2017703083622135,0.2493095939466634,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5338653193945517,0.790152565515669,0.5700418084701253,0.19000991769618245,1.0,1.0,1.0
37,0.21575398292877718,0.17845955320941492,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5471952045590165,0.8016451414937608,0.5823742932152993,0.19002517717933787,1.0,1.0,1.0
38,0.18086331539573686,0.21686527158841884,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5547337843853273,0.8100288054530973,0.5947511263922082,0.19003887746360695,1.0,1.0,1.0
39,0.15180503424444708,0.1961695286299766,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5576343661401921,0.815748301468557,0.6071185811576572,0.1900511778663887,1.0,1.0,1.0
40,0.16344387031252355,0.1617095794481732,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5622234371701582,0.8222553398964644,0.6194925021440099,0.19006222142618806,1.0,1.0,1.0
41,0.15471635354650481,0.22682329884725208,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5653526597072466,0.8278264474916077,0.6318541060724019,0.190072136565977,1.0,1.0,1.0
42,0.16034721776149474,0.17476148336969144,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5692407385068122,0.8336863956156447,0.6442092929239908,0.19008103858659542,1.0,1.0,1.0
43,0.18127597625065817,0.23714219741262996,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5761371920917988,0.841158962161469,0.6565903792379802,0.19008903100755747,1.0,1.0,1.0
44,0.15644650409601107,0.1949187400949331,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5790213823403778,0.8463484966804324,0.6689514453792091,0.1900962067708558,1.0,1.0,1.0
45,0.19395519273152298,0.23833838264415125,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5874388243609213,0.8545695255888457,0.681353321437194,0.1901026493217622,1.0,1.0,1.0
46,0.2155423870268593,0.23639844696985152,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5987194041411135,0.8645023966657747,0.6938298361561375,0.19010843357919327,1.0,1.0,1.0
47,0.17227368516111177,0.19152965172116987,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6029868872136681,0.8706003336889498,0.7063035444683551,0.19011362680692473,1.0,1.0,1.0
48,0.17870169322652998,0.2384192827198217,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6070266796378011,0.8770218311564085,0.7187809456467997,0.1901182893957864,1.0,1.0,1.0
49,0.22661849631711928,0.1650920905791109,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6167113496857535,0.8872804921681542,0.7313387460336948,0.19012242805510088,1.0,1.0,1.0
50,0.16409741827922963,0.1731956866819536,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6132687001233069,0.8918218053491818,0.7438617946803414,0.1901259298749854,1.0,1.0,1.0
51,0.1686668866944689,0.19849627303413567,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6118697418057052,0.8963946418223183,0.7563510695699843,0.1901278586239815,1.0,1.0,1.0
52,0.19712988029858045,0.1762746619298538,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6153040561388499,0.903101283382106,0.7688495845419266,0.1901301738732003,1.0,1.0,1.0
53,0.1503274882708051,0.19189465011253282,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6103964382024927,0.9054843041159756,0.7812707747788269,0.19013242232220856,1.0,1.0,1.0
54,0.17954028583157802,0.20663412237063922,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6117968978675036,0.9101033305022357,0.7936601336410833,0.1901339403675311,1.0,1.0,1.0
55,0.2262478340420076,0.2190493657135978,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6196733890694033,0.9184926465675801,0.8060933852360241,0.1901359880733653,1.0,1.0,1.0
56,0.19123931464566227,0.2117592749409128,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.619239947147323,0.9235852522185527,0.8185041564280349,0.1901376412436319,1.0,1.0,1.0
57,0.2040960065959601,0.15539928932237904,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6209057841836183,0.9294643437588249,0.830908401738931,0.19013781574066815,1.0,1.0,1.0
58,0.22196264080463618,0.2279969490706073,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6246041646574448,0.9365681150756608,0.8433306800230549,0.1901381001787228,1.0,1.0,1.0
59,0.2199610547307581,0.2297873121196566,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6265592196304741,0.9431713738714843,0.855760800700254,0.19013799765830267,1.0,1.0,1.0
60,0.33139031255130147,0.0898978832320273,0.65,1.0,1.0,1.0,0.9950190039636118,0.024341641597527303,1.0,0.6957957082004099,0.9612103000706113,0.8684273986946637,0.6179453352200831,0.9950190039636118,1.0,0.9167749537348564
61,0.30828296749682593,0.11342895656857091,0.65,1.0,1.0,1.0,1.0,0.043176779425290586,1.0,0.7292970887490594,0.977781426012245,0.881298753227962,0.5741439931662319,1.0,1.0,0.9176748750837243
62,0.304979825729495,0.05673476158430249,0.65,1.0,1.0,1.0,1.0,0.05683507817502072,1.0,0.7427931397444478,0.9923733332920746,0.8943332323615238,0.575772110721649,1.0,1.0,0.9132190303962535
63,0.31670105483569316,0.06623031877720975,0.65,1.0,1.0,1.0,1.0,0.06687472144485633,1.0,0.7470718993307363,1.0,0.9073899000379086,0.5732772064418035,1.0,1.0,0.9125591285903283
64,0.3272042921785875,0.0552575603890267,0.65,1.0,1.0,1.0,1.0,0.07369096482558653,1.0,0.7460897770791036,1.0,0.9203160010375295,0.5714063419266809,1.0,1.0,0.9133214813945988
65,0.3000186625521085,0.0651264932279428,0.65,1.0,1.0,1.0,1.0,0.07547564540183686,1.0,0.7367794340320841,1.0,0.9331128410271543,0.5696932522253474,1.0,1.0,0.916542856734038
66,0.30811714944180774,0.08636099220345711,0.65,1.0,1.0,1.0,1.0,0.07481789756936418,1.0,0.7281782753652157,1.0,0.9457817126168828,0.5681680035543618,1.0,1.0,0.919504516501845
67,0.30204007093329166,0.13743323773738197,0.65,1.0,1.0,1.0,1.0,0.07126025091309549,1.0,0.7183596387800375,1.0,0.9583238954907141,0.5668192726632462,1.0,1.0,0.9227872902001772
68,0.3491255190230783,0.06485504853308915,0.65,1.0,1.0,1.0,1.0,0.06835846187234812,1.0,0.7161937472180123,1.0,0.970740656535807,0.5656255722253545,1.0,1.0,0.9237354827782578
69,0.3201806205245662,0.08473895460537016,0.65,1.0,1.0,1.0,1.0,0.06179811979993777,1.0,0.7076699027430347,1.0,0.9830332499704489,0.564571567989065,1.0,1.0,0.9265561371798234
70,0.3291330751622626,0.062284223076219496,0.65,1.0,1.0,1.0,1.0,0.05416183762017719,1.0,0.7012640268617755,1.0,0.9952029174707444,0.5636314670421485,1.0,1.0,0.9287129251809303
71,0.3679149541187692,0.1493102721704714,0.65,1.0,1.0,1.0,1.0,0.047474085276443895,1.0,0.700922622860573,1.0,1.0,0.5628022094865126,1.0,1.0,0.9290226607702
72,0.3372791567327947,0.09838346564162695,0.65,1.0,1.0,1.0,1.0,0.03772632669468533,1.0,0.6941264396228092,1.0,1.0,0.5620679146842665,1.0,1.0,0.9312450894420907
73,0.3068707729244932,0.06021876167481685,0.65,1.0,1.0,1.0,1.0,0.025157342880838263,1.0,0.6836401640668291,1.0,1.0,0.561411585732122,1.0,1.0,0.9345550543469208
74,0.3274108670594401,0.07647568917171801,0.65,1.0,1.0,1.0,1.0,0.013039711276379026,1.0,0.6787534051866191,1.0,1.0,0.5608328281505909,1.0,1.0,0.9361657714063667
75,0.3663084302497248,0.06614386105264315,0.65,1.0,1.0,1.0,1.0,0.002598672793994894,1.0,0.6802297371076722,1.0,1.0,0.5603257755204328,1.0,1.0,0.9358496349875902
76,0.3018476576836198,0.14509855728747023,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6702418483648815,1.0,1.0,0.5598763878612331,1.0,1.0,0.9389583485252273
77,0.34226059160336997,0.06466025388990906,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6691184315735484,1.0,1.0,0.5594731663308646,1.0,1.0,0.9393961789452194
78,0.34345379407056914,0.05270424914221686,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6676572017362483,1.0,1.0,0.5591218230532413,1.0,1.0,0.9399223837158153
79,0.3422487552750645,0.14785012427189728,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6657341915848279,1.0,1.0,0.5588079778621553,1.0,1.0,0.9405777480590128
80,0.3690660024231735,0.1196196785907802,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6678263644567558,1.0,1.0,0.5585287375680149,1.0,1.0,0.9400199062709697
81,0.32088921577834895,0.08666997917611789,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.661203072100818,1.0,1.0,0.558280642012614,1.0,1.0,0.9420689178666012
82,0.3133633627627469,0.12719379084020313,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6554287121621809,1.0,1.0,0.5580572167989455,1.0,1.0,0.9438570821516095
83,0.34260739179943034,0.12790548913381772,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6557644082894598,1.0,1.0,0.5578627730310044,1.0,1.0,0.943804984255411
84,0.326373199603821,0.07230416731031852,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6530715081785061,1.0,1.0,0.5576925052663896,1.0,1.0,0.9446554212298508
85,0.36492089974188757,0.1484926050590891,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6567972222672537,1.0,1.0,0.55753983419959,1.0,1.0,0.9435758747699265
86,0.36821030389973286,0.13060785847856676,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6591978506101808,1.0,1.0,0.5574052080534722,1.0,1.0,0.9428893428035778
87,0.36546663546602987,0.12398730203757141,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.659918295848785,1.0,1.0,0.5572823561053469,1.0,1.0,0.9427039222190279
88,0.3181391592025268,0.10176387242435056,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6529576753232053,1.0,1.0,0.5571712085931106,1.0,1.0,0.9448198952547608
89,0.32844500346839667,0.052898015074136544,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6499874407383773,1.0,1.0,0.5570715354258806,1.0,1.0,0.9457358839220167
90,0.30223496603376515,0.07794185390490299,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6440140326524311,1.0,1.0,0.556987136573468,1.0,1.0,0.9475490060609038
91,0.3207339490614205,0.11925219417001234,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6429439760692345,1.0,1.0,0.5569130858573756,1.0,1.0,0.9478885357148858
92,0.376521206107307,0.09472276777667235,0.65,1.0,1.0,1.0,1.0,0.0,1.0,0.6504877279474068,1.0,1.0,0.5568501036282255,1.0,1.0,0.9456411557087216
