t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.18796565429508383,0.21574725026572555,0.2,0.8072012051460322,0.8912424093020485,0.8022677745837374,0.7479457143999999,0.25856222907552756,0.689784290939609,0.28227122930916265,0.26899439741007514,0.2053798879482015,0.18581726,0.43168511264017734,0.47075122538421493,0.6036842265765827
1,0.20331283768998704,0.1642600352925368,0.2,0.8748885198328809,1.0,0.8568166595504878,0.7928322031800527,0.21930436563287545,0.8155027580871836,0.26921442181299116,0.29263920060657633,0.211178873080851,0.18620074285203803,0.5943221301262486,0.6399402333313692,0.7473990126186543
2,0.15086883544720542,0.18747544920633646,0.2,0.9469067501483364,1.0,0.9236444764118577,0.8364159230868354,0.177875275436971,0.9433119954889737,0.2489037438727323,0.3160820121698362,0.21738872459343925,0.18619037397424662,0.7315337068717082,0.7770763227321398,0.8639672808287572
3,0.1719238511582665,0.2310348052235084,0.2,1.0,1.0,0.9913846124436614,0.8786909464040232,0.1387453765686411,1.0,0.23276793672144816,0.34216359141866104,0.22405810917587807,0.18619065433522253,0.8711206833585066,0.9134230718957643,0.979861947527594
4,0.20524741224309476,0.21014570387277332,0.2,1.0,1.0,1.0,0.9196977510623491,0.10259313442628569,1.0,0.2224374247660278,0.36951359958124036,0.2312078000757441,0.18619064675462624,0.9196977510623491,0.9527218873145513,1.0
5,0.19465520382026785,0.2161321085872001,0.2,1.0,1.0,1.0,0.9594743507145874,0.06670916595138246,1.0,0.21103460793784873,0.39490460948308914,0.23879381426464844,0.1861906469595957,0.9594743507145874,0.9818763575053575,1.0
6,0.16162422357680822,0.194005479192477,0.2,1.0,1.0,1.0,0.9980576524006832,0.02974043787051954,1.0,0.19524728489312082,0.4169961881034028,0.24674579988407,0.1861906469540536,0.9980576524006832,1.0,1.0
7,0.1629813857911111,0.24059729815293227,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.1804529023333544,0.438447856048743,0.25504729900620415,0.18619064695420345,1.0,1.0,1.0
8,0.1547059461928693,0.23188201278420806,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.16515692296182438,0.4586173563940521,0.26366917314402316,0.1861906469541994,1.0,1.0,1.0
9,0.1559687706908702,0.21869455040935418,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.15081516623357138,0.4782374545492426,0.2725972305035678,0.1861906469541995,1.0,1.0,1.0
10,0.1769599674233414,0.19046142831286492,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.14033917685160174,0.4986225465030468,0.2818437091285931,0.1861906469541995,1.0,1.0,1.0
11,0.21739226942500495,0.15186043003120028,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.1364518322389801,0.520879257983061,0.2914428571969684,0.1861906469541995,1.0,1.0,1.0
12,0.1548627756951175,0.2415033643409947,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.12337943079750645,0.5377715610008877,0.3012838598450165,0.1861906469541995,1.0,1.0,1.0
13,0.1907140733142161,0.15909779890585835,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.11633834407097125,0.5565369950409917,0.31140176114738616,0.1861906469541995,1.0,1.0,1.0
14,0.22897071923244555,0.24467130187432706,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.11538780856849724,0.576996498337393,0.32182767350266017,0.1861906469541995,1.0,1.0,1.0
15,0.1590022108917621,0.19232066122540936,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.10398952359004442,0.5915919980764438,0.3324412367291624,0.1861906469541995,1.0,1.0,1.0
16,0.1608055600759331,0.18125406941922684,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.09343165523813989,0.6058617424122532,0.34323405921011585,0.1861906469541995,1.0,1.0,1.0
17,0.19971615586171457,0.16635241283189814,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.08923826967169778,0.6222714985247177,0.35424714858850903,0.1861906469541995,1.0,1.0,1.0
18,0.20574675910805165,0.15513533171650049,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.08615914387052835,0.6382574030689734,0.3654698251640034,0.1861906469541995,1.0,1.0,1.0
19,0.1636971274061487,0.23156976482540578,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.07692652960413195,0.6505922635811218,0.37682697218398575,0.1861906469541995,1.0,1.0,1.0
20,0.18204149580445228,0.19188402121376166,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0709072013108009,0.6637599441340779,0.3883339013448275,0.1861906469541995,1.0,1.0,1.0
21,0.19767767814969428,0.19767682448722154,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0675342667839227,0.6774085370664427,0.39999873307270806,0.1861906469541995,1.0,1.0,1.0
22,0.18076651128598997,0.15304943817908165,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.06179330395383277,0.689236056820242,0.4117834668783858,0.1861906469541995,1.0,1.0,1.0
23,0.2081061941877984,0.24674588828672947,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.06044034170051861,0.7023959274785626,0.4237135507591732,0.1861906469541995,1.0,1.0,1.0
24,0.22810430156427947,0.216359604344937,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.06215474366634231,0.716152597776651,0.4357994672071145,0.1861906469541995,1.0,1.0,1.0
25,0.1785076152927207,0.1863128556803851,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.05634392259314103,0.7257073641020494,0.4479556198170843,0.1861906469541995,1.0,1.0,1.0
26,0.205209157100674,0.21737728216491836,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.054828873844792805,0.7366908663439963,0.4602098809457934,0.1861906469541995,1.0,1.0,1.0
27,0.15910659209035496,0.17349724273028422,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.04647419278231413,0.743993884371599,0.47248765982376745,0.1861906469541995,1.0,1.0,1.0
28,0.1790657903976834,0.2011350501874311,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.041531125519058645,0.7525063801562419,0.48481291082865463,0.1861906469541995,1.0,1.0,1.0
29,0.21480856583421348,0.20000121234313284,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.04219662793444545,0.7630811884338649,0.49722640548904545,0.1861906469541995,1.0,1.0,1.0
30,0.1522514613753052,0.2322567618333425,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.03344528956022669,0.7688190811413854,0.5096305230569826,0.1861906469541995,1.0,1.0,1.0
31,0.18441235007805512,0.20189973043333065,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.029955651410131345,0.7766900941507215,0.5220680197094273,0.1861906469541995,1.0,1.0,1.0
32,0.16777343611458204,0.19272430542370936,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.024144658073019812,0.7831092669500845,0.5345095248513346,0.1861906469541995,1.0,1.0,1.0
33,0.18105968964362457,0.2271918577010098,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.020617152432120228,0.7902494912107371,0.546969419427036,0.1861906469541995,1.0,1.0,1.0
34,0.15820905432301502,0.2049971366082435,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.01383842677517419,0.7955683523809799,0.5594110922803853,0.1861906469541995,1.0,1.0,1.0
35,0.16424396221517382,0.21958955397739036,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.008303873584899271,0.8012265336638357,0.5718415120308582,0.1861906469541995,1.0,1.0,1.0
36,0.15294768716900492,0.17765476293735188,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0013516067972127732,0.805999471791543,0.5842430863463804,0.1861906469541995,1.0,1.0,1.0
37,0.17753427899007068,0.21369296366414156,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8123277580981249,0.5966472106448791,0.1861906469541995,1.0,1.0,1.0
38,0.15416470558286785,0.1959262038531196,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8165767499734288,0.609012273537899,0.1861906469541995,1.0,1.0,1.0
39,0.16670347472408986,0.17818957973691135,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.821482708480825,0.6213518049721365,0.1861906469541995,1.0,1.0,1.0
40,0.18810099464472993,0.24587481011117981,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8276504853412368,0.6336912966292398,0.1861906469541995,1.0,1.0,1.0
41,0.18848196043962978,0.2455891877327326,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8334759020614758,0.646023901704177,0.1861906469541995,1.0,1.0,1.0
42,0.16340504018350088,0.2424249742544119,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8371280264364341,0.658306223215864,0.1861906469541995,1.0,1.0,1.0
43,0.17913542221897918,0.1689232280600354,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8417050456906146,0.6705572618975176,0.1861906469541995,1.0,1.0,1.0
44,0.20988222194903147,0.24120418921628112,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.002003107108562441,0.8481641023185396,0.6828149713249132,0.1861906469541995,1.0,1.0,1.0
45,0.15053394016486293,0.1768254048492408,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8499988591300918,0.6949867987942658,0.1861906469541995,1.0,1.0,1.0
46,0.21165382075391612,0.18417897386814655,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0022688469292951458,0.8560785881933223,0.7071585025701896,0.1861906469541995,1.0,1.0,1.0
