t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.18796565429508383,0.21574725026572555,0.2,0.8068345584590833,0.8887287942226886,0.7993799518557375,0.7260399999999999,0.307557939257705,0.6895251539396091,0.3511148481442626,0.2756568182901213,0.20551313636580243,0.191,0.41616690739986845,0.4609653101493729,0.5940705136269671
1,0.20331283768998704,0.1642600352925368,0.2,0.8738638414361493,1.0,0.8485225169244034,0.7495869999999999,0.3167351610376616,0.8152842767783929,0.4020246313905475,0.3091088392463571,0.21164018178707153,0.19140500000000002,0.5558136229690975,0.6174296240514127,0.7269639304437008
2,0.15086883544720542,0.18747544920633646,0.2,0.9446095293844835,1.0,0.9075455696234566,0.772504621,0.32249637913855234,0.9431340341980127,0.442520138138101,0.3431069448125851,0.21838591886545253,0.191386775,0.6622498208879117,0.7370004301504389,0.8286036718778731
3,0.1719238511582665,0.2310348052235084,0.2,1.0,1.0,0.9651921782861147,0.794731246975,0.3293786647145845,1.0,0.4841492203199359,0.381482002845766,0.22583169973371334,0.19138759512500003,0.7670683834198404,0.8554979693763011,0.9293263751886058
4,0.20524741224309476,0.21014570387277332,0.2,1.0,1.0,1.0,0.816291230158525,0.3380882259519805,1.0,0.5286953781267283,0.42286602940572954,0.2340307033244908,0.19138755821937503,0.816291230158525,0.9128836890110844,0.978104246104578
5,0.19465520382026785,0.2161321085872001,0.2,1.0,1.0,1.0,0.8372044068270944,0.34594451929196673,1.0,0.5694253969790474,0.4628385184153521,0.24294716665955293,0.19138755988012812,0.8372044068270944,0.9385736034512147,0.9999406729635004
6,0.16162422357680822,0.194005479192477,0.2,1.0,1.0,1.0,0.8574901885114818,0.3516225463200954,1.0,0.6031642678432635,0.49906426811817095,0.2524989803553208,0.19138755980539424,0.8574901885114818,0.9630196977465988,1.0
7,0.1629813857911111,0.24059729815293227,0.2,1.0,1.0,1.0,0.8770522113256155,0.3569416271330417,1.0,0.6343471886782143,0.5347474195009565,0.2626689389417867,0.19141481187630646,0.8770522113256155,0.9866219665125346,1.0
8,0.1547059461928693,0.23188201278420806,0.2,1.0,1.0,1.0,0.8948972607673178,0.3586876282692271,1.0,0.6521595396660694,0.5678089222535982,0.27339842799744085,0.19168218869523565,0.8948972607673178,1.0,1.0
9,0.1559687706908702,0.21869455040935418,0.2,1.0,1.0,1.0,0.9116066652255269,0.3587595367273301,1.0,0.663231540476491,0.5991909222378609,0.28464826216222366,0.19182421397131819,0.9116066652255269,1.0,1.0
10,0.1769599674233414,0.19046142831286492,0.2,1.0,1.0,1.0,0.9274364301934771,0.359030948137689,1.0,0.6731448824876862,0.6308402134211611,0.29641858380902464,0.19191373069604512,0.9274364301934771,1.0,1.0
11,0.21739226942500495,0.15186043003120028,0.2,1.0,1.0,1.0,0.9424453949814929,0.3607777879429932,1.0,0.6852666871247902,0.6645949430952364,0.3087462968328391,0.1919955699462571,0.9424453949814929,1.0,1.0
12,0.1548627756951175,0.2415033643409947,0.2,1.0,1.0,1.0,0.9565758593941167,0.3575779462868604,1.0,0.6832937218841164,0.6903810394350531,0.3214664546532118,0.19209688653105633,0.9565758593941167,1.0,1.0
13,0.1907140733142161,0.15909779890585835,0.2,1.0,1.0,1.0,0.9703721230556824,0.35678528711029817,1.0,0.6874653606682399,0.7180582266421889,0.3346129546395234,0.19207566101497098,0.9703721230556824,1.0,1.0
14,0.22897071923244555,0.24467130187432706,0.2,1.0,1.0,1.0,0.9835983963720758,0.35791650852800705,1.0,0.6957529891446301,0.7477938109629029,0.3482227013123862,0.19211259376780823,0.9835983963720758,1.0,1.0
15,0.1590022108917621,0.19232066122540936,0.2,1.0,1.0,1.0,0.9961314632744662,0.354036116032447,1.0,0.6903215819232127,0.7690806573442626,0.3621220874461476,0.19218272426020044,0.9961314632744662,1.0,1.0
16,0.1608055600759331,0.18125406941922684,0.2,1.0,1.0,1.0,1.0,0.35086626953305544,1.0,0.6872729468109816,0.789212929798347,0.37628512516765306,0.19213289855359822,1.0,1.0,1.0
17,0.19971615586171457,0.16635241283189814,0.2,1.0,1.0,1.0,1.0,0.35040271321725386,1.0,0.6912469505046416,0.8118586254609066,0.39075944642519467,0.19210857975571294,1.0,1.0,1.0
18,0.20574675910805165,0.15513533171650049,0.2,1.0,1.0,1.0,1.0,0.3499401902308979,1.0,0.694579925682528,0.8337563812216294,0.4055269795853753,0.19214393340407482,1.0,1.0,1.0
19,0.1636971274061487,0.23156976482540578,0.2,1.0,1.0,1.0,1.0,0.3466484509982026,1.0,0.6903088805151676,0.8503251348124792,0.42047821248577116,0.19217130614919342,1.0,1.0,1.0
20,0.18204149580445228,0.19188402121376166,0.2,1.0,1.0,1.0,1.0,0.3449397722281549,1.0,0.690450632219552,0.8676259421516761,0.435625949203947,0.19213325612193252,1.0,1.0,1.0
21,0.19767767814969428,0.19767682448722154,0.2,1.0,1.0,1.0,1.0,0.3442023523651046,1.0,0.6928828620955503,0.8853949697755185,0.45097758910741786,0.1921360393264114,1.0,1.0,1.0
22,0.18076651128598997,0.15304943817908165,0.2,1.0,1.0,1.0,1.0,0.3422390449793546,1.0,0.6918323571431411,0.900491024198343,0.4664776337003106,0.19215695476630681,1.0,1.0,1.0
23,0.2081061941877984,0.24674588828672947,0.2,1.0,1.0,1.0,1.0,0.34206221725153385,1.0,0.695291309050675,0.917300897523039,0.4821588753137682,0.1921470172099099,1.0,1.0,1.0
24,0.22810430156427947,0.216359604344937,0.2,1.0,1.0,1.0,1.0,0.34276446544427147,1.0,0.7004046235429408,0.9350474430776884,0.49803823542218423,0.19217733156155925,1.0,1.0,1.0
25,0.1785076152927207,0.1863128556803851,0.2,1.0,1.0,1.0,1.0,0.33998815037064295,1.0,0.6960894007248658,0.9470084712540862,0.5139980224930442,0.19222031724803149,1.0,1.0,1.0
26,0.205209157100674,0.21737728216491836,0.2,1.0,1.0,1.0,1.0,0.3392860728942286,1.0,0.697457658103624,0.9607783604004623,0.5300736094761229,0.19218125080295642,1.0,1.0,1.0
27,0.15910659209035496,0.17349724273028422,0.2,1.0,1.0,1.0,1.0,0.3357101940729632,1.0,0.6913785209894553,0.9693100811509856,0.5461590750043814,0.19219467277242763,1.0,1.0,1.0
28,0.1790657903976834,0.2011350501874311,0.2,1.0,1.0,1.0,1.0,0.3339932572894245,1.0,0.6906577524409251,0.9791939579694393,0.5622813634137264,0.19214155064754063,1.0,1.0,1.0
29,0.21480856583421348,0.20000121234313284,0.2,1.0,1.0,1.0,1.0,0.33453700526758234,1.0,0.6955790127447135,0.9919182373166797,0.5784969145259227,0.1921374906718106,1.0,1.0,1.0
30,0.1522514613753052,0.2322567618333425,0.2,1.0,1.0,1.0,1.0,0.3308500165494335,1.0,0.6892025418139593,0.9979074112108116,0.5946700936048797,0.19218020694490315,1.0,1.0,1.0
31,0.18441235007805512,0.20189973043333065,0.2,1.0,1.0,1.0,1.0,0.3297820119298923,1.0,0.6901302019006283,1.0,0.6107233926688309,0.19212332402004118,1.0,1.0,1.0
32,0.16777343611458204,0.19272430542370936,0.2,1.0,1.0,1.0,1.0,0.3276604768799256,1.0,0.6882014796423747,1.0,0.6266161587421426,0.19213367554836674,1.0,1.0,1.0
33,0.18105968964362457,0.2271918577010098,0.2,1.0,1.0,1.0,1.0,0.32657003266955137,1.0,0.6890158451425826,1.0,0.6423499971547212,0.1921165759515857,1.0,1.0,1.0
34,0.15820905432301502,0.2049971366082435,0.2,1.0,1.0,1.0,1.0,0.324060690544569,1.0,0.68608594183991,1.0,0.657926497183174,0.19212431795401896,1.0,1.0,1.0
35,0.16424396221517382,0.21958955397739036,0.2,1.0,1.0,1.0,1.0,0.3222517299191086,1.0,0.685200859233121,1.0,0.6733472322113423,0.19209866982083315,1.0,1.0,1.0
36,0.15294768716900492,0.17765476293735188,0.2,1.0,1.0,1.0,1.0,0.3198962085280051,1.0,0.682965726037844,1.0,0.6886137598892289,0.19209207358574487,1.0,1.0,1.0
37,0.17753427899007068,0.21369296366414156,0.2,1.0,1.0,1.0,1.0,0.3192862110351237,1.0,0.6852879976493286,1.0,0.7037276222903366,0.1920730243144435,1.0,1.0,1.0
38,0.15416470558286785,0.1959262038531196,0.2,1.0,1.0,1.0,1.0,0.31707215160525376,1.0,0.6832016502999122,1.0,0.7186903460674332,0.1920938824699304,1.0,1.0,1.0
39,0.16670347472408986,0.17818957973691135,0.2,1.0,1.0,1.0,1.0,0.31586047980946347,1.0,0.6838075265776059,1.0,0.7335034426067589,0.19207498905038384,1.0,1.0,1.0
40,0.18810099464472993,0.24587481011117981,0.2,1.0,1.0,1.0,1.0,0.3159076689347693,1.0,0.6873874610488256,1.0,0.7481684081806913,0.19208100533147074,1.0,1.0,1.0
41,0.18848196043962978,0.2455891877327326,0.2,1.0,1.0,1.0,1.0,0.3156383266093942,1.0,0.6896320494223449,1.0,0.7626867240988844,0.19211170097180685,1.0,1.0,1.0
42,0.16340504018350088,0.2424249742544119,0.2,1.0,1.0,1.0,1.0,0.3136564021599405,1.0,0.6872418875634788,1.0,0.7770598568578956,0.1921298449026939,1.0,1.0,1.0
43,0.17913542221897918,0.1689232280600354,0.2,1.0,1.0,1.0,1.0,0.31289147778632037,1.0,0.688140877143858,1.0,0.7912892582893166,0.19210843664407531,1.0,1.0,1.0
44,0.20988222194903147,0.24120418921628112,0.2,1.0,1.0,1.0,1.0,0.3139078063588371,1.0,0.6933023188652379,1.0,0.8053763657064235,0.1921170876260811,1.0,1.0,1.0
45,0.15053394016486293,0.1768254048492408,0.2,1.0,1.0,1.0,1.0,0.3108502123687977,1.0,0.6875538680960971,1.0,0.8193226020493592,0.19216135469643808,1.0,1.0,1.0
46,0.21165382075391612,0.18417897386814655,0.2,1.0,1.0,1.0,1.0,0.3120740273542628,1.0,0.6932091134738181,1.0,0.8331293760288657,0.19210984018426197,1.0,1.0,1.0
47,0.16932693826851006,0.1508629854778995,0.2,1.0,1.0,1.0,1.0,0.3101993599407513,1.0,0.6903159013169337,1.0,0.8467980822685771,0.19216084464690097,1.0,1.0,1.0
48,0.15320183530304177,0.2119077094763953,0.2,1.0,1.0,1.0,1.0,0.3076718948006975,1.0,0.6861290245090559,1.0,0.8603301014458914,0.19213374508558434,1.0,1.0,1.0
49,0.22870520553645618,0.24984951358032398,0.2,1.0,1.0,1.0,1.0,0.3101353390204107,1.0,0.6948963243345435,1.0,0.8737268004314325,0.19209865461292588,1.0,1.0,1.0
50,0.19028795847583213,0.15239095682465068,0.2,1.0,1.0,1.0,1.0,0.30940878093927077,1.0,0.6944910579441914,1.0,0.8869895324271182,0.19217588607287533,1.0,1.0,1.0
51,0.17579651408312663,0.22874021356447602,0.2,1.0,1.0,1.0,1.0,0.30786153143932393,1.0,0.6920693307486787,1.0,0.900119637102847,0.1921692357521081,1.0,1.0,1.0
52,0.21655634241070773,0.21394110628821505,0.2,1.0,1.0,1.0,1.0,0.3090275950462352,1.0,0.6967035708670402,1.0,0.9131184407318186,0.19214856457283333,1.0,1.0,1.0
53,0.1683611379767507,0.2027237076328708,0.2,1.0,1.0,1.0,1.0,0.3068377789778264,1.0,0.692306086519302,1.0,0.9259872563245004,0.1921894799491251,1.0,1.0,1.0
54,0.18819107978924965,0.21270043503771485,0.2,1.0,1.0,1.0,1.0,0.30630320327996974,1.0,0.6925933489507635,1.0,0.9387273837612554,0.19214978504668215,1.0,1.0,1.0
55,0.17101424615653216,0.24466774124267024,0.2,1.0,1.0,1.0,1.0,0.3047281914629886,1.0,0.6901925466215207,1.0,0.9513401099236429,0.19215389031729319,1.0,1.0,1.0
56,0.22154547318149526,0.16621476445257444,0.2,1.0,1.0,1.0,1.0,0.30645044060833343,1.0,0.6963052299916777,1.0,0.9638267088244065,0.19213296312771452,1.0,1.0,1.0
57,0.17330571032576791,0.2373169601306292,0.2,1.0,1.0,1.0,1.0,0.3046608274721999,1.0,0.6928044472525949,1.0,0.9761884417361624,0.19218667007338774,1.0,1.0,1.0
58,0.1722644033014781,0.2443903661237385,0.2,1.0,1.0,1.0,1.0,0.30317835162491874,1.0,0.6905088785004099,1.0,0.9884265573188008,0.19215420984254405,1.0,1.0,1.0
59,0.19121376075758428,0.21959713954113314,0.2,1.0,1.0,1.0,1.0,0.30308957991505214,1.0,0.6919487622407106,1.0,1.0,0.19213568534852468,1.0,1.0,1.0
60,0.3563756631565731,0.07140695060343116,0.65,1.0,1.0,1.0,0.9862439121799949,0.3473655698368809,1.0,0.7694831626672515,1.0,1.0,0.6244839018911006,0.9862439121799949,1.0,0.8930340757270495
61,0.3228016504770401,0.07549415977933799,0.65,1.0,1.0,1.0,1.0,0.3360545190631212,1.0,0.8057027676634545,1.0,1.0,0.5741482572072926,1.0,1.0,0.8947521053991406
62,0.3546635937712741,0.1194104723835435,0.65,1.0,1.0,1.0,1.0,0.3290114052017866,1.0,0.8336746486179303,1.0,1.0,0.5833035106460992,1.0,1.0,0.8840717277530962
63,0.31053854498745237,0.13864370231764855,0.65,1.0,1.0,1.0,1.0,0.31607560450813454,1.0,0.8442774627058978,1.0,1.0,0.5846262108403535,1.0,1.0,0.8805602084781423
64,0.33362582811020514,0.07412310928126312,0.65,1.0,1.0,1.0,1.0,0.3037761772150782,1.0,0.8542992696470213,1.0,1.0,0.5853845264991071,1.0,1.0,0.8773640874811169
65,0.33482231943116825,0.14794775475471325,0.65,1.0,1.0,1.0,1.0,0.2908938477900009,1.0,0.8606849471093257,1.0,1.0,0.5861587059163964,1.0,1.0,0.8752548393881032
66,0.34479454253328096,0.11247386687904642,0.65,1.0,1.0,1.0,1.0,0.2782887624402013,1.0,0.8661316021122765,1.0,1.0,0.5866216916299645,1.0,1.0,0.873505096458826
67,0.37359472867036647,0.14619876985096575,0.65,1.0,1.0,1.0,1.0,0.2671987776781741,1.0,0.8738241568154468,1.0,1.0,0.5870389185533599,1.0,1.0,0.8710930233170261
68,0.3608347434039143,0.09176558064756953,0.65,1.0,1.0,1.0,1.0,0.2548992669449651,1.0,0.8766764965648305,1.0,1.0,0.5876545783068398,1.0,1.0,0.870083406453841
69,0.3470748353558017,0.14009615734571987,0.65,1.0,1.0,1.0,1.0,0.24176657016971015,1.0,0.8763740085426615,1.0,1.0,0.5878343361228718,1.0,1.0,0.8701292134064837
70,0.3631386251443575,0.10801635649571473,0.65,1.0,1.0,1.0,1.0,0.22993407589071513,1.0,0.878593656797395,1.0,1.0,0.587789315122649,1.0,1.0,0.8694745741801193
71,0.3277982485175206,0.08684701073025423,0.65,1.0,1.0,1.0,1.0,0.21608602776945884,1.0,0.8746700547200857,1.0,1.0,0.5879848899670567,1.0,1.0,0.8706027610922102
72,0.3588668253332611,0.10633272391626525,0.65,1.0,1.0,1.0,1.0,0.2047738151875764,1.0,0.8768939796856968,1.0,1.0,0.5876268542204613,1.0,1.0,0.8700250925391757
73,0.301368961148743,0.12101313185350905,0.65,1.0,1.0,1.0,1.0,0.19013560501869997,1.0,0.8696533869250467,1.0,1.0,0.5878559595371687,1.0,1.0,0.8721399940381939
74,0.3723045063202948,0.12977312806094496,0.65,1.0,1.0,1.0,1.0,0.1807338356329601,1.0,0.8757993493839533,1.0,1.0,0.5872092284302549,1.0,1.0,0.8704578880772503
75,0.37179812733709294,0.14105102525314145,0.65,1.0,1.0,1.0,1.0,0.17106205201827174,1.0,0.8795440565171652,1.0,1.0,0.587806119103248,1.0,1.0,0.8691852532690385
76,0.34279470515261234,0.1289116165988491,0.65,1.0,1.0,1.0,1.0,0.15950010192118735,1.0,0.8775088586155948,1.0,1.0,0.5880648197269361,1.0,1.0,0.8697311374835877
77,0.3303577070190964,0.05982938014737049,0.65,1.0,1.0,1.0,1.0,0.14763356436485645,1.0,0.8743775628280174,1.0,1.0,0.5878625251636677,1.0,1.0,0.870721099860678
78,0.3282535351448882,0.08121132200263219,0.65,1.0,1.0,1.0,1.0,0.13623430401791164,1.0,0.8721221061158639,1.0,1.0,0.587614687658667,1.0,1.0,0.8714596962505742
79,0.3747218738752454,0.11891125342739821,0.65,1.0,1.0,1.0,1.0,0.12813253606855818,1.0,0.8776964247527038,1.0,1.0,0.5874471578395002,1.0,1.0,0.869829283114314
80,0.34332901864750565,0.11221084267730591,0.65,1.0,1.0,1.0,1.0,0.11787583580563207,1.0,0.8764474404455705,1.0,1.0,0.5879439045774613,1.0,1.0,0.8700797917219636
81,0.30997763586754473,0.10342549130246241,0.65,1.0,1.0,1.0,1.0,0.10593314297608802,1.0,0.8706636680880279,1.0,1.0,0.5877840336341509,1.0,1.0,0.871854891165054
82,0.3560495154137144,0.08941570191136233,0.65,1.0,1.0,1.0,1.0,0.09757955432564999,1.0,0.8739887158398767,1.0,1.0,0.5873037582843535,1.0,1.0,0.8709774456769487
83,0.3196607321928335,0.09068823110741298,0.65,1.0,1.0,1.0,1.0,0.08700817123507101,1.0,0.8705990968079409,1.0,1.0,0.5876405859724269,1.0,1.0,0.8719101244645111
84,0.32588745420119486,0.11852808172439641,0.65,1.0,1.0,1.0,1.0,0.07733852512445198,1.0,0.8694261883565046,1.0,1.0,0.5873135097790124,1.0,1.0,0.8723437660482956
85,0.31134469073208076,0.05905374863797213,0.65,1.0,1.0,1.0,1.0,0.06717528444460444,1.0,0.8665213969980994,1.0,1.0,0.5872476540901628,1.0,1.0,0.8732316673780296
86,0.32499818343555653,0.11957714198508335,0.65,1.0,1.0,1.0,1.0,0.058348150495660916,1.0,0.8667684051983088,1.0,1.0,0.5870052126177888,1.0,1.0,0.8732181752860603
87,0.3607701597681125,0.1159393158831724,0.65,1.0,1.0,1.0,1.0,0.0518913566388325,1.0,0.8722905421541938,1.0,1.0,0.5870524251500704,1.0,1.0,0.8715497310662244
