t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.178921821993126,0.1980480665601294,0.2,0.8068933481341534,0.8885615910185238,0.800357407821031,0.7231641759999999,0.2604175919112934,0.6890582425605661,0.3017250248098392,0.27032664624029556,0.20540653292480593,0.1916804,0.41497749493548997,0.4528010989104584,0.5869608340738897
1,0.18335621012845318,0.19467592537839234,0.2,0.8741837696183505,1.0,0.8517977713276179,0.7441706673267519,0.22229217566008808,0.8212114891841262,0.3053677113563816,0.2949939544219751,0.21125234668399737,0.19202647872080003,0.5541301569323948,0.5972427362965735,0.7096497061718875
2,0.1827612583959917,0.21577058263942708,0.2,0.9447217290168648,1.0,0.9050089492848693,0.7646078117789417,0.1850758211907098,0.9507865952436745,0.3086833312953503,0.3232079933872074,0.21760398308490153,0.19201208253817217,0.6537256250779373,0.6960717074910855,0.7936579307328796
3,0.17070843055120627,0.21349959241034844,0.2,1.0,1.0,0.9616084336831546,0.7844293107480674,0.1480670543588789,1.0,0.3100275626333214,0.35065324849738166,0.22444100822400015,0.19201268139057714,0.7543138408436056,0.7934050008101514,0.8763910803409845
4,0.1508102698901876,0.1802043704799646,0.2,1.0,1.0,1.0,0.8036562700388763,0.11078960256350515,1.0,0.30831976194045124,0.37470992011552445,0.23169079654407065,0.1920126564795148,0.8036562700388763,0.8348191356032229,0.9115931011428607
5,0.17680506805581753,0.16419505175328342,0.2,1.0,1.0,1.0,0.822306416171076,0.0760037755559031,1.0,0.31059657501565163,0.39960084119726896,0.23936590540257532,0.19201265751576516,0.822306416171076,0.8441808534735721,0.919550561073595
6,0.2094731400025534,0.18101082520349454,0.2,1.0,1.0,1.0,0.8403970581015042,0.04404767851521378,1.0,0.31765975806235336,0.42605232657147574,0.2474932928799791,0.19201265747265922,0.8403970581015042,0.8533531969056395,0.9273470530016288
7,0.21313935948631207,0.2456205037257012,0.2,1.0,1.0,1.0,0.8579449807664407,0.013110457070610565,1.0,0.32491971488622023,0.4515544581495086,0.2560494491141695,0.19201265747445234,0.8579449807664407,0.8618817985601902,0.9345963644075486
8,0.17028048039697008,0.23935407039073098,0.2,1.0,1.0,1.0,0.8749664657517442,0.0,1.0,0.32538784200520393,0.47196377070571055,0.264928230037142,0.19201265747437773,0.8749664657517442,0.8749664657517442,0.9457183315203881
9,0.21461094594362265,0.2167418968908161,0.2,1.0,1.0,1.0,0.8914773061874756,0.0,1.0,0.3324821326002483,0.49517922252904095,0.2741825321873514,0.19201265747438084,0.8914773061874756,0.8914773061874756,0.959752545890759
10,0.15218954829259454,0.19567883282802068,0.2,1.0,1.0,1.0,0.9074928214101355,0.0,1.0,0.3298584990178858,0.5116621288442282,0.28367394944236246,0.1920126574743807,0.9074928214101355,0.9074928214101355,0.9733657338300201
11,0.20013990026923545,0.17962256519901001,0.2,1.0,1.0,1.0,0.9230278711761156,0.0,1.0,0.33455859991113746,0.531380262494508,0.29346481519782897,0.19201265747438073,0.9230278711761156,0.9230278711761156,0.9865705261311031
12,0.16794684099117005,0.18097901892794863,0.2,1.0,1.0,1.0,0.9380968694491164,0.0,1.0,0.33419473686801676,0.5472065889750021,0.3034742988253507,0.19201265747438073,0.9380968694491164,0.9380968694491164,0.9993791746631537
13,0.1706588038326986,0.22878252125228976,0.2,1.0,1.0,1.0,0.9527137977739272,0.0,1.0,0.33425586140328145,0.5623129099605952,0.3136858140363091,0.19201265747438073,0.9527137977739272,0.9527137977739272,1.0
14,0.1778224435414629,0.19231232741232457,0.2,1.0,1.0,1.0,0.9668922182489936,0.0,1.0,0.3353884756680975,0.5771635682962247,0.3240922272618705,0.19201265747438073,0.9668922182489936,0.9668922182489936,1.0
15,0.20144178818003283,0.24483835441071128,0.2,1.0,1.0,1.0,0.9806452861098081,0.0,1.0,0.3400073609154582,0.5933090207838994,0.3347174854049298,0.19201265747438073,0.9806452861098081,0.9806452861098081,1.0
16,0.1734417596928808,0.15440066030830055,0.2,1.0,1.0,1.0,0.9939857619347979,0.0,1.0,0.3401952976273781,0.6061528356365039,0.3454933672636106,0.19201265747438073,0.9939857619347979,0.9939857619347979,1.0
