t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.22245117409396165,0.21862541570267027,0.2,0.8063794470708668,0.8877780626807088,0.7938280050059058,0.7231641759999999,0.3245062524456377,0.6881480630353168,0.3251845241140942,0.27715593090461127,0.20554311861809224,0.1916804,0.410967216857498,0.4576437178546521,0.5910770601764542
1,0.21132074050901153,0.24046162378132738,0.2,0.8728274857646147,1.0,0.8411716299976356,0.7441706673267519,0.34793339091220143,0.8238237667098092,0.34877901174163717,0.30856509422711853,0.2116589893164537,0.19202647872080003,0.5463684064290683,0.6129033407467248,0.722961219954516
2,0.17078619579911813,0.21357258696059894,0.2,0.9426921502352948,1.0,0.8963384594643677,0.7646078117789417,0.36833440171400217,0.9539776372162263,0.36505790376094166,0.34059182555145945,0.21835423593431832,0.19201208253817217,0.6460716029502402,0.7293612420182193,0.8219540350809433
3,0.2223956555733183,0.23721303740697108,0.2,1.0,1.0,0.9453149174566438,0.7844293107480674,0.3913223032787098,1.0,0.38826658671807956,0.3784624213480198,0.22573994200193553,0.19201268139057714,0.7415327291403813,0.843095132573698,0.918627692339999
4,0.19583525353993775,0.166937808712557,0.2,1.0,1.0,0.9998480252444929,0.8036562700388763,0.41214186868761954,1.0,0.4063306788575637,0.4125378341112284,0.23373329926414077,0.1920126564795148,0.8035341345737254,0.9194436554958518,0.9835239430515953
5,0.18292184496327651,0.24938380127773296,0.2,1.0,1.0,1.0,0.822306416171076,0.43166614104965645,1.0,0.4215545591121569,0.44414855003466647,0.24227893727219268,0.19201265751576516,0.822306416171076,0.9465430592712054,1.0
6,0.1582598239928944,0.18191391488492897,0.2,1.0,1.0,1.0,0.8403970581015042,0.449222585319338,1.0,0.4323179420417142,0.4721497381657374,0.25129914266278547,0.19201265747265922,0.8403970581015042,0.9725309267987976,1.0
7,0.22600312863628003,0.19494007558523255,0.2,1.0,1.0,1.0,0.8579449807664407,0.47040471676192397,1.0,0.45270465152823786,0.5056595723431692,0.260899342683021,0.19201265747445234,0.8579449807664407,0.9991984587526038,1.0
8,0.16669220578659544,0.1816903983245593,0.2,1.0,1.0,1.0,0.8749664657517442,0.4874986395474208,1.0,0.46317538711269407,0.5322729909101744,0.2709358090743943,0.19201265747437773,0.8749664657517442,1.0,1.0
9,0.22269086759168902,0.1835568810468474,0.2,1.0,1.0,1.0,0.8914773061874756,0.5075251339715876,1.0,0.4815223851887035,0.5633063337761132,0.28149257765917257,0.19201265747438084,0.8914773061874756,1.0,1.0
10,0.18418974345488803,0.2127683837099743,0.2,1.0,1.0,1.0,0.9074928214101355,0.5247408985869421,1.0,0.49317686474039174,0.5895476056762603,0.2924686039961061,0.1920126574743807,0.9074928214101355,1.0,1.0
11,0.2144468056211732,0.1992113585806884,0.2,1.0,1.0,1.0,0.9230278711761156,0.5433416928168898,1.0,0.5087871796394385,0.6177486087270819,0.30389889013068666,0.19201265747438073,0.9230278711761156,1.0,1.0
12,0.15651727867504553,0.20732099431950032,0.2,1.0,1.0,1.0,0.9380968694491164,0.5580016955743212,1.0,0.5149275497516139,0.6392823383328066,0.3156455479960359,0.19201265747438073,0.9380968694491164,1.0,1.0
13,0.1528077722798682,0.15945249727647862,0.2,1.0,1.0,1.0,0.9527137977739272,0.5720726278791063,1.0,0.5202044753989039,0.659448278377834,0.3276780580836322,0.19201265747438073,0.9527137977739272,1.0,1.0
14,0.165227003248586,0.2193438222739326,0.2,1.0,1.0,1.0,0.9668922182489936,0.5865369407343947,1.0,0.5270804394091371,0.6798782019854162,0.3399988415425042,0.19201265747438073,0.9668922182489936,1.0,1.0
15,0.1726777936846396,0.219024981004583,0.2,1.0,1.0,1.0,0.9806452861098081,0.6010866931944642,1.0,0.5348171592398238,0.7001461734620504,0.3526017765963202,0.19201265747438073,0.9806452861098081,1.0,1.0
16,0.16306795574662508,0.16176968880421502,0.2,1.0,1.0,1.0,0.9939816901605998,0.6141556715152053,1.0,0.5417348079012725,0.7186612752507504,0.365448984335372,0.19201362082789764,0.9939816901605998,1.0,1.0
17,0.1518675781891068,0.22057837116268253,0.2,1.0,1.0,1.0,1.0,0.6197263454512563,1.0,0.546635726586094,0.7352319381589528,0.37849913325519735,0.19202516640359935,1.0,1.0,1.0
18,0.21872901132176265,0.17196656135762567,0.2,1.0,1.0,1.0,1.0,0.6263987218231429,1.0,0.5616667772894101,0.7576131397287379,0.3918664047172201,0.19202962453318562,1.0,1.0,1.0
19,0.1690055495834425,0.15129800870945212,0.2,1.0,1.0,1.0,1.0,0.6266024313954307,1.0,0.5682805875019886,0.7744252808942459,0.4054362462879328,0.19203535414556477,1.0,1.0,1.0
20,0.20158867574791473,0.180074607789068,0.2,1.0,1.0,1.0,1.0,0.6286545871879639,1.0,0.5796076260441297,0.7937518281668554,0.4192569203883906,0.19203529639368486,1.0,1.0,1.0
21,0.16094978433536294,0.21468735585798163,0.2,1.0,1.0,1.0,1.0,0.6271965179420292,1.0,0.5840873343116352,0.8084366938550679,0.43323308506160807,0.19203711803215762,1.0,1.0,1.0
