t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.16888384717899477,0.16031660342307158,0.2,0.8070601049293975,0.8890722667507781,0.8022422229231508,0.7260399999999999,0.0879130308307397,0.6719788676535644,0.2430508575510099,0.25252838036073766,0.20505056760721477,0.191,0.4179352539819237,0.4307949381859218,0.5684256974580335
1,0.18168465940885448,0.16549722708024103,0.2,0.8745710898088945,1.0,0.8545860806679754,0.7495869999999999,0.0,0.7886818435797437,0.19091789405894827,0.2558384673354316,0.21011683127785125,0.19140500000000002,0.5602385352653764,0.5602385352653764,0.6783515049755698
2,0.1553212076543672,0.1901591014485075,0.2,0.9457305493881452,1.0,0.9128503240798007,0.772504621,0.0,0.905909422155268,0.1374348739783166,0.25950528333129974,0.21520576863169874,0.191386775,0.6669113030996641,0.6669113030996641,0.7690279138847145
3,0.2234364034470175,0.23004523514958086,0.2,1.0,1.0,0.962690478582301,0.794731246975,0.0,1.0,0.09684338268561409,0.26426903245904493,0.22033909159456266,0.19138759512500003,0.7650802044946715,0.7650802044946715,0.8524712750392207
4,0.21121300820043507,0.17219281756903176,0.2,1.0,1.0,1.0,0.816291230158525,0.0,1.0,0.0564479522418843,0.2688440803505804,0.22551258228562865,0.19138755821937503,0.816291230158525,0.816291230158525,0.8960006560799025
5,0.1929344006539851,0.17766826434414504,0.2,1.0,1.0,1.0,0.8372044068270944,0.0,1.0,0.015330502387663925,0.27318570138312664,0.2307211704904349,0.19138755988012812,0.8372044068270944,0.8372044068270944,0.9137768558329982
6,0.1638131623428295,0.16061832924315303,0.2,1.0,1.0,1.0,0.8574901885114818,0.0,1.0,0.0,0.2770613096073331,0.2359551849776772,0.19138755980539424,0.8574901885114818,0.8574901885114818,0.931019770283411
7,0.1671520346063133,0.24274756314280604,0.2,1.0,1.0,1.0,0.8771673967311234,0.0,1.0,0.0,0.2807374361734956,0.24121038185137036,0.19138755980875727,0.8771673967311234,0.8771673967311234,0.9477453972692655
8,0.21631360390227355,0.23066523467023237,0.2,1.0,1.0,1.0,0.8962542887048154,0.0,1.0,0.0,0.2846796946817184,0.24649187192649102,0.19138755980860594,0.8962542887048154,0.8962542887048154,0.9639692554469416
9,0.2140358270834373,0.169343561801924,0.2,1.0,1.0,1.0,0.9147685739192678,0.0,1.0,0.0,0.2883628676889413,0.2517942105610049,0.19138755980861274,0.9147685739192678,0.9147685739192678,0.9797063978792244
10,0.17478799658396285,0.21269756024131303,0.2,1.0,1.0,1.0,0.9327274305772879,0.0,1.0,0.0,0.2914364967937861,0.2571049983912706,0.19138755980861244,0.9327274305772879,0.9327274305772879,0.9949714260385416
11,0.20855157671029745,0.23546483579913474,0.2,1.0,1.0,1.0,0.9501475215355674,0.0,1.0,0.0,0.2946599675955909,0.2624271477592697,0.19138755980861244,0.9501475215355674,0.9501475215355674,1.0
12,0.22040406010889596,0.1586718252634922,0.2,1.0,1.0,1.0,0.9670450097650984,0.0,1.0,0.0,0.2978073697349335,0.26775902367637566,0.19138755980861244,0.9670450097650984,0.9670450097650984,1.0
13,0.19846815069759038,0.21717014565164733,0.2,1.0,1.0,1.0,0.9834355733477435,0.0,1.0,0.0,0.30054876224274363,0.27309240868446677,0.19138755980861244,0.9834355733477435,0.9834355733477435,1.0
14,0.19047630205683322,0.16777901742407847,0.2,1.0,1.0,1.0,0.9993344200229093,0.0,1.0,0.0,0.3030465518985417,0.27842241563559295,0.19138755980861244,0.9993344200229093,0.9993344200229093,1.0
15,0.18788703100681162,0.15893462072653905,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3053688403915966,0.2837455682870689,0.19138755980861244,1.0,1.0,1.0
16,0.22476706911199262,0.23654841701850834,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3079169039523096,0.28906645068324444,0.19138755980861244,1.0,1.0,1.0
17,0.1938111095669643,0.18002457395733248,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.31000561969988394,0.2943758985704097,0.19138755980861244,1.0,1.0,1.0
18,0.2227096231531749,0.20723668016858915,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3122551077871073,0.29967724174044774,0.19138755980861244,1.0,1.0,1.0
19,0.2205853791903032,0.23480440882236348,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3143485965738649,0.3049674412545206,0.19138755980861244,1.0,1.0,1.0
