t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.19175871277699946,0.23066907771186793,0.2,0.8067897433465803,0.8886605191700141,0.7988109930834502,0.7260399999999999,0.2706403345707102,0.6846777596800141,0.3516838069165499,0.27583137863668805,0.20551662757273378,0.191,0.4158156545094284,0.45520342525908813,0.5891729114702249
1,0.22683958194591014,0.17896253777644655,0.2,0.8734925436680065,1.0,0.8444330808953119,0.7495869999999999,0.24415191292728722,0.8046783719473871,0.4060941538626089,0.3112021164460021,0.2116855036259265,0.19140500000000002,0.5528998685635803,0.6001469147620457,0.7122736275477388
2,0.2112885950238362,0.22042198668434126,0.2,0.943196516408851,1.0,0.8944545111983069,0.772504621,0.21739118460962537,0.9263063810413179,0.4554491484230539,0.35058901063219744,0.21858042880231118,0.191386775,0.6517207263048256,0.7013081455589436,0.7982652299751021
3,0.20291064457790642,0.1610162048917212,0.2,1.0,1.0,0.9476494667243963,0.794731246975,0.19079686308314933,1.0,0.5010797991035871,0.39222273562130516,0.22623907922671416,0.19138759512500003,0.7531266423850732,0.8034196126900691,0.8850597720053087
4,0.15215494230324214,0.18841711045442977,0.2,1.0,1.0,1.0,0.816291230158525,0.21796724270181514,1.0,0.536815557480219,0.42847658823933205,0.23454622019923366,0.19138755821937503,0.816291230158525,0.8785648921962892,0.948933268812002
5,0.20971161569331076,0.1752383767513222,0.2,1.0,1.0,1.0,0.8372044068270944,0.24791176336627865,1.0,0.5793980291458201,0.470001746137134,0.24360079291998402,0.19138755988012812,0.8372044068270944,0.9098478941051779,0.9755238200193691
6,0.1901282136454427,0.18174350905457498,0.2,1.0,1.0,1.0,0.8574901885114818,0.2759326668852798,1.0,0.6169138669119927,0.5091164919235498,0.25334711482925515,0.19138755980539424,0.8574901885114818,0.940303532601859,0.9963369526866337
7,0.21770622473027393,0.24451939145048895,0.2,1.0,1.0,1.0,0.8765516996045001,0.30491938205503943,1.0,0.6509573800629694,0.5497682189226547,0.2638090080594157,0.19153322947593943,0.8765516996045001,0.9700988605084446,1.0
8,0.18212727495285355,0.2498447005087021,0.2,1.0,1.0,1.0,0.8938284108582473,0.33106965048837,1.0,0.6664215178126425,0.5847804035515531,0.27486652604985257,0.19182020609419193,0.8938284108582473,0.9974002217110425,1.0
9,0.15497542330019573,0.23126090004416155,0.2,1.0,1.0,1.0,0.910074425578945,0.3549467494434827,1.0,0.6717964115897065,0.6151877181184556,0.28642161515172315,0.19194143524137733,0.910074425578945,1.0,1.0
10,0.22002532017026244,0.16509154802769802,0.2,1.0,1.0,1.0,0.9256583634589449,0.38213322129337096,1.0,0.6848375411588996,0.650126299734065,0.29855992499488726,0.19198276719699492,0.9256583634589449,1.0,1.0
11,0.20644548924735606,0.20588918686046748,0.2,1.0,1.0,1.0,0.940305881683226,0.40783411659925883,1.0,0.6907689682191033,0.681750684901896,0.3112093394429763,0.1920937060422596,0.940305881683226,1.0,1.0
12,0.2264150289808695,0.17100100094902224,0.2,1.0,1.0,1.0,0.9543165728676877,0.4340943982123732,1.0,0.6973881741446489,0.7134399050584497,0.32436604414971554,0.19214040986554612,0.9543165728676877,1.0,1.0
13,0.1931970680496099,0.23824561068087002,0.2,1.0,1.0,1.0,0.9676731204950647,0.4577095207978309,1.0,0.6964498341223629,0.7400826941068087,0.33792403759035455,0.1921957307223799,0.9676731204950647,1.0,1.0
14,0.2011018544847837,0.18091995299583252,0.2,1.0,1.0,1.0,0.980672770608372,0.4812077235032215,1.0,0.6970619211717329,0.7658771113460279,0.3518623394413716,0.1921853682031169,0.980672770608372,1.0,1.0
15,0.1565491083307794,0.24397760470117152,0.2,1.0,1.0,1.0,0.9932582763449526,0.5014457635617685,1.0,0.6907530681337951,0.7858538783203679,0.3660607936133652,0.19219108307850985,0.9932582763449526,1.0,1.0
16,0.18792787768851243,0.24963261827822233,0.2,1.0,1.0,1.0,1.0,0.5230561951845988,1.0,0.6916049077907376,0.8075924215394613,0.38055203410802074,0.192136288132047,1.0,1.0,1.0
17,0.1613285712496108,0.2312204252248064,0.2,1.0,1.0,1.0,1.0,0.5425311761997325,1.0,0.6881357868694495,0.8254768935689408,0.39525605163831934,0.19214589524714948,1.0,1.0,1.0
18,0.21507024973992708,0.24199750224976402,0.2,1.0,1.0,1.0,1.0,0.5647413523030619,1.0,0.6940772282372438,0.8474315642860275,0.4102521224076567,0.1921155065490887,1.0,1.0,1.0
19,0.15142674531506423,0.1872192841557435,0.2,1.0,1.0,1.0,1.0,0.5825818726904995,1.0,0.688161295236144,0.8619971750440039,0.4253895446844602,0.19216811845137996,1.0,1.0,1.0
20,0.15413351946883164,0.2252034833571964,0.2,1.0,1.0,1.0,1.0,0.6001345222597547,1.0,0.6849629576227346,0.8758931268652693,0.44065351177492096,0.1921148152298474,1.0,1.0,1.0
21,0.17837133887427786,0.24595052188429045,0.2,1.0,1.0,1.0,1.0,0.6187005877153483,1.0,0.6881298742676839,0.8913328777270688,0.45607363421171315,0.19208935224538515,1.0,1.0,1.0
22,0.17998632107977677,0.22743749246385533,0.2,1.0,1.0,1.0,1.0,0.6369016743368294,1.0,0.6917634384865674,0.9057534670665076,0.4716279672109262,0.1921177756197273,1.0,1.0,1.0
23,0.21942309403744814,0.1738946565367949,0.2,1.0,1.0,1.0,1.0,0.6219597693041035,1.0,0.6987037058319053,0.9226831666352538,0.48736535087152205,0.19214802254294885,1.0,1.0,1.0
24,0.19454532993664936,0.2457392180327846,0.2,1.0,1.0,1.0,1.0,0.6200982577464625,1.0,0.6990637362441683,0.9365659113890803,0.5032230155905884,0.19220679647076408,1.0,1.0,1.0
25,0.19215342161498453,0.1859707817868233,0.2,1.0,1.0,1.0,1.0,0.6199082638774696,1.0,0.6989094566667513,0.9494244149266198,0.5191792737332148,0.19220752671136188,1.0,1.0,1.0
26,0.17137602869524837,0.22864696925542108,0.2,1.0,1.0,1.0,1.0,0.6184762671582709,1.0,0.695584013766411,0.9595302929612182,0.535178086855107,0.19220616268953136,1.0,1.0,1.0
27,0.1654198001310365,0.21038964303481886,0.2,1.0,1.0,1.0,1.0,0.6167204000537563,1.0,0.6925181450600459,0.9684538136089049,0.5511953822587341,0.19217745532149383,1.0,1.0,1.0
28,0.19444371434040814,0.2053480825586039,0.2,1.0,1.0,1.0,1.0,0.6167478368606194,1.0,0.6950007057969217,0.9796216751836332,0.5672758619398195,0.1921521100865245,1.0,1.0,1.0
29,0.1603588749469353,0.21585651361019043,0.2,1.0,1.0,1.0,1.0,0.614731297490352,1.0,0.6912437189477478,0.9868765260676571,0.5833406338417745,0.19217461141964287,1.0,1.0,1.0
