t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.18619036428078548,0.20597723860804962,0.2,0.8066832491373284,0.8875770456290923,0.7982863208392336,0.715724228944446,0.3266466730440185,0.6883238936915613,0.35114143142287485,0.27382202896749575,0.20547644057934994,0.1934406398396421,0.4090849550246711,0.4558541388675809,0.5891158580775332
1,0.22393684672189834,0.19656500700997734,0.2,0.8731847449223267,1.0,0.841896806525728,0.7300674650064845,0.35490917829068863,0.8165430409962627,0.40541357876420087,0.3071920435253116,0.21156551704406268,0.19365576586820857,0.5366955528755987,0.6033629150577696,0.7144445363320521
2,0.1906273018449817,0.2087384828849897,0.2,0.9426588177989174,1.0,0.8915230506303198,0.7440102250030012,0.3804659837779365,0.9438322231263385,0.4519748403534624,0.3428708080477487,0.21830727803457703,0.19364871042270237,0.6252677294346964,0.7085303150660853,0.8038385902004969
3,0.16477282750839012,0.20119086390418056,0.2,1.0,1.0,0.9459058805535521,0.7575337241656899,0.4038326191794909,1.0,0.492329895480297,0.3782834530639478,0.2256898743155102,0.19364894181874323,0.7165556044059586,0.817834588686209,0.8967471649285919
4,0.20039061761734414,0.22929768725199529,0.2,1.0,1.0,0.9957044390427484,0.770651550429882,0.4287521554954198,1.0,0.536009865456447,0.4167087067050749,0.23376714970645662,0.19364893422969337,0.76734116971821,0.8824908828991807,0.9517050169068801
5,0.15752987649833747,0.18034012626245255,0.2,1.0,1.0,1.0,0.7833758408541455,0.45047705895622175,1.0,0.571076725795806,0.45077729211920436,0.24244502405177615,0.1936489344785899,0.7833758408541455,0.9068883365500119,0.9724428524478625
6,0.15725364299934716,0.23096445343671776,0.2,1.0,1.0,1.0,0.7957184026001833,0.4716422658199112,1.0,0.604348808092369,0.48434636316545604,0.2517075010745675,0.19364893447042691,0.7957184026001833,0.9270714532251161,0.9882938591960311
7,0.2054750786032991,0.1541880336369846,0.2,1.0,1.0,1.0,0.8076906874927086,0.4951716286482669,1.0,0.6410352492801323,0.5214616072420913,0.2616196582086637,0.19364893447069464,0.8076906874927086,0.9476716171021397,0.9947980661351051
8,0.22857547366390224,0.2464757781125567,0.2,1.0,1.0,1.0,0.8193038038384951,0.5194987811095493,1.0,0.6611707704551989,0.556274015965339,0.27212894194588383,0.19364893447068587,0.8193038038384951,0.9682733684468756,1.0
9,0.20231380268270724,0.21155627045785708,0.2,1.0,1.0,1.0,0.8305685266939069,0.5416420545004279,1.0,0.66638117913827,0.5855118604002391,0.2831178897344298,0.19364893447068612,0.8305685266939069,0.9880233218145653,1.0
10,0.162599527611213,0.1515000736949605,0.2,1.0,1.0,1.0,0.8414953078636563,0.5608488895522449,1.0,0.6627916678984916,0.6093426287790241,0.294473563412666,0.19364893447068612,0.8414953078636563,1.0,1.0
11,0.1922705012936383,0.15595511051688551,0.2,1.0,1.0,1.0,0.8520942855983134,0.5813558121487119,1.0,0.6656112260480131,0.6344496779764622,0.3062178213380686,0.19364893447068612,0.8520942855983134,1.0,1.0
12,0.16521666102383434,0.17419430136652148,0.2,1.0,1.0,1.0,0.8623752940009306,0.5997268312640791,1.0,0.6628343682241288,0.6556063778577231,0.31826777068184237,0.19364893447068612,0.8623752940009306,1.0,1.0
13,0.15240660713798307,0.19639344612232845,0.2,1.0,1.0,1.0,0.8723478721514694,0.6168699716684111,1.0,0.6610006428525956,0.6746175535921495,0.33057744404686695,0.19364893447068612,0.8723478721514694,1.0,1.0
14,0.18524248933253254,0.23424271285185322,0.2,1.0,1.0,1.0,0.882021272957492,0.6311745444499436,1.0,0.6662371390457896,0.6944531031032668,0.34316073166846367,0.19364893447068612,0.882021272957492,1.0,1.0
15,0.19152992918112613,0.21402917079191772,0.2,1.0,1.0,1.0,0.8914044717393339,0.6417846908622944,1.0,0.6704085510233275,0.7125164814067652,0.3559794539799144,0.19364893447068612,0.8914044717393339,1.0,1.0
16,0.18998185217654334,0.21624495318903683,0.2,1.0,1.0,1.0,0.9005061745577205,0.649281866365349,1.0,0.6726716193797929,0.728530903353061,0.36899027750717645,0.19364893447068612,0.9005061745577205,1.0,1.0
17,0.1865863905279646,0.1778162899663886,0.2,1.0,1.0,1.0,0.9093348262915556,0.6544413080904771,1.0,0.6736034025553869,0.7427637788190897,0.38215565030848647,0.19364893447068612,0.9093348262915556,1.0,1.0
18,0.22981249603704673,0.24956916416561992,0.2,1.0,1.0,1.0,0.9178986184733756,0.6607257257415043,1.0,0.6810134777018393,0.7591543276024271,0.39551718035745015,0.19364893447068612,0.9178986184733756,1.0,1.0
19,0.21721724395942893,0.22078096214979495,0.2,1.0,1.0,1.0,0.9262054968897411,0.6644656232085723,1.0,0.6827905487259573,0.7727366287229762,0.40901674112833514,0.19364893447068612,0.9262054968897411,1.0,1.0
20,0.17522217736124399,0.17296659016079058,0.2,1.0,1.0,1.0,0.9342631689536155,0.664621287254454,1.0,0.6773112498620508,0.7820071923076939,0.42256671756320563,0.19364893447068612,0.9342631689536155,1.0,1.0
21,0.17312319578513616,0.1570223499559926,0.2,1.0,1.0,1.0,0.9420791108555737,0.6646067039832094,1.0,0.6745054211964161,0.7908749672751705,0.436158549733077,0.19364893447068612,0.9420791108555737,1.0,1.0
22,0.21130303091283256,0.19003998049184911,0.2,1.0,1.0,1.0,0.9496605745004731,0.6668870618214906,1.0,0.6791398456070562,0.8022916434457186,0.4498427971046606,0.19364893447068612,0.9496605745004731,1.0,1.0
23,0.2177266897504943,0.18865135317059345,0.2,1.0,1.0,1.0,0.9570145942360256,0.6689037550799913,1.0,0.6823706304151786,0.813080237446884,0.46360597388255165,0.19364893447068612,0.9570145942360256,1.0,1.0
24,0.2266433906655851,0.23473097733028045,0.2,1.0,1.0,1.0,0.9641479933795115,0.6708814161225726,1.0,0.6853344296494741,0.8235598556787093,0.4774411112573003,0.19364893447068612,0.9641479933795115,1.0,1.0
25,0.15004359496444564,0.17097174147296113,0.2,1.0,1.0,1.0,0.9710673905486928,0.6677001653344905,1.0,0.6749367221591595,0.8274098053497211,0.49121489625172177,0.19364893447068612,0.9710673905486928,1.0,1.0
26,0.2228217542483345,0.19699872760136666,0.2,1.0,1.0,1.0,0.9777792058027988,0.6697911195896222,1.0,0.6812959635679429,0.8373017731459828,0.5050487827521242,0.19364893447068612,0.9777792058027988,1.0,1.0
27,0.22842871529394337,0.18974243880792813,0.2,1.0,1.0,1.0,0.9842896665992815,0.6716233194870984,1.0,0.6851732478073851,0.8464794174669972,0.5189278832739429,0.19364893447068612,0.9842896665992815,1.0,1.0
