t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.16074913952899209,0.23474337369372328,0.2,0.8071563047870687,0.8892186914884782,0.8034624290706512,0.7260399999999999,0.3059249483717395,0.6819329905493962,0.3470323709293488,0.2726347528041619,0.20545269505608324,0.191,0.41868976832334887,0.46352044433868245,0.5962423776878801
1,0.21110196951812912,0.1755069025739422,0.2,0.8744089911918124,1.0,0.8513753872068721,0.7495869999999999,0.31561034283353373,0.7971356261877127,0.3993146478106007,0.3060893886929872,0.21151995587938216,0.19140500000000002,0.5580302621186285,0.6196723049371899,0.7288702091966114
2,0.18963480696735527,0.1949491064788738,0.2,0.9449061164138284,1.0,0.9045407511236658,0.772504621,0.3237256396807367,0.911878716142675,0.44576054946517396,0.3426953945263152,0.21825866421111464,0.191386775,0.6602644027949186,0.7350749834485402,0.8269670421812592
3,0.20212743781782103,0.22887233511355132,0.2,1.0,1.0,0.9577018940648876,0.794731246975,0.3323894089427875,1.0,0.4917581490795884,0.38426185393187207,0.22576131464764093,0.19138759512500003,0.7611156205005074,0.8496609904328577,0.9243649430866789
4,0.1575087669419388,0.15283474765220065,0.2,1.0,1.0,1.0,0.816291230158525,0.3381593828564091,1.0,0.5287630636532248,0.421081994603465,0.23392534139323382,0.19138755821937503,0.816291230158525,0.912904018676052,0.9781215263198005
5,0.21686120831358957,0.19327670679050535,0.2,1.0,1.0,1.0,0.8372044068270944,0.3473462575433839,1.0,0.5728205989032172,0.463379160625388,0.24285367119180923,0.19138755988012812,0.8372044068270944,0.9389843429556713,1.0
6,0.21098240659663536,0.15021060533511107,0.2,1.0,1.0,1.0,0.8574901885114818,0.35595073209641676,1.0,0.613793437124199,0.5046566856788227,0.25251826819346757,0.19138755980539424,0.8574901885114818,0.9643186796396366,1.0
7,0.18563097552438412,0.22215400323407827,0.2,1.0,1.0,1.0,0.8766652892208883,0.3615181360140397,1.0,0.6372047526364,0.5420155689387612,0.2628333968903081,0.19150635496102109,0.8766652892208883,0.9875909296644588,1.0
8,0.1683009777016362,0.24452706955539225,0.2,1.0,1.0,1.0,0.8944346744212565,0.36368691298380484,1.0,0.636969962313545,0.5750654229527121,0.2737063713804592,0.19170283662216211,0.8944346744212565,1.0,1.0
9,0.22211419660891868,0.15305899830335537,0.2,1.0,1.0,1.0,0.911715519402214,0.36903305993293606,1.0,0.6450172015368174,0.6114207598531979,0.2851977228637186,0.19169229845104216,0.911715519402214,1.0,1.0
10,0.15203566887947687,0.20414124727934968,0.2,1.0,1.0,1.0,0.9281826074372083,0.36928294481710755,1.0,0.6353185311084628,0.6385929986407303,0.297117605607896,0.1917621718571623,0.9281826074372083,1.0,1.0
11,0.22513193302228085,0.18812042376882127,0.2,1.0,1.0,1.0,0.9445221156855669,0.3748201585072323,1.0,0.6453027002306133,0.6714600585543408,0.3095756307229039,0.19167547638687507,0.9445221156855669,1.0,1.0
12,0.16732795177044907,0.19221165755827174,0.2,1.0,1.0,1.0,0.9599915419772741,0.37581763345705826,1.0,0.6376413056660404,0.6965242815547411,0.3224103600467697,0.1917653573117648,0.9599915419772741,1.0,1.0
13,0.15232326300598942,0.17216916662730353,0.2,1.0,1.0,1.0,0.9752926463171288,0.376603586006128,1.0,0.6346160658995449,0.7187220418073753,0.3355606972824495,0.19169538235035344,0.9752926463171288,1.0,1.0
14,0.18503100749204576,0.19958122413818508,0.2,1.0,1.0,1.0,0.9902322109049195,0.37962455450925303,1.0,0.639216935645005,0.7428498980454863,0.34906208827053475,0.19167231609369761,0.9902322109049195,1.0,1.0
15,0.1686467560206058,0.17308665415409843,0.2,1.0,1.0,1.0,1.0,0.38115530723783064,1.0,0.6372242671854653,0.7638504579355305,0.36284847654654,0.1917130018156165,1.0,1.0,1.0
16,0.1675024829870151,0.19596034657377337,0.2,1.0,1.0,1.0,1.0,0.38276305712807585,1.0,0.6368510853872079,0.7835073057196078,0.37689013789546677,0.19169405183841032,1.0,1.0,1.0
17,0.17318252916723884,0.1521489705265909,0.2,1.0,1.0,1.0,1.0,0.38470847670879726,1.0,0.6376654863567907,0.8025489280021092,0.39117221507655425,0.19169165369153482,1.0,1.0,1.0
18,0.21700623805300584,0.20564543226524334,0.2,1.0,1.0,1.0,1.0,0.3891581133900978,1.0,0.6443213382742765,0.8247418504992294,0.40575532993577335,0.19169878275538826,1.0,1.0,1.0
19,0.20138354903459565,0.16859062658947177,0.2,1.0,1.0,1.0,1.0,0.3919373285171354,1.0,0.643036997334247,0.8440296845507848,0.4205783703274313,0.19183833146915577,1.0,1.0,1.0
