t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.19175871277699946,0.23066907771186793,0.2,0.806599263056811,0.8873510263700141,0.79730655308345,0.7146279999999999,0.20815558469274703,0.685402605554665,0.35200780691654987,0.2653269703010193,0.2053065394060204,0.1937,0.40781072100269106,0.4375215486786911,0.5734683163768873
1,0.22683958194591014,0.17896253777644655,0.2,0.8729689541393837,1.0,0.8402335003553117,0.7279783779999999,0.11062384349218296,0.8053577762341014,0.4067011678626089,0.28471298238864007,0.21094773365973302,0.19389845000000003,0.5339705096191327,0.5546449641490746,0.6729736070267134
2,0.2112885950238362,0.22042198668434126,0.2,0.9420369525161183,1.0,0.8864066586103165,0.7409546662929999,0.014478242241058564,0.9269411587873011,0.45632646258205395,0.3062957718232328,0.21696417175960034,0.193892198825,0.6187177651722753,0.621853046161329,0.7301020395308796
3,0.20291064457790642,0.1610162048917212,0.2,1.0,1.0,0.9346542422963177,0.7535408336557704,0.0,1.0,0.5022138236280786,0.32910618566707395,0.22337665375534582,0.1938923957370125,0.7043001369198696,0.7043001369198696,0.8001820174476361
4,0.15215494230324214,0.18841711045442977,0.2,1.0,1.0,0.9912565009054152,0.7657494422145231,0.0,1.0,0.538193460536275,0.3489733671270964,0.23012235456033428,0.19389238953428412,0.7590541126598416,0.7590541126598416,0.8467228983772943
5,0.20971161569331076,0.1752383767513222,0.2,1.0,1.0,1.0,0.7775917916906819,0.0,1.0,0.5810076166310183,0.3717409562132074,0.2372559501389951,0.19389238972967004,0.7775917916906819,0.7775917916906819,0.862479925504662
6,0.1901282136454427,0.18174350905457498,0.2,1.0,1.0,1.0,0.7890788707085697,0.0,1.0,0.6187435546131056,0.3931930618953296,0.24474725187551172,0.1938923897235154,0.7890788707085697,0.7890788707085697,0.8666208762874738
7,0.21770622473027393,0.24451939145048895,0.2,1.0,1.0,1.0,0.7997374756272903,0.0,1.0,0.6518333549312383,0.41536431468150864,0.2526070656503868,0.1940068680504785,0.7997374756272903,0.7997374756272903,0.8657251307912055
8,0.18212727495285355,0.2498447005087021,0.2,1.0,1.0,1.0,0.8092365663558023,0.0,1.0,0.6656529231149532,0.4343594530913665,0.2607681840557103,0.19420554850220884,0.8092365663558023,0.8092365663558023,0.8696038173423939
9,0.15497542330019573,0.23126090004416155,0.2,1.0,1.0,1.0,0.8181184395314466,0.0,1.0,0.6695677350095074,0.4508908179360857,0.2691783185738749,0.19428415532342627,0.8181184395314466,0.8181184395314466,0.8759593142680208
