t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.1870405886252017,0.18733119313950422,0.2,0.8062114993902922,0.8843804694047463,0.7945039117062197,0.688,0.3272224353175121,0.673453152052422,0.35205608829378027,0.2768834388841181,0.20553766877768237,0.2,0.38973787197524684,0.4343737134363686,0.5692176564209133
1,0.16108315300115641,0.23665618499863414,0.2,0.8726352933058741,1.0,0.8408370800804529,0.67636,0.3522068636146437,0.8002103968550618,0.39761575682926475,0.3077483834254436,0.2116372597584144,0.2,0.4962751675912788,0.5574521996847834,0.6738343697320659
2,0.15051480432648986,0.20027820800522084,0.2,0.9417322124847078,1.0,0.8867056072302725,0.6650691999999999,0.375932580283867,0.9181955726353928,0.43931218963677504,0.343276105057218,0.2183864092619746,0.2,0.5553588748724536,0.6284309980574749,0.7341663483488536
3,0.22186383760255504,0.15808146471830012,0.2,1.0,1.0,0.919869502361435,0.6541171239999999,0.40334609603292365,1.0,0.48962615579531954,0.39013387108938513,0.22600522259114256,0.2,0.601702393339973,0.6866454023045437,0.7836485919588622
4,0.1943416374542629,0.21166500426836185,0.2,1.0,1.0,0.9553894474414741,0.6434936102799999,0.4284229418793563,1.0,0.533296093623693,0.43381364998767347,0.23442144336498458,0.2,0.6147870047575283,0.7069731047801247,0.8009271390631059
5,0.1532716612387849,0.18790196043954357,0.2,1.0,1.0,0.9953005127806261,0.6331888019715999,0.4504086680066995,1.0,0.5686220381283261,0.4727143155099824,0.24353151524153438,0.2,0.6302131392892837,0.7295618505089462,0.8201275729326042
6,0.20627843138349977,0.19520209204500258,0.2,1.0,1.0,1.0,0.6231931379124519,0.475025157189542,1.0,0.6101327009294348,0.5167701871365393,0.2534316038318498,0.2,0.6231931379124519,0.7268044843161591,0.8147440013899048
7,0.2080052294865767,0.1657157161596626,0.2,1.0,1.0,1.0,0.6134973437750784,0.4991298420289981,1.0,0.6498268503059496,0.5604971435440393,0.2641072306644121,0.2,0.6134973437750784,0.7206725350743611,0.797623599721422
8,0.1690409761973226,0.16109475279780147,0.2,1.0,1.0,1.0,0.604092423461826,0.5202940545501126,1.0,0.6816916542202505,0.5994637209028254,0.2754554327758245,0.2,0.604092423461826,0.714099417175911,0.7824770083334492
9,0.19050152413351856,0.24238297864122957,0.2,1.0,1.0,1.0,0.5949696507579713,0.5422167946343709,1.0,0.7151823001292658,0.6400253927448545,0.2875013863029634,0.2,0.5949696507579713,0.7078805386865227,0.7671437678447646
10,0.197234276570873,0.22742094672355112,0.2,1.0,1.0,1.0,0.5861205612352322,0.5639954313627641,1.0,0.7480083266084334,0.680592512197535,0.3002382226838845,0.2,0.5861205612352322,0.7018198228027897,0.7521443513998411
11,0.18069318758821185,0.22460952169244286,0.2,1.0,1.0,1.0,0.5775369443981752,0.5842371368339877,1.0,0.7767118884162435,0.7186380290113931,0.3136086010372735,0.2,0.5775369443981752,0.695633430182039,0.7382748491298602
12,0.15813355500635828,0.17911780789864074,0.2,1.0,1.0,1.0,0.5692108360662299,0.6026192217135196,1.0,0.8008058649834666,0.7534684859254461,0.3275418847454097,0.2,0.5692108360662299,0.6892669229236266,0.7251112806473387
13,0.20393888010042968,0.2225706352241305,0.2,1.0,1.0,1.0,0.561134510984243,0.6232900739767073,1.0,0.8322196096674943,0.7924401848219066,0.34211526959439376,0.2,0.561134510984243,0.6835468607860314,0.7066909339725369
14,0.1837404316005564,0.15877123830659706,0.2,1.0,1.0,1.0,0.5533004756547157,0.642232248023323,1.0,0.8605482737660689,0.8286036832444149,0.3572661905633381,0.2,0.5533004756547157,0.6776720685639515,0.6894103265448734
15,0.17133868569813923,0.1709890130136482,0.2,1.0,1.0,1.0,0.5457014613850742,0.6599567629646284,1.0,0.8870182039696567,0.8627989751482273,0.37294950816066924,0.2,0.5457014613850742,0.6717502408853405,0.6728908909687168
