t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5237964627091891,0.02785554429470365,0.52,0.8035941286374729,0.8819799691185218,0.7595712277206891,0.8945865501006135,0.3007403960791009,0.6279285371350968,0.3039619275675401,0.28781827325055426,0.2057563654650111,0.3841937777001245,0.4815998540827912,0.5322926398867648,0.606400299478719
1,0.6256515786532098,-0.052572622618496954,0.52,0.8641691151802557,1.0,0.7672362309043117,1.0,0.3061879935609926,0.6904588685733961,0.3209256326704969,0.3327671839570799,0.21235414548950257,0.36687383205171253,0.6630218547948135,0.7340751207871625,0.78224539465616
2,0.731964772429316,-0.2166245024939853,0.52,0.9231572063954913,1.0,0.7587578492867425,1.0,0.31800848183163766,0.7211104568796485,0.3531835652335732,0.38430504729246867,0.21991670498045693,0.36850244579214153,0.7004527764782004,0.7784152498931061,0.8195273509611047
3,0.7363148720437325,-0.17059775234790464,0.52,0.9805407911371017,1.0,0.7497617854692853,1.0,0.32978221264356433,0.7559774184795448,0.38446273926743235,0.43526072679594313,0.2284227524665712,0.36834930543192584,0.7351720142884189,0.8200283430294003,0.8549367652170088
4,0.8055471272229686,-0.3110719984481139,0.52,1.0,1.0,0.7305151043342901,1.0,0.3454166874926099,0.7663484607319037,0.42456452087147833,0.48961414428261857,0.23793080782755785,0.3683637053902124,0.7305151043342901,0.8188313419601542,0.8539157143185779
5,0.8988129795322626,-0.3014582228517664,0.52,1.0,1.0,0.6975673132721298,1.0,0.36625614328546036,0.7700454329884019,0.4766509287564261,0.5490165113475756,0.2485318299762338,0.36836235134612916,0.6975673132721298,0.7869882231164976,0.8268494018124908
6,0.8758004343908974,-0.2997909496677592,0.52,1.0,1.0,0.6685656144809934,1.0,0.3851938701607892,0.7756439092198582,0.5226811497545941,0.6051672914728445,0.26014985750592834,0.3683624786683992,0.6685656144809934,0.7587001962554193,0.8028045471500065
7,0.8228696240490784,-0.32143506129671545,0.52,1.0,1.0,0.6479385633216095,1.0,0.4004823042859454,0.7825474000867673,0.5584702367149104,0.6559097319280844,0.27266655356943076,0.3683624666961447,0.6479385633216095,0.7387593384277765,0.7858548209895738
8,0.7661250199938641,-0.16257289518854756,0.52,1.0,1.0,0.6361326084816102,1.0,0.41198385140472094,0.8135720901426182,0.5839581788540203,0.7016715106385465,0.2859733182465074,0.3683624678219091,0.6361326084816102,0.7278593351978451,0.776589817962691
9,0.6805320851084792,-0.11089046797198654,0.52,1.0,1.0,0.6373426832023116,1.0,0.4180622837439355,0.8566635308139903,0.5953327836406642,0.740658948820429,0.29992676404045093,0.36836246771605224,0.6373426832023116,0.7305998113857777,0.7789192227488979
10,0.6094771499549194,-0.12863402409518432,0.52,1.0,1.0,0.6491928470747387,1.0,0.41972545916625237,0.9014977641530554,0.5954804179161364,0.773898709816932,0.314405470596385,0.3683624677260061,0.6491928470747387,0.7445618151138007,0.790786925915229
11,0.5284993163857072,0.039914632471531555,0.52,1.0,1.0,0.673011933524508,1.0,0.4164883851887837,0.9720854369151543,0.5834739954423408,0.8014091768396869,0.3292895994272149,0.36836246772507014,0.673011933524508,0.7711175122167493,0.8133592684529694
12,0.3973706329631156,0.04304508553435657,0.52,1.0,1.0,0.7161430361909151,1.0,0.4054645170554033,1.0,0.552398591578857,0.8181482108607846,0.34435966765015846,0.3683624677251581,0.7161430361909151,0.817772742800024,0.8530162144487309
13,0.38022287594270243,0.18632022608261042,0.52,1.0,1.0,0.7611993358703886,1.0,0.393687380204132,1.0,0.5203047943554843,0.8315484142909936,0.3595470392594768,0.3683624677251498,0.7611993358703886,0.8660854361935669,0.8940820038332444
14,0.31040966068250386,0.3072357554900702,0.52,1.0,1.0,0.8160517733436997,1.0,0.3780158788585306,1.0,0.4793437047042505,0.8379363876537964,0.3747102966199579,0.36836246772515063,0.8160517733436997,0.924019958246803,0.943326347578495
15,0.2781539130615912,0.35121588613269095,0.52,1.0,1.0,0.8749197863980481,1.0,0.3608008201893145,1.0,0.43559230739244137,0.8401604551905465,0.3897664027575693,0.3683624677251505,0.8749197863980481,0.9854049081843446,0.9955035550254052
16,0.2406469577493222,0.34509390656280875,0.52,1.0,1.0,0.9385308225534216,1.0,0.3417657206680926,1.0,0.38840243664938257,0.8379903465923793,0.4046285456618412,0.3683624677251505,0.9385308225534216,1.0,1.0
17,0.26671770090675634,0.350407785843237,0.52,1.0,1.0,0.9972770816928495,1.0,0.32477074322434735,1.0,0.34748267091709173,0.8362031281987897,0.4193063227691986,0.3683624677251505,0.9972770816928495,1.0,1.0
18,0.3560573197670079,0.1843356764972388,0.52,1.0,1.0,1.0,1.0,0.3135610173483108,1.0,0.32200983630045316,0.83960564467552,0.43390537243501703,0.3683624677251505,1.0,1.0,1.0
19,0.3483912232407756,0.14005343554464697,0.52,1.0,1.0,1.0,1.0,0.30217156882760127,1.0,0.2966607289357117,0.8416015123101787,0.4483983489568704,0.3683624677251505,1.0,1.0,1.0
