t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5259008491715473,0.04900985944499141,0.52,0.8005768566465121,0.8591543183112189,0.7358523313065523,0.7386419226537714,0.2857363190985265,0.625714592460732,0.3617679450996616,0.29007496091846696,0.20580149921836935,0.4779914407233639,0.373851245329916,0.4112392528857556,0.4800555047720513
1,0.6570642538000129,-0.0157602041994366,0.52,0.855149221481555,0.9713409501412839,0.7120442322118279,0.8114667818972087,0.2810633015375333,0.6867821841896083,0.4419587019867877,0.3423340931719431,0.21259016608962453,0.45673379765578404,0.47994483478227096,0.5271580427191979,0.5839008868973722
2,0.6879651594058842,-0.19187004003513705,0.52,0.9089341172652174,1.0,0.6920266763235717,0.8793865308910773,0.27827942057560184,0.7207478772225266,0.5226669913560363,0.397587155267075,0.22041600753406979,0.45837004402250753,0.5531399812751043,0.6070145969953566,0.6513698964404263
3,0.7497140647050868,-0.2624436743280567,0.52,0.9602286607886745,1.0,0.6709819410304425,0.9454621537271303,0.2792965741206962,0.7396083122629539,0.6086395064728117,0.4575719635946358,0.2293632867306218,0.4582536777953636,0.6091575695030186,0.6687050372946776,0.7012440103097916
4,0.8530140860114451,-0.3266896891911548,0.52,1.0,1.0,0.6413015754398937,1.0,0.28650238743314904,0.7411567966610646,0.7028940890317219,0.5246176431177145,0.23956200672566988,0.45827047146750743,0.6413015754398937,0.705608626789753,0.7043314881948965
5,0.8523799711659181,-0.3399116194063725,0.52,1.0,1.0,0.6121612652865741,1.0,0.2935040789531089,0.7381903351966587,0.7603144393581098,0.5896578930427174,0.25095954451926755,0.4582758169366704,0.6121612652865741,0.6750464052051212,0.6611261583827525
6,0.8216199646397948,-0.30650688171382756,0.52,1.0,1.0,0.5880747666773785,1.0,0.29837183157862146,0.7402448763538041,0.7905643633759928,0.6471693807728922,0.2633933366895327,0.4582216986785559,0.5880747666773785,0.6494874975109234,0.6303396392018481
7,0.842728461044992,-0.25276720271910114,0.52,1.0,1.0,0.56118965173803,1.0,0.30410699439247235,0.7463378137118928,0.8117852668887215,0.7001932826770941,0.27676326897617926,0.45809448564877747,0.56118965173803,0.6209212461340038,0.5997238577350924
8,0.7040821934615544,-0.2514041631691686,0.52,1.0,1.0,0.5555129894808621,1.0,0.3010113153648485,0.7628166503160788,0.8034043721473747,0.7392461837852539,0.29078055996212254,0.4579297692372858,0.5555129894808621,0.6140384829639248,0.5964289565658023
9,0.6428849962641605,-0.09138553702244409,0.52,1.0,1.0,0.5591104782030628,1.0,0.2938962426216691,0.8037985472584969,0.7885030603742378,0.7734490854271483,0.3053417360710443,0.457741339919247,0.5591104782030628,0.6166226422670624,0.6031429928349199
10,0.6233099635390662,-0.017331714124197754,0.52,1.0,1.0,0.5655976239932424,1.0,0.285442449468296,0.8544229266196899,0.7759864626862508,0.8066189173535243,0.32042069705740434,0.4575940501182918,0.5655976239932424,0.6221035739153702,0.6115935864926164
11,0.5353128257706739,0.06296221795216506,0.52,1.0,1.0,0.5851921636389272,1.0,0.2716791928045354,0.920482999502864,0.7548062237906259,0.8343810450847986,0.33590411098852624,0.4574914425763084,0.5851921636389272,0.6408367507674644,0.6338965103710799
12,0.46217620869110787,0.1574589054286751,0.52,1.0,1.0,0.6154667628263454,1.0,0.2537076978429193,1.0,0.7306804493910912,0.8589027273279068,0.3517231244251991,0.45742174108663397,0.6154667628263454,0.6701187922497724,0.6660414033233206
13,0.31934094988767747,0.24289871469993934,0.52,1.0,1.0,0.6667138406398908,1.0,0.227548558009247,1.0,0.6944426415017579,0.8725020047006806,0.3676559332749607,0.45739556521815716,0.6667138406398908,0.7198122612047356,0.7191587382689586
14,0.28720581757921737,0.2886644131433581,0.52,1.0,1.0,0.7220119009560517,1.0,0.20013546164750826,1.0,0.6675462515863704,0.8821151900615749,0.3836216777434426,0.4574071887471608,0.7220119009560517,0.7725869657455438,0.7720832482210108
15,0.263154824560639,0.27748773292307183,0.52,1.0,1.0,0.7800854756842833,1.0,0.17207896641026038,1.0,0.6476957735235822,0.8888124514166735,0.3995617099943416,0.4574604614666343,0.7800854756842833,0.8270681815128761,0.8243341068622114
16,0.2375708798712221,0.2894309315440411,0.52,1.0,1.0,0.8411220854785482,1.0,0.1433434148540394,1.0,0.6319710444844983,0.892823709002269,0.4154225670744436,0.457529521795753,0.8411220854785482,0.8833213446931243,0.876849449194868
17,0.25363173188421284,0.2276737851736274,0.52,1.0,1.0,0.8988303580438826,1.0,0.11645584204919678,1.0,0.6250260428292689,0.8974662672638545,0.43121766674897627,0.45760272739711155,0.8988303580438826,0.935466274215766,0.9232378383853427
