t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5463007357815022,0.0022179502095671794,0.52,0.8001840292762058,0.857539972522269,0.7315115167255747,0.7301072574399999,0.3038469432447127,0.6195609411136758,0.33351477451779243,0.2923990983341827,0.20584798196668366,0.48312487600000004,0.3664815245949531,0.4054555264462965,0.47385597847935207
1,0.6025100032498474,-0.013176350909974925,0.52,0.8546644231122587,0.9678621640808938,0.7133396201054972,0.7924027308522683,0.3055360799106036,0.694493835428021,0.34270186185399465,0.3338304371574577,0.21246611089016598,0.46322102167977686,0.46757517862018805,0.5175765591188775,0.5741348198311016
2,0.6700362474266229,-0.151036519372126,0.52,0.9084715314817172,1.0,0.69221343395178,0.8505029917566883,0.31161658966957106,0.742908444903128,0.3637437094234625,0.37961866857969095,0.21993382315285814,0.46462027497887826,0.5348440781701982,0.5931772788457251,0.6380456182741467
3,0.8248278698914389,-0.2840959175849235,0.52,0.9584922834099738,1.0,0.6549728112560294,0.9070237885621869,0.32680572730740076,0.7604337098380315,0.4067985886178277,0.43456590570360354,0.2284258030354016,0.4645219066044144,0.5694171857225129,0.6345482648549956,0.6732355484756427
4,0.8350387726079964,-0.25372413620257556,0.52,1.0,1.0,0.6233364578064466,0.9618374642380302,0.34222967871170046,0.7802331394630471,0.4492431587966569,0.48893385628370273,0.23792022213072164,0.4645288219621276,0.5995483579436686,0.6713624926125847,0.7045259132301651
5,0.8033380725296975,-0.31514480832081826,0.52,1.0,1.0,0.6015092832694856,1.0,0.3553658565955013,0.7940993750032931,0.484809636240674,0.5396551341980205,0.24833412259337484,0.46452833580819286,0.6015092832694856,0.676323834864208,0.7087431756825285
6,0.8625023284928333,-0.3034407929051556,0.52,1.0,1.0,0.5711348762472626,1.0,0.37172349472104527,0.8041408007007806,0.5274724815801844,0.5929089020198054,0.2597089594078372,0.4645283699851158,0.5711348762472626,0.6454413645017589,0.6824930673302161
7,0.8314693468528831,-0.32045395066075016,0.52,1.0,1.0,0.5458710326964983,1.0,0.38581021233907503,0.8141365647196644,0.5633472336545562,0.6425238517943411,0.27196234684964565,0.464528367582457,0.5458710326964983,0.6195819493585334,0.6605125650591391
8,0.7264401744119986,-0.27613756206333984,0.52,1.0,1.0,0.5367405226566827,1.0,0.3932430117163167,0.8376743804396495,0.5816738725228565,0.6837569738439336,0.28491786285802784,0.4645283677513654,0.5367405226566827,0.610614833530579,0.6528905165631508
9,0.6788408692370473,-0.08350377844036574,0.52,1.0,1.0,0.5348868660443009,1.0,0.3976340327953883,0.8881578509053019,0.5919442836529553,0.7212951845909523,0.2984945879212666,0.46452836773949097,0.5348868660443009,0.6093280936163695,0.6517967876390414
10,0.6013788481315514,-0.02210731974390724,0.52,1.0,1.0,0.5446803174468875,1.0,0.3972675570813813,0.9504935015772908,0.5900818710620283,0.7533674200243676,0.3125769904425413,0.4645283677403258,0.5446803174468875,0.6204146541327402,0.6612203640777478
11,0.49104277624229037,0.0631639775704982,0.52,1.0,1.0,0.5708772778618273,1.0,0.39029007894685275,1.0,0.5717621683171669,0.7772457005694448,0.32699613454950477,0.4645283677402671,0.5708772778618273,0.6488599861078073,0.6853988962565694
12,0.37741081076949223,0.08207003466185514,0.52,1.0,1.0,0.6137260786914625,1.0,0.37666911983732065,1.0,0.5373136558886353,0.7912043911728396,0.3415502610274665,0.46452836774027123,0.6137260786914625,0.6946361603501356,0.7243086443625475
13,0.36109375237034497,0.22426381561898612,0.52,1.0,1.0,0.6583797062685252,1.0,0.36240966120157797,1.0,0.5021400103216578,0.8020502032683701,0.3561757624825592,0.46452836774027095,0.6583797062685252,0.7418908144702949,0.764475100364683
14,0.2807028077766191,0.18857069291164352,0.52,1.0,1.0,0.7144221711209908,1.0,0.34368323235610526,1.0,0.4566664053439702,0.8055033657765056,0.37072407217326375,0.46452836774027095,0.7144221711209908,0.8003593934841958,0.8141733925264987
