t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5236048089737435,-0.038303934365081754,0.52,0.8000192432943911,0.8546747710384726,0.7315537586539385,0.7077039999999999,0.3521442885384246,0.6156376234864653,0.4381327213460615,0.3077677550989244,0.2061553551019785,0.4966,0.3539967004377198,0.3976269711149265,0.4638329254476876
1,0.6282618862594699,-0.11991478778756459,0.52,0.8537463856932007,0.9628514497259205,0.7072408607752089,0.7728715119999999,0.3783112185005321,0.6759319839888037,0.5808931042176788,0.3724904590901022,0.21354361073276076,0.4618978,0.44932730444900043,0.5088222504670817,0.5670244628970195
2,0.6760442515864696,-0.16621517920719606,0.52,0.9068060106645331,1.0,0.6826977594591304,0.8293337266959999,0.41031243872520695,0.7225891951816107,0.7241700416327653,0.446511854588734,0.22233841171720783,0.4659579574,0.5134193055810812,0.5871511201576326,0.5953379502941581
3,0.826793577197017,-0.17615026193800234,0.52,0.9557268900179847,1.0,0.6409121189177445,0.8736373149186254,0.43888026705707545,0.7524046325868593,0.8414330388399748,0.5293836728460622,0.232702701056957,0.47225230720362876,0.5351351329562198,0.6173362204784271,0.5842427989537634
4,0.8561279860407116,-0.3129324162515707,0.52,1.0,1.0,0.599054362027645,0.9069120671996022,0.457222752091635,0.7600681392259784,0.9180637322325206,0.6074257889022326,0.24452418982443208,0.4780865052835767,0.5432896298314304,0.6302311627384607,0.5707557423370412
5,0.8529164967986976,-0.33049535246391604,0.52,1.0,1.0,0.5612390751038794,0.9329229961918147,0.4673813109597391,0.7645325304102084,0.9647789668213959,0.6787138196652802,0.2576532243194934,0.4818551303312797,0.5235928395258341,0.6092439672371849,0.5379598995223684
6,0.8094207421919954,-0.3553164371079299,0.52,1.0,1.0,0.5329609559639029,0.9542748659171012,0.47006683243923486,0.7686060366299656,0.9870308545170614,0.7413312602299039,0.27190331728089656,0.48418811189342076,0.5085912447915035,0.5922664011974179,0.5162701566893315
7,0.7804028532525538,-0.20490618018603501,0.52,1.0,1.0,0.5116737897047244,0.973178672374512,0.4686955544012565,0.7933725310767463,0.9963822843235582,0.7982068006993204,0.287148420122074,0.485275292335564,0.497950019353679,0.5796354554884601,0.5024566287842326
8,0.7855309590431873,-0.17178183925469356,0.52,1.0,1.0,0.4920240965615339,0.9907622591064215,0.46671081495545924,0.8207690277137374,1.0,0.8525184427698411,0.3033273047762501,0.48572827067824415,0.4874789054441014,0.5671079924757955,0.49060972593486507
9,0.7082587479244457,-0.19306290369932405,0.52,1.0,1.0,0.48535982915452475,1.0,0.45976653377447724,0.8505497818077867,0.9935470372364733,0.8988489690110776,0.3202710111087091,0.4859018753983873,0.48535982915452475,0.5634631013538366,0.48940405613022225
10,0.5733209981479137,-0.04419239946726439,0.52,1.0,1.0,0.4990551402919139,1.0,0.44546581034364774,0.90865003969791,0.9693245825238899,0.9344368562495254,0.33775703812261254,0.4855228340621184,0.4990551402919139,0.576864341158619,0.5081566067121295
11,0.5258657626448974,0.079446948730536,0.52,1.0,1.0,0.5197307615897884,1.0,0.43090450578969897,0.9840441999104704,0.9472687090187365,0.9671270916190788,0.35572200957376804,0.4841737440202417,0.5197307615897884,0.5981147760280814,0.5331735109131878
12,0.4552489421476643,0.05140106070913235,0.52,1.0,1.0,0.5507462656588042,1.0,0.4146017057310937,1.0,0.9230841174675495,0.9934431654100699,0.3740336527862318,0.483023863699753,0.5507462656588042,0.6306653850673138,0.5683843761420136
