t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5622901694889701,0.05748920888942028,0.52,0.7995269602259402,0.8535486532666384,0.7253095654886544,0.7047628575999999,0.3694316833693382,0.6254844855520599,0.4129630102233455,0.30978441200935647,0.20619568824018714,0.49836904,0.34884122841152393,0.39394677919576787,0.46026250231640264
1,0.6681754185549715,-0.0017930858413685857,0.52,0.8520054592420703,0.9589957379639876,0.6937127209307495,0.7630338459608433,0.43467025941931164,0.7033743437477783,0.4857653578407768,0.37219007252973924,0.21357753280838004,0.466098996152608,0.43249641850587905,0.4982940841563348,0.5570252224947325
2,0.7433825994925037,-0.08810508188014472,0.52,0.9030530312049506,1.0,0.6572206731438927,0.813754089712714,0.5037431922382213,0.7590387027349752,0.5716591587514239,0.4437401183373224,0.2223165598470427,0.4695891562909139,0.4829672195224405,0.5681192266404687,0.6155040535716698
3,0.7378985957166065,-0.22637471650565782,0.52,0.9510049658625372,1.0,0.6280966265707605,0.863580306812304,0.570657201848779,0.7958807277842813,0.6518461720121416,0.5152461821869131,0.23239831789231052,0.4692116787191875,0.5158363890279669,0.6188644016590341,0.6431779701267397
4,0.8739473974899992,-0.2488754596345797,0.52,0.9947778289134824,1.0,0.5848492192360396,0.9122270959985428,0.6440096665990034,0.8159315746416405,0.7254213197828779,0.5887280065708608,0.24384889484480465,0.469021996649696,0.5307291966614494,0.6503573532101532,0.6391199218115421
5,0.8893385451562785,-0.35501685428216195,0.52,1.0,1.0,0.5456555266697853,0.9597555768183755,0.6944861855833011,0.8170399185858127,0.7624946408525534,0.6474763793843763,0.2563599334840441,0.4688168344495408,0.5236959347430943,0.6509907919869188,0.6184923352040694
6,0.8390611940416749,-0.3342580060796849,0.52,1.0,1.0,0.5194219877100175,1.0,0.7155478009677266,0.8220020818000691,0.7711991093342074,0.6933883731725794,0.26966410161265525,0.4687905390693973,0.5194219877100175,0.6495069290880835,0.610413961963714
7,0.8133388959182551,-0.25793634671102894,0.52,1.0,1.0,0.4974396621120586,1.0,0.7240576913031196,0.8374408579483799,0.7711307786278093,0.733849246747205,0.28364444553147283,0.46880322789140777,0.4974396621120586,0.62350091677107,0.5866242004335909
8,0.7039503731242355,-0.26027022119046483,0.52,1.0,1.0,0.4921944225227946,1.0,0.7215600126704881,0.8604599101859464,0.7542080361448963,0.7657707252088977,0.29812341558033606,0.4688217737789557,0.4921944225227946,0.6164961573359565,0.5862418769132576
9,0.6561622006712601,-0.08462644063092728,0.52,1.0,1.0,0.4941927136059739,1.0,0.7175193014812551,0.9089351268944486,0.7394002507925408,0.7963188639668964,0.3130685587038706,0.4688892495657958,0.4941927136059739,0.6183001973382635,0.5930089198120618
10,0.6189085475808744,-0.11429810797552817,0.52,1.0,1.0,0.501746617079052,1.0,0.7133694134261266,0.9553267314406478,0.7271312414443042,0.8258008833256414,0.32845389078334475,0.46893847371402175,0.501746617079052,0.6270223585490312,0.6049211312196545
11,0.5323909909001461,-0.027935192208330604,0.52,1.0,1.0,0.5221628625466094,1.0,0.7062089930442959,1.0,0.7083480912051505,0.8505337693366946,0.3441800272622452,0.46897813282469925,0.5221628625466094,0.6512275008240681,0.6325526165238787
12,0.42898911905815607,0.05739820769643453,0.52,1.0,1.0,0.5577800092829599,1.0,0.6966052860885702,1.0,0.684091414944439,0.8687559980613169,0.36011334695084907,0.46904084933454093,0.5577800092829599,0.6937733853123245,0.6778986834807947
13,0.29384763846506134,0.2461185744914327,0.52,1.0,1.0,0.6131301745818836,1.0,0.6839357750902463,1.0,0.6525135703550856,0.8783854466166577,0.3760799224136738,0.4691197758414552,0.6131301745818836,0.7598997559962409,0.746093622511866
14,0.25947290652543537,0.20773601083545779,0.52,1.0,1.0,0.6728011643492385,1.0,0.6758558491268829,1.0,0.6333172579945344,0.887209603535834,0.39206331526025373,0.4692224327020294,0.6728011643492385,0.8319519751279221,0.8146872234594894
15,0.3049830755830635,0.34391225081063004,0.52,1.0,1.0,0.72474778288388,1.0,0.6747461757313928,1.0,0.6319162364592616,0.9005541260636158,0.4081537646289235,0.46927805325320743,0.72474778288388,0.8959050610886263,0.8696756825279734
16,0.2300811341239405,0.369179289257537,0.52,1.0,1.0,0.7871506105780729,1.0,0.6697219242438411,1.0,0.6196941467701621,0.9071249631654401,0.4242147262459431,0.46927570887915543,0.7871506105780729,0.9716608181331944,0.9387401393136093
17,0.27617794218876135,0.3117443491751477,0.52,1.0,1.0,0.8417007240186892,1.0,0.6701020712102604,1.0,0.6214646536332595,0.9179314696107819,0.4403312083756993,0.4693187214479662,0.8417007240186892,1.0,0.9622105093059785
18,0.288648605186583,0.31086393020080705,0.52,1.0,1.0,0.8935625686824504,1.0,0.6710285270832513,1.0,0.624163283056657,0.9289944436116536,0.45650778516417534,0.46930707395941856,0.8935625686824504,1.0,0.9612185411764981
19,0.40385853133139954,0.25249004120725566,0.52,1.0,1.0,0.9273654269038568,1.0,0.6783808490398976,1.0,0.6431835969472182,0.9486845495800089,0.4729163983041338,0.46929847097293814,0.9273654269038568,1.0,0.9540441333646206
