t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5965242141552123,-0.05203063543086795,0.52,0.7991957072775105,0.8533622217452062,0.7206158478767181,0.7077039999999999,0.13801945284931272,0.5959442334387245,0.31581381153862087,0.2561977333529194,0.2051239546670584,0.4966,0.34780996005023757,0.3646115491838239,0.43576981680625027
1,0.6622552239780893,-0.1194587196932139,0.52,0.8515356899516331,0.9596538475392505,0.6913680180018539,0.7728715119999999,0.0,0.6280988162212766,0.3365323199737422,0.26293091526998125,0.21033133342578744,0.4618978,0.4366505877262734,0.4366505877262734,0.5056785495673324
2,0.7680266871847929,-0.22392173324876083,0.52,0.9022739061213688,1.0,0.6532656439876271,0.8293337266959999,0.0,0.637244614071547,0.3725678413561131,0.27054299166355683,0.2156388799248007,0.4659579574,0.4888296539599412,0.4888296539599412,0.54901571651595
3,0.8229471997017122,-0.19401551500216144,0.52,0.9491247940283942,1.0,0.614187456235574,0.8848918567685679,0.0,0.645392968208068,0.41498265893700736,0.2785077641559865,0.22105264640867245,0.4654829189842,0.5158393393875137,0.5158393393875137,0.5720927087333366
4,0.8653459640383203,-0.19624920748020042,0.52,0.9922010201562329,1.0,0.575788725478308,0.9386908384663173,0.0,0.6495414964977121,0.4616432198287058,0.28668503347192137,0.22657582061402415,0.46553849847884865,0.5362723495887908,0.5362723495887908,0.58944687253076
5,0.8232200141975952,-0.3212860853916286,0.52,1.0,1.0,0.5505486921269673,0.9908866620364334,0.0,0.6412648750441436,0.4996510798636058,0.2941226173731244,0.23219251475534639,0.46553199567797476,0.5455313558302147,0.5455313558302147,0.5973186535361888
6,0.8629737225619714,-0.32915667809618887,0.52,1.0,1.0,0.5208177655354833,1.0,0.0,0.6291551596501126,0.5417216944507415,0.30168019555256,0.23790419351884412,0.46553275650567694,0.5208177655354833,0.5208177655354833,0.5763119115787416
7,0.7852942357094083,-0.3097360660979066,0.52,1.0,1.0,0.503184730321598,1.0,0.0,0.6261717727706754,0.570036844598615,0.3081547686912301,0.24368824695748026,0.4655326674888358,0.503184730321598,0.503184730321598,0.5613238539011494
8,0.7884226639047672,-0.16159980045399897,0.52,1.0,1.0,0.4853469258858687,1.0,0.0,0.6415744797955268,0.5974055027181951,0.3144889418161716,0.2495411433242289,0.46553267790380626,0.4853469258858687,0.4853469258858687,0.5461617175270368
9,0.7079755633078971,-0.188569565299772,0.52,1.0,1.0,0.47984375366713333,1.0,0.0,0.6594256260423398,0.6113386626960396,0.3198022074796986,0.2554417760405806,0.46553267668525466,0.47984375366713333,0.47984375366713333,0.5380824226369377
10,0.6348198304310698,-0.06153324781650895,0.52,1.0,1.0,0.48536560962580433,1.0,0.0,0.6982638454174355,0.6080666787174941,0.32422953872163723,0.26137194905460753,0.46615026343323074,0.48536560962580433,0.48536560962580433,0.5436031987083777
11,0.4758148786187772,0.019580216735357085,0.52,1.0,1.0,0.5146678750658912,1.0,0.0,0.7584206097804462,0.5836792767784799,0.3269560945352807,0.2672973514547671,0.4659003724541874,0.5146678750658912,0.5146678750658912,0.5709926006924606
12,0.4092313997535838,0.050237216261159304,0.52,1.0,1.0,0.5535386641557222,1.0,0.0,0.8253504426204437,0.553718724695484,0.3289992778258719,0.2732043634967369,0.4654896564228601,0.5535386641557222,0.5535386641557222,0.6041354504266487
13,0.35013931092333883,0.1694025300587509,0.52,1.0,1.0,0.6006878020449593,1.0,0.0,0.9092237107891764,0.5153696518087004,0.3305052031527789,0.2790824239248251,0.46553771019852536,0.6006878020449593,0.6006878020449593,0.6442002041885841
