t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5106828537701655,0.05160898909833919,0.52,0.8001654206617206,0.8549073662321369,0.7334920519344751,0.7077039999999999,0.3120571112446769,0.6206715724204687,0.4361944280655248,0.306693675185071,0.20613387350370144,0.4966,0.3550960987499241,0.3938796907264786,0.46064773711750684
1,0.6538602640298293,-0.002107769973008447,0.52,0.8537415203618309,0.9628488914575728,0.7053103229909835,0.7728715119999999,0.3296272633238167,0.672082604239427,0.5828914822667228,0.3735083683157211,0.21354270213497883,0.4618978,0.4480970426620508,0.4997937933187164,0.5593502743209089
2,0.696504264674543,-0.18808750436500138,0.52,0.90640357177868,1.0,0.6777271777784573,0.8293337266959999,0.3496416142316608,0.6945752000650508,0.7291375027425682,0.44833004744566657,0.22237387606254239,0.4659579574,0.5094550098268364,0.571799345031828,0.5807987031042834
3,0.8084040093027147,-0.19745061192636226,0.52,0.9551540751299247,1.0,0.63870696159906,0.8731870734738042,0.3763948039471707,0.7057174659780562,0.841737252310381,0.5278093617806732,0.23270632453753043,0.4725231186833947,0.5326996121315588,0.602876490256406,0.5717930613539821
4,0.8099105231790034,-0.243586673393575,0.52,1.0,1.0,0.6037642940027556,0.9064873311363456,0.46132590833015885,0.7053436268785873,0.9113158170225738,0.6004204433479905,0.24438767015911494,0.47807928863659055,0.5473046835059778,0.6356747240940888,0.5774089482140556
5,0.8389158604845177,-0.25537026079661673,0.52,1.0,1.0,0.5680230464107697,0.9331375739301528,0.5461459730203923,0.7010214173842201,0.958517418610572,0.6691649019304833,0.2573270914961335,0.4814782596177051,0.5300436474641603,0.6313620687198174,0.5587329679242468
6,0.8039942462500024,-0.337754013525822,0.52,1.0,1.0,0.5405631396195931,0.9550228777403329,0.6269410496480501,0.6892485998117688,0.9845136530290443,0.7296981663035588,0.2713477839072433,0.4838633897270928,0.5162501651998532,0.6295306123578346,0.5433928672340629
7,0.849109118622132,-0.2903226229578001,0.52,1.0,1.0,0.5089728145921393,0.9741024474635802,0.6829325594952808,0.6823526995792422,1.0,0.7876914184993761,0.28638813443815836,0.4851560767093949,0.4957916643866299,0.6142989590042252,0.5142785840771864
8,0.7286791873606726,-0.17213749863620878,0.52,1.0,1.0,0.49794559130615584,0.9913029100645796,0.6771694287022224,0.7045887809143154,1.0,0.8320223632358454,0.3021647003584937,0.48594204341500047,0.4936149137156201,0.6106062389075162,0.5120959064771942
9,0.691380356304317,-0.1996227130008581,0.52,1.0,1.0,0.4937250105633026,1.0,0.6747830065799958,0.7250350971496766,0.9969961181983192,0.8719452088855446,0.31858195753261964,0.485886868552267,0.4937250105633026,0.6103300470313785,0.5132533860631101
10,0.5974692696607435,-0.03863888189318315,0.52,1.0,1.0,0.5036627462126844,1.0,0.669075329333036,0.7721157460576579,0.9806004458800662,0.9043729001268215,0.33548359595982985,0.4857199748611428,0.5036627462126844,0.621608657440946,0.5289421654788913
11,0.46917111650223753,0.04900443880525346,0.52,1.0,1.0,0.5327421377489169,1.0,0.6611611498958467,0.8381189410430703,0.9506108309624235,0.9281129434568728,0.35269101886936904,0.48479999590483197,0.5327421377489169,0.6560220792861328,0.5690032891491084
12,0.37954650157471065,0.08895325670107865,0.52,1.0,1.0,0.5749107500654435,1.0,0.6554550674515318,0.913083742643114,0.918220860433887,0.9467874773772084,0.37009985822821956,0.48316560762066313,0.5749107500654435,0.706800607627408,0.6234318429576585
13,0.30199095266400033,0.14607111747677434,0.52,1.0,1.0,0.6281655074734163,1.0,0.6505225353524409,0.9980080748919635,0.8862302228519353,0.9616923329040564,0.3876327063040185,0.4814587688289082,0.6281655074734163,0.7711880439633121,0.6891715712355194
14,0.3363272216337094,0.23596520529383613,0.52,1.0,1.0,0.6755542983173367,1.0,0.6523261259601087,1.0,0.8718107531789584,0.9787392479831001,0.4053311642006403,0.47979286597844006,0.6755542983173367,0.8297928997213035,0.7433672971227887
15,0.3057842281464934,0.27884829375638037,0.52,1.0,1.0,0.7268472226539883,1.0,0.6504850099843753,1.0,0.8582056991797631,0.9925247276737154,0.4231283471121082,0.479122539332287,0.7268472226539883,0.8923283506638066,0.8011397514803598
16,0.2619037386466031,0.355846898221206,0.52,1.0,1.0,0.7839881041762546,1.0,0.647749708513899,1.0,0.843021052395998,1.0,0.4408970636409872,0.4784169868186684,0.7839881041762546,0.9617279272617413,0.8654082340462338
17,0.2909439453877098,0.2267994959360699,0.52,1.0,1.0,0.8359552775905619,1.0,0.6493606405799379,1.0,0.8381486767318521,1.0,0.4584880930045773,0.4776282642978488,0.8359552775905619,1.0,0.8992762027899946
