t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5905639676174521,0.04915928405431626,0.52,0.7992080057012324,0.8530397249003258,0.7210684957693821,0.7047628575999999,0.30218300493156186,0.6386743089483625,0.34622210441018514,0.3045613206339185,0.20609122641267838,0.49836904,0.34645641786978254,0.3830990523701831,0.4510419345146557
1,0.6653069876346662,-0.007468192735935089,0.52,0.851351315758998,0.9580447808389171,0.6899655318953122,0.7630338459608433,0.3062144124330762,0.7123572715310015,0.3509492571477961,0.3650644841480203,0.213331603831512,0.466098996152608,0.4294037361687078,0.4754251006373218,0.5375865865035715
2,0.6953754867674083,-0.1310949509390589,0.52,0.9026895067308331,1.0,0.6607307588527512,0.813754089712714,0.31222835750608163,0.7650595828974097,0.3654008206518954,0.42708576583571406,0.22174000310991115,0.4695891562909139,0.485351194917584,0.53839033715854,0.5902344975120305
3,0.825492642354893,-0.16539855855191704,0.52,0.9498723604497301,1.0,0.6184149539982431,0.863580306812304,0.3258687850817729,0.800975352289142,0.3980578822809,0.49904562860342283,0.2315035156508805,0.4692116787191875,0.5072802608992026,0.5651376417095184,0.6130640757732938
4,0.83690579271509,-0.3208149295362828,0.52,0.9933391949573086,1.0,0.580811498929056,0.9118438615381103,0.33985702618156,0.8151101202470482,0.4308578203167307,0.5696591981608038,0.24258166445758778,0.46925250473046204,0.5260817750469704,0.5886591807054933,0.6330471774170539
5,0.840400802185312,-0.22292204706353413,0.52,1.0,1.0,0.5488668237439295,0.9586668507222916,0.35370490857973896,0.8406367278145683,0.46253511725283114,0.6387284603889889,0.25493041702079167,0.46924808920137784,0.52618042938454,0.5913198396197074,0.6353098413764068
6,0.8024790692545766,-0.323373058645266,0.52,1.0,1.0,0.5280495326614819,1.0,0.36493132814697254,0.8556196093880967,0.4869410351967529,0.702173360306932,0.2684245800567224,0.46924856676204285,0.5280495326614819,0.5954951687100218,0.6388587517130078
7,0.8539667207900121,-0.2766174115223953,0.52,1.0,1.0,0.4998213557974796,1.0,0.37896634218511316,0.8717286220487318,0.5178497243125675,0.7681043908684301,0.28310242207352376,0.4692485151115646,0.4998213557974796,0.5661167706308807,0.6138871262583574
8,0.7235042113985896,-0.2452440937732031,0.52,1.0,1.0,0.49158597771583845,1.0,0.38482273075571466,0.901551939393592,0.5276436112877767,0.8208016147709685,0.2986874301482079,0.46924852069781176,0.49158597771583845,0.5577966881368779,0.6068150547418932
9,0.7190775485597604,-0.17174292483193898,0.52,1.0,1.0,0.4841381297614552,1.0,0.39026634067103083,0.9397263342083783,0.5362838035448695,0.8718038354627622,0.31513663255598107,0.4692485200936323,0.4841381297614552,0.5502681154599172,0.6004157681175215
10,0.5850731817365702,-0.044086164264272476,0.52,1.0,1.0,0.496902654546599,1.0,0.38753359833430023,1.0,0.5243913312676766,0.910340763647678,0.3321920815033748,0.4692485201589773,0.496902654546599,0.5643009203550072,0.6123436522620119
11,0.533234798783492,0.025066732902866488,0.52,1.0,1.0,0.5172514689032807,1.0,0.38175887157823785,1.0,0.5053177251503448,0.9413892753696982,0.349697946195735,0.4692485201519099,0.5172514689032807,0.5863643368850264,0.631097556314295
12,0.3753904653553513,0.12437481429314452,0.52,1.0,1.0,0.560971701058795,1.0,0.36665785298544973,1.0,0.46352114932585214,0.9555522366125202,0.36731201146602804,0.4692485201526742,0.560971701058795,0.6329613388823296,0.6707050080118117
13,0.2971798675946431,0.1295866086975083,0.52,1.0,1.0,0.6157677193960871,1.0,0.3472417239918322,1.0,0.4120828126283488,0.9600279413548183,0.38483945017846416,0.46924852015259155,0.6157677193960871,0.6906048049576526,0.7197019541758568
14,0.25756102233665606,0.2794295688626468,0.52,1.0,1.0,0.6756846242470174,1.0,0.3259338675189587,1.0,0.3572735659770364,0.9584540945406126,0.40216013756749175,0.4692485201526005,0.6756846242470174,0.752764600228391,0.7725377801559822
