t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5452379553509819,0.030187018412385264,0.52,0.7995711636622788,0.8526993782516813,0.7266799549554643,0.696850478178151,0.37296453191828544,0.6221419317502032,0.4421610751984871,0.3064784989451614,0.20612956997890325,0.5031281824653316,0.3452517211549902,0.3903200474560839,0.4559899947213385
1,0.6810771204007747,-0.07331311789296012,0.52,0.8514706340894245,0.9545808594760626,0.6893475466155631,0.7363098943480897,0.450209571087933,0.6832517345220421,0.5945213773640162,0.3632526782794273,0.21333332784470277,0.477556565544478,0.4125544415883147,0.4775620269575786,0.5365385815278223
2,0.7201768693247377,-0.13834610705247272,0.52,0.9020097746213797,1.0,0.6507650005412069,0.7709990476208379,0.5280420450756792,0.7295265061336669,0.7453874905527165,0.42783318584108704,0.22175665828307747,0.4797137638182535,0.4525736587799733,0.5362159308953192,0.542238853140643
3,0.7534641072737327,-0.2194318188061028,0.52,0.9486777343729663,1.0,0.6118513296363426,0.8049500785109261,0.605911383148407,0.7594072997074183,0.822872113987527,0.47329084148920814,0.23100490853003086,0.47953178453994727,0.467233058288844,0.5663186982990028,0.543444036593226
4,0.842599997811848,-0.22727511172712545,0.52,0.9908254923466663,1.0,0.5640990498661806,0.8378570554454366,0.6856649560453865,0.7789276985543631,0.8782449165195605,0.5090989271498674,0.2408768379877279,0.4795471361458406,0.4682981812657409,0.5806816594215389,0.5230861603069024
5,0.8086608416041381,-0.32648755958645476,0.52,1.0,1.0,0.5259846229632097,0.8697789761713424,0.7409025260159102,0.7863969593596583,0.9030282061952468,0.5236669582810046,0.2509414087734707,0.47954584109837317,0.4574903668428101,0.5761248857904342,0.5007307255855196
6,0.8012213430126425,-0.2497972508175828,0.52,1.0,1.0,0.4932735215665314,0.9007430576419673,0.780124329351329,0.8028232007721701,0.9164431120052448,0.5268843703191508,0.260969682092119,0.47954595034739594,0.4443127000696584,0.5656294015771005,0.4799407042818472
7,0.828306658248786,-0.33774547444476716,0.52,1.0,1.0,0.46059451078806235,0.9307782319909101,0.80991609113612,0.8048277301725709,0.9290561868569112,0.5233715597972136,0.2708274164671421,0.4795459411312481,0.42871134441603087,0.5502384201193308,0.45711609753432175
8,0.8008582962452231,-0.14806602409120706,0.52,1.0,1.0,0.436019033572038,0.959912349816798,0.829663767628117,0.8321681780873073,0.9323170764992719,0.5195820323566974,0.28051078294960463,0.4795459419087139,0.4185400550809843,0.5400766867316035,0.4435508217692794
9,0.6936062174235331,-0.12974384071542444,0.52,1.0,1.0,0.4312912116688051,0.9881724442169505,0.837410187813309,0.8690254093240555,0.9183480349033905,0.5150485056982251,0.2900066452340731,0.47954594184312765,0.4261900908040533,0.5511036641985909,0.4555651810743414
10,0.5580854119319765,-0.13598862928679317,0.52,1.0,1.0,0.4483817346115435,1.0,0.8348419334834766,0.9145604543667272,0.8913927754246476,0.5095046839664016,0.2992966724610604,0.4795459418486604,0.4483817346115435,0.5793964906031651,0.4882143122264356
11,0.5055144183740734,-0.03981763919283783,0.52,1.0,1.0,0.47310154874384963,1.0,0.8298433144002018,0.9748708546522639,0.8707156920379426,0.5039327792532609,0.30838236132151503,0.4795459418481937,0.47310154874384963,0.6105116037839623,0.5218650072628963
12,0.3862646932913373,0.07468477486367628,0.52,1.0,1.0,0.5153380244265797,1.0,0.8190986356166665,1.0,0.8424632410834217,0.4986819685678411,0.3172721770796567,0.479545941848233,0.5153380244265797,0.6630774598677996,0.5771706559772116
13,0.2966784111672867,0.1849980319662831,0.52,1.0,1.0,0.5703788952926765,1.0,0.8060073030757444,1.0,0.8149901182094481,0.4962175806319874,0.3260238069214999,0.47954594184822974,0.5703788952926765,0.7312842395868369,0.6460066221087706
14,0.28258037994158924,0.30177790472952776,0.52,1.0,1.0,0.6267088577796365,1.0,0.7957600457764108,1.0,0.7994260222387778,0.497180597801833,0.33470718080832157,0.47954594184823,0.6267088577796365,0.8012573120539584,0.7122024139568917
