t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.567712582680027,0.06395786391337749,0.52,0.7993752258800788,0.8527438435917595,0.7237698965979961,0.6999232,0.3551651549608016,0.6125137263747701,0.445310487402004,0.3130120961416424,0.20626024192283285,0.50128,0.34531876742267226,0.3882445851625635,0.45468789738817905
1,0.6407026777187099,-0.0664368730339371,0.52,0.851733517586257,0.9563763091749414,0.6940118599888198,0.74673269248,0.3824530021099042,0.6517983443730404,0.5909199877297103,0.38086497322836343,0.21381493896817177,0.473080192,0.4221478727423707,0.478655975184991,0.5385875309072424
2,0.7087462083111071,-0.07693129081527243,0.52,0.9029502118788268,1.0,0.6592837132045462,0.787749558863872,0.416031406838127,0.6826243178798811,0.7397722828733468,0.4592861593263112,0.22286251276501629,0.4757196940288,0.4689476026980969,0.5372315285074466,0.5457851908621256
3,0.7639345674657021,-0.2739791456846694,0.52,0.9502624692509954,1.0,0.6200813818793882,0.8175993823839706,0.4390306641387093,0.6828723701635352,0.7951322608396048,0.5358693297119911,0.23335127423160595,0.4816963278662157,0.4817623132863426,0.555790263212029,0.5434579635117893
4,0.8057195832467237,-0.307156063564919,0.52,0.9935122241640265,1.0,0.5781711493974493,0.8432040095700138,0.4582962452672179,0.6755198453364998,0.8165889809100406,0.6099403846983944,0.2452165691832578,0.4837111083028234,0.48435333536397823,0.5620453956069659,0.5418341149172029
5,0.8319851974756773,-0.3318111223284266,0.52,1.0,1.0,0.5357255914091859,0.866677734070691,0.47649190525194873,0.6632373062194993,0.8264204985817017,0.6808596597665112,0.2583815966867554,0.4845307842886593,0.4643014416461941,0.5417339991356216,0.5214150536186031
6,0.8029186830500231,-0.32241896960406724,0.52,1.0,1.0,0.500912781609975,0.8888058708598449,0.4915076814889687,0.6549261201524581,0.8247613242115652,0.744511220906475,0.27268800513801733,0.48491655947501994,0.4452142210836811,0.5218033944334461,0.5048753481362047
7,0.7900693170448043,-0.25864152251879613,0.52,1.0,1.0,0.47115104309540484,0.9104418062665248,0.5054898151012995,0.6559526736822431,0.8223735534594819,0.8033070424214517,0.2880272659350662,0.4848133197136561,0.42895560670013766,0.5048470483112691,0.49120459509832015
8,0.7228020475825916,-0.28216153329166954,0.52,1.0,1.0,0.45446940985403966,0.931596353484389,0.5153149362283496,0.6593845883912152,0.8116266614730616,0.8530126030920677,0.30420724533755694,0.4847124575134402,0.4233820449902256,0.49974332702025376,0.4901157151469372
9,0.6484691669550404,-0.1407118573932928,0.52,1.0,1.0,0.45177014490991924,0.9529146863020217,0.5214265743110997,0.6863310782157054,0.7975174403032941,0.8945382387936001,0.32105593766005336,0.48423222218592826,0.4304984059174546,0.5090640640828292,0.5023911668329346
10,0.5811921838205352,-0.028218153643665034,0.52,1.0,1.0,0.4618350856853566,0.974597742405305,0.5246864767524306,0.7316737826095061,0.7835439170144981,0.9296614389079549,0.33843860706161194,0.4836281713294045,0.4501034318725091,0.5327605462176868,0.5268762463483332
11,0.5329822451542485,0.01341533385504801,0.52,1.0,1.0,0.4816509558403639,0.9966065247788574,0.5263101807662648,0.784293118664629,0.772469113791143,0.960636809471186,0.3562669571804195,0.48304099520075966,0.48001648525647994,0.5684396323506237,0.5606727045604973
12,0.3771797084073228,0.14759255552238532,0.52,1.0,1.0,0.5249699779261217,1.0,0.519616560102178,0.864066829370218,0.7460538345419989,0.9792944342047637,0.3742901762927106,0.4825851463107664,0.5249699779261217,0.6204440608565324,0.6129150147877612
13,0.3692364662959566,0.1748173624432615,0.52,1.0,1.0,0.568888594433568,1.0,0.5150738131031977,0.944746045317872,0.7375912785809773,0.999372363898696,0.3925347218077574,0.4814272775853673,0.568888594433568,0.6714454605816038,0.6590944385237282
14,0.30435619810940445,0.22027145281217955,0.52,1.0,1.0,0.6218949113487131,1.0,0.5076426559494844,1.0,0.7255396936179322,1.0,0.41060937458967983,0.48113848903881556,0.6218949113487131,0.7323900459301985,0.7145850086955852
15,0.2982303121451699,0.3381221159098606,0.52,1.0,1.0,0.6750509877260205,1.0,0.5011605059361648,1.0,0.7213045516122645,1.0,0.42850328084378303,0.4806190626137286,0.6750509877260205,0.7934591008155385,0.7678941045560962
16,0.28034691967160036,0.3680448435986563,0.52,1.0,1.0,0.7300996321825527,1.0,0.4942072495595271,1.0,0.717460793550461,1.0,0.4462182480353452,0.4804710555367469,0.7300996321825527,0.8563868180764292,0.8225727934156397
17,0.24553972493222564,0.29185756747243796,0.52,1.0,1.0,0.7895516606262533,1.0,0.48570575548715134,1.0,0.7111826169994037,1.0,0.46375606555499177,0.4803103666745451,0.7895516606262533,0.9237730856634665,0.8817747460454892
18,0.3413083774679683,0.2899386656620976,0.52,1.0,1.0,0.8337600594873394,1.0,0.48375309217394513,1.0,0.7238205302724137,1.0,0.48111850489944186,0.48004139218649605,0.8337600594873394,0.9749269619051858,0.9215314104910599
19,0.37382234788075613,0.1282869197346116,0.52,1.0,1.0,0.8723987257031972,1.0,0.4826722522443954,1.0,0.73218068905899,1.0,0.49830731985044746,0.4806316141943752,0.8723987257031972,1.0,0.9401878897337093
20,0.47880708164316343,0.04468687417652338,0.52,1.0,1.0,0.894693717105609,1.0,0.48709344677271094,1.0,0.7502249654097597,1.0,0.515324246651943,0.48095930931131564,0.894693717105609,1.0,0.9346926830492432
21,0.5755801558670043,-0.057770138741233164,0.52,1.0,1.0,0.9020990377291207,1.0,0.49552801424067683,1.0,0.769707164616334,1.0,0.5321710041854236,0.48174500479706966,0.9020990377291207,1.0,0.9286515994158324
22,0.6389123952927236,-0.0761000760310163,0.52,1.0,1.0,0.899852643382791,1.0,0.5056914806863251,1.0,0.7845651125078812,1.0,0.5488492941435694,0.48256098972968753,0.899852643382791,1.0,0.9239902188152138
23,0.685511803182433,-0.1587575832443506,0.52,1.0,1.0,0.8906196495252878,1.0,0.5169564161145779,1.0,0.795639591805044,1.0,0.5653608012021337,0.4831686745879259,0.8906196495252878,1.0,0.9205159538115054
24,0.7881069920296533,-0.24423326507081236,0.52,1.0,1.0,0.8661131493788113,1.0,0.5330219904847991,0.989241125904627,0.8140735144297677,1.0,0.5817071931901124,0.4836231319829828,0.8661131493788113,1.0,0.914872162675324
25,0.8710273070501221,-0.2184285534257962,0.52,1.0,1.0,0.8294961877098029,1.0,0.5519307671297677,0.9754645587554,0.8315847490434947,1.0,0.5978901212582113,0.48442336741615766,0.8294961877098029,0.9897347512346643,0.9006932719823766
26,0.8886164757460082,-0.3359350647044408,0.52,1.0,1.0,0.7907533487923646,1.0,0.5595512351648896,0.9462165934067494,0.8390393729793811,1.0,0.6139112200456291,0.4851584947978024,0.7907533487923646,0.9456168033520037,0.8607728472559382
27,0.7935551791875879,-0.3139146109699724,0.52,1.0,1.0,0.7668365645603997,1.0,0.5203032022897125,0.9289156884197419,0.8268272046752299,1.0,0.6297721078451729,0.48544414243882505,0.7668365645603997,0.906482196621166,0.8311006701157159
28,0.7677454896721799,-0.23597270795001304,0.52,1.0,1.0,0.7471787473586173,1.0,0.5319840860890444,0.9235993879328769,0.8195894373912577,1.0,0.6454743867667212,0.48486890565098795,0.7471787473586173,0.8862992684291732,0.8162603205346728
29,0.7251845414355589,-0.2700222043671862,0.52,1.0,1.0,0.7342142820292129,1.0,0.5415385784798445,0.9176587706511276,0.8112166762798325,1.0,0.661019642899054,0.48458205807382637,0.7342142820292129,0.8733761575356078,0.8078592165028602
30,0.6520063331105548,-0.15714758055470276,0.52,1.0,1.0,0.7324389553852622,1.0,0.547257474155971,0.9319373031599709,0.7979362424347682,1.0,0.6764094464700635,0.48422324893858565,0.7324389553852622,0.8727303978294139,0.8113841531899249
31,0.6108762868188689,-0.06414298856451607,0.52,1.0,1.0,0.7368885366904394,1.0,0.5516152889766769,0.9605894431762847,0.7881119676991302,1.0,0.6916453520053629,0.48364782682426977,0.7368885366904394,0.8791561807789735,0.819937206646321
32,0.47781971007019863,0.057876318509307134,0.52,1.0,1.0,0.7612499378194048,1.0,0.5403114755071916,1.0,0.7654527421336508,1.0,0.7067288984853093,0.4832462862029656,0.7612499378194048,0.9052091648159409,0.8489803959027131
33,0.3672719006645389,0.07442816918851057,0.52,1.0,1.0,0.8018778095713889,1.0,0.533293745497076,1.0,0.742633251270272,1.0,0.7216616095004562,0.48225188162088045,0.8018778095713889,0.9515505567454499,0.8954650274473306
34,0.3587846030328176,0.23208594347285325,0.52,1.0,1.0,0.8432169762590653,1.0,0.5281283515590868,1.0,0.7350846100110883,1.0,0.7364449934054517,0.4812995142766014,0.8432169762590653,0.9990813533464835,0.9383688887720342
35,0.24622216430237776,0.18812637814709487,0.52,1.0,1.0,0.9008336030810132,1.0,0.5171248510430168,1.0,0.7161304746814929,1.0,0.7510805434713972,0.48103587777618695,0.9008336030810132,1.0,0.9449018881515054
36,0.2562987693503514,0.31288729923624364,0.52,1.0,1.0,0.9561160930520569,1.0,0.5087601573727842,1.0,0.7124245009590078,1.0,0.7655697380366833,0.48020381160376674,0.9561160930520569,1.0,0.946221696811356
37,0.2032457946832463,0.29034678937877206,0.52,1.0,1.0,1.0,1.0,0.49784469749870647,1.0,0.703454213570485,1.0,0.7799140406563164,0.4801060759088839,1.0,1.0,0.9489372169516337
38,0.25168142994826176,0.2212237719364378,0.52,1.0,1.0,1.0,1.0,0.4909381255070824,1.0,0.708250182880502,1.0,0.7941149002497533,0.4797110893685982,1.0,1.0,0.9475971727936999
39,0.2885188379953659,0.20964127727082274,0.52,1.0,1.0,1.0,1.0,0.4860162481011675,1.0,0.7151005245505975,1.0,0.8081737512472558,0.4799595789463095,1.0,1.0,0.9454799478982434
