t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5521983909712493,0.06722477706811274,0.52,0.7994773639383068,0.8524546052825175,0.7255131773543125,0.6960327999999999,0.2534634945262425,0.6205790859909601,0.44326415864568736,0.28576877369232406,0.2057153754738465,0.5036200000000001,0.34415370068864337,0.37468434055938205,0.4425766894754747
1,0.6847055394307895,-0.0997168217432563,0.52,0.8511743023758853,0.9537708644465972,0.6872601802409795,0.7335267296799999,0.18341925478893378,0.663740508701174,0.5962572042680213,0.3217920488126351,0.21209406269536074,0.478753522,0.40926035897842594,0.435533539498892,0.5005151280740583
2,0.7460034857983059,-0.12082085135344538,0.52,0.9011960831221122,1.0,0.644242441023314,0.7665099223592079,0.12575090731731478,0.6978337999145042,0.7510396773101501,0.36520242519183094,0.21927717057224375,0.48079008654820005,0.44502704874681737,0.46461394305304804,0.47941242676499574
3,0.801136378610628,-0.2796938073247919,0.52,0.9466078987390429,1.0,0.5959969607970309,0.7888929170033808,0.062192740368451904,0.7045742807114217,0.8476526480754313,0.4061304591323409,0.22720700804916813,0.4865707371948949,0.4450740012383424,0.4547621313696598,0.4406093329428577
4,0.7823054036692205,-0.2885959769234737,0.52,0.9879023689686717,1.0,0.5530448588839302,0.8048717129757552,0.0,0.7107764875964822,0.8978897806630999,0.4430274419634219,0.23579548680794488,0.490018850157055,0.4397451424503941,0.4397451424503941,0.4119117243446413
5,0.8738880155978547,-0.3341401838531503,0.52,1.0,1.0,0.49840954635394097,0.817372410295596,0.0,0.7034168662796201,0.9389712587433843,0.48105124100581925,0.24505855675998184,0.4918225308504715,0.4073862122176553,0.4073862122176553,0.3716312700493739
6,0.8423145563202619,-0.323628667390797,0.52,1.0,1.0,0.4503978631443624,0.8269193565092038,0.0,0.6998646750575752,0.9563063161963595,0.5148822987191262,0.2549056171667646,0.49337358694669115,0.3724427111644566,0.3724427111644566,0.33634101289420737
7,0.8435955909075046,-0.20224843772451068,0.52,1.0,1.0,0.4038716452019653,0.8351549379611879,0.0,0.7114425667343225,0.9658556727599682,0.5468344743516002,0.26529325048212893,0.49399007828897057,0.3372953987929302,0.3372953987929302,0.3034468675737576
8,0.7427980478564122,-0.14301264049698892,0.52,1.0,1.0,0.3740332865353796,0.8425551614242475,0.0,0.7379661338216085,0.9558605701254593,0.5731730202943102,0.27610377838319383,0.4943439236200816,0.31514367611485855,0.31514367611485855,0.28752797275497155
9,0.6344332431953937,-0.10018689633596774,0.52,1.0,1.0,0.36186416340353,0.8504367206979434,0.0,0.7775951739803946,0.9343881968024517,0.5944743572890092,0.28723222774514207,0.4939208767652605,0.3077425724630028,0.3077425724630028,0.2877845083615018
10,0.6298676526307883,-0.1156014177876869,0.52,1.0,1.0,0.35169098386340925,0.859488836542941,0.0,0.8142989829939467,0.9222970909845405,0.615264294959524,0.29866519136688113,0.4930745915920497,0.30227447454340384,0.30227447454340384,0.2869755281685187
11,0.5232331533162207,0.03508347532253513,0.52,1.0,1.0,0.35882956021971835,0.8690044729439681,0.0,0.8769793706876168,0.899782546306021,0.6315679018041106,0.31030989748929455,0.49263245283165796,0.3118244928554522,0.3118244928554522,0.30195794182741353
12,0.46276265323763127,0.0698948242374274,0.52,1.0,1.0,0.3762597791132345,0.8797040890048098,0.0,0.9465665053218634,0.8786455530882197,0.6458480153270582,0.32212375882094274,0.4917486079624111,0.3309972662139589,0.3309972662139589,0.3248168583647964
13,0.34766648730682026,0.24777627880409542,0.52,1.0,1.0,0.4121381580756112,0.89141374737789,0.0,1.0,0.8499584520859309,0.6555127621265796,0.3340127764752649,0.4909480188049699,0.3673856199276018,0.3673856199276018,0.36455323661143973
14,0.3024045863819032,0.22179376494549674,0.52,1.0,1.0,0.4559066490115295,0.9046111969360127,0.0,1.0,0.8276167072114592,0.6628497275942302,0.34592964326239684,0.48984184735967135,0.4124182594534063,0.4124182594534063,0.4098100465320398
15,0.2149273501139452,0.354017493046867,0.52,1.0,1.0,0.5138830625538604,0.9187899193412725,0.0,1.0,0.802280199785919,0.6660085251989756,0.35779051733375233,0.4890134905271396,0.4721505775947075,0.4721505775947075,0.4683905583879408
16,0.24856046445988836,0.37440651833235794,0.52,1.0,1.0,0.5678353752551862,0.9341432186423254,0.0,1.0,0.793435657557503,0.6705275311361618,0.36962316278313806,0.4880511585692419,0.5304395650998524,0.5304395650998524,0.5208301434253131
17,0.2364163093636938,0.33190041542476845,0.52,1.0,1.0,0.6246596715691518,0.9495191538109884,0.0,1.0,0.7867048624938187,0.6741960666863158,0.381410852489033,0.48776050219942363,0.593126322768191,0.593126322768191,0.5762057900549609
18,0.3495084659081126,0.30771378341225325,0.52,1.0,1.0,0.665519835626733,0.9648489181688562,0.0,1.0,0.7999520274332697,0.682668164066553,0.3932501072454737,0.4875108232585488,0.6421260934243683,0.6421260934243683,0.613943865366095
19,0.336577768864539,0.1633343205932916,0.52,1.0,1.0,0.7093549668822005,0.978811774101612,0.0,1.0,0.8052534397127872,0.689906172056615,0.40511572961415127,0.48805637545288344,0.6943249936017568,0.6943249936017568,0.6565861187844363
20,0.4213422498763618,0.1417958203863023,0.52,1.0,1.0,0.7413992220829727,0.9920628664671344,0.0,1.0,0.8208980148946159,0.7004366873729091,0.41707330606546794,0.48823253581193304,0.7355146374561374,0.7355146374561374,0.6868599034163487
21,0.5405083437381523,0.08511240899523059,0.52,1.0,1.0,0.7560096503214769,1.0,0.0,1.0,0.8473210614811824,0.7153610440776762,0.42920979388636676,0.4888466373905672,0.7560096503214769,0.7560096503214769,0.6962002249812589
22,0.6309453104037344,-0.03190700742495436,0.52,1.0,1.0,0.7567844420125854,1.0,0.0,1.0,0.875269119843174,0.7329375728535309,0.44157644740457375,0.4898653398701837,0.7567844420125854,0.7567844420125854,0.6882197047901994
23,0.7603107968632701,-0.19494461142981293,0.52,1.0,1.0,0.7380898649597936,1.0,0.0,1.0,0.9098307637379675,0.7545614967588525,0.45425191286570504,0.4909238178622521,0.7380898649597936,0.7380898649597936,0.6616962016288712
24,0.7937820215755576,-0.15598516663004272,0.52,1.0,1.0,0.7145886837638719,1.0,0.0,1.0,0.93345653275413,0.7756847409474791,0.4672230885559976,0.4922505997038235,0.7145886837638719,0.7145886837638719,0.6343007714470962
25,0.8340917700511522,-0.29438290588516813,0.52,1.0,1.0,0.6853496837957034,1.0,0.0,0.9889968854874605,0.952211449007107,0.7966827583921117,0.48048451283827986,0.49312808408075154,0.6853496837957034,0.6853496837957034,0.6036017755040279
26,0.826283039481442,-0.25469714375264946,0.52,1.0,1.0,0.6576851005837827,1.0,0.0,0.9838709730694595,0.9610761400067153,0.8157239476685157,0.49399414666326735,0.4938376406553772,0.6576851005837827,0.6576851005837827,0.5772500833303564
27,0.8102416934173216,-0.2798218921860098,0.52,1.0,1.0,0.6328256435106376,1.0,0.0,0.9770442974802351,0.9634390083419153,0.8327785087975512,0.5077097753725857,0.49415853103580193,0.6328256435106376,0.6328256435106376,0.5553304617225169
28,0.8119343153519943,-0.2587352219497024,0.52,1.0,1.0,0.6080812431276212,1.0,0.0,0.9729898150014328,0.964985194907703,0.8488211937761484,0.5216091014943828,0.49423736855115413,0.6080812431276212,0.6080812431276212,0.5338141560483787
29,0.711839362708324,-0.19049492519287442,0.52,1.0,1.0,0.5987193278238924,1.0,0.0,0.9856243661618694,0.9507989145991053,0.8600589584691287,0.5355941896488216,0.49429584501131907,0.5987193278238924,0.5987193278238924,0.5300977930177471
30,0.7152884681639611,-0.16982922919919657,0.52,1.0,1.0,0.5890093425312154,1.0,0.0,1.0,0.9438410280170771,0.8713364907736539,0.5496649775678064,0.493718503014488,0.5890093425312154,0.5890093425312154,0.5240760069927879
31,0.570543646054057,0.0030571421844560187,0.52,1.0,1.0,0.601169262780098,1.0,0.0,1.0,0.9183854032075653,0.8760831262287105,0.5636899903167025,0.4934678541008101,0.601169262780098,0.601169262780098,0.5421112888756111
