t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5793340083761663,0.06951426684826989,0.52,0.7986646613545432,0.847986707849229,0.717355898743575,0.6688,0.37636004050257,0.6113425626859404,0.44930010125642494,0.3181766876179547,0.2063635337523591,0.52,0.3249259905463151,0.3677271961831372,0.43256811675566664
1,0.6371595247914963,-0.10391740596622744,0.52,0.8483613687736493,0.9367473014167342,0.6728959515436969,0.638536,0.45428061097749556,0.6439264224494047,0.5998090249123281,0.3975812556707245,0.21425152352825,0.52,0.3414574852593592,0.39574861551862056,0.4563863231908275
2,0.6694379135070178,-0.12703104694739212,0.52,0.8965450214936036,1.0,0.6207384156444887,0.60917992,0.5321898705134792,0.669735451602443,0.7476342606927644,0.484561079167195,0.2238002298763114,0.52,0.33902077021021954,0.4021689671400644,0.4175533438612254
3,0.7820234985946896,-0.18225851939768967,0.52,0.938271514755889,1.0,0.5490583573086179,0.5807045224,0.6149065336663236,0.6786018387260588,0.7585143344478712,0.5784545975808952,0.2351313195291662,0.52,0.2991591194862854,0.3635433334985788,0.3784762264061658
4,0.816927762997552,-0.2307006672144198,0.52,0.9730397079470879,1.0,0.46990332390671574,0.5530833867280001,0.6976495361045187,0.6782659607354099,0.7698254106156007,0.6707657106691352,0.24819532054725724,0.52,0.2528888572574723,0.31463858514055937,0.31696526696389155
5,0.8265183045484134,-0.25171042650574305,0.52,1.0,1.0,0.3872819345809922,0.5262908851261601,0.7788993959748106,0.6745500546289025,0.7771984268294668,0.7587185476863718,0.2628877382955121,0.52,0.203822952144002,0.2593881031527701,0.2515404804360524
6,0.8651367725256601,-0.30914296479786396,0.52,1.0,1.0,0.2969884487121133,0.5003021585723753,0.86043511742698,0.6607142400419606,0.7891454039315341,0.845239967919421,0.27916366027094536,0.52,0.14858396196173143,0.1933303625271393,0.17550016348321218
7,0.8127933319501899,-0.24171976370694231,0.52,1.0,0.9992880023256702,0.2128757934467276,0.47509309381520404,0.9367918394083169,0.6600472334208991,0.7868050767486171,0.9212317093556903,0.2967966578553497,0.52,0.10106381083883414,0.1342003244774981,0.11067038489962483
8,0.721937441741754,-0.20973741643529942,0.52,1.0,0.9882056638644455,0.14071887640385336,0.4506403010007479,1.0,0.6706731716903104,0.7783503624238323,0.9836908258237334,0.3155025077932709,0.52,0.0626656755426703,0.08459866198260492,0.058403753958064464
9,0.7087263690550464,-0.18225008823643477,0.52,1.0,0.9676047902940768,0.06877966893602566,0.4269210919707255,1.0,0.6853668742687399,0.7767914372370653,1.0,0.3343474827153382,0.52,0.028412254907003113,0.0383565441244542,0.019565631334666433
10,0.6226725333790916,-0.03538525751416777,0.52,0.9968555469722417,0.9383426565329491,0.008066709000513983,0.4039134592116037,1.0,0.724715239438392,0.7639613081450105,1.0,0.35300400788818487,0.52,0.003047743437457443,0.004114453640567548,0.0
11,0.5371045242366421,0.0015869977057060662,0.52,0.993152713767658,0.9080490703052743,0.0,0.3815960554352556,1.0,0.7739566426351382,0.7517676132282458,1.0,0.37147396780930303,0.52,0.0,0.0,0.0
12,0.3765573262306876,0.15843573078470796,0.52,0.9895054230611432,0.8776974268296464,0.0,0.3599481737721979,1.0,0.8536782571793662,0.7282952182731908,1.0,0.38975922813121,0.52,0.0,0.0,0.0015114345180427535
13,0.37414830357403217,0.18218972489971688,0.52,0.9859128417152261,0.8484684218846051,0.0,0.33894972855903194,1.0,0.9333729782187336,0.7291074846224452,1.0,0.40786163584989793,0.52,0.0,0.0,0.001267754613266392
14,0.24790530569551755,0.20498814217158812,0.52,0.9823741490894977,0.8179671460302724,0.0,0.31858123670226096,1.0,1.0,0.7101304216232053,1.0,0.42578301949139896,0.52,0.0,0.0,0.006960873513038396
15,0.27023284991284086,0.2567286202671296,0.52,0.9788885368531552,0.7882405006455933,0.0,0.29882379960119315,1.0,1.0,0.7144284064057659,1.0,0.443525189296485,0.52,0.0,0.0,0.0056714780782702034
16,0.2962879177256058,0.31324306044267564,0.52,0.975455208800358,0.7569967793443854,0.0,0.27965908561315733,1.0,1.0,0.7181217673385526,1.0,0.46108993740352017,0.52,0.0,0.0,0.004563469798434194
17,0.24234302728972895,0.30838037659353645,0.52,0.9720733806683526,0.7243651959639453,0.0,0.2610693130447626,1.0,1.0,0.7098453657265317,1.0,0.478479038029485,0.52,0.0,0.0,0.00704639028204046
